Encompass Health Rehabilitation Hospital of Panama City ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Prices Posted and Effective 1/1/2021,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Note: General file information and additional details can be found on the Price Transparency page of this hospital's website,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PATIENT_TYPE,SHOPPABLE_SERVICES,BILLING_REVENUE_SERVICE_CODE,GROSS_CHARGE,DISCOUNTED_CASH_PRICE,DEIDENTIFIED_MIN_NEGOTIATED_CHARGE,DEIDENTIFIED_MAX_NEGOTIATED_CHARGE,AETNA (AET) negotiated charge,AETNA MEDICARE (AETM) negotiated charge,AETNA WORKERS COMP ACCESS (AETW) negotiated charge,BC HEALTH OPTIONS EXCHANG (BHOZ) negotiated charge,BCBS OUT OF STATE (BCBS) negotiated charge,BCFL BLUE SELECT (BCSE) negotiated charge,BCFL PREFERRED PAT CARE (BCFP) negotiated charge,BCFL TRADITIONAL (BCFL) negotiated charge,BLUE CROSS HEALTH OPTIONS (BCHO) negotiated charge,CAREWORKS (CRW) negotiated charge,CAREWORKS WORK COMP (CRWW) negotiated charge,CHAMPVA (CVA) negotiated charge,CIGNA (CIG) negotiated charge,CORVEL WORK COMP (CVLW) negotiated charge,COVENTRY NATIONAL (CHCN) negotiated charge,FEDERAL BLUE CROSS (BCFD) negotiated charge,HERITAGE SUMMIT WORK COMP (HSHW) negotiated charge,HUMANA (HUM) negotiated charge,HUMANA MEDICARE (HUMM) negotiated charge,NETWORK BLUE MEDICARE (BCBM) negotiated charge,ONE CALL MEDICAL WC (OCLW) negotiated charge,PRIVATE HEALTHCARE SYSTEM (PHST) negotiated charge,PROVIDER NET OF AMERICA (PAM) negotiated charge,PYR/AMERICAN PROGRESSIVE (AMPM) negotiated charge,THE RENY COMPANY WC (REN) negotiated charge,TRICARE (TRI) negotiated charge,UHC VA CCN (UHV) negotiated charge,UNITED HEALTHCARE (UHC) negotiated charge,UNITED HEALTHCARE MEDICAR (UHCM) negotiated charge,WELLCARE MEDICARE (WLCM) negotiated charge,ZELIAS NET SOLUTIONS WC (ZNSW) negotiated charge,ZELIAS NETWORK SOLUTIONS (ZNS) negotiated charge
Inpatient Rehabilitation Services,Inpatient Rehab Per Discharge: Pulmonary,CMG 1504-D,NA,NA,$23022.81,$27869.72,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,$24234.54,NA,NA,NA,NA,NA,NA,NA,$24234.54,NA,NA,$27869.72,$24234.54,NA,$24234.54,$24234.54,NA,$23022.81,NA,NA,NA
Inpatient Rehabilitation Services,Inpatient Rehab Per Discharge: Pain syndrome,CMG 1601-A,NA,NA,$11532.24,$13960.07,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,$12139.19,NA,NA,NA,NA,NA,NA,NA,$12139.19,NA,NA,$13960.07,$12139.19,NA,$12139.19,$12139.19,NA,$11532.24,NA,NA,NA
Inpatient Rehabilitation Services,Inpatient Rehab Per Discharge: Pain syndrome,CMG 1601-B,NA,NA,$14205.56,$17196.21,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,$14953.23,NA,NA,NA,NA,NA,NA,NA,$14953.23,NA,NA,$17196.21,$14953.23,NA,$14953.23,$14953.23,NA,$14205.56,NA,NA,NA
Inpatient Rehabilitation Services,Inpatient Rehab Per Discharge: Pain syndrome,CMG 1601-C,NA,NA,$14205.56,$17196.21,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,$14953.23,NA,NA,NA,NA,NA,NA,NA,$14953.23,NA,NA,$17196.21,$14953.23,NA,$14953.23,$14953.23,NA,$14205.56,NA,NA,NA
Inpatient Rehabilitation Services,Inpatient Rehab Per Discharge: Pain syndrome,CMG 1601-D,NA,NA,$12812.16,$15509.45,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,$13486.48,NA,NA,NA,NA,NA,NA,NA,$13486.48,NA,NA,$15509.45,$13486.48,NA,$13486.48,$13486.48,NA,$12812.16,NA,NA,NA
Inpatient Rehabilitation Services,Inpatient Rehab Per Discharge: Pain syndrome,CMG 1602-A,NA,NA,$12917.02,$15636.40,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,$13596.87,NA,NA,NA,NA,NA,NA,NA,$13596.87,NA,NA,$15636.40,$13596.87,NA,$13596.87,$13596.87,NA,$12917.02,NA,NA,NA
Inpatient Rehabilitation Services,Inpatient Rehab Per Discharge: Pain syndrome,CMG 1602-B,NA,NA,$15913.57,$19263.79,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,$16751.12,NA,NA,NA,NA,NA,NA,NA,$16751.12,NA,NA,$19263.79,$16751.12,NA,$16751.12,$16751.12,NA,$15913.57,NA,NA,NA
Inpatient Rehabilitation Services,Inpatient Rehab Per Discharge: Pain syndrome,CMG 1602-C,NA,NA,$15913.57,$19263.79,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,$16751.12,NA,NA,NA,NA,NA,NA,NA,$16751.12,NA,NA,$19263.79,$16751.12,NA,$16751.12,$16751.12,NA,$15913.57,NA,NA,NA
Inpatient Rehabilitation Services,Inpatient Rehab Per Discharge: Pain syndrome,CMG 1602-D,NA,NA,$14352.09,$17373.58,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,$15107.46,NA,NA,NA,NA,NA,NA,NA,$15107.46,NA,NA,$17373.58,$15107.46,NA,$15107.46,$15107.46,NA,$14352.09,NA,NA,NA
Inpatient Rehabilitation Services,Inpatient Rehab Per Discharge: Pain syndrome,CMG 1603-A,NA,NA,$15785.72,$19109.03,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,$16616.54,NA,NA,NA,NA,NA,NA,NA,$16616.54,NA,NA,$19109.03,$16616.54,NA,$16616.54,$16616.54,NA,$15785.72,NA,NA,NA
Inpatient Rehabilitation Services,Inpatient Rehab Per Discharge: Pain syndrome,CMG 1603-B,NA,NA,$19447.36,$23541.54,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,$20470.90,NA,NA,NA,NA,NA,NA,NA,$20470.90,NA,NA,$23541.54,$20470.90,NA,$20470.90,$20470.90,NA,$19447.36,NA,NA,NA
Inpatient Rehabilitation Services,Inpatient Rehab Per Discharge: Pain syndrome,CMG 1603-C,NA,NA,$19447.36,$23541.54,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,$20470.90,NA,NA,NA,NA,NA,NA,NA,$20470.90,NA,NA,$23541.54,$20470.90,NA,$20470.90,$20470.90,NA,$19447.36,NA,NA,NA
Inpatient Rehabilitation Services,Inpatient Rehab Per Discharge: Pain syndrome,CMG 1603-D,NA,NA,$17538.25,$21230.51,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,$18461.31,NA,NA,NA,NA,NA,NA,NA,$18461.31,NA,NA,$21230.51,$18461.31,NA,$18461.31,$18461.31,NA,$17538.25,NA,NA,NA
Inpatient Rehabilitation Services,Inpatient Rehab Per Discharge: Pain syndrome,CMG 1604-A,NA,NA,$20057.87,$24280.58,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,$21113.55,NA,NA,NA,NA,NA,NA,NA,$21113.55,NA,NA,$24280.58,$21113.55,NA,$21113.55,$21113.55,NA,$20057.87,NA,NA,NA
Inpatient Rehabilitation Services,Inpatient Rehab Per Discharge: Pain syndrome,CMG 1604-B,NA,NA,$24709.26,$29911.22,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,$26009.75,NA,NA,NA,NA,NA,NA,NA,$26009.75,NA,NA,$29911.22,$26009.75,NA,$26009.75,$26009.75,NA,$24709.26,NA,NA,NA
Inpatient Rehabilitation Services,Inpatient Rehab Per Discharge: Pain syndrome,CMG 1604-C,NA,NA,$24709.26,$29911.22,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,$26009.75,NA,NA,NA,NA,NA,NA,NA,$26009.75,NA,NA,$29911.22,$26009.75,NA,$26009.75,$26009.75,NA,$24709.26,NA,NA,NA
Inpatient Rehabilitation Services,Inpatient Rehab Per Discharge: Pain syndrome,CMG 1604-D,NA,NA,$22284.45,$26975.91,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,$23457.32,NA,NA,NA,NA,NA,NA,NA,$23457.32,NA,NA,$26975.91,$23457.32,NA,$23457.32,$23457.32,NA,$22284.45,NA,NA,NA
Inpatient Rehabilitation Services,"Inpatient Rehab Per Discharge: Major Mult. Trauma, no brain or spinal cord injury",CMG 1701-A,NA,NA,$12974.48,$15705.95,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,$13657.35,NA,NA,NA,NA,NA,NA,NA,$13657.35,NA,NA,$15705.95,$13657.35,NA,$13657.35,$13657.35,NA,$12974.48,NA,NA,NA
Inpatient Rehabilitation Services,"Inpatient Rehab Per Discharge: Major Mult. Trauma, no brain or spinal cord injury",CMG 1701-B,NA,NA,$19981.74,$24188.42,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,$21033.41,NA,NA,NA,NA,NA,NA,NA,$21033.41,NA,NA,$24188.42,$21033.41,NA,$21033.41,$21033.41,NA,$19981.74,NA,NA,NA
Inpatient Rehabilitation Services,"Inpatient Rehab Per Discharge: Major Mult. Trauma, no brain or spinal cord injury",CMG 1701-C,NA,NA,$15675.11,$18975.13,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,$16500.11,NA,NA,NA,NA,NA,NA,NA,$16500.11,NA,NA,$18975.13,$16500.11,NA,$16500.11,$16500.11,NA,$15675.11,NA,NA,NA
Inpatient Rehabilitation Services,"Inpatient Rehab Per Discharge: Major Mult. Trauma, no brain or spinal cord injury",CMG 1701-D,NA,NA,$14248.66,$17248.38,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,$14998.59,NA,NA,NA,NA,NA,NA,NA,$14998.59,NA,NA,$17248.38,$14998.59,NA,$14998.59,$14998.59,NA,$14248.66,NA,NA,NA
Inpatient Rehabilitation Services,"Inpatient Rehab Per Discharge: Major Mult. Trauma, no brain or spinal cord injury",CMG 1702-A,NA,NA,$15846.05,$19182.06,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,$16680.05,NA,NA,NA,NA,NA,NA,NA,$16680.05,NA,NA,$19182.06,$16680.05,NA,$16680.05,$16680.05,NA,$15846.05,NA,NA,NA
Inpatient Rehabilitation Services,"Inpatient Rehab Per Discharge: Major Mult. Trauma, no brain or spinal cord injury",CMG 1702-B,NA,NA,$24403.29,$29540.82,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,$25687.67,NA,NA,NA,NA,NA,NA,NA,$25687.67,NA,NA,$29540.82,$25687.67,NA,$25687.67,$25687.67,NA,$24403.29,NA,NA,NA
Inpatient Rehabilitation Services,"Inpatient Rehab Per Discharge: Major Mult. Trauma, no brain or spinal cord injury",CMG 1702-C,NA,NA,$19145.69,$23176.37,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,$20153.36,NA,NA,NA,NA,NA,NA,NA,$20153.36,NA,NA,$23176.37,$20153.36,NA,$20153.36,$20153.36,NA,$19145.69,NA,NA,NA
Inpatient Rehabilitation Services,"Inpatient Rehab Per Discharge: Major Mult. Trauma, no brain or spinal cord injury",CMG 1702-D,NA,NA,$17403.22,$21067.05,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,$18319.18,NA,NA,NA,NA,NA,NA,NA,$18319.18,NA,NA,$21067.05,$18319.18,NA,$18319.18,$18319.18,NA,$17403.22,NA,NA,NA
Inpatient Rehabilitation Services,"Inpatient Rehab Per Discharge: Major Mult. Trauma, no brain or spinal cord injury",CMG 1703-A,NA,NA,$18785.13,$22739.90,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,$19773.82,NA,NA,NA,NA,NA,NA,NA,$19773.82,NA,NA,$22739.90,$19773.82,NA,$19773.82,$19773.82,NA,$18785.13,NA,NA,NA
Inpatient Rehabilitation Services,"Inpatient Rehab Per Discharge: Major Mult. Trauma, no brain or spinal cord injury",CMG 1703-B,NA,NA,$28931.14,$35021.91,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,$30453.83,NA,NA,NA,NA,NA,NA,NA,$30453.83,NA,NA,$35021.91,$30453.83,NA,$30453.83,$30453.83,NA,$28931.14,NA,NA,NA
Inpatient Rehabilitation Services,"Inpatient Rehab Per Discharge: Major Mult. Trauma, no brain or spinal cord injury",CMG 1703-C,NA,NA,$22695.29,$27473.25,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,$23889.78,NA,NA,NA,NA,NA,NA,NA,$23889.78,NA,NA,$27473.25,$23889.78,NA,$23889.78,$23889.78,NA,$22695.29,NA,NA,NA
Inpatient Rehabilitation Services,"Inpatient Rehab Per Discharge: Major Mult. Trauma, no brain or spinal cord injury",CMG 1703-D,NA,NA,$20631.04,$24974.41,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,$21716.88,NA,NA,NA,NA,NA,NA,NA,$21716.88,NA,NA,$24974.41,$21716.88,NA,$21716.88,$21716.88,NA,$20631.04,NA,NA,NA
Inpatient Rehabilitation Services,"Inpatient Rehab Per Discharge: Major Mult. Trauma, no brain or spinal cord injury",CMG 1704-A,NA,NA,$20780.43,$25155.26,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,$21874.14,NA,NA,NA,NA,NA,NA,NA,$21874.14,NA,NA,$25155.26,$21874.14,NA,$21874.14,$21874.14,NA,$20780.43,NA,NA,NA
Inpatient Rehabilitation Services,"Inpatient Rehab Per Discharge: Major Mult. Trauma, no brain or spinal cord injury",CMG 1704-B,NA,NA,$32003.82,$38741.47,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,$33688.23,NA,NA,NA,NA,NA,NA,NA,$33688.23,NA,NA,$38741.47,$33688.23,NA,$33688.23,$33688.23,NA,$32003.82,NA,NA,NA
Inpatient Rehabilitation Services,"Inpatient Rehab Per Discharge: Major Mult. Trauma, no brain or spinal cord injury",CMG 1704-C,NA,NA,$25107.18,$30392.90,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,$26428.61,NA,NA,NA,NA,NA,NA,NA,$26428.61,NA,NA,$30392.90,$26428.61,NA,$26428.61,$26428.61,NA,$25107.18,NA,NA,NA
Inpatient Rehabilitation Services,"Inpatient Rehab Per Discharge: Major Mult. Trauma, no brain or spinal cord injury",CMG 1704-D,NA,NA,$22823.14,$27628.01,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,$24024.36,NA,NA,NA,NA,NA,NA,NA,$24024.36,NA,NA,$27628.01,$24024.36,NA,$24024.36,$24024.36,NA,$22823.14,NA,NA,NA
Inpatient Rehabilitation Services,"Inpatient Rehab Per Discharge: Major Mult. Trauma, no brain or spinal cord injury",CMG 1705-A,NA,NA,$22801.59,$27601.93,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,$24001.67,NA,NA,NA,NA,NA,NA,NA,$24001.67,NA,NA,$27601.93,$24001.67,NA,$24001.67,$24001.67,NA,$22801.59,NA,NA,NA
Inpatient Rehabilitation Services,"Inpatient Rehab Per Discharge: Major Mult. Trauma, no brain or spinal cord injury",CMG 1705-B,NA,NA,$35118.16,$42511.45,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,$36966.48,NA,NA,NA,NA,NA,NA,NA,$36966.48,NA,NA,$42511.45,$36966.48,NA,$36966.48,$36966.48,NA,$35118.16,NA,NA,NA
Inpatient Rehabilitation Services,"Inpatient Rehab Per Discharge: Major Mult. Trauma, no brain or spinal cord injury",CMG 1705-C,NA,NA,$27550.67,$33350.81,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,$29000.70,NA,NA,NA,NA,NA,NA,NA,$29000.70,NA,NA,$33350.81,$29000.70,NA,$29000.70,$29000.70,NA,$27550.67,NA,NA,NA
Inpatient Rehabilitation Services,"Inpatient Rehab Per Discharge: Major Mult. Trauma, no brain or spinal cord injury",CMG 1705-D,NA,NA,$25043.97,$30316.38,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,$26362.07,NA,NA,NA,NA,NA,NA,NA,$26362.07,NA,NA,$30316.38,$26362.07,NA,$26362.07,$26362.07,NA,$25043.97,NA,NA,NA
Inpatient Rehabilitation Services,Inpatient Rehab Per Discharge: Major Mult. Trauma with brain or spinal cord inj.,CMG 1801-A,NA,NA,$11750.58,$14224.39,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,$12369.04,NA,NA,NA,NA,NA,NA,NA,$12369.04,NA,NA,$14224.39,$12369.04,NA,$12369.04,$12369.04,NA,$11750.58,NA,NA,NA
Inpatient Rehabilitation Services,Inpatient Rehab Per Discharge: Major Mult. Trauma with brain or spinal cord inj.,CMG 1801-B,NA,NA,$17785.33,$21529.61,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,$18721.40,NA,NA,NA,NA,NA,NA,NA,$18721.40,NA,NA,$21529.61,$18721.40,NA,$18721.40,$18721.40,NA,$17785.33,NA,NA,NA
Inpatient Rehabilitation Services,Inpatient Rehab Per Discharge: Major Mult. Trauma with brain or spinal cord inj.,CMG 1801-C,NA,NA,$14107.88,$17077.96,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,$14850.40,NA,NA,NA,NA,NA,NA,NA,$14850.40,NA,NA,$17077.96,$14850.40,NA,$14850.40,$14850.40,NA,$14107.88,NA,NA,NA
Inpatient Rehabilitation Services,Inpatient Rehab Per Discharge: Major Mult. Trauma with brain or spinal cord inj.,CMG 1801-D,NA,NA,$12669.94,$15337.30,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,$13336.78,NA,NA,NA,NA,NA,NA,NA,$13336.78,NA,NA,$15337.30,$13336.78,NA,$13336.78,$13336.78,NA,$12669.94,NA,NA,NA
Inpatient Rehabilitation Services,Inpatient Rehab Per Discharge: Major Mult. Trauma with brain or spinal cord inj.,CMG 1802-A,NA,NA,$14965.47,$18116.10,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,$15753.13,NA,NA,NA,NA,NA,NA,NA,$15753.13,NA,NA,$18116.10,$15753.13,NA,$15753.13,$15753.13,NA,$14965.47,NA,NA,NA
Inpatient Rehabilitation Services,Inpatient Rehab Per Discharge: Major Mult. Trauma with brain or spinal cord inj.,CMG 1802-B,NA,NA,$22649.32,$27417.60,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,$23841.39,NA,NA,NA,NA,NA,NA,NA,$23841.39,NA,NA,$27417.60,$23841.39,NA,$23841.39,$23841.39,NA,$22649.32,NA,NA,NA
Inpatient Rehabilitation Services,Inpatient Rehab Per Discharge: Major Mult. Trauma with brain or spinal cord inj.,CMG 1802-C,NA,NA,$17964.89,$21746.97,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,$18910.41,NA,NA,NA,NA,NA,NA,NA,$18910.41,NA,NA,$21746.97,$18910.41,NA,$18910.41,$18910.41,NA,$17964.89,NA,NA,NA
Inpatient Rehabilitation Services,Inpatient Rehab Per Discharge: Major Mult. Trauma with brain or spinal cord inj.,CMG 1802-D,NA,NA,$16134.79,$19531.58,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,$16983.99,NA,NA,NA,NA,NA,NA,NA,$16983.99,NA,NA,$19531.58,$16983.99,NA,$16983.99,$16983.99,NA,$16134.79,NA,NA,NA
Inpatient Rehabilitation Services,Inpatient Rehab Per Discharge: Major Mult. Trauma with brain or spinal cord inj.,CMG 1803-A,NA,NA,$18361.36,$22226.91,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,$19327.75,NA,NA,NA,NA,NA,NA,NA,$19327.75,NA,NA,$22226.91,$19327.75,NA,$19327.75,$19327.75,NA,$18361.36,NA,NA,NA
Inpatient Rehabilitation Services,Inpatient Rehab Per Discharge: Major Mult. Trauma with brain or spinal cord inj.,CMG 1803-B,NA,NA,$27789.12,$33639.47,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,$29251.71,NA,NA,NA,NA,NA,NA,NA,$29251.71,NA,NA,$33639.47,$29251.71,NA,$29251.71,$29251.71,NA,$27789.12,NA,NA,NA
Inpatient Rehabilitation Services,Inpatient Rehab Per Discharge: Major Mult. Trauma with brain or spinal cord inj.,CMG 1803-C,NA,NA,$22041.68,$26682.04,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,$23201.77,NA,NA,NA,NA,NA,NA,NA,$23201.77,NA,NA,$26682.04,$23201.77,NA,$23201.77,$23201.77,NA,$22041.68,NA,NA,NA
Inpatient Rehabilitation Services,Inpatient Rehab Per Discharge: Major Mult. Trauma with brain or spinal cord inj.,CMG 1803-D,NA,NA,$19796.43,$23964.10,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,$20838.35,NA,NA,NA,NA,NA,NA,NA,$20838.35,NA,NA,$23964.10,$20838.35,NA,$20838.35,$20838.35,NA,$19796.43,NA,NA,NA
Inpatient Rehabilitation Services,Inpatient Rehab Per Discharge: Major Mult. Trauma with brain or spinal cord inj.,CMG 1804-A,NA,NA,$21054.80,$25487.40,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,$22162.95,NA,NA,NA,NA,NA,NA,NA,$22162.95,NA,NA,$25487.40,$22162.95,NA,$22162.95,$22162.95,NA,$21054.80,NA,NA,NA
Inpatient Rehabilitation Services,Inpatient Rehab Per Discharge: Major Mult. Trauma with brain or spinal cord inj.,CMG 1804-B,NA,NA,$31865.92,$38574.53,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,$33543.07,NA,NA,NA,NA,NA,NA,NA,$33543.07,NA,NA,$38574.53,$33543.07,NA,$33543.07,$33543.07,NA,$31865.92,NA,NA,NA
Inpatient Rehabilitation Services,Inpatient Rehab Per Discharge: Major Mult. Trauma with brain or spinal cord inj.,CMG 1804-C,NA,NA,$25276.68,$30598.09,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,$26607.03,NA,NA,NA,NA,NA,NA,NA,$26607.03,NA,NA,$30598.09,$26607.03,NA,$26607.03,$26607.03,NA,$25276.68,NA,NA,NA
Inpatient Rehabilitation Services,Inpatient Rehab Per Discharge: Major Mult. Trauma with brain or spinal cord inj.,CMG 1804-D,NA,NA,$22701.04,$27480.20,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,$23895.83,NA,NA,NA,NA,NA,NA,NA,$23895.83,NA,NA,$27480.20,$23895.83,NA,$23895.83,$23895.83,NA,$22701.04,NA,NA,NA
Inpatient Rehabilitation Services,Inpatient Rehab Per Discharge: Major Mult. Trauma with brain or spinal cord inj.,CMG 1805-A,NA,NA,$25140.22,$30432.89,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,$26463.38,NA,NA,NA,NA,NA,NA,NA,$26463.38,NA,NA,$30432.89,$26463.38,NA,$26463.38,$26463.38,NA,$25140.22,NA,NA,NA
Inpatient Rehabilitation Services,Inpatient Rehab Per Discharge: Major Mult. Trauma with brain or spinal cord inj.,CMG 1805-B,NA,NA,$38048.62,$46058.85,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,$40051.18,NA,NA,NA,NA,NA,NA,NA,$40051.18,NA,NA,$46058.85,$40051.18,NA,$40051.18,$40051.18,NA,$38048.62,NA,NA,NA
Inpatient Rehabilitation Services,Inpatient Rehab Per Discharge: Major Mult. Trauma with brain or spinal cord inj.,CMG 1805-C,NA,NA,$30180.90,$36534.77,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,$31769.37,NA,NA,NA,NA,NA,NA,NA,$31769.37,NA,NA,$36534.77,$31769.37,NA,$31769.37,$31769.37,NA,$30180.90,NA,NA,NA
Inpatient Rehabilitation Services,Inpatient Rehab Per Discharge: Major Mult. Trauma with brain or spinal cord inj.,CMG 1805-D,NA,NA,$27105.35,$32811.74,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,$28531.95,NA,NA,NA,NA,NA,NA,NA,$28531.95,NA,NA,$32811.74,$28531.95,NA,$28531.95,$28531.95,NA,$27105.35,NA,NA,NA
Inpatient Rehabilitation Services,Inpatient Rehab Per Discharge: Major Mult. Trauma with brain or spinal cord inj.,CMG 1806-A,NA,NA,$32383.06,$39200.54,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,$34087.43,NA,NA,NA,NA,NA,NA,NA,$34087.43,NA,NA,$39200.54,$34087.43,NA,$34087.43,$34087.43,NA,$32383.06,NA,NA,NA
Inpatient Rehabilitation Services,Inpatient Rehab Per Discharge: Major Mult. Trauma with brain or spinal cord inj.,CMG 1806-B,NA,NA,$49012.00,$59330.32,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,$51591.58,NA,NA,NA,NA,NA,NA,NA,$51591.58,NA,NA,$59330.32,$51591.58,NA,$51591.58,$51591.58,NA,$49012.00,NA,NA,NA
Inpatient Rehabilitation Services,Inpatient Rehab Per Discharge: Major Mult. Trauma with brain or spinal cord inj.,CMG 1806-C,NA,NA,$38876.04,$47060.47,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,$40922.15,NA,NA,NA,NA,NA,NA,NA,$40922.15,NA,NA,$47060.47,$40922.15,NA,$40922.15,$40922.15,NA,$38876.04,NA,NA,NA
Inpatient Rehabilitation Services,Inpatient Rehab Per Discharge: Major Mult. Trauma with brain or spinal cord inj.,CMG 1806-D,NA,NA,$34914.17,$42264.52,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,$36751.76,NA,NA,NA,NA,NA,NA,NA,$36751.76,NA,NA,$42264.52,$36751.76,NA,$36751.76,$36751.76,NA,$34914.17,NA,NA,NA
Inpatient Rehabilitation Services,Inpatient Rehab Per Discharge: Guillian-Barre,CMG 1901-A,NA,NA,$12552.15,$15194.71,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,$13212.79,NA,NA,NA,NA,NA,NA,NA,$13212.79,NA,NA,$15194.71,$13212.79,NA,$13212.79,$13212.79,NA,$12552.15,NA,NA,NA
Inpatient Rehabilitation Services,Inpatient Rehab Per Discharge: Guillian-Barre,CMG 1901-B,NA,NA,$17282.55,$20920.98,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,$18192.16,NA,NA,NA,NA,NA,NA,NA,$18192.16,NA,NA,$20920.98,$18192.16,NA,$18192.16,$18192.16,NA,$17282.55,NA,NA,NA
Inpatient Rehabilitation Services,Inpatient Rehab Per Discharge: Guillian-Barre,CMG 1901-C,NA,NA,$13439.91,$16269.36,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,$14147.27,NA,NA,NA,NA,NA,NA,NA,$14147.27,NA,NA,$16269.36,$14147.27,NA,$14147.27,$14147.27,NA,$13439.91,NA,NA,NA
Inpatient Rehabilitation Services,Inpatient Rehab Per Discharge: Guillian-Barre,CMG 1901-D,NA,NA,$13253.16,$16043.30,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,$13950.70,NA,NA,NA,NA,NA,NA,NA,$13950.70,NA,NA,$16043.30,$13950.70,NA,$13950.70,$13950.70,NA,$13253.16,NA,NA,NA
Inpatient Rehabilitation Services,Inpatient Rehab Per Discharge: Guillian-Barre,CMG 1902-A,NA,NA,$16996.69,$20574.94,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,$17891.25,NA,NA,NA,NA,NA,NA,NA,$17891.25,NA,NA,$20574.94,$17891.25,NA,$17891.25,$17891.25,NA,$16996.69,NA,NA,NA
