Encompass Health Rehabilitation Hospital of Colorado Springs,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Prices Posted and Effective 1/1/2021,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Note: General file information and additional details can be found on the Price Transparency page of this hospital's website,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PATIENT_TYPE,SHOPPABLE_SERVICES,BILLING_REVENUE_SERVICE_CODE,GROSS_CHARGE,DISCOUNTED_CASH_PRICE,DEIDENTIFIED_MIN_NEGOTIATED_CHARGE,DEIDENTIFIED_MAX_NEGOTIATED_CHARGE,AETNA (AET) negotiated charge,AETNA MEDICARE (AETM) negotiated charge,AETNA WORKERS COMP ACCESS (AETW) negotiated charge,ANTHEM BCBS OF COLORADO (BCOA) negotiated charge,BC OF CO ANTHEM EXCHANGE (BOAZ) negotiated charge,BC OF CO ANTHEM MEDICARE (BOAM) negotiated charge,BCBS OF COLORADO (BCCO) negotiated charge,BRIGHT HEALTH EXCHANGE (BRHZ) negotiated charge,BRIGHT HEALTH PLAN (BRH) negotiated charge,BRIGHT HEALTH PLAN MCR (BRHM) negotiated charge,CAREWORKS (CRW) negotiated charge,CAREWORKS WORK COMP (CRWW) negotiated charge,CHAMPVA (CVA) negotiated charge,CHOICE CARE NET MEDICARE (CHOM) negotiated charge,CHOICE CARE NETWORK (CHO) negotiated charge,CIGNA (CIG) negotiated charge,CIGNA EXCHANGE (CIGZ) negotiated charge,CIGNA MEDICARE (CIGM) negotiated charge,CO ACCESS CHP HMO MCD (CAHD) negotiated charge,COLORADO ACCESS MEDICAID (CAAD) negotiated charge,COLORADO CHOICE EXCHANGE (COLZ) negotiated charge,COLORADO CHOICE HEALTH (COL) negotiated charge,COVENTRY HEALTHCARE (CHC) negotiated charge,COVENTRY HEALTHCARE WC (CHCW) negotiated charge,FIRST HEALTH (FTH) negotiated charge,FIRST HEALTH WORK COMP (FTHW) negotiated charge,HEALTHNET FEDERAL SVCS (HFS) negotiated charge,HUMANA (HUM) negotiated charge,HUMANA MEDICARE (HUMM) negotiated charge,LONGEVITY HEALTH PLAN MCR (LHPM) negotiated charge,MULTIPLAN (MUL) negotiated charge,MY INNOVAGE PACE DUAL (MIPB) negotiated charge,ONE CALL MEDICAL WC (OCLW) negotiated charge,PINNACOL ASSURANCE WC (PINW) negotiated charge,PROVIDER NET OF AMERICA (PAM) negotiated charge,ROCKY MOUNTAIN HMO (RMH) negotiated charge,ROCKY MOUNTAIN MEDICARE (RMHM) negotiated charge,ROCKY MTN PACE DUAL (RMPM) negotiated charge,SLOANS LAKE MANAGED CARE (SLK) negotiated charge,TRIWEST VETERANS (TWV) negotiated charge,UNITED HEALTHCARE (UHC) negotiated charge,UNITED HEALTHCARE MEDICAR (UHCM) negotiated charge,ZELIAS NET SOLUTIONS WC (ZNSW) negotiated charge,ZELIAS NETWORK SOLUTIONS (ZNS) negotiated charge
Inpatient Rehabilitation Services,"Inpatient Rehab Per Discharge: Amputation, lower extremity",CMG 1002-C,NA,NA,$23078.70,$28213.68,NA,$48827.01,NA,NA,NA,$48827.01,NA,$46385.65,$46385.65,$46873.92,NA,NA,$48827.01,$48827.01,NA,NA,NA,$48827.01,NA,NA,NA,NA,NA,NA,NA,NA,$48827.01,NA,$48827.01,$48827.01,NA,$48827.01,NA,NA,$56151.05,NA,NA,$48827.01,NA,$48827.01,NA,NA,NA,NA
Inpatient Rehabilitation Services,"Inpatient Rehab Per Discharge: Amputation, lower extremity",CMG 1002-D,NA,NA,$20710.46,$25318.51,NA,$43816.59,NA,NA,NA,$43816.59,NA,$41625.75,$41625.75,$42063.93,NA,NA,$43816.59,$43816.59,NA,NA,NA,$43816.59,NA,NA,NA,NA,NA,NA,NA,NA,$43816.59,NA,$43816.59,$43816.59,NA,$43816.59,NA,NA,$50389.07,NA,NA,$43816.59,NA,$43816.59,NA,NA,NA,NA
Inpatient Rehabilitation Services,"Inpatient Rehab Per Discharge: Amputation, lower extremity",CMG 1003-A,NA,NA,$22352.92,$27326.42,NA,$47291.49,NA,NA,NA,$47291.49,NA,$44926.92,$44926.92,$45399.84,NA,NA,$47291.49,$47291.49,NA,NA,NA,$47291.49,NA,NA,NA,NA,NA,NA,NA,NA,$47291.49,NA,$47291.49,$47291.49,NA,$47291.49,NA,NA,$54385.22,NA,NA,$47291.49,NA,$47291.49,NA,NA,NA,NA
Inpatient Rehabilitation Services,"Inpatient Rehab Per Discharge: Amputation, lower extremity",CMG 1003-B,NA,NA,$32175.00,$39333.90,NA,$68071.81,NA,NA,NA,$68071.81,NA,$64668.22,$64668.22,$65348.93,NA,NA,$68071.81,$68071.81,NA,NA,NA,$68071.81,NA,NA,NA,NA,NA,NA,NA,NA,$68071.81,NA,$68071.81,$68071.81,NA,$68071.81,NA,NA,$78282.58,NA,NA,$68071.81,NA,$68071.81,NA,NA,NA,NA
Inpatient Rehabilitation Services,"Inpatient Rehab Per Discharge: Amputation, lower extremity",CMG 1003-C,NA,NA,$26969.01,$32969.58,NA,$57057.63,NA,NA,NA,$57057.63,NA,$54204.75,$54204.75,$54775.32,NA,NA,$57057.63,$57057.63,NA,NA,NA,$57057.63,NA,NA,NA,NA,NA,NA,NA,NA,$57057.63,NA,$57057.63,$57057.63,NA,$57057.63,NA,NA,$65616.27,NA,NA,$57057.63,NA,$57057.63,NA,NA,NA,NA
Inpatient Rehabilitation Services,"Inpatient Rehab Per Discharge: Amputation, lower extremity",CMG 1003-D,NA,NA,$24201.76,$29586.62,NA,$51203.04,NA,NA,NA,$51203.04,NA,$48642.88,$48642.88,$49154.92,NA,NA,$51203.04,$51203.04,NA,NA,NA,$51203.04,NA,NA,NA,NA,NA,NA,NA,NA,$51203.04,NA,$51203.04,$51203.04,NA,$51203.04,NA,NA,$58883.49,NA,NA,$51203.04,NA,$51203.04,NA,NA,NA,NA
Inpatient Rehabilitation Services,"Inpatient Rehab Per Discharge: Amputation, lower extremity",CMG 1004-A,NA,NA,$26344.70,$32206.36,NA,$55736.79,NA,NA,NA,$55736.79,NA,$52949.96,$52949.96,$53507.32,NA,NA,$55736.79,$55736.79,NA,NA,NA,$55736.79,NA,NA,NA,NA,NA,NA,NA,NA,$55736.79,NA,$55736.79,$55736.79,NA,$55736.79,NA,NA,$64097.31,NA,NA,$55736.79,NA,$55736.79,NA,NA,NA,NA
Inpatient Rehabilitation Services,"Inpatient Rehab Per Discharge: Amputation, lower extremity",CMG 1004-B,NA,NA,$37921.03,$46358.41,NA,$80228.53,NA,NA,NA,$80228.53,NA,$76217.10,$76217.10,$77019.39,NA,NA,$80228.53,$80228.53,NA,NA,NA,$80228.53,NA,NA,NA,NA,NA,NA,NA,NA,$80228.53,NA,$80228.53,$80228.53,NA,$80228.53,NA,NA,$92262.81,NA,NA,$80228.53,NA,$80228.53,NA,NA,NA,NA
Inpatient Rehabilitation Services,"Inpatient Rehab Per Discharge: Amputation, lower extremity",CMG 1004-C,NA,NA,$31784.59,$38856.62,NA,$67245.84,NA,NA,NA,$67245.84,NA,$63883.54,$63883.54,$64556.00,NA,NA,$67245.84,$67245.84,NA,NA,NA,$67245.84,NA,NA,NA,NA,NA,NA,NA,NA,$67245.84,NA,$67245.84,$67245.84,NA,$67245.84,NA,NA,$77332.71,NA,NA,$67245.84,NA,$67245.84,NA,NA,NA,NA
Inpatient Rehabilitation Services,"Inpatient Rehab Per Discharge: Amputation, lower extremity",CMG 1004-D,NA,NA,$28523.75,$34870.25,NA,$60346.96,NA,NA,NA,$60346.96,NA,$57329.61,$57329.61,$57933.08,NA,NA,$60346.96,$60346.96,NA,NA,NA,$60346.96,NA,NA,NA,NA,NA,NA,NA,NA,$60346.96,NA,$60346.96,$60346.96,NA,$60346.96,NA,NA,$69399.00,NA,NA,$60346.96,NA,$60346.96,NA,NA,NA,NA
Inpatient Rehabilitation Services,"Inpatient Rehab Per Discharge: Amputation, other",CMG 1101-A,NA,NA,$16871.75,$20625.70,NA,$35695.13,NA,NA,NA,$35695.13,NA,$33910.37,$33910.37,$34267.32,NA,NA,$35695.13,$35695.13,NA,NA,NA,$35695.13,NA,NA,NA,NA,NA,NA,NA,NA,$35695.13,NA,$35695.13,$35695.13,NA,$35695.13,NA,NA,$41049.40,NA,NA,$35695.13,NA,$35695.13,NA,NA,NA,NA
Inpatient Rehabilitation Services,"Inpatient Rehab Per Discharge: Amputation, other",CMG 1101-B,NA,NA,$22356.36,$27330.62,NA,$47298.77,NA,NA,NA,$47298.77,NA,$44933.83,$44933.83,$45406.82,NA,NA,$47298.77,$47298.77,NA,NA,NA,$47298.77,NA,NA,NA,NA,NA,NA,NA,NA,$47298.77,NA,$47298.77,$47298.77,NA,$47298.77,NA,NA,$54393.58,NA,NA,$47298.77,NA,$47298.77,NA,NA,NA,NA
Inpatient Rehabilitation Services,"Inpatient Rehab Per Discharge: Amputation, other",CMG 1101-C,NA,NA,$19921.05,$24353.46,NA,$42146.45,NA,NA,NA,$42146.45,NA,$40039.12,$40039.12,$40460.59,NA,NA,$42146.45,$42146.45,NA,NA,NA,$42146.45,NA,NA,NA,NA,NA,NA,NA,NA,$42146.45,NA,$42146.45,$42146.45,NA,$42146.45,NA,NA,$48468.42,NA,NA,$42146.45,NA,$42146.45,NA,NA,NA,NA
Inpatient Rehabilitation Services,"Inpatient Rehab Per Discharge: Amputation, other",CMG 1101-D,NA,NA,$17399.75,$21271.17,NA,$36812.19,NA,NA,NA,$36812.19,NA,$34971.58,$34971.58,$35339.70,NA,NA,$36812.19,$36812.19,NA,NA,NA,$36812.19,NA,NA,NA,NA,NA,NA,NA,NA,$36812.19,NA,$36812.19,$36812.19,NA,$36812.19,NA,NA,$42334.02,NA,NA,$36812.19,NA,$36812.19,NA,NA,NA,NA
Inpatient Rehabilitation Services,"Inpatient Rehab Per Discharge: Amputation, other",CMG 1102-A,NA,NA,$22542.11,$27557.70,NA,$47691.74,NA,NA,NA,$47691.74,NA,$45307.16,$45307.16,$45784.07,NA,NA,$47691.74,$47691.74,NA,NA,NA,$47691.74,NA,NA,NA,NA,NA,NA,NA,NA,$47691.74,NA,$47691.74,$47691.74,NA,$47691.74,NA,NA,$54845.51,NA,NA,$47691.74,NA,$47691.74,NA,NA,NA,NA
Inpatient Rehabilitation Services,"Inpatient Rehab Per Discharge: Amputation, other",CMG 1102-B,NA,NA,$29868.68,$36514.42,NA,$63192.38,NA,NA,NA,$63192.38,NA,$60032.77,$60032.77,$60664.68,NA,NA,$63192.38,$63192.38,NA,NA,NA,$63192.38,NA,NA,NA,NA,NA,NA,NA,NA,$63192.38,NA,$63192.38,$63192.38,NA,$63192.38,NA,NA,$72671.24,NA,NA,$63192.38,NA,$63192.38,NA,NA,NA,NA
Inpatient Rehabilitation Services,"Inpatient Rehab Per Discharge: Amputation, other",CMG 1102-C,NA,NA,$26616.44,$32538.56,NA,$56311.70,NA,NA,NA,$56311.70,NA,$53496.12,$53496.12,$54059.23,NA,NA,$56311.70,$56311.70,NA,NA,NA,$56311.70,NA,NA,NA,NA,NA,NA,NA,NA,$56311.70,NA,$56311.70,$56311.70,NA,$56311.70,NA,NA,$64758.46,NA,NA,$56311.70,NA,$56311.70,NA,NA,NA,NA
Inpatient Rehabilitation Services,"Inpatient Rehab Per Discharge: Amputation, other",CMG 1102-D,NA,NA,$23247.25,$28419.73,NA,$49183.59,NA,NA,NA,$49183.59,NA,$46724.42,$46724.42,$47216.24,NA,NA,$49183.59,$49183.59,NA,NA,NA,$49183.59,NA,NA,NA,NA,NA,NA,NA,NA,$49183.59,NA,$49183.59,$49183.59,NA,$49183.59,NA,NA,$56561.13,NA,NA,$49183.59,NA,$49183.59,NA,NA,NA,NA
Inpatient Rehabilitation Services,"Inpatient Rehab Per Discharge: Amputation, other",CMG 1103-A,NA,NA,$25329.99,$30965.88,NA,$53589.99,NA,NA,NA,$53589.99,NA,$50910.50,$50910.50,$51446.39,NA,NA,$53589.99,$53589.99,NA,NA,NA,$53589.99,NA,NA,NA,NA,NA,NA,NA,NA,$53589.99,NA,$53589.99,$53589.99,NA,$53589.99,NA,NA,$61628.50,NA,NA,$53589.99,NA,$53589.99,NA,NA,NA,NA
Inpatient Rehabilitation Services,"Inpatient Rehab Per Discharge: Amputation, other",CMG 1103-B,NA,NA,$33562.92,$41030.63,NA,$71008.20,NA,NA,NA,$71008.20,NA,$67457.79,$67457.79,$68167.86,NA,NA,$71008.20,$71008.20,NA,NA,NA,$71008.20,NA,NA,NA,NA,NA,NA,NA,NA,$71008.20,NA,$71008.20,$71008.20,NA,$71008.20,NA,NA,$81659.43,NA,NA,$71008.20,NA,$71008.20,NA,NA,NA,NA
Inpatient Rehabilitation Services,"Inpatient Rehab Per Discharge: Amputation, other",CMG 1103-C,NA,NA,$29908.23,$36562.78,NA,$63276.07,NA,NA,NA,$63276.07,NA,$60112.26,$60112.26,$60745.03,NA,NA,$63276.07,$63276.07,NA,NA,NA,$63276.07,NA,NA,NA,NA,NA,NA,NA,NA,$63276.07,NA,$63276.07,$63276.07,NA,$63276.07,NA,NA,$72767.48,NA,NA,$63276.07,NA,$63276.07,NA,NA,NA,NA
Inpatient Rehabilitation Services,"Inpatient Rehab Per Discharge: Amputation, other",CMG 1103-D,NA,NA,$26121.12,$31933.03,NA,$55263.77,NA,NA,NA,$55263.77,NA,$52500.58,$52500.58,$53053.22,NA,NA,$55263.77,$55263.77,NA,NA,NA,$55263.77,NA,NA,NA,NA,NA,NA,NA,NA,$55263.77,NA,$55263.77,$55263.77,NA,$55263.77,NA,NA,$63553.33,NA,NA,$55263.77,NA,$55263.77,NA,NA,NA,NA
Inpatient Rehabilitation Services,Inpatient Rehab Per Discharge: Osteoarthritis,CMG 1201-A,NA,NA,$14993.67,$18329.75,NA,$31721.72,NA,NA,NA,$31721.72,NA,$30135.63,$30135.63,$30452.85,NA,NA,$31721.72,$31721.72,NA,NA,NA,$31721.72,NA,NA,NA,NA,NA,NA,NA,NA,$31721.72,NA,$31721.72,$31721.72,NA,$31721.72,NA,NA,$36479.99,NA,NA,$31721.72,NA,$31721.72,NA,NA,NA,NA
Inpatient Rehabilitation Services,Inpatient Rehab Per Discharge: Osteoarthritis,CMG 1201-B,NA,NA,$24509.62,$29962.98,NA,$51854.36,NA,NA,NA,$51854.36,NA,$49261.64,$49261.64,$49780.18,NA,NA,$51854.36,$51854.36,NA,NA,NA,$51854.36,NA,NA,NA,NA,NA,NA,NA,NA,$51854.36,NA,$51854.36,$51854.36,NA,$51854.36,NA,NA,$59632.52,NA,NA,$51854.36,NA,$51854.36,NA,NA,NA,NA
Inpatient Rehabilitation Services,Inpatient Rehab Per Discharge: Osteoarthritis,CMG 1201-C,NA,NA,$16330.00,$19963.40,NA,$34548.95,NA,NA,NA,$34548.95,NA,$32821.51,$32821.51,$33166.99,NA,NA,$34548.95,$34548.95,NA,NA,NA,$34548.95,NA,NA,NA,NA,NA,NA,NA,NA,$34548.95,NA,$34548.95,$34548.95,NA,$34548.95,NA,NA,$39731.29,NA,NA,$34548.95,NA,$34548.95,NA,NA,NA,NA
Inpatient Rehabilitation Services,Inpatient Rehab Per Discharge: Osteoarthritis,CMG 1201-D,NA,NA,$16330.00,$19963.40,NA,$34548.95,NA,NA,NA,$34548.95,NA,$32821.51,$32821.51,$33166.99,NA,NA,$34548.95,$34548.95,NA,NA,NA,$34548.95,NA,NA,NA,NA,NA,NA,NA,NA,$34548.95,NA,$34548.95,$34548.95,NA,$34548.95,NA,NA,$39731.29,NA,NA,$34548.95,NA,$34548.95,NA,NA,NA,NA
Inpatient Rehabilitation Services,Inpatient Rehab Per Discharge: Osteoarthritis,CMG 1202-A,NA,NA,$18839.26,$23030.98,NA,$39857.74,NA,NA,NA,$39857.74,NA,$37864.85,$37864.85,$38263.43,NA,NA,$39857.74,$39857.74,NA,NA,NA,$39857.74,NA,NA,NA,NA,NA,NA,NA,NA,$39857.74,NA,$39857.74,$39857.74,NA,$39857.74,NA,NA,$45836.40,NA,NA,$39857.74,NA,$39857.74,NA,NA,NA,NA
Inpatient Rehabilitation Services,Inpatient Rehab Per Discharge: Osteoarthritis,CMG 1202-B,NA,NA,$30797.40,$37649.78,NA,$65157.25,NA,NA,NA,$65157.25,NA,$61899.39,$61899.39,$62550.96,NA,NA,$65157.25,$65157.25,NA,NA,NA,$65157.25,NA,NA,NA,NA,NA,NA,NA,NA,$65157.25,NA,$65157.25,$65157.25,NA,$65157.25,NA,NA,$74930.84,NA,NA,$65157.25,NA,$65157.25,NA,NA,NA,NA
Inpatient Rehabilitation Services,Inpatient Rehab Per Discharge: Osteoarthritis,CMG 1202-C,NA,NA,$20517.84,$25083.03,NA,$43409.06,NA,NA,NA,$43409.06,NA,$41238.61,$41238.61,$41672.70,NA,NA,$43409.06,$43409.06,NA,NA,NA,$43409.06,NA,NA,NA,NA,NA,NA,NA,NA,$43409.06,NA,$43409.06,$43409.06,NA,$43409.06,NA,NA,$49920.41,NA,NA,$43409.06,NA,$43409.06,NA,NA,NA,NA
Inpatient Rehabilitation Services,Inpatient Rehab Per Discharge: Osteoarthritis,CMG 1202-D,NA,NA,$20517.84,$25083.03,NA,$43409.06,NA,NA,NA,$43409.06,NA,$41238.61,$41238.61,$41672.70,NA,NA,$43409.06,$43409.06,NA,NA,NA,$43409.06,NA,NA,NA,NA,NA,NA,NA,NA,$43409.06,NA,$43409.06,$43409.06,NA,$43409.06,NA,NA,$49920.41,NA,NA,$43409.06,NA,$43409.06,NA,NA,NA,NA
Inpatient Rehabilitation Services,Inpatient Rehab Per Discharge: Osteoarthritis,CMG 1203-A,NA,NA,$21900.60,$26773.46,NA,$46334.53,NA,NA,NA,$46334.53,NA,$44017.80,$44017.80,$44481.15,NA,NA,$46334.53,$46334.53,NA,NA,NA,$46334.53,NA,NA,NA,NA,NA,NA,NA,NA,$46334.53,NA,$46334.53,$46334.53,NA,$46334.53,NA,NA,$53284.71,NA,NA,$46334.53,NA,$46334.53,NA,NA,NA,NA
Inpatient Rehabilitation Services,Inpatient Rehab Per Discharge: Osteoarthritis,CMG 1203-B,NA,NA,$35798.73,$43763.90,NA,$75738.43,NA,NA,NA,$75738.43,NA,$71951.52,$71951.52,$72708.90,NA,NA,$75738.43,$75738.43,NA,NA,NA,$75738.43,NA,NA,NA,NA,NA,NA,NA,NA,$75738.43,NA,$75738.43,$75738.43,NA,$75738.43,NA,NA,$87099.20,NA,NA,$75738.43,NA,$75738.43,NA,NA,NA,NA
Inpatient Rehabilitation Services,Inpatient Rehab Per Discharge: Osteoarthritis,CMG 1203-C,NA,NA,$23849.19,$29155.61,NA,$50457.11,NA,NA,NA,$50457.11,NA,$47934.26,$47934.26,$48438.84,NA,NA,$50457.11,$50457.11,NA,NA,NA,$50457.11,NA,NA,NA,NA,NA,NA,NA,NA,$50457.11,NA,$50457.11,$50457.11,NA,$50457.11,NA,NA,$58025.69,NA,NA,$50457.11,NA,$50457.11,NA,NA,NA,NA
Inpatient Rehabilitation Services,Inpatient Rehab Per Discharge: Osteoarthritis,CMG 1203-D,NA,NA,$23849.19,$29155.61,NA,$50457.11,NA,NA,NA,$50457.11,NA,$47934.26,$47934.26,$48438.84,NA,NA,$50457.11,$50457.11,NA,NA,NA,$50457.11,NA,NA,NA,NA,NA,NA,NA,NA,$50457.11,NA,$50457.11,$50457.11,NA,$50457.11,NA,NA,$58025.69,NA,NA,$50457.11,NA,$50457.11,NA,NA,NA,NA
Inpatient Rehabilitation Services,Inpatient Rehab Per Discharge: Osteoarthritis,CMG 1204-A,NA,NA,$23016.79,$28137.99,NA,$48696.02,NA,NA,NA,$48696.02,NA,$46261.22,$46261.22,$46748.17,NA,NA,$48696.02,$48696.02,NA,NA,NA,$48696.02,NA,NA,NA,NA,NA,NA,NA,NA,$48696.02,NA,$48696.02,$48696.02,NA,$48696.02,NA,NA,$56000.41,NA,NA,$48696.02,NA,$48696.02,NA,NA,NA,NA
Inpatient Rehabilitation Services,Inpatient Rehab Per Discharge: Osteoarthritis,CMG 1204-B,NA,NA,$37625.21,$45996.77,NA,$79602.68,NA,NA,NA,$79602.68,NA,$75622.54,$75622.54,$76418.58,NA,NA,$79602.68,$79602.68,NA,NA,NA,$79602.68,NA,NA,NA,NA,NA,NA,NA,NA,$79602.68,NA,$79602.68,$79602.68,NA,$79602.68,NA,NA,$91543.08,NA,NA,$79602.68,NA,$79602.68,NA,NA,NA,NA
Inpatient Rehabilitation Services,Inpatient Rehab Per Discharge: Osteoarthritis,CMG 1204-C,NA,NA,$25066.85,$30644.19,NA,$53033.28,NA,NA,NA,$53033.28,NA,$50381.62,$50381.62,$50911.95,NA,NA,$53033.28,$53033.28,NA,NA,NA,$53033.28,NA,NA,NA,NA,NA,NA,NA,NA,$53033.28,NA,$53033.28,$53033.28,NA,$53033.28,NA,NA,$60988.27,NA,NA,$53033.28,NA,$53033.28,NA,NA,NA,NA
Inpatient Rehabilitation Services,Inpatient Rehab Per Discharge: Osteoarthritis,CMG 1204-D,NA,NA,$25066.85,$30644.19,NA,$53033.28,NA,NA,NA,$53033.28,NA,$50381.62,$50381.62,$50911.95,NA,NA,$53033.28,$53033.28,NA,NA,NA,$53033.28,NA,NA,NA,NA,NA,NA,NA,NA,$53033.28,NA,$53033.28,$53033.28,NA,$53033.28,NA,NA,$60988.27,NA,NA,$53033.28,NA,$53033.28,NA,NA,NA,NA
Inpatient Rehabilitation Services,Inpatient Rehab Per Discharge: Rheumatoid and other arthritis,CMG 1301-A,NA,NA,$13495.68,$16498.45,NA,$28552.46,NA,NA,NA,$28552.46,NA,$27124.84,$27124.84,$27410.36,NA,NA,$28552.46,$28552.46,NA,NA,NA,$28552.46,NA,NA,NA,NA,NA,NA,NA,NA,$28552.46,NA,$28552.46,$28552.46,NA,$28552.46,NA,NA,$32835.33,NA,NA,$28552.46,NA,$28552.46,NA,NA,NA,NA
Inpatient Rehabilitation Services,Inpatient Rehab Per Discharge: Rheumatoid and other arthritis,CMG 1301-B,NA,NA,$19394.78,$23710.09,NA,$41033.02,NA,NA,NA,$41033.02,NA,$38981.38,$38981.38,$39391.70,NA,NA,$41033.02,$41033.02,NA,NA,NA,$41033.02,NA,NA,NA,NA,NA,NA,NA,NA,$41033.02,NA,$41033.02,$41033.02,NA,$41033.02,NA,NA,$47187.98,NA,NA,$41033.02,NA,$41033.02,NA,NA,NA,NA
Inpatient Rehabilitation Services,Inpatient Rehab Per Discharge: Rheumatoid and other arthritis,CMG 1301-C,NA,NA,$16013.55,$19576.54,NA,$33879.44,NA,NA,NA,$33879.44,NA,$32185.47,$32185.47,$32524.26,NA,NA,$33879.44,$33879.44,NA,NA,NA,$33879.44,NA,NA,NA,NA,NA,NA,NA,NA,$33879.44,NA,$33879.44,$33879.44,NA,$33879.44,NA,NA,$38961.36,NA,NA,$33879.44,NA,$33879.44,NA,NA,NA,NA
Inpatient Rehabilitation Services,Inpatient Rehab Per Discharge: Rheumatoid and other arthritis,CMG 1301-D,NA,NA,$15201.78,$18584.15,NA,$32162.00,NA,NA,NA,$32162.00,NA,$30553.90,$30553.90,$30875.52,NA,NA,$32162.00,$32162.00,NA,NA,NA,$32162.00,NA,NA,NA,NA,NA,NA,NA,NA,$32162.00,NA,$32162.00,$32162.00,NA,$32162.00,NA,NA,$36986.30,NA,NA,$32162.00,NA,$32162.00,NA,NA,NA,NA
Inpatient Rehabilitation Services,Inpatient Rehab Per Discharge: Rheumatoid and other arthritis,CMG 1302-A,NA,NA,$18466.06,$22574.73,NA,$39068.15,NA,NA,NA,$39068.15,NA,$37114.75,$37114.75,$37505.43,NA,NA,$39068.15,$39068.15,NA,NA,NA,$39068.15,NA,NA,NA,NA,NA,NA,NA,NA,$39068.15,NA,$39068.15,$39068.15,NA,$39068.15,NA,NA,$44928.38,NA,NA,$39068.15,NA,$39068.15,NA,NA,NA,NA
Inpatient Rehabilitation Services,Inpatient Rehab Per Discharge: Rheumatoid and other arthritis,CMG 1302-B,NA,NA,$26535.60,$32439.74,NA,$56140.68,NA,NA,NA,$56140.68,NA,$53333.65,$53333.65,$53895.06,NA,NA,$56140.68,$56140.68,NA,NA,NA,$56140.68,NA,NA,NA,NA,NA,NA,NA,NA,$56140.68,NA,$56140.68,$56140.68,NA,$56140.68,NA,NA,$64561.79,NA,NA,$56140.68,NA,$56140.68,NA,NA,NA,NA
Inpatient Rehabilitation Services,Inpatient Rehab Per Discharge: Rheumatoid and other arthritis,CMG 1302-C,NA,NA,$21910.92,$26786.07,NA,$46356.37,NA,NA,NA,$46356.37,NA,$44038.54,$44038.54,$44502.11,NA,NA,$46356.37,$46356.37,NA,NA,NA,$46356.37,NA,NA,NA,NA,NA,NA,NA,NA,$46356.37,NA,$46356.37,$46356.37,NA,$46356.37,NA,NA,$53309.82,NA,NA,$46356.37,NA,$46356.37,NA,NA,NA,NA
Inpatient Rehabilitation Services,Inpatient Rehab Per Discharge: Rheumatoid and other arthritis,CMG 1302-D,NA,NA,$20799.90,$25427.85,NA,$44005.80,NA,NA,NA,$44005.80,NA,$41805.51,$41805.51,$42245.56,NA,NA,$44005.80,$44005.80,NA,NA,NA,$44005.80,NA,NA,NA,NA,NA,NA,NA,NA,$44005.80,NA,$44005.80,$44005.80,NA,$44005.80,NA,NA,$50606.67,NA,NA,$44005.80,NA,$44005.80,NA,NA,NA,NA
Inpatient Rehabilitation Services,Inpatient Rehab Per Discharge: Rheumatoid and other arthritis,CMG 1303-A,NA,NA,$21286.61,$26022.86,NA,$45035.53,NA,NA,NA,$45035.53,NA,$42783.75,$42783.75,$43234.11,NA,NA,$45035.53,$45035.53,NA,NA,NA,$45035.53,NA,NA,NA,NA,NA,NA,NA,NA,$45035.53,NA,$45035.53,$45035.53,NA,$45035.53,NA,NA,$51790.87,NA,NA,$45035.53,NA,$45035.53,NA,NA,NA,NA
Inpatient Rehabilitation Services,Inpatient Rehab Per Discharge: Rheumatoid and other arthritis,CMG 1303-B,NA,NA,$30589.30,$37395.37,NA,$64716.98,NA,NA,NA,$64716.98,NA,$61481.13,$61481.13,$62128.30,NA,NA,$64716.98,$64716.98,NA,NA,NA,$64716.98,NA,NA,NA,NA,NA,NA,NA,NA,$64716.98,NA,$64716.98,$64716.98,NA,$64716.98,NA,NA,$74424.52,NA,NA,$64716.98,NA,$64716.98,NA,NA,NA,NA
Inpatient Rehabilitation Services,Inpatient Rehab Per Discharge: Rheumatoid and other arthritis,CMG 1303-C,NA,NA,$25257.75,$30877.57,NA,$53437.17,NA,NA,NA,$53437.17,NA,$50765.31,$50765.31,$51299.68,NA,NA,$53437.17,$53437.17,NA,NA,NA,$53437.17,NA,NA,NA,NA,NA,NA,NA,NA,$53437.17,NA,$53437.17,$53437.17,NA,$53437.17,NA,NA,$61452.74,NA,NA,$53437.17,NA,$53437.17,NA,NA,NA,NA
Inpatient Rehabilitation Services,Inpatient Rehab Per Discharge: Rheumatoid and other arthritis,CMG 1303-D,NA,NA,$23976.46,$29311.20,NA,$50726.38,NA,NA,NA,$50726.38,NA,$48190.06,$48190.06,$48697.33,NA,NA,$50726.38,$50726.38,NA,NA,NA,$50726.38,NA,NA,NA,NA,NA,NA,NA,NA,$50726.38,NA,$50726.38,$50726.38,NA,$50726.38,NA,NA,$58335.34,NA,NA,$50726.38,NA,$50726.38,NA,NA,NA,NA
