Encompass Health Rehabilitation Hospital of Dothan,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Prices Posted and Effective 1/1/2021,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Note: General file information and additional details can be found on the Price Transparency page of this hospital's website,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PATIENT_TYPE,SHOPPABLE_SERVICES,BILLING_REVENUE_SERVICE_CODE,GROSS_CHARGE,DISCOUNTED_CASH_PRICE,DEIDENTIFIED_MIN_NEGOTIATED_CHARGE,DEIDENTIFIED_MAX_NEGOTIATED_CHARGE,AETNA (AET) negotiated charge,AETNA MEDICARE (AETM) negotiated charge,ALAMED (ALMD) negotiated charge,BC FEP (BCFD) negotiated charge,BC/BS ALABAMA (BCAL) negotiated charge,BCBS AL BLUE ADVANTAGE (BCAD) negotiated charge,BCBS OF AL EXCHANGE (BALZ) negotiated charge,CAREWORKS (CRW) negotiated charge,CAREWORKS WORK COMP (CRWW) negotiated charge,CHAMPVA (CVA) negotiated charge,CIGNA (CIG) negotiated charge,HUMANA (HUM) negotiated charge,HUMANA MEDICARE (HUMM) negotiated charge,ONE CALL MEDICAL WC (OCLW) negotiated charge,PROVIDER NET OF AMERICA (PAM) negotiated charge,PYR/AMERICAN PROGRESSIVE (AMPM) negotiated charge,TRICARE (TRI) negotiated charge,UHC VA CCN (UHV) negotiated charge,UNITED HEALTHCARE (UHC) negotiated charge,UNITED HLTHCARE MEDICARE (UHCM) negotiated charge,VIVA HEALTH (VIH) negotiated charge,VIVA MEDICARE (VIVM) negotiated charge,ZELIAS NET SOLUTIONS WC (ZNSW) negotiated charge,ZELIAS NETWORK SOLUTIONS (ZNS) negotiated charge
Inpatient Rehabilitation Services,Inpatient Rehab Per Discharge: Major Mult. Trauma with brain or spinal cord inj.,CMG 1805-B,NA,NA,$33318.95,$40333.46,NA,NA,NA,NA,NA,$33318.95,NA,NA,NA,$35072.58,NA,NA,$35072.58,NA,$40333.46,$35072.58,$35072.58,$35072.58,NA,$33318.95,NA,NA,NA,NA
Inpatient Rehabilitation Services,Inpatient Rehab Per Discharge: Major Mult. Trauma with brain or spinal cord inj.,CMG 1805-C,NA,NA,$26429.23,$31993.28,NA,NA,NA,NA,NA,$26429.23,NA,NA,NA,$27820.24,NA,NA,$27820.24,NA,$31993.28,$27820.24,$27820.24,$27820.24,NA,$26429.23,NA,NA,NA,NA
Inpatient Rehabilitation Services,Inpatient Rehab Per Discharge: Major Mult. Trauma with brain or spinal cord inj.,CMG 1805-D,NA,NA,$23735.99,$28733.04,NA,NA,NA,NA,NA,$23735.99,NA,NA,NA,$24985.25,NA,NA,$24985.25,NA,$28733.04,$24985.25,$24985.25,$24985.25,NA,$23735.99,NA,NA,NA,NA
Inpatient Rehabilitation Services,Inpatient Rehab Per Discharge: Major Mult. Trauma with brain or spinal cord inj.,CMG 1806-A,NA,NA,$28357.65,$34327.68,NA,NA,NA,NA,NA,$28357.65,NA,NA,NA,$29850.16,NA,NA,$29850.16,NA,$34327.68,$29850.16,$29850.16,$29850.16,NA,$28357.65,NA,NA,NA,NA
Inpatient Rehabilitation Services,Inpatient Rehab Per Discharge: Major Mult. Trauma with brain or spinal cord inj.,CMG 1806-B,NA,NA,$42919.51,$51955.20,NA,NA,NA,NA,NA,$42919.51,NA,NA,NA,$45178.44,NA,NA,$45178.44,NA,$51955.20,$45178.44,$45178.44,$45178.44,NA,$42919.51,NA,NA,NA,NA
Inpatient Rehabilitation Services,Inpatient Rehab Per Discharge: Major Mult. Trauma with brain or spinal cord inj.,CMG 1806-C,NA,NA,$34043.52,$41210.57,NA,NA,NA,NA,NA,$34043.52,NA,NA,NA,$35835.28,NA,NA,$35835.28,NA,$41210.57,$35835.28,$35835.28,$35835.28,NA,$34043.52,NA,NA,NA,NA
Inpatient Rehabilitation Services,Inpatient Rehab Per Discharge: Major Mult. Trauma with brain or spinal cord inj.,CMG 1806-D,NA,NA,$30574.13,$37010.79,NA,NA,NA,NA,NA,$30574.13,NA,NA,NA,$32183.30,NA,NA,$32183.30,NA,$37010.79,$32183.30,$32183.30,$32183.30,NA,$30574.13,NA,NA,NA,NA
Inpatient Rehabilitation Services,Inpatient Rehab Per Discharge: Guillian-Barre,CMG 1901-A,NA,NA,$10991.84,$13305.92,NA,NA,NA,NA,NA,$10991.84,NA,NA,NA,$11570.36,NA,NA,$11570.36,NA,$13305.92,$11570.36,$11570.36,$11570.36,NA,$10991.84,NA,NA,NA,NA
Inpatient Rehabilitation Services,Inpatient Rehab Per Discharge: Guillian-Barre,CMG 1901-B,NA,NA,$15134.23,$18320.38,NA,NA,NA,NA,NA,$15134.23,NA,NA,NA,$15930.76,NA,NA,$15930.76,NA,$18320.38,$15930.76,$15930.76,$15930.76,NA,$15134.23,NA,NA,NA,NA
Inpatient Rehabilitation Services,Inpatient Rehab Per Discharge: Guillian-Barre,CMG 1901-C,NA,NA,$11769.25,$14246.98,NA,NA,NA,NA,NA,$11769.25,NA,NA,NA,$12388.68,NA,NA,$12388.68,NA,$14246.98,$12388.68,$12388.68,$12388.68,NA,$11769.25,NA,NA,NA,NA
Inpatient Rehabilitation Services,Inpatient Rehab Per Discharge: Guillian-Barre,CMG 1901-D,NA,NA,$11605.72,$14049.02,NA,NA,NA,NA,NA,$11605.72,NA,NA,NA,$12216.54,NA,NA,$12216.54,NA,$14049.02,$12216.54,$12216.54,$12216.54,NA,$11605.72,NA,NA,NA,NA
Inpatient Rehabilitation Services,Inpatient Rehab Per Discharge: Guillian-Barre,CMG 1902-A,NA,NA,$14883.90,$18017.35,NA,NA,NA,NA,NA,$14883.90,NA,NA,NA,$15667.26,NA,NA,$15667.26,NA,$18017.35,$15667.26,$15667.26,$15667.26,NA,$14883.90,NA,NA,NA,NA
Inpatient Rehabilitation Services,Inpatient Rehab Per Discharge: Guillian-Barre,CMG 1902-B,NA,NA,$20494.29,$24808.88,NA,NA,NA,NA,NA,$20494.29,NA,NA,NA,$21572.94,NA,NA,$21572.94,NA,$24808.88,$21572.94,$21572.94,$21572.94,NA,$20494.29,NA,NA,NA,NA
Inpatient Rehabilitation Services,Inpatient Rehab Per Discharge: Guillian-Barre,CMG 1902-C,NA,NA,$15938.05,$19293.43,NA,NA,NA,NA,NA,$15938.05,NA,NA,NA,$16776.89,NA,NA,$16776.89,NA,$19293.43,$16776.89,$16776.89,$16776.89,NA,$15938.05,NA,NA,NA,NA
Inpatient Rehabilitation Services,Inpatient Rehab Per Discharge: Guillian-Barre,CMG 1902-D,NA,NA,$15715.39,$19023.90,NA,NA,NA,NA,NA,$15715.39,NA,NA,NA,$16542.52,NA,NA,$16542.52,NA,$19023.90,$16542.52,$16542.52,$16542.52,NA,$15715.39,NA,NA,NA,NA
Inpatient Rehabilitation Services,Inpatient Rehab Per Discharge: Guillian-Barre,CMG 1903-A,NA,NA,$23697.00,$28685.84,NA,NA,NA,NA,NA,$23697.00,NA,NA,NA,$24944.21,NA,NA,$24944.21,NA,$28685.84,$24944.21,$24944.21,$24944.21,NA,$23697.00,NA,NA,NA,NA
Inpatient Rehabilitation Services,Inpatient Rehab Per Discharge: Guillian-Barre,CMG 1903-B,NA,NA,$32629.60,$39498.99,NA,NA,NA,NA,NA,$32629.60,NA,NA,NA,$34346.95,NA,NA,$34346.95,NA,$39498.99,$34346.95,$34346.95,$34346.95,NA,$32629.60,NA,NA,NA,NA
Inpatient Rehabilitation Services,Inpatient Rehab Per Discharge: Guillian-Barre,CMG 1903-C,NA,NA,$25375.08,$30717.20,NA,NA,NA,NA,NA,$25375.08,NA,NA,NA,$26710.61,NA,NA,$26710.61,NA,$30717.20,$26710.61,$26710.61,$26710.61,NA,$25375.08,NA,NA,NA,NA
Inpatient Rehabilitation Services,Inpatient Rehab Per Discharge: Guillian-Barre,CMG 1903-D,NA,NA,$25020.34,$30287.78,NA,NA,NA,NA,NA,$25020.34,NA,NA,NA,$26337.20,NA,NA,$26337.20,NA,$30287.78,$26337.20,$26337.20,$26337.20,NA,$25020.34,NA,NA,NA,NA
Inpatient Rehabilitation Services,Inpatient Rehab Per Discharge: Guillian-Barre,CMG 1904-A,NA,NA,$34888.85,$42233.87,NA,NA,NA,NA,NA,$34888.85,NA,NA,NA,$36725.11,NA,NA,$36725.11,NA,$42233.87,$36725.11,$36725.11,$36725.11,NA,$34888.85,NA,NA,NA,NA
Inpatient Rehabilitation Services,Inpatient Rehab Per Discharge: Guillian-Barre,CMG 1904-B,NA,NA,$48039.31,$58152.85,NA,NA,NA,NA,NA,$48039.31,NA,NA,NA,$50567.70,NA,NA,$50567.70,NA,$58152.85,$50567.70,$50567.70,$50567.70,NA,$48039.31,NA,NA,NA,NA
Inpatient Rehabilitation Services,Inpatient Rehab Per Discharge: Guillian-Barre,CMG 1904-C,NA,NA,$37359.44,$45224.58,NA,NA,NA,NA,NA,$37359.44,NA,NA,NA,$39325.72,NA,NA,$39325.72,NA,$45224.58,$39325.72,$39325.72,$39325.72,NA,$37359.44,NA,NA,NA,NA
Inpatient Rehabilitation Services,Inpatient Rehab Per Discharge: Guillian-Barre,CMG 1904-D,NA,NA,$36837.39,$44592.63,NA,NA,NA,NA,NA,$36837.39,NA,NA,NA,$38776.20,NA,NA,$38776.20,NA,$44592.63,$38776.20,$38776.20,$38776.20,NA,$36837.39,NA,NA,NA,NA
Inpatient Rehabilitation Services,Inpatient Rehab Per Discharge: Other disabling impairments,CMG 2001-A,NA,NA,$10418.22,$12611.54,NA,NA,NA,NA,NA,$10418.22,NA,NA,NA,$10966.55,NA,NA,$10966.55,NA,$12611.54,$10966.55,$10966.55,$10966.55,NA,$10418.22,NA,NA,NA,NA
Inpatient Rehabilitation Services,Inpatient Rehab Per Discharge: Other disabling impairments,CMG 2001-B,NA,NA,$15243.67,$18452.86,NA,NA,NA,NA,NA,$15243.67,NA,NA,NA,$16045.96,NA,NA,$16045.96,NA,$18452.86,$16045.96,$16045.96,$16045.96,NA,$15243.67,NA,NA,NA,NA
Inpatient Rehabilitation Services,Inpatient Rehab Per Discharge: Other disabling impairments,CMG 2001-C,NA,NA,$12369.28,$14973.34,NA,NA,NA,NA,NA,$12369.28,NA,NA,NA,$13020.30,NA,NA,$13020.30,NA,$14973.34,$13020.30,$13020.30,$13020.30,NA,$12369.28,NA,NA,NA,NA
Inpatient Rehabilitation Services,Inpatient Rehab Per Discharge: Other disabling impairments,CMG 2001-D,NA,NA,$11327.71,$13712.49,NA,NA,NA,NA,NA,$11327.71,NA,NA,NA,$11923.91,NA,NA,$11923.91,NA,$13712.49,$11923.91,$11923.91,$11923.91,NA,$11327.71,NA,NA,NA,NA
Inpatient Rehabilitation Services,Inpatient Rehab Per Discharge: Other disabling impairments,CMG 2002-A,NA,NA,$12808.30,$15504.79,NA,NA,NA,NA,NA,$12808.30,NA,NA,NA,$13482.42,NA,NA,$13482.42,NA,$15504.79,$13482.42,$13482.42,$13482.42,NA,$12808.30,NA,NA,NA,NA
Inpatient Rehabilitation Services,Inpatient Rehab Per Discharge: Other disabling impairments,CMG 2002-B,NA,NA,$18741.99,$22687.67,NA,NA,NA,NA,NA,$18741.99,NA,NA,NA,$19728.41,NA,NA,$19728.41,NA,$22687.67,$19728.41,$19728.41,$19728.41,NA,$18741.99,NA,NA,NA,NA
Inpatient Rehabilitation Services,Inpatient Rehab Per Discharge: Other disabling impairments,CMG 2002-C,NA,NA,$15208.44,$18410.22,NA,NA,NA,NA,NA,$15208.44,NA,NA,NA,$16008.89,NA,NA,$16008.89,NA,$18410.22,$16008.89,$16008.89,$16008.89,NA,$15208.44,NA,NA,NA,NA
Inpatient Rehabilitation Services,Inpatient Rehab Per Discharge: Other disabling impairments,CMG 2002-D,NA,NA,$13927.87,$16860.05,NA,NA,NA,NA,NA,$13927.87,NA,NA,NA,$14660.91,NA,NA,$14660.91,NA,$16860.05,$14660.91,$14660.91,$14660.91,NA,$13927.87,NA,NA,NA,NA
Inpatient Rehabilitation Services,Inpatient Rehab Per Discharge: Other disabling impairments,CMG 2003-A,NA,NA,$15160.64,$18352.36,NA,NA,NA,NA,NA,$15160.64,NA,NA,NA,$15958.57,NA,NA,$15958.57,NA,$18352.36,$15958.57,$15958.57,$15958.57,NA,$15160.64,NA,NA,NA,NA
Inpatient Rehabilitation Services,Inpatient Rehab Per Discharge: Other disabling impairments,CMG 2003-B,NA,NA,$22182.44,$26852.43,NA,NA,NA,NA,NA,$22182.44,NA,NA,NA,$23349.94,NA,NA,$23349.94,NA,$26852.43,$23349.94,$23349.94,$23349.94,NA,$22182.44,NA,NA,NA,NA
Inpatient Rehabilitation Services,Inpatient Rehab Per Discharge: Other disabling impairments,CMG 2003-C,NA,NA,$17999.80,$21789.24,NA,NA,NA,NA,NA,$17999.80,NA,NA,NA,$18947.16,NA,NA,$18947.16,NA,$21789.24,$18947.16,$18947.16,$18947.16,NA,$17999.80,NA,NA,NA,NA
Inpatient Rehabilitation Services,Inpatient Rehab Per Discharge: Other disabling impairments,CMG 2003-D,NA,NA,$16485.25,$19955.83,NA,NA,NA,NA,NA,$16485.25,NA,NA,NA,$17352.89,NA,NA,$17352.89,NA,$19955.83,$17352.89,$17352.89,$17352.89,NA,$16485.25,NA,NA,NA,NA
Inpatient Rehabilitation Services,Inpatient Rehab Per Discharge: Other disabling impairments,CMG 2004-A,NA,NA,$17062.64,$20654.78,NA,NA,NA,NA,NA,$17062.64,NA,NA,NA,$17960.68,NA,NA,$17960.68,NA,$20654.78,$17960.68,$17960.68,$17960.68,NA,$17062.64,NA,NA,NA,NA
Inpatient Rehabilitation Services,Inpatient Rehab Per Discharge: Other disabling impairments,CMG 2004-B,NA,NA,$24966.25,$30222.31,NA,NA,NA,NA,NA,$24966.25,NA,NA,NA,$26280.27,NA,NA,$26280.27,NA,$30222.31,$26280.27,$26280.27,$26280.27,NA,$24966.25,NA,NA,NA,NA
Inpatient Rehabilitation Services,Inpatient Rehab Per Discharge: Other disabling impairments,CMG 2004-C,NA,NA,$20257.80,$24522.60,NA,NA,NA,NA,NA,$20257.80,NA,NA,NA,$21324.00,NA,NA,$21324.00,NA,$24522.60,$21324.00,$21324.00,$21324.00,NA,$20257.80,NA,NA,NA,NA
Inpatient Rehabilitation Services,Inpatient Rehab Per Discharge: Other disabling impairments,CMG 2004-D,NA,NA,$18553.30,$22459.25,NA,NA,NA,NA,NA,$18553.30,NA,NA,NA,$19529.79,NA,NA,$19529.79,NA,$22459.25,$19529.79,$19529.79,$19529.79,NA,$18553.30,NA,NA,NA,NA
Inpatient Rehabilitation Services,Inpatient Rehab Per Discharge: Other disabling impairments,CMG 2005-A,NA,NA,$18344.48,$22206.47,NA,NA,NA,NA,NA,$18344.48,NA,NA,NA,$19309.98,NA,NA,$19309.98,NA,$22206.47,$19309.98,$19309.98,$19309.98,NA,$18344.48,NA,NA,NA,NA
Inpatient Rehabilitation Services,Inpatient Rehab Per Discharge: Other disabling impairments,CMG 2005-B,NA,NA,$26841.84,$32492.75,NA,NA,NA,NA,NA,$26841.84,NA,NA,NA,$28254.56,NA,NA,$28254.56,NA,$32492.75,$28254.56,$28254.56,$28254.56,NA,$26841.84,NA,NA,NA,NA
Inpatient Rehabilitation Services,Inpatient Rehab Per Discharge: Other disabling impairments,CMG 2005-C,NA,NA,$21781.16,$26366.67,NA,NA,NA,NA,NA,$21781.16,NA,NA,NA,$22927.54,NA,NA,$22927.54,NA,$26366.67,$22927.54,$22927.54,$22927.54,NA,$21781.16,NA,NA,NA,NA
Inpatient Rehabilitation Services,Inpatient Rehab Per Discharge: Other disabling impairments,CMG 2005-D,NA,NA,$19948.35,$24148.00,NA,NA,NA,NA,NA,$19948.35,NA,NA,NA,$20998.26,NA,NA,$20998.26,NA,$24148.00,$20998.26,$20998.26,$20998.26,NA,$19948.35,NA,NA,NA,NA
Inpatient Rehabilitation Services,Inpatient Rehab Per Discharge: Burns,CMG 2101-A,NA,NA,$14179.45,$17164.60,NA,NA,NA,NA,NA,$14179.45,NA,NA,NA,$14925.74,NA,NA,$14925.74,NA,$17164.60,$14925.74,$14925.74,$14925.74,NA,$14179.45,NA,NA,NA,NA
Inpatient Rehabilitation Services,Inpatient Rehab Per Discharge: Burns,CMG 2101-B,NA,NA,$22684.36,$27460.01,NA,NA,NA,NA,NA,$22684.36,NA,NA,NA,$23878.27,NA,NA,$23878.27,NA,$27460.01,$23878.27,$23878.27,$23878.27,NA,$22684.36,NA,NA,NA,NA
Inpatient Rehabilitation Services,Inpatient Rehab Per Discharge: Burns,CMG 2101-C,NA,NA,$17247.56,$20878.62,NA,NA,NA,NA,NA,$17247.56,NA,NA,NA,$18155.32,NA,NA,$18155.32,NA,$20878.62,$18155.32,$18155.32,$18155.32,NA,$17247.56,NA,NA,NA,NA
Inpatient Rehabilitation Services,Inpatient Rehab Per Discharge: Burns,CMG 2101-D,NA,NA,$14179.45,$17164.60,NA,NA,NA,NA,NA,$14179.45,NA,NA,NA,$14925.74,NA,NA,$14925.74,NA,$17164.60,$14925.74,$14925.74,$14925.74,NA,$14179.45,NA,NA,NA,NA
Inpatient Rehabilitation Services,Inpatient Rehab Per Discharge: Burns,CMG 2102-A,NA,NA,$18914.32,$22896.29,NA,NA,NA,NA,NA,$18914.32,NA,NA,NA,$19909.81,NA,NA,$19909.81,NA,$22896.29,$19909.81,$19909.81,$19909.81,NA,$18914.32,NA,NA,NA,NA
Inpatient Rehabilitation Services,Inpatient Rehab Per Discharge: Burns,CMG 2102-B,NA,NA,$30259.65,$36630.10,NA,NA,NA,NA,NA,$30259.65,NA,NA,NA,$31852.26,NA,NA,$31852.26,NA,$36630.10,$31852.26,$31852.26,$31852.26,NA,$30259.65,NA,NA,NA,NA
Inpatient Rehabilitation Services,Inpatient Rehab Per Discharge: Burns,CMG 2102-C,NA,NA,$23006.39,$27849.84,NA,NA,NA,NA,NA,$23006.39,NA,NA,NA,$24217.25,NA,NA,$24217.25,NA,$27849.84,$24217.25,$24217.25,$24217.25,NA,$23006.39,NA,NA,NA,NA
Inpatient Rehabilitation Services,Inpatient Rehab Per Discharge: Burns,CMG 2102-D,NA,NA,$18914.32,$22896.29,NA,NA,NA,NA,NA,$18914.32,NA,NA,NA,$19909.81,NA,NA,$19909.81,NA,$22896.29,$19909.81,$19909.81,$19909.81,NA,$18914.32,NA,NA,NA,NA
