Encompass Health Rehabilitation Hospital of Gadsden,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Prices Posted and Effective 1/1/2021,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Note: General file information and additional details can be found on the Price Transparency page of this hospital's website,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PATIENT_TYPE,SHOPPABLE_SERVICES,BILLING_REVENUE_SERVICE_CODE,GROSS_CHARGE,DISCOUNTED_CASH_PRICE,DEIDENTIFIED_MIN_NEGOTIATED_CHARGE,DEIDENTIFIED_MAX_NEGOTIATED_CHARGE,AETNA (AET) negotiated charge,AETNA MEDICARE (AETM) negotiated charge,ALAMED (ALMD) negotiated charge,BC FEP (BCFD) negotiated charge,BC/BS ALABAMA (BCAL) negotiated charge,BCBS AL MEDICARE ADVANTAG (BCAD) negotiated charge,BCBS OF AL EXCHANGE (BALZ) negotiated charge,CAREWORKS (CRW) negotiated charge,CAREWORKS WORK COMP (CRWW) negotiated charge,CHAMPVA (CVA) negotiated charge,CIGNA (CIG) negotiated charge,HEALTHSPRING MEDICARE (HLSM) negotiated charge,HUMANA (HUM) negotiated charge,HUMANA MEDICARE (HUMM) negotiated charge,PRIVATE HEALTHCARE SYSTEM (PHST) negotiated charge,PROVIDER NET OF AMERICA (PAM) negotiated charge,PYR/AMERICAN PROGRESSIVE (AMPM) negotiated charge,TRICARE (TRI) negotiated charge,UHC VA CCN (UHV) negotiated charge,UNITED HEALTHCARE (UHC) negotiated charge,UNITED HLTHCARE MEDICARE (UHCM) negotiated charge,VIVA HEALTH (VIH) negotiated charge,VIVA MEDICARE (VIVM) negotiated charge,ZELIAS NET SOLUTIONS WC (ZNSW) negotiated charge,ZELIAS NETWORK SOLUTIONS (ZNS) negotiated charge
Inpatient Rehabilitation Services,Inpatient Rehab Per Discharge: Major Mult. Trauma with brain or spinal cord inj.,CMG 1801-D,NA,NA,$10906.30,$13202.36,NA,NA,NA,NA,NA,$11135.91,NA,NA,NA,$11480.31,NA,$11480.31,NA,$11480.31,NA,$13202.36,$11480.31,$11480.31,$11480.31,NA,$10906.30,NA,NA,NA,NA
Inpatient Rehabilitation Services,Inpatient Rehab Per Discharge: Major Mult. Trauma with brain or spinal cord inj.,CMG 1802-A,NA,NA,$12882.29,$15594.35,NA,NA,NA,NA,NA,$13153.50,NA,NA,NA,$13560.31,NA,$13560.31,NA,$13560.31,NA,$15594.35,$13560.31,$13560.31,$13560.31,NA,$12882.29,NA,NA,NA,NA
Inpatient Rehabilitation Services,Inpatient Rehab Per Discharge: Major Mult. Trauma with brain or spinal cord inj.,CMG 1802-B,NA,NA,$19496.56,$23601.09,NA,NA,NA,NA,NA,$19907.01,NA,NA,NA,$20522.69,NA,$20522.69,NA,$20522.69,NA,$23601.09,$20522.69,$20522.69,$20522.69,NA,$19496.56,NA,NA,NA,NA
Inpatient Rehabilitation Services,Inpatient Rehab Per Discharge: Major Mult. Trauma with brain or spinal cord inj.,CMG 1802-C,NA,NA,$15464.19,$18719.81,NA,NA,NA,NA,NA,$15789.75,NA,NA,NA,$16278.10,NA,$16278.10,NA,$16278.10,NA,$18719.81,$16278.10,$16278.10,$16278.10,NA,$15464.19,NA,NA,NA,NA
Inpatient Rehabilitation Services,Inpatient Rehab Per Discharge: Major Mult. Trauma with brain or spinal cord inj.,CMG 1802-D,NA,NA,$13888.84,$16812.80,NA,NA,NA,NA,NA,$14181.23,NA,NA,NA,$14619.83,NA,$14619.83,NA,$14619.83,NA,$16812.80,$14619.83,$14619.83,$14619.83,NA,$13888.84,NA,NA,NA,NA
Inpatient Rehabilitation Services,Inpatient Rehab Per Discharge: Major Mult. Trauma with brain or spinal cord inj.,CMG 1803-A,NA,NA,$15805.48,$19132.95,NA,NA,NA,NA,NA,$16138.22,NA,NA,NA,$16637.35,NA,$16637.35,NA,$16637.35,NA,$19132.95,$16637.35,$16637.35,$16637.35,NA,$15805.48,NA,NA,NA,NA
Inpatient Rehabilitation Services,Inpatient Rehab Per Discharge: Major Mult. Trauma with brain or spinal cord inj.,CMG 1803-B,NA,NA,$23920.90,$28956.88,NA,NA,NA,NA,NA,$24424.50,NA,NA,NA,$25179.90,NA,$25179.90,NA,$25179.90,NA,$28956.88,$25179.90,$25179.90,$25179.90,NA,$23920.90,NA,NA,NA,NA
Inpatient Rehabilitation Services,Inpatient Rehab Per Discharge: Major Mult. Trauma with brain or spinal cord inj.,CMG 1803-C,NA,NA,$18973.50,$22967.92,NA,NA,NA,NA,NA,$19372.94,NA,NA,NA,$19972.10,NA,$19972.10,NA,$19972.10,NA,$22967.92,$19972.10,$19972.10,$19972.10,NA,$18973.50,NA,NA,NA,NA
Inpatient Rehabilitation Services,Inpatient Rehab Per Discharge: Major Mult. Trauma with brain or spinal cord inj.,CMG 1803-D,NA,NA,$17040.78,$20628.32,NA,NA,NA,NA,NA,$17399.54,NA,NA,NA,$17937.67,NA,$17937.67,NA,$17937.67,NA,$20628.32,$17937.67,$17937.67,$17937.67,NA,$17040.78,NA,NA,NA,NA
Inpatient Rehabilitation Services,Inpatient Rehab Per Discharge: Major Mult. Trauma with brain or spinal cord inj.,CMG 1804-A,NA,NA,$18123.99,$21939.57,NA,NA,NA,NA,NA,$18505.55,NA,NA,NA,$19077.89,NA,$19077.89,NA,$19077.89,NA,$21939.57,$19077.89,$19077.89,$19077.89,NA,$18123.99,NA,NA,NA,NA
Inpatient Rehabilitation Services,Inpatient Rehab Per Discharge: Major Mult. Trauma with brain or spinal cord inj.,CMG 1804-B,NA,NA,$27430.21,$33204.99,NA,NA,NA,NA,NA,$28007.69,NA,NA,NA,$28873.90,NA,$28873.90,NA,$28873.90,NA,$33204.99,$28873.90,$28873.90,$28873.90,NA,$27430.21,NA,NA,NA,NA
Inpatient Rehabilitation Services,Inpatient Rehab Per Discharge: Major Mult. Trauma with brain or spinal cord inj.,CMG 1804-C,NA,NA,$21758.19,$26338.86,NA,NA,NA,NA,NA,$22216.26,NA,NA,NA,$22903.36,NA,$22903.36,NA,$22903.36,NA,$26338.86,$22903.36,$22903.36,$22903.36,NA,$21758.19,NA,NA,NA,NA
Inpatient Rehabilitation Services,Inpatient Rehab Per Discharge: Major Mult. Trauma with brain or spinal cord inj.,CMG 1804-D,NA,NA,$19541.07,$23654.98,NA,NA,NA,NA,NA,$19952.46,NA,NA,NA,$20569.55,NA,$20569.55,NA,$20569.55,NA,$23654.98,$20569.55,$20569.55,$20569.55,NA,$19541.07,NA,NA,NA,NA
Inpatient Rehabilitation Services,Inpatient Rehab Per Discharge: Major Mult. Trauma with brain or spinal cord inj.,CMG 1805-A,NA,NA,$21640.72,$26196.66,NA,NA,NA,NA,NA,$22096.31,NA,NA,NA,$22779.70,NA,$22779.70,NA,$22779.70,NA,$26196.66,$22779.70,$22779.70,$22779.70,NA,$21640.72,NA,NA,NA,NA
Inpatient Rehabilitation Services,Inpatient Rehab Per Discharge: Major Mult. Trauma with brain or spinal cord inj.,CMG 1805-B,NA,NA,$32752.28,$39647.50,NA,NA,NA,NA,NA,$33441.81,NA,NA,NA,$34476.09,NA,$34476.09,NA,$34476.09,NA,$39647.50,$34476.09,$34476.09,$34476.09,NA,$32752.28,NA,NA,NA,NA
Inpatient Rehabilitation Services,Inpatient Rehab Per Discharge: Major Mult. Trauma with brain or spinal cord inj.,CMG 1805-C,NA,NA,$25979.74,$31449.16,NA,NA,NA,NA,NA,$26526.69,NA,NA,NA,$27347.10,NA,$27347.10,NA,$27347.10,NA,$31449.16,$27347.10,$27347.10,$27347.10,NA,$25979.74,NA,NA,NA,NA
Inpatient Rehabilitation Services,Inpatient Rehab Per Discharge: Major Mult. Trauma with brain or spinal cord inj.,CMG 1805-D,NA,NA,$23332.31,$28244.37,NA,NA,NA,NA,NA,$23823.51,NA,NA,NA,$24560.32,NA,$24560.32,NA,$24560.32,NA,$28244.37,$24560.32,$24560.32,$24560.32,NA,$23332.31,NA,NA,NA,NA
Inpatient Rehabilitation Services,Inpatient Rehab Per Discharge: Major Mult. Trauma with brain or spinal cord inj.,CMG 1806-A,NA,NA,$27875.36,$33743.86,NA,NA,NA,NA,NA,$28462.21,NA,NA,NA,$29342.49,NA,$29342.49,NA,$29342.49,NA,$33743.86,$29342.49,$29342.49,$29342.49,NA,$27875.36,NA,NA,NA,NA
Inpatient Rehabilitation Services,Inpatient Rehab Per Discharge: Major Mult. Trauma with brain or spinal cord inj.,CMG 1806-B,NA,NA,$42189.57,$51071.59,NA,NA,NA,NA,NA,$43077.77,NA,NA,NA,$44410.08,NA,$44410.08,NA,$44410.08,NA,$51071.59,$44410.08,$44410.08,$44410.08,NA,$42189.57,NA,NA,NA,NA
Inpatient Rehabilitation Services,Inpatient Rehab Per Discharge: Major Mult. Trauma with brain or spinal cord inj.,CMG 1806-C,NA,NA,$33464.53,$40509.70,NA,NA,NA,NA,NA,$34169.05,NA,NA,NA,$35225.82,NA,$35225.82,NA,$35225.82,NA,$40509.70,$35225.82,$35225.82,$35225.82,NA,$33464.53,NA,NA,NA,NA
Inpatient Rehabilitation Services,Inpatient Rehab Per Discharge: Major Mult. Trauma with brain or spinal cord inj.,CMG 1806-D,NA,NA,$30054.15,$36381.34,NA,NA,NA,NA,NA,$30686.87,NA,NA,NA,$31635.95,NA,$31635.95,NA,$31635.95,NA,$36381.34,$31635.95,$31635.95,$31635.95,NA,$30054.15,NA,NA,NA,NA
Inpatient Rehabilitation Services,Inpatient Rehab Per Discharge: Guillian-Barre,CMG 1901-A,NA,NA,$10804.90,$13079.62,NA,NA,NA,NA,NA,$11032.37,NA,NA,NA,$11373.58,NA,$11373.58,NA,$11373.58,NA,$13079.62,$11373.58,$11373.58,$11373.58,NA,$10804.90,NA,NA,NA,NA
Inpatient Rehabilitation Services,Inpatient Rehab Per Discharge: Guillian-Barre,CMG 1901-B,NA,NA,$14876.83,$18008.80,NA,NA,NA,NA,NA,$15190.03,NA,NA,NA,$15659.83,NA,$15659.83,NA,$15659.83,NA,$18008.80,$15659.83,$15659.83,$15659.83,NA,$14876.83,NA,NA,NA,NA
Inpatient Rehabilitation Services,Inpatient Rehab Per Discharge: Guillian-Barre,CMG 1901-C,NA,NA,$11569.09,$14004.68,NA,NA,NA,NA,NA,$11812.65,NA,NA,NA,$12177.98,NA,$12177.98,NA,$12177.98,NA,$14004.68,$12177.98,$12177.98,$12177.98,NA,$11569.09,NA,NA,NA,NA
Inpatient Rehabilitation Services,Inpatient Rehab Per Discharge: Guillian-Barre,CMG 1901-D,NA,NA,$11408.34,$13810.09,NA,NA,NA,NA,NA,$11648.51,NA,NA,NA,$12008.77,NA,$12008.77,NA,$12008.77,NA,$13810.09,$12008.77,$12008.77,$12008.77,NA,$11408.34,NA,NA,NA,NA
Inpatient Rehabilitation Services,Inpatient Rehab Per Discharge: Guillian-Barre,CMG 1902-A,NA,NA,$14630.76,$17710.92,NA,NA,NA,NA,NA,$14938.78,NA,NA,NA,$15400.80,NA,$15400.80,NA,$15400.80,NA,$17710.92,$15400.80,$15400.80,$15400.80,NA,$14630.76,NA,NA,NA,NA
Inpatient Rehabilitation Services,Inpatient Rehab Per Discharge: Guillian-Barre,CMG 1902-B,NA,NA,$20145.74,$24386.95,NA,NA,NA,NA,NA,$20569.86,NA,NA,NA,$21206.04,NA,$21206.04,NA,$21206.04,NA,$24386.95,$21206.04,$21206.04,$21206.04,NA,$20145.74,NA,NA,NA,NA
Inpatient Rehabilitation Services,Inpatient Rehab Per Discharge: Guillian-Barre,CMG 1902-C,NA,NA,$15666.99,$18965.30,NA,NA,NA,NA,NA,$15996.82,NA,NA,NA,$16491.56,NA,$16491.56,NA,$16491.56,NA,$18965.30,$16491.56,$16491.56,$16491.56,NA,$15666.99,NA,NA,NA,NA
Inpatient Rehabilitation Services,Inpatient Rehab Per Discharge: Guillian-Barre,CMG 1902-D,NA,NA,$15448.12,$18700.35,NA,NA,NA,NA,NA,$15773.34,NA,NA,NA,$16261.18,NA,$16261.18,NA,$16261.18,NA,$18700.35,$16261.18,$16261.18,$16261.18,NA,$15448.12,NA,NA,NA,NA
Inpatient Rehabilitation Services,Inpatient Rehab Per Discharge: Guillian-Barre,CMG 1903-A,NA,NA,$23293.98,$28197.97,NA,NA,NA,NA,NA,$23784.37,NA,NA,NA,$24519.97,NA,$24519.97,NA,$24519.97,NA,$28197.97,$24519.97,$24519.97,$24519.97,NA,$23293.98,NA,NA,NA,NA
Inpatient Rehabilitation Services,Inpatient Rehab Per Discharge: Guillian-Barre,CMG 1903-B,NA,NA,$32074.66,$38827.22,NA,NA,NA,NA,NA,$32749.92,NA,NA,NA,$33762.80,NA,$33762.80,NA,$33762.80,NA,$38827.22,$33762.80,$33762.80,$33762.80,NA,$32074.66,NA,NA,NA,NA
Inpatient Rehabilitation Services,Inpatient Rehab Per Discharge: Guillian-Barre,CMG 1903-C,NA,NA,$24943.52,$30194.79,NA,NA,NA,NA,NA,$25468.65,NA,NA,NA,$26256.34,NA,$26256.34,NA,$26256.34,NA,$30194.79,$26256.34,$26256.34,$26256.34,NA,$24943.52,NA,NA,NA,NA
Inpatient Rehabilitation Services,Inpatient Rehab Per Discharge: Guillian-Barre,CMG 1903-D,NA,NA,$24594.82,$29772.67,NA,NA,NA,NA,NA,$25112.60,NA,NA,NA,$25889.28,NA,$25889.28,NA,$25889.28,NA,$29772.67,$25889.28,$25889.28,$25889.28,NA,$24594.82,NA,NA,NA,NA
Inpatient Rehabilitation Services,Inpatient Rehab Per Discharge: Guillian-Barre,CMG 1904-A,NA,NA,$34295.49,$41515.59,NA,NA,NA,NA,NA,$35017.50,NA,NA,NA,$36100.51,NA,$36100.51,NA,$36100.51,NA,$41515.59,$36100.51,$36100.51,$36100.51,NA,$34295.49,NA,NA,NA,NA
Inpatient Rehabilitation Services,Inpatient Rehab Per Discharge: Guillian-Barre,CMG 1904-B,NA,NA,$47222.30,$57163.83,NA,NA,NA,NA,NA,$48216.45,NA,NA,NA,$49707.68,NA,$49707.68,NA,$49707.68,NA,$57163.83,$49707.68,$49707.68,$49707.68,NA,$47222.30,NA,NA,NA,NA
Inpatient Rehabilitation Services,Inpatient Rehab Per Discharge: Guillian-Barre,CMG 1904-C,NA,NA,$36724.06,$44455.44,NA,NA,NA,NA,NA,$37497.19,NA,NA,NA,$38656.90,NA,$38656.90,NA,$38656.90,NA,$44455.44,$38656.90,$38656.90,$38656.90,NA,$36724.06,NA,NA,NA,NA
Inpatient Rehabilitation Services,Inpatient Rehab Per Discharge: Guillian-Barre,CMG 1904-D,NA,NA,$36210.89,$43834.24,NA,NA,NA,NA,NA,$36973.23,NA,NA,NA,$38116.73,NA,$38116.73,NA,$38116.73,NA,$43834.24,$38116.73,$38116.73,$38116.73,NA,$36210.89,NA,NA,NA,NA
Inpatient Rehabilitation Services,Inpatient Rehab Per Discharge: Other disabling impairments,CMG 2001-A,NA,NA,$10241.04,$12397.05,NA,NA,NA,NA,NA,$10456.64,NA,NA,NA,$10780.04,NA,$10780.04,NA,$10780.04,NA,$12397.05,$10780.04,$10780.04,$10780.04,NA,$10241.04,NA,NA,NA,NA
Inpatient Rehabilitation Services,Inpatient Rehab Per Discharge: Other disabling impairments,CMG 2001-B,NA,NA,$14984.41,$18139.03,NA,NA,NA,NA,NA,$15299.88,NA,NA,NA,$15773.07,NA,$15773.07,NA,$15773.07,NA,$18139.03,$15773.07,$15773.07,$15773.07,NA,$14984.41,NA,NA,NA,NA
Inpatient Rehabilitation Services,Inpatient Rehab Per Discharge: Other disabling impairments,CMG 2001-C,NA,NA,$12158.92,$14718.69,NA,NA,NA,NA,NA,$12414.89,NA,NA,NA,$12798.86,NA,$12798.86,NA,$12798.86,NA,$14718.69,$12798.86,$12798.86,$12798.86,NA,$12158.92,NA,NA,NA,NA
Inpatient Rehabilitation Services,Inpatient Rehab Per Discharge: Other disabling impairments,CMG 2001-D,NA,NA,$11135.06,$13479.28,NA,NA,NA,NA,NA,$11369.48,NA,NA,NA,$11721.12,NA,$11721.12,NA,$11721.12,NA,$13479.28,$11721.12,$11721.12,$11721.12,NA,$11135.06,NA,NA,NA,NA
Inpatient Rehabilitation Services,Inpatient Rehab Per Discharge: Other disabling impairments,CMG 2002-A,NA,NA,$12590.47,$15241.09,NA,NA,NA,NA,NA,$12855.53,NA,NA,NA,$13253.13,NA,$13253.13,NA,$13253.13,NA,$15241.09,$13253.13,$13253.13,$13253.13,NA,$12590.47,NA,NA,NA,NA
Inpatient Rehabilitation Services,Inpatient Rehab Per Discharge: Other disabling impairments,CMG 2002-B,NA,NA,$18423.24,$22301.81,NA,NA,NA,NA,NA,$18811.09,NA,NA,NA,$19392.88,NA,$19392.88,NA,$19392.88,NA,$22301.81,$19392.88,$19392.88,$19392.88,NA,$18423.24,NA,NA,NA,NA
Inpatient Rehabilitation Services,Inpatient Rehab Per Discharge: Other disabling impairments,CMG 2002-C,NA,NA,$14949.79,$18097.12,NA,NA,NA,NA,NA,$15264.52,NA,NA,NA,$15736.62,NA,$15736.62,NA,$15736.62,NA,$18097.12,$15736.62,$15736.62,$15736.62,NA,$14949.79,NA,NA,NA,NA
Inpatient Rehabilitation Services,Inpatient Rehab Per Discharge: Other disabling impairments,CMG 2002-D,NA,NA,$13690.99,$16573.31,NA,NA,NA,NA,NA,$13979.22,NA,NA,NA,$14411.57,NA,$14411.57,NA,$14411.57,NA,$16573.31,$14411.57,$14411.57,$14411.57,NA,$13690.99,NA,NA,NA,NA
Inpatient Rehabilitation Services,Inpatient Rehab Per Discharge: Other disabling impairments,CMG 2003-A,NA,NA,$14902.80,$18040.23,NA,NA,NA,NA,NA,$15216.55,NA,NA,NA,$15687.16,NA,$15687.16,NA,$15687.16,NA,$18040.23,$15687.16,$15687.16,$15687.16,NA,$14902.80,NA,NA,NA,NA
Inpatient Rehabilitation Services,Inpatient Rehab Per Discharge: Other disabling impairments,CMG 2003-B,NA,NA,$21805.18,$26395.74,NA,NA,NA,NA,NA,$22264.24,NA,NA,NA,$22952.82,NA,$22952.82,NA,$22952.82,NA,$26395.74,$22952.82,$22952.82,$22952.82,NA,$21805.18,NA,NA,NA,NA
Inpatient Rehabilitation Services,Inpatient Rehab Per Discharge: Other disabling impairments,CMG 2003-C,NA,NA,$17693.68,$21418.66,NA,NA,NA,NA,NA,$18066.18,NA,NA,NA,$18624.92,NA,$18624.92,NA,$18624.92,NA,$21418.66,$18624.92,$18624.92,$18624.92,NA,$17693.68,NA,NA,NA,NA
Inpatient Rehabilitation Services,Inpatient Rehab Per Discharge: Other disabling impairments,CMG 2003-D,NA,NA,$16204.88,$19616.43,NA,NA,NA,NA,NA,$16546.04,NA,NA,NA,$17057.77,NA,$17057.77,NA,$17057.77,NA,$19616.43,$17057.77,$17057.77,$17057.77,NA,$16204.88,NA,NA,NA,NA
Inpatient Rehabilitation Services,Inpatient Rehab Per Discharge: Other disabling impairments,CMG 2004-A,NA,NA,$16772.45,$20303.50,NA,NA,NA,NA,NA,$17125.56,NA,NA,NA,$17655.21,NA,$17655.21,NA,$17655.21,NA,$20303.50,$17655.21,$17655.21,$17655.21,NA,$16772.45,NA,NA,NA,NA
Inpatient Rehabilitation Services,Inpatient Rehab Per Discharge: Other disabling impairments,CMG 2004-B,NA,NA,$24541.65,$29708.31,NA,NA,NA,NA,NA,$25058.31,NA,NA,NA,$25833.31,NA,$25833.31,NA,$25833.31,NA,$29708.31,$25833.31,$25833.31,$25833.31,NA,$24541.65,NA,NA,NA,NA
Inpatient Rehabilitation Services,Inpatient Rehab Per Discharge: Other disabling impairments,CMG 2004-C,NA,NA,$19913.27,$24105.54,NA,NA,NA,NA,NA,$20332.50,NA,NA,NA,$20961.34,NA,$20961.34,NA,$20961.34,NA,$24105.54,$20961.34,$20961.34,$20961.34,NA,$19913.27,NA,NA,NA,NA
Inpatient Rehabilitation Services,Inpatient Rehab Per Discharge: Other disabling impairments,CMG 2004-D,NA,NA,$18237.76,$22077.28,NA,NA,NA,NA,NA,$18621.71,NA,NA,NA,$19197.64,NA,$19197.64,NA,$19197.64,NA,$22077.28,$19197.64,$19197.64,$19197.64,NA,$18237.76,NA,NA,NA,NA
Inpatient Rehabilitation Services,Inpatient Rehab Per Discharge: Other disabling impairments,CMG 2005-A,NA,NA,$18032.49,$21828.80,NA,NA,NA,NA,NA,$18412.12,NA,NA,NA,$18981.57,NA,$18981.57,NA,$18981.57,NA,$21828.80,$18981.57,$18981.57,$18981.57,NA,$18032.49,NA,NA,NA,NA
Inpatient Rehabilitation Services,Inpatient Rehab Per Discharge: Other disabling impairments,CMG 2005-B,NA,NA,$26385.33,$31940.14,NA,NA,NA,NA,NA,$26940.81,NA,NA,NA,$27774.03,NA,$27774.03,NA,$27774.03,NA,$31940.14,$27774.03,$27774.03,$27774.03,NA,$26385.33,NA,NA,NA,NA
Inpatient Rehabilitation Services,Inpatient Rehab Per Discharge: Other disabling impairments,CMG 2005-C,NA,NA,$21410.72,$25918.24,NA,NA,NA,NA,NA,$21861.47,NA,NA,NA,$22537.60,NA,$22537.60,NA,$22537.60,NA,$25918.24,$22537.60,$22537.60,$22537.60,NA,$21410.72,NA,NA,NA,NA
Inpatient Rehabilitation Services,Inpatient Rehab Per Discharge: Other disabling impairments,CMG 2005-D,NA,NA,$19609.08,$23737.31,NA,NA,NA,NA,NA,$20021.90,NA,NA,NA,$20641.14,NA,$20641.14,NA,$20641.14,NA,$23737.31,$20641.14,$20641.14,$20641.14,NA,$19609.08,NA,NA,NA,NA
Inpatient Rehabilitation Services,Inpatient Rehab Per Discharge: Burns,CMG 2101-A,NA,NA,$13938.30,$16872.68,NA,NA,NA,NA,NA,$14231.74,NA,NA,NA,$14671.89,NA,$14671.89,NA,$14671.89,NA,$16872.68,$14671.89,$14671.89,$14671.89,NA,$13938.30,NA,NA,NA,NA
Inpatient Rehabilitation Services,Inpatient Rehab Per Discharge: Burns,CMG 2101-B,NA,NA,$22298.56,$26992.99,NA,NA,NA,NA,NA,$22768.00,NA,NA,NA,$23472.17,NA,$23472.17,NA,$23472.17,NA,$26992.99,$23472.17,$23472.17,$23472.17,NA,$22298.56,NA,NA,NA,NA
Inpatient Rehabilitation Services,Inpatient Rehab Per Discharge: Burns,CMG 2101-C,NA,NA,$16954.23,$20523.54,NA,NA,NA,NA,NA,$17311.16,NA,NA,NA,$17846.55,NA,$17846.55,NA,$17846.55,NA,$20523.54,$17846.55,$17846.55,$17846.55,NA,$16954.23,NA,NA,NA,NA
Inpatient Rehabilitation Services,Inpatient Rehab Per Discharge: Burns,CMG 2101-D,NA,NA,$13938.30,$16872.68,NA,NA,NA,NA,NA,$14231.74,NA,NA,NA,$14671.89,NA,$14671.89,NA,$14671.89,NA,$16872.68,$14671.89,$14671.89,$14671.89,NA,$13938.30,NA,NA,NA,NA
Inpatient Rehabilitation Services,Inpatient Rehab Per Discharge: Burns,CMG 2102-A,NA,NA,$18592.64,$22506.88,NA,NA,NA,NA,NA,$18984.07,NA,NA,NA,$19571.20,NA,$19571.20,NA,$19571.20,NA,$22506.88,$19571.20,$19571.20,$19571.20,NA,$18592.64,NA,NA,NA,NA
Inpatient Rehabilitation Services,Inpatient Rehab Per Discharge: Burns,CMG 2102-B,NA,NA,$29745.01,$36007.12,NA,NA,NA,NA,NA,$30371.23,NA,NA,NA,$31310.54,NA,$31310.54,NA,$31310.54,NA,$36007.12,$31310.54,$31310.54,$31310.54,NA,$29745.01,NA,NA,NA,NA
Inpatient Rehabilitation Services,Inpatient Rehab Per Discharge: Burns,CMG 2102-C,NA,NA,$22615.11,$27376.19,NA,NA,NA,NA,NA,$23091.22,NA,NA,NA,$23805.38,NA,$23805.38,NA,$23805.38,NA,$27376.19,$23805.38,$23805.38,$23805.38,NA,$22615.11,NA,NA,NA,NA
Inpatient Rehabilitation Services,Inpatient Rehab Per Discharge: Burns,CMG 2102-D,NA,NA,$18592.64,$22506.88,NA,NA,NA,NA,NA,$18984.07,NA,NA,NA,$19571.20,NA,$19571.20,NA,$19571.20,NA,$22506.88,$19571.20,$19571.20,$19571.20,NA,$18592.64,NA,NA,NA,NA
