Encompass Health Rehabilitation Hospital of Altamonte Springs,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Prices Posted and Effective 1/1/2021,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Note: General file information and additional details can be found on the Price Transparency page of this hospital's website,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PATIENT_TYPE,SHOPPABLE_SERVICES,BILLING_REVENUE_SERVICE_CODE,GROSS_CHARGE,DISCOUNTED_CASH_PRICE,DEIDENTIFIED_MIN_NEGOTIATED_CHARGE,DEIDENTIFIED_MAX_NEGOTIATED_CHARGE,AETNA (AET) negotiated charge,AETNA MEDICARE (AETM) negotiated charge,BC HEALTH OPTIONS EXCHANG (BHOZ) negotiated charge,BCFL BLUE SELECT (BCSE) negotiated charge,BCFL NETWORK BLUE (BCNB) negotiated charge,BCFL PREFERRED PAT CARE (BCFP) negotiated charge,BCFL TRADITIONAL (BCFL) negotiated charge,BLUE CROSS HEALTH OPTIONS (BCHO) negotiated charge,CAREWORKS (CRW) negotiated charge,CAREWORKS WORK COMP (CRWW) negotiated charge,CHAMPVA (CVA) negotiated charge,CIGNA (CIG) negotiated charge,CORVEL WORK COMP (CVLW) negotiated charge,FEDERAL BLUE CROSS (BCFD) negotiated charge,GLOBAL EXCEL MANAGEMENT (GBE) negotiated charge,HEALTH OPTIONS MEDICARE (BCHM) negotiated charge,HUMANA MILITARY HEALTH (TRI) negotiated charge,NETWORK BLUE MEDICARE (BCBM) negotiated charge,ONE CALL MEDICAL WC (OCLW) negotiated charge,ONECALL MEDICAL (OCL) negotiated charge,PROVIDER NET OF AMERICA (PAM) negotiated charge,PYRAMID/AMERICAN PROGRESS (AMPM) negotiated charge,THE RENY COMPANY WC (REN) negotiated charge,ZELIAS NET SOLUTIONS WC (ZNSW) negotiated charge,ZELIAS NETWORK SOLUTIONS (ZNS) negotiated charge
Inpatient Rehabilitation Services,Inpatient Rehab Per Discharge: Major Mult. Trauma with brain or spinal cord inj.,CMG 1805-C,NA,NA,$32838.25,$37767.69,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,$65679.72,NA,NA,NA,NA,$65679.72,$65679.72,$65679.72,NA,NA,$75531.68,$65679.72,NA,NA,NA
Inpatient Rehabilitation Services,Inpatient Rehab Per Discharge: Major Mult. Trauma with brain or spinal cord inj.,CMG 1805-D,NA,NA,$29491.91,$33919.01,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,$58986.70,NA,NA,NA,NA,$58986.70,$58986.70,$58986.70,NA,NA,$67834.70,$58986.70,NA,NA,NA
Inpatient Rehabilitation Services,Inpatient Rehab Per Discharge: Major Mult. Trauma with brain or spinal cord inj.,CMG 1806-A,NA,NA,$35234.30,$40523.42,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,$70472.05,NA,NA,NA,NA,$70472.05,$70472.05,$70472.05,NA,NA,$81042.87,$70472.05,NA,NA,NA
Inpatient Rehabilitation Services,Inpatient Rehab Per Discharge: Major Mult. Trauma with brain or spinal cord inj.,CMG 1806-B,NA,NA,$53327.38,$61332.49,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,$106659.98,NA,NA,NA,NA,$106659.98,$106659.98,$106659.98,NA,NA,$122658.98,$106659.98,NA,NA,NA
Inpatient Rehabilitation Services,Inpatient Rehab Per Discharge: Major Mult. Trauma with brain or spinal cord inj.,CMG 1806-C,NA,NA,$42298.98,$48648.59,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,$84602.10,NA,NA,NA,NA,$84602.10,$84602.10,$84602.10,NA,NA,$97292.42,$84602.10,NA,NA,NA
Inpatient Rehabilitation Services,Inpatient Rehab Per Discharge: Major Mult. Trauma with brain or spinal cord inj.,CMG 1806-D,NA,NA,$37988.28,$43690.80,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,$75980.28,NA,NA,NA,NA,$75980.28,$75980.28,$75980.28,NA,NA,$87377.32,$75980.28,NA,NA,NA
Inpatient Rehabilitation Services,Inpatient Rehab Per Discharge: Guillian-Barre,CMG 1901-A,NA,NA,$13657.34,$15707.47,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,$27316.01,NA,NA,NA,NA,$27316.01,$27316.01,$27316.01,NA,NA,$31413.41,$27316.01,NA,NA,NA
Inpatient Rehabilitation Services,Inpatient Rehab Per Discharge: Guillian-Barre,CMG 1901-B,NA,NA,$18804.24,$21626.99,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,$37610.32,NA,NA,NA,NA,$37610.32,$37610.32,$37610.32,NA,NA,$43251.86,$37610.32,NA,NA,NA
Inpatient Rehabilitation Services,Inpatient Rehab Per Discharge: Guillian-Barre,CMG 1901-C,NA,NA,$14623.26,$16818.39,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,$29247.95,NA,NA,NA,NA,$29247.95,$29247.95,$29247.95,NA,NA,$33635.14,$29247.95,NA,NA,NA
Inpatient Rehabilitation Services,Inpatient Rehab Per Discharge: Guillian-Barre,CMG 1901-D,NA,NA,$14420.07,$16584.71,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,$28841.55,NA,NA,NA,NA,$28841.55,$28841.55,$28841.55,NA,NA,$33167.79,$28841.55,NA,NA,NA
Inpatient Rehabilitation Services,Inpatient Rehab Per Discharge: Guillian-Barre,CMG 1902-A,NA,NA,$18493.20,$21269.27,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,$36988.21,NA,NA,NA,NA,$36988.21,$36988.21,$36988.21,NA,NA,$42536.45,$36988.21,NA,NA,NA
Inpatient Rehabilitation Services,Inpatient Rehab Per Discharge: Guillian-Barre,CMG 1902-B,NA,NA,$25464.10,$29286.58,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,$50930.70,NA,NA,NA,NA,$50930.70,$50930.70,$50930.70,NA,NA,$58570.30,$50930.70,NA,NA,NA
Inpatient Rehabilitation Services,Inpatient Rehab Per Discharge: Guillian-Barre,CMG 1902-C,NA,NA,$19802.98,$22775.66,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,$39607.90,NA,NA,NA,NA,$39607.90,$39607.90,$39607.90,NA,NA,$45549.09,$39607.90,NA,NA,NA
Inpatient Rehabilitation Services,Inpatient Rehab Per Discharge: Guillian-Barre,CMG 1902-D,NA,NA,$19526.33,$22457.48,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,$39054.58,NA,NA,NA,NA,$39054.58,$39054.58,$39054.58,NA,NA,$44912.76,$39054.58,NA,NA,NA
Inpatient Rehabilitation Services,Inpatient Rehab Per Discharge: Guillian-Barre,CMG 1903-A,NA,NA,$29443.45,$33863.29,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,$58889.79,NA,NA,NA,NA,$58889.79,$58889.79,$58889.79,NA,NA,$67723.26,$58889.79,NA,NA,NA
Inpatient Rehabilitation Services,Inpatient Rehab Per Discharge: Guillian-Barre,CMG 1903-B,NA,NA,$40542.19,$46628.08,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,$81088.35,NA,NA,NA,NA,$81088.35,$81088.35,$81088.35,NA,NA,$93251.60,$81088.35,NA,NA,NA
Inpatient Rehabilitation Services,Inpatient Rehab Per Discharge: Guillian-Barre,CMG 1903-C,NA,NA,$31528.47,$36261.29,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,$63060.03,NA,NA,NA,NA,$63060.03,$63060.03,$63060.03,NA,NA,$72519.03,$63060.03,NA,NA,NA
Inpatient Rehabilitation Services,Inpatient Rehab Per Discharge: Guillian-Barre,CMG 1903-D,NA,NA,$31087.71,$35754.37,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,$62178.47,NA,NA,NA,NA,$62178.47,$62178.47,$62178.47,NA,NA,$71505.24,$62178.47,NA,NA,NA
Inpatient Rehabilitation Services,Inpatient Rehab Per Discharge: Guillian-Barre,CMG 1904-A,NA,NA,$43349.31,$49856.58,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,$86702.86,NA,NA,NA,NA,$86702.86,$86702.86,$86702.86,NA,NA,$99708.28,$86702.86,NA,NA,NA
Inpatient Rehabilitation Services,Inpatient Rehab Per Discharge: Guillian-Barre,CMG 1904-B,NA,NA,$59688.72,$68648.75,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,$119383.28,NA,NA,NA,NA,$119383.28,$119383.28,$119383.28,NA,NA,$137290.78,$119383.28,NA,NA,NA
Inpatient Rehabilitation Services,Inpatient Rehab Per Discharge: Guillian-Barre,CMG 1904-C,NA,NA,$46419.00,$53387.08,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,$92842.55,NA,NA,NA,NA,$92842.55,$92842.55,$92842.55,NA,NA,$106768.93,$92842.55,NA,NA,NA
Inpatient Rehabilitation Services,Inpatient Rehab Per Discharge: Guillian-Barre,CMG 1904-D,NA,NA,$45770.36,$52641.07,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,$91545.21,NA,NA,NA,NA,$91545.21,$91545.21,$91545.21,NA,NA,$105276.99,$91545.21,NA,NA,NA
Inpatient Rehabilitation Services,Inpatient Rehab Per Discharge: Other disabling impairments,CMG 2001-A,NA,NA,$12944.62,$14887.77,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,$25890.50,NA,NA,NA,NA,$25890.50,$25890.50,$25890.50,NA,NA,$29774.08,$25890.50,NA,NA,NA
Inpatient Rehabilitation Services,Inpatient Rehab Per Discharge: Other disabling impairments,CMG 2001-B,NA,NA,$18940.22,$21783.38,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,$37882.29,NA,NA,NA,NA,$37882.29,$37882.29,$37882.29,NA,NA,$43564.63,$37882.29,NA,NA,NA
Inpatient Rehabilitation Services,Inpatient Rehab Per Discharge: Other disabling impairments,CMG 2001-C,NA,NA,$15368.80,$17675.85,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,$30739.11,NA,NA,NA,NA,$30739.11,$30739.11,$30739.11,NA,NA,$35349.97,$30739.11,NA,NA,NA
Inpatient Rehabilitation Services,Inpatient Rehab Per Discharge: Other disabling impairments,CMG 2001-D,NA,NA,$14074.65,$16187.44,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,$28150.68,NA,NA,NA,NA,$28150.68,$28150.68,$28150.68,NA,NA,$32373.29,$28150.68,NA,NA,NA
Inpatient Rehabilitation Services,Inpatient Rehab Per Discharge: Other disabling impairments,CMG 2002-A,NA,NA,$15914.28,$18303.22,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,$31830.12,NA,NA,NA,NA,$31830.12,$31830.12,$31830.12,NA,NA,$36604.65,$31830.12,NA,NA,NA
Inpatient Rehabilitation Services,Inpatient Rehab Per Discharge: Other disabling impairments,CMG 2002-B,NA,NA,$23286.87,$26782.52,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,$46576.02,NA,NA,NA,NA,$46576.02,$46576.02,$46576.02,NA,NA,$53562.42,$46576.02,NA,NA,NA
Inpatient Rehabilitation Services,Inpatient Rehab Per Discharge: Other disabling impairments,CMG 2002-C,NA,NA,$18896.45,$21733.05,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,$37794.75,NA,NA,NA,NA,$37794.75,$37794.75,$37794.75,NA,NA,$43463.97,$37794.75,NA,NA,NA
Inpatient Rehabilitation Services,Inpatient Rehab Per Discharge: Other disabling impairments,CMG 2002-D,NA,NA,$17305.34,$19903.09,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,$34612.37,NA,NA,NA,NA,$34612.37,$34612.37,$34612.37,NA,NA,$39804.23,$34612.37,NA,NA,NA
Inpatient Rehabilitation Services,Inpatient Rehab Per Discharge: Other disabling impairments,CMG 2003-A,NA,NA,$18837.06,$21664.74,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,$37675.96,NA,NA,NA,NA,$37675.96,$37675.96,$37675.96,NA,NA,$43327.36,$37675.96,NA,NA,NA
Inpatient Rehabilitation Services,Inpatient Rehab Per Discharge: Other disabling impairments,CMG 2003-B,NA,NA,$27561.62,$31698.97,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,$55125.94,NA,NA,NA,NA,$55125.94,$55125.94,$55125.94,NA,NA,$63394.84,$55125.94,NA,NA,NA
Inpatient Rehabilitation Services,Inpatient Rehab Per Discharge: Other disabling impairments,CMG 2003-C,NA,NA,$22364.71,$25721.93,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,$44731.61,NA,NA,NA,NA,$44731.61,$44731.61,$44731.61,NA,NA,$51441.35,$44731.61,NA,NA,NA
Inpatient Rehabilitation Services,Inpatient Rehab Per Discharge: Other disabling impairments,CMG 2003-D,NA,NA,$20482.88,$23557.62,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,$40967.76,NA,NA,NA,NA,$40967.76,$40967.76,$40967.76,NA,NA,$47112.93,$40967.76,NA,NA,NA
Inpatient Rehabilitation Services,Inpatient Rehab Per Discharge: Other disabling impairments,CMG 2004-A,NA,NA,$21200.29,$24382.72,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,$42402.65,NA,NA,NA,NA,$42402.65,$42402.65,$42402.65,NA,NA,$48763.05,$42402.65,NA,NA,NA
Inpatient Rehabilitation Services,Inpatient Rehab Per Discharge: Other disabling impairments,CMG 2004-B,NA,NA,$31020.50,$35677.07,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,$62044.04,NA,NA,NA,NA,$62044.04,$62044.04,$62044.04,NA,NA,$71350.65,$62044.04,NA,NA,NA
Inpatient Rehabilitation Services,Inpatient Rehab Per Discharge: Other disabling impairments,CMG 2004-C,NA,NA,$25170.26,$28948.63,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,$50342.99,NA,NA,NA,NA,$50342.99,$50342.99,$50342.99,NA,NA,$57894.43,$50342.99,NA,NA,NA
Inpatient Rehabilitation Services,Inpatient Rehab Per Discharge: Other disabling impairments,CMG 2004-D,NA,NA,$23052.42,$26512.88,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,$46107.10,NA,NA,NA,NA,$46107.10,$46107.10,$46107.10,NA,NA,$53023.16,$46107.10,NA,NA,NA
Inpatient Rehabilitation Services,Inpatient Rehab Per Discharge: Other disabling impairments,CMG 2005-A,NA,NA,$22792.97,$26214.48,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,$45588.17,NA,NA,NA,NA,$45588.17,$45588.17,$45588.17,NA,NA,$52426.39,$45588.17,NA,NA,NA
Inpatient Rehabilitation Services,Inpatient Rehab Per Discharge: Other disabling impairments,CMG 2005-B,NA,NA,$33350.91,$38357.30,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,$66705.08,NA,NA,NA,NA,$66705.08,$66705.08,$66705.08,NA,NA,$76710.85,$66705.08,NA,NA,NA
Inpatient Rehabilitation Services,Inpatient Rehab Per Discharge: Other disabling impairments,CMG 2005-C,NA,NA,$27063.03,$31125.53,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,$54128.71,NA,NA,NA,NA,$54128.71,$54128.71,$54128.71,NA,NA,$62248.02,$54128.71,NA,NA,NA
Inpatient Rehabilitation Services,Inpatient Rehab Per Discharge: Other disabling impairments,CMG 2005-D,NA,NA,$24785.77,$28506.42,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,$49573.96,NA,NA,NA,NA,$49573.96,$49573.96,$49573.96,NA,NA,$57010.05,$49573.96,NA,NA,NA
Inpatient Rehabilitation Services,Inpatient Rehab Per Discharge: Burns,CMG 2101-A,NA,NA,$17617.93,$20262.61,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,$35237.59,NA,NA,NA,NA,$35237.59,$35237.59,$35237.59,NA,NA,$40523.23,$35237.59,NA,NA,NA
Inpatient Rehabilitation Services,Inpatient Rehab Per Discharge: Burns,CMG 2101-B,NA,NA,$28185.25,$32416.22,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,$56373.26,NA,NA,NA,NA,$56373.26,$56373.26,$56373.26,NA,NA,$64829.26,$56373.26,NA,NA,NA
Inpatient Rehabilitation Services,Inpatient Rehab Per Discharge: Burns,CMG 2101-C,NA,NA,$21430.05,$24646.97,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,$42862.19,NA,NA,NA,NA,$42862.19,$42862.19,$42862.19,NA,NA,$49291.52,$42862.19,NA,NA,NA
Inpatient Rehabilitation Services,Inpatient Rehab Per Discharge: Burns,CMG 2101-D,NA,NA,$17617.93,$20262.61,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,$35237.59,NA,NA,NA,NA,$35237.59,$35237.59,$35237.59,NA,NA,$40523.23,$35237.59,NA,NA,NA
Inpatient Rehabilitation Services,Inpatient Rehab Per Discharge: Burns,CMG 2102-A,NA,NA,$23501.00,$27028.79,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,$47004.30,NA,NA,NA,NA,$47004.30,$47004.30,$47004.30,NA,NA,$54054.94,$47004.30,NA,NA,NA
Inpatient Rehabilitation Services,Inpatient Rehab Per Discharge: Burns,CMG 2102-B,NA,NA,$37597.53,$43241.39,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,$75198.74,NA,NA,NA,NA,$75198.74,$75198.74,$75198.74,NA,NA,$86478.55,$75198.74,NA,NA,NA
Inpatient Rehabilitation Services,Inpatient Rehab Per Discharge: Burns,CMG 2102-C,NA,NA,$28585.38,$32876.40,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,$57173.56,NA,NA,NA,NA,$57173.56,$57173.56,$57173.56,NA,NA,$65749.58,$57173.56,NA,NA,NA
Inpatient Rehabilitation Services,Inpatient Rehab Per Discharge: Burns,CMG 2102-D,NA,NA,$23501.00,$27028.79,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,$47004.30,NA,NA,NA,NA,$47004.30,$47004.30,$47004.30,NA,NA,$54054.94,$47004.30,NA,NA,NA
