Encompass Health Rehabilitation Hospital of Littleton,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Prices Posted and Effective 1/1/2021,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Note: General file information and additional details can be found on the Price Transparency page of this hospital's website,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PATIENT_TYPE,SHOPPABLE_SERVICES,BILLING_REVENUE_SERVICE_CODE,GROSS_CHARGE,DISCOUNTED_CASH_PRICE,DEIDENTIFIED_MIN_NEGOTIATED_CHARGE,DEIDENTIFIED_MAX_NEGOTIATED_CHARGE,AETNA (AET) negotiated charge,AETNA MEDICARE (AETM) negotiated charge,AETNA WC ACCESS (AETW) negotiated charge,ANTHEM BC OF CO MEDICARE (BCAM) negotiated charge,ANTHEM BC OF COLORADO (BCAC) negotiated charge,BRIGHT HEALTH EXCHANGE (BRHZ) negotiated charge,BRIGHT HEALTH PLAN (BRH) negotiated charge,BRIGHT HEALTH PLAN MCR (BRHM) negotiated charge,CAREWORKS (CRW) negotiated charge,CAREWORKS WORK COMP (CRWW) negotiated charge,CHAMPVA (CVA) negotiated charge,CHOICE CARE NETWORK (CHO) negotiated charge,CHOICE CARE NETWORK MCR (CHOM) negotiated charge,CIGNA (CIG) negotiated charge,CIGNA EXCHANGE (CIGZ) negotiated charge,CIGNA MEDICARE (CIGM) negotiated charge,CO ACCESS CHP HMO MCD (CAHD) negotiated charge,COLORADO ACCESS MEDICAID (CAAD) negotiated charge,COVENTRY (CHC) negotiated charge,COVENTRY WORK COMP (CHCW) negotiated charge,FIRST HEALTH (FTH) negotiated charge,FIRST HEALTH WC (FTHW) negotiated charge,HEALTHNET FEDERAL SVCS (HFS) negotiated charge,HUMANA (HUM) negotiated charge,HUMANA MEDICARE (HUMM) negotiated charge,LONGEVITY HEALTH PLAN MCR (LHPM) negotiated charge,MY INNOVAGE PACE DUAL (MIPB) negotiated charge,ONE CALL MEDICAL WC (OCLW) negotiated charge,PINNACOL ASSURANCE (PIN) negotiated charge,PINNACOL ASSURANCE WC (PINW) negotiated charge,PRIME HEALTH SERVICES (PRH) negotiated charge,PRIVATE HEALTHCARE SYSTEM (PHST) negotiated charge,PROVIDER NET OF AMERICA (PAM) negotiated charge,PYRAMID/AMERICAN PROGRESS (AMPM) negotiated charge,ROCKY MOUNTAIN HMO (RMH) negotiated charge,ROCKY MOUNTAIN MEDICARE (RMHM) negotiated charge,TRIWEST VETERANS (TWV) negotiated charge,UNITED HEALTHCARE (UHC) negotiated charge,UNITED HEALTHCARE MEDICAR (UHCM) negotiated charge,ZELIAS NET SOLUTIONS WC (ZNSW) negotiated charge,ZELIAS NETWORK SOLUTIONS (ZNS) negotiated charge
Inpatient Rehabilitation Services,"Inpatient Rehab Per Discharge: Amputation, lower extremity",CMG 1004-D,NA,NA,$26937.94,$34420.71,NA,$29931.05,NA,$29931.05,NA,$28434.50,$28434.50,$28733.81,NA,NA,$29931.05,NA,$26937.94,NA,NA,$29931.05,NA,NA,NA,NA,NA,NA,$29931.05,NA,$26937.94,$29931.05,$29931.05,NA,NA,NA,NA,NA,$34420.71,$29931.05,NA,NA,$29931.05,NA,$29931.05,NA,NA
Inpatient Rehabilitation Services,"Inpatient Rehab Per Discharge: Amputation, other",CMG 1101-A,NA,NA,$15933.75,$20359.79,NA,$17704.17,NA,$17704.17,NA,$16818.96,$16818.96,$16996.00,NA,NA,$17704.17,NA,$15933.75,NA,NA,$17704.17,NA,NA,NA,NA,NA,NA,$17704.17,NA,$15933.75,$17704.17,$17704.17,NA,NA,NA,NA,NA,$20359.79,$17704.17,NA,NA,$17704.17,NA,$17704.17,NA,NA
Inpatient Rehabilitation Services,"Inpatient Rehab Per Discharge: Amputation, other",CMG 1101-B,NA,NA,$21113.44,$26978.28,NA,$23459.37,NA,$23459.37,NA,$22286.40,$22286.40,$22521.00,NA,NA,$23459.37,NA,$21113.44,NA,NA,$23459.37,NA,NA,NA,NA,NA,NA,$23459.37,NA,$21113.44,$23459.37,$23459.37,NA,NA,NA,NA,NA,$26978.28,$23459.37,NA,NA,$23459.37,NA,$23459.37,NA,NA
Inpatient Rehabilitation Services,"Inpatient Rehab Per Discharge: Amputation, other",CMG 1101-C,NA,NA,$18813.52,$24039.50,NA,$20903.91,NA,$20903.91,NA,$19858.71,$19858.71,$20067.75,NA,NA,$20903.91,NA,$18813.52,NA,NA,$20903.91,NA,NA,NA,NA,NA,NA,$20903.91,NA,$18813.52,$20903.91,$20903.91,NA,NA,NA,NA,NA,$24039.50,$20903.91,NA,NA,$20903.91,NA,$20903.91,NA,NA
Inpatient Rehabilitation Services,"Inpatient Rehab Per Discharge: Amputation, other",CMG 1101-D,NA,NA,$16432.39,$20996.94,NA,$18258.21,NA,$18258.21,NA,$17345.30,$17345.30,$17527.88,NA,NA,$18258.21,NA,$16432.39,NA,NA,$18258.21,NA,NA,NA,NA,NA,NA,$18258.21,NA,$16432.39,$18258.21,$18258.21,NA,NA,NA,NA,NA,$20996.94,$18258.21,NA,NA,$18258.21,NA,$18258.21,NA,NA
Inpatient Rehabilitation Services,"Inpatient Rehab Per Discharge: Amputation, other",CMG 1102-A,NA,NA,$21288.85,$27202.42,NA,$23654.28,NA,$23654.28,NA,$22471.57,$22471.57,$22708.11,NA,NA,$23654.28,NA,$21288.85,NA,NA,$23654.28,NA,NA,NA,NA,NA,NA,$23654.28,NA,$21288.85,$23654.28,$23654.28,NA,NA,NA,NA,NA,$27202.42,$23654.28,NA,NA,$23654.28,NA,$23654.28,NA,NA
Inpatient Rehabilitation Services,"Inpatient Rehab Per Discharge: Amputation, other",CMG 1102-B,NA,NA,$28208.10,$36043.68,NA,$31342.33,NA,$31342.33,NA,$29775.21,$29775.21,$30088.64,NA,NA,$31342.33,NA,$28208.10,NA,NA,$31342.33,NA,NA,NA,NA,NA,NA,$31342.33,NA,$28208.10,$31342.33,$31342.33,NA,NA,NA,NA,NA,$36043.68,$31342.33,NA,NA,$31342.33,NA,$31342.33,NA,NA
Inpatient Rehabilitation Services,"Inpatient Rehab Per Discharge: Amputation, other",CMG 1102-C,NA,NA,$25136.67,$32119.07,NA,$27929.63,NA,$27929.63,NA,$26533.15,$26533.15,$26812.44,NA,NA,$27929.63,NA,$25136.67,NA,NA,$27929.63,NA,NA,NA,NA,NA,NA,$27929.63,NA,$25136.67,$27929.63,$27929.63,NA,NA,NA,NA,NA,$32119.07,$27929.63,NA,NA,$27929.63,NA,$27929.63,NA,NA
Inpatient Rehabilitation Services,"Inpatient Rehab Per Discharge: Amputation, other",CMG 1102-D,NA,NA,$21954.79,$28053.34,NA,$24394.21,NA,$24394.21,NA,$23174.50,$23174.50,$23418.44,NA,NA,$24394.21,NA,$21954.79,NA,NA,$24394.21,NA,NA,NA,NA,NA,NA,$24394.21,NA,$21954.79,$24394.21,$24394.21,NA,NA,NA,NA,NA,$28053.34,$24394.21,NA,NA,$24394.21,NA,$24394.21,NA,NA
Inpatient Rehabilitation Services,"Inpatient Rehab Per Discharge: Amputation, other",CMG 1103-A,NA,NA,$23921.74,$30566.67,NA,$26579.71,NA,$26579.71,NA,$25250.72,$25250.72,$25516.52,NA,NA,$26579.71,NA,$23921.74,NA,NA,$26579.71,NA,NA,NA,NA,NA,NA,$26579.71,NA,$23921.74,$26579.71,$26579.71,NA,NA,NA,NA,NA,$30566.67,$26579.71,NA,NA,$26579.71,NA,$26579.71,NA,NA
Inpatient Rehabilitation Services,"Inpatient Rehab Per Discharge: Amputation, other",CMG 1103-B,NA,NA,$31696.95,$40501.66,NA,$35218.84,NA,$35218.84,NA,$33457.90,$33457.90,$33810.08,NA,NA,$35218.84,NA,$31696.95,NA,NA,$35218.84,NA,NA,NA,NA,NA,NA,$35218.84,NA,$31696.95,$35218.84,$35218.84,NA,NA,NA,NA,NA,$40501.66,$35218.84,NA,NA,$35218.84,NA,$35218.84,NA,NA
Inpatient Rehabilitation Services,"Inpatient Rehab Per Discharge: Amputation, other",CMG 1103-C,NA,NA,$28245.45,$36091.41,NA,$31383.84,NA,$31383.84,NA,$29814.65,$29814.65,$30128.48,NA,NA,$31383.84,NA,$28245.45,NA,NA,$31383.84,NA,NA,NA,NA,NA,NA,$31383.84,NA,$28245.45,$31383.84,$31383.84,NA,NA,NA,NA,NA,$36091.41,$31383.84,NA,NA,$31383.84,NA,$31383.84,NA,NA
Inpatient Rehabilitation Services,"Inpatient Rehab Per Discharge: Amputation, other",CMG 1103-D,NA,NA,$24668.89,$31521.36,NA,$27409.87,NA,$27409.87,NA,$26039.38,$26039.38,$26313.48,NA,NA,$27409.87,NA,$24668.89,NA,NA,$27409.87,NA,NA,NA,NA,NA,NA,$27409.87,NA,$24668.89,$27409.87,$27409.87,NA,NA,NA,NA,NA,$31521.36,$27409.87,NA,NA,$27409.87,NA,$27409.87,NA,NA
Inpatient Rehabilitation Services,Inpatient Rehab Per Discharge: Osteoarthritis,CMG 1201-A,NA,NA,$14160.08,$18093.44,NA,$15733.43,NA,$15733.43,NA,$14946.76,$14946.76,$15104.09,NA,NA,$15733.43,NA,$14160.08,NA,NA,$15733.43,NA,NA,NA,NA,NA,NA,$15733.43,NA,$14160.08,$15733.43,$15733.43,NA,NA,NA,NA,NA,$18093.44,$15733.43,NA,NA,$15733.43,NA,$15733.43,NA,NA
Inpatient Rehabilitation Services,Inpatient Rehab Per Discharge: Osteoarthritis,CMG 1201-B,NA,NA,$23146.98,$29576.69,NA,$25718.87,NA,$25718.87,NA,$24432.92,$24432.92,$24690.11,NA,NA,$25718.87,NA,$23146.98,NA,NA,$25718.87,NA,NA,NA,NA,NA,NA,$25718.87,NA,$23146.98,$25718.87,$25718.87,NA,NA,NA,NA,NA,$29576.69,$25718.87,NA,NA,$25718.87,NA,$25718.87,NA,NA
Inpatient Rehabilitation Services,Inpatient Rehab Per Discharge: Osteoarthritis,CMG 1201-C,NA,NA,$15422.12,$19706.04,NA,$17135.68,NA,$17135.68,NA,$16278.90,$16278.90,$16450.26,NA,NA,$17135.68,NA,$15422.12,NA,NA,$17135.68,NA,NA,NA,NA,NA,NA,$17135.68,NA,$15422.12,$17135.68,$17135.68,NA,NA,NA,NA,NA,$19706.04,$17135.68,NA,NA,$17135.68,NA,$17135.68,NA,NA
Inpatient Rehabilitation Services,Inpatient Rehab Per Discharge: Osteoarthritis,CMG 1201-D,NA,NA,$15422.12,$19706.04,NA,$17135.68,NA,$17135.68,NA,$16278.90,$16278.90,$16450.26,NA,NA,$17135.68,NA,$15422.12,NA,NA,$17135.68,NA,NA,NA,NA,NA,NA,$17135.68,NA,$15422.12,$17135.68,$17135.68,NA,NA,NA,NA,NA,$19706.04,$17135.68,NA,NA,$17135.68,NA,$17135.68,NA,NA
Inpatient Rehabilitation Services,Inpatient Rehab Per Discharge: Osteoarthritis,CMG 1202-A,NA,NA,$17791.87,$22734.06,NA,$19768.75,NA,$19768.75,NA,$18780.31,$18780.31,$18978.00,NA,NA,$19768.75,NA,$17791.87,NA,NA,$19768.75,NA,NA,NA,NA,NA,NA,$19768.75,NA,$17791.87,$19768.75,$19768.75,NA,NA,NA,NA,NA,$22734.06,$19768.75,NA,NA,$19768.75,NA,$19768.75,NA,NA
Inpatient Rehabilitation Services,Inpatient Rehab Per Discharge: Osteoarthritis,CMG 1202-B,NA,NA,$29085.18,$37164.40,NA,$32316.87,NA,$32316.87,NA,$30701.03,$30701.03,$31024.20,NA,NA,$32316.87,NA,$29085.18,NA,NA,$32316.87,NA,NA,NA,NA,NA,NA,$32316.87,NA,$29085.18,$32316.87,$32316.87,NA,NA,NA,NA,NA,$37164.40,$32316.87,NA,NA,$32316.87,NA,$32316.87,NA,NA
Inpatient Rehabilitation Services,Inpatient Rehab Per Discharge: Osteoarthritis,CMG 1202-C,NA,NA,$19377.13,$24759.66,NA,$21530.14,NA,$21530.14,NA,$20453.64,$20453.64,$20668.94,NA,NA,$21530.14,NA,$19377.13,NA,NA,$21530.14,NA,NA,NA,NA,NA,NA,$21530.14,NA,$19377.13,$21530.14,$21530.14,NA,NA,NA,NA,NA,$24759.66,$21530.14,NA,NA,$21530.14,NA,$21530.14,NA,NA
Inpatient Rehabilitation Services,Inpatient Rehab Per Discharge: Osteoarthritis,CMG 1202-D,NA,NA,$19377.13,$24759.66,NA,$21530.14,NA,$21530.14,NA,$20453.64,$20453.64,$20668.94,NA,NA,$21530.14,NA,$19377.13,NA,NA,$21530.14,NA,NA,NA,NA,NA,NA,$21530.14,NA,$19377.13,$21530.14,$21530.14,NA,NA,NA,NA,NA,$24759.66,$21530.14,NA,NA,$21530.14,NA,$21530.14,NA,NA
Inpatient Rehabilitation Services,Inpatient Rehab Per Discharge: Osteoarthritis,CMG 1203-A,NA,NA,$20683.01,$26428.30,NA,$22981.13,NA,$22981.13,NA,$21832.07,$21832.07,$22061.88,NA,NA,$22981.13,NA,$20683.01,NA,NA,$22981.13,NA,NA,NA,NA,NA,NA,$22981.13,NA,$20683.01,$22981.13,$22981.13,NA,NA,NA,NA,NA,$26428.30,$22981.13,NA,NA,$22981.13,NA,$22981.13,NA,NA
Inpatient Rehabilitation Services,Inpatient Rehab Per Discharge: Osteoarthritis,CMG 1203-B,NA,NA,$33808.46,$43199.70,NA,$37564.96,NA,$37564.96,NA,$35686.71,$35686.71,$36062.36,NA,NA,$37564.96,NA,$33808.46,NA,NA,$37564.96,NA,NA,NA,NA,NA,NA,$37564.96,NA,$33808.46,$37564.96,$37564.96,NA,NA,NA,NA,NA,$43199.70,$37564.96,NA,NA,$37564.96,NA,$37564.96,NA,NA
Inpatient Rehabilitation Services,Inpatient Rehab Per Discharge: Osteoarthritis,CMG 1203-C,NA,NA,$22523.27,$28779.74,NA,$25025.86,NA,$25025.86,NA,$23774.57,$23774.57,$24024.82,NA,NA,$25025.86,NA,$22523.27,NA,NA,$25025.86,NA,NA,NA,NA,NA,NA,$25025.86,NA,$22523.27,$25025.86,$25025.86,NA,NA,NA,NA,NA,$28779.74,$25025.86,NA,NA,$25025.86,NA,$25025.86,NA,NA
Inpatient Rehabilitation Services,Inpatient Rehab Per Discharge: Osteoarthritis,CMG 1203-D,NA,NA,$22523.27,$28779.74,NA,$25025.86,NA,$25025.86,NA,$23774.57,$23774.57,$24024.82,NA,NA,$25025.86,NA,$22523.27,NA,NA,$25025.86,NA,NA,NA,NA,NA,NA,$25025.86,NA,$22523.27,$25025.86,$25025.86,NA,NA,NA,NA,NA,$28779.74,$25025.86,NA,NA,$25025.86,NA,$25025.86,NA,NA
Inpatient Rehabilitation Services,Inpatient Rehab Per Discharge: Osteoarthritis,CMG 1204-A,NA,NA,$21737.14,$27775.24,NA,$24152.38,NA,$24152.38,NA,$22944.76,$22944.76,$23186.29,NA,NA,$24152.38,NA,$21737.14,NA,NA,$24152.38,NA,NA,NA,NA,NA,NA,$24152.38,NA,$21737.14,$24152.38,$24152.38,NA,NA,NA,NA,NA,$27775.24,$24152.38,NA,NA,$24152.38,NA,$24152.38,NA,NA
Inpatient Rehabilitation Services,Inpatient Rehab Per Discharge: Osteoarthritis,CMG 1204-B,NA,NA,$35533.40,$45403.79,NA,$39481.55,NA,$39481.55,NA,$37507.48,$37507.48,$37902.29,NA,NA,$39481.55,NA,$35533.40,NA,NA,$39481.55,NA,NA,NA,NA,NA,NA,$39481.55,NA,$35533.40,$39481.55,$39481.55,NA,NA,NA,NA,NA,$45403.79,$39481.55,NA,NA,$39481.55,NA,$39481.55,NA,NA
Inpatient Rehabilitation Services,Inpatient Rehab Per Discharge: Osteoarthritis,CMG 1204-C,NA,NA,$23673.23,$30249.13,NA,$26303.59,NA,$26303.59,NA,$24988.41,$24988.41,$25251.45,NA,NA,$26303.59,NA,$23673.23,NA,NA,$26303.59,NA,NA,NA,NA,NA,NA,$26303.59,NA,$23673.23,$26303.59,$26303.59,NA,NA,NA,NA,NA,$30249.13,$26303.59,NA,NA,$26303.59,NA,$26303.59,NA,NA
Inpatient Rehabilitation Services,Inpatient Rehab Per Discharge: Osteoarthritis,CMG 1204-D,NA,NA,$23673.23,$30249.13,NA,$26303.59,NA,$26303.59,NA,$24988.41,$24988.41,$25251.45,NA,NA,$26303.59,NA,$23673.23,NA,NA,$26303.59,NA,NA,NA,NA,NA,NA,$26303.59,NA,$23673.23,$26303.59,$26303.59,NA,NA,NA,NA,NA,$30249.13,$26303.59,NA,NA,$26303.59,NA,$26303.59,NA,NA
Inpatient Rehabilitation Services,Inpatient Rehab Per Discharge: Rheumatoid and other arthritis,CMG 1301-A,NA,NA,$12745.38,$16285.76,NA,$14161.53,NA,$14161.53,NA,$13453.45,$13453.45,$13595.07,NA,NA,$14161.53,NA,$12745.38,NA,NA,$14161.53,NA,NA,NA,NA,NA,NA,$14161.53,NA,$12745.38,$14161.53,$14161.53,NA,NA,NA,NA,NA,$16285.76,$14161.53,NA,NA,$14161.53,NA,$14161.53,NA,NA
Inpatient Rehabilitation Services,Inpatient Rehab Per Discharge: Rheumatoid and other arthritis,CMG 1301-B,NA,NA,$18316.50,$23404.42,NA,$20351.67,NA,$20351.67,NA,$19334.09,$19334.09,$19537.60,NA,NA,$20351.67,NA,$18316.50,NA,NA,$20351.67,NA,NA,NA,NA,NA,NA,$20351.67,NA,$18316.50,$20351.67,$20351.67,NA,NA,NA,NA,NA,$23404.42,$20351.67,NA,NA,$20351.67,NA,$20351.67,NA,NA
Inpatient Rehabilitation Services,Inpatient Rehab Per Discharge: Rheumatoid and other arthritis,CMG 1301-C,NA,NA,$15123.26,$19324.16,NA,$16803.62,NA,$16803.62,NA,$15963.44,$15963.44,$16131.47,NA,NA,$16803.62,NA,$15123.26,NA,NA,$16803.62,NA,NA,NA,NA,NA,NA,$16803.62,NA,$15123.26,$16803.62,$16803.62,NA,NA,NA,NA,NA,$19324.16,$16803.62,NA,NA,$16803.62,NA,$16803.62,NA,NA
Inpatient Rehabilitation Services,Inpatient Rehab Per Discharge: Rheumatoid and other arthritis,CMG 1301-D,NA,NA,$14356.62,$18344.57,NA,$15951.80,NA,$15951.80,NA,$15154.21,$15154.21,$15313.72,NA,NA,$15951.80,NA,$14356.62,NA,NA,$15951.80,NA,NA,NA,NA,NA,NA,$15951.80,NA,$14356.62,$15951.80,$15951.80,NA,NA,NA,NA,NA,$18344.57,$15951.80,NA,NA,$15951.80,NA,$15951.80,NA,NA
Inpatient Rehabilitation Services,Inpatient Rehab Per Discharge: Rheumatoid and other arthritis,CMG 1302-A,NA,NA,$17439.42,$22283.70,NA,$19377.13,NA,$19377.13,NA,$18408.27,$18408.27,$18602.04,NA,NA,$19377.13,NA,$17439.42,NA,NA,$19377.13,NA,NA,NA,NA,NA,NA,$19377.13,NA,$17439.42,$19377.13,$19377.13,NA,NA,NA,NA,NA,$22283.70,$19377.13,NA,NA,$19377.13,NA,$19377.13,NA,NA
Inpatient Rehabilitation Services,Inpatient Rehab Per Discharge: Rheumatoid and other arthritis,CMG 1302-B,NA,NA,$25060.33,$32021.53,NA,$27844.81,NA,$27844.81,NA,$26452.57,$26452.57,$26731.02,NA,NA,$27844.81,NA,$25060.33,NA,NA,$27844.81,NA,NA,NA,NA,NA,NA,$27844.81,NA,$25060.33,$27844.81,$27844.81,NA,NA,NA,NA,NA,$32021.53,$27844.81,NA,NA,$27844.81,NA,$27844.81,NA,NA
Inpatient Rehabilitation Services,Inpatient Rehab Per Discharge: Rheumatoid and other arthritis,CMG 1302-C,NA,NA,$20692.76,$26440.75,NA,$22991.95,NA,$22991.95,NA,$21842.36,$21842.36,$22072.28,NA,NA,$22991.95,NA,$20692.76,NA,NA,$22991.95,NA,NA,NA,NA,NA,NA,$22991.95,NA,$20692.76,$22991.95,$22991.95,NA,NA,NA,NA,NA,$26440.75,$22991.95,NA,NA,$22991.95,NA,$22991.95,NA,NA
Inpatient Rehabilitation Services,Inpatient Rehab Per Discharge: Rheumatoid and other arthritis,CMG 1302-D,NA,NA,$19643.50,$25100.03,NA,$21826.11,NA,$21826.11,NA,$20734.81,$20734.81,$20953.07,NA,NA,$21826.11,NA,$19643.50,NA,NA,$21826.11,NA,NA,NA,NA,NA,NA,$21826.11,NA,$19643.50,$21826.11,$21826.11,NA,NA,NA,NA,NA,$25100.03,$21826.11,NA,NA,$21826.11,NA,$21826.11,NA,NA
Inpatient Rehabilitation Services,Inpatient Rehab Per Discharge: Rheumatoid and other arthritis,CMG 1303-A,NA,NA,$20103.16,$25687.37,NA,$22336.85,NA,$22336.85,NA,$21220.00,$21220.00,$21443.37,NA,NA,$22336.85,NA,$20103.16,NA,NA,$22336.85,NA,NA,NA,NA,NA,NA,$22336.85,NA,$20103.16,$22336.85,$22336.85,NA,NA,NA,NA,NA,$25687.37,$22336.85,NA,NA,$22336.85,NA,$22336.85,NA,NA
Inpatient Rehabilitation Services,Inpatient Rehab Per Discharge: Rheumatoid and other arthritis,CMG 1303-B,NA,NA,$28888.65,$36913.28,NA,$32098.50,NA,$32098.50,NA,$30493.58,$30493.58,$30814.56,NA,NA,$32098.50,NA,$28888.65,NA,NA,$32098.50,NA,NA,NA,NA,NA,NA,$32098.50,NA,$28888.65,$32098.50,$32098.50,NA,NA,NA,NA,NA,$36913.28,$32098.50,NA,NA,$32098.50,NA,$32098.50,NA,NA
Inpatient Rehabilitation Services,Inpatient Rehab Per Discharge: Rheumatoid and other arthritis,CMG 1303-C,NA,NA,$23853.52,$30479.50,NA,$26503.91,NA,$26503.91,NA,$25178.72,$25178.72,$25443.76,NA,NA,$26503.91,NA,$23853.52,NA,NA,$26503.91,NA,NA,NA,NA,NA,NA,$26503.91,NA,$23853.52,$26503.91,$26503.91,NA,NA,NA,NA,NA,$30479.50,$26503.91,NA,NA,$26503.91,NA,$26503.91,NA,NA
Inpatient Rehabilitation Services,Inpatient Rehab Per Discharge: Rheumatoid and other arthritis,CMG 1303-D,NA,NA,$22643.47,$28933.32,NA,$25159.41,NA,$25159.41,NA,$23901.44,$23901.44,$24153.03,NA,NA,$25159.41,NA,$22643.47,NA,NA,$25159.41,NA,NA,NA,NA,NA,NA,$25159.41,NA,$22643.47,$25159.41,$25159.41,NA,NA,NA,NA,NA,$28933.32,$25159.41,NA,NA,$25159.41,NA,$25159.41,NA,NA
Inpatient Rehabilitation Services,Inpatient Rehab Per Discharge: Rheumatoid and other arthritis,CMG 1304-A,NA,NA,$23302.91,$29775.93,NA,$25892.12,NA,$25892.12,NA,$24597.51,$24597.51,$24856.43,NA,NA,$25892.12,NA,$23302.91,NA,NA,$25892.12,NA,NA,NA,NA,NA,NA,$25892.12,NA,$23302.91,$25892.12,$25892.12,NA,NA,NA,NA,NA,$29775.93,$25892.12,NA,NA,$25892.12,NA,$25892.12,NA,NA
Inpatient Rehabilitation Services,Inpatient Rehab Per Discharge: Rheumatoid and other arthritis,CMG 1304-B,NA,NA,$33486.86,$42788.77,NA,$37207.62,NA,$37207.62,NA,$35347.24,$35347.24,$35719.32,NA,NA,$37207.62,NA,$33486.86,NA,NA,$37207.62,NA,NA,NA,NA,NA,NA,$37207.62,NA,$33486.86,$37207.62,$37207.62,NA,NA,NA,NA,NA,$42788.77,$37207.62,NA,NA,$37207.62,NA,$37207.62,NA,NA
Inpatient Rehabilitation Services,Inpatient Rehab Per Discharge: Rheumatoid and other arthritis,CMG 1304-C,NA,NA,$27650.98,$35331.81,NA,$30723.31,NA,$30723.31,NA,$29187.15,$29187.15,$29494.38,NA,NA,$30723.31,NA,$27650.98,NA,NA,$30723.31,NA,NA,NA,NA,NA,NA,$30723.31,NA,$27650.98,$30723.31,$30723.31,NA,NA,NA,NA,NA,$35331.81,$30723.31,NA,NA,$30723.31,NA,$30723.31,NA,NA
Inpatient Rehabilitation Services,Inpatient Rehab Per Discharge: Rheumatoid and other arthritis,CMG 1304-D,NA,NA,$26249.27,$33540.73,NA,$29165.85,NA,$29165.85,NA,$27707.56,$27707.56,$27999.22,NA,NA,$29165.85,NA,$26249.27,NA,NA,$29165.85,NA,NA,NA,NA,NA,NA,$29165.85,NA,$26249.27,$29165.85,$29165.85,NA,NA,NA,NA,NA,$33540.73,$29165.85,NA,NA,$29165.85,NA,$29165.85,NA,NA
Inpatient Rehabilitation Services,Inpatient Rehab Per Discharge: Rheumatoid and other arthritis,CMG 1305-A,NA,NA,$23595.27,$30149.51,NA,$26216.96,NA,$26216.96,NA,$24906.12,$24906.12,$25168.29,NA,NA,$26216.96,NA,$23595.27,NA,NA,$26216.96,NA,NA,NA,NA,NA,NA,$26216.96,NA,$23595.27,$26216.96,$26216.96,NA,NA,NA,NA,NA,$30149.51,$26216.96,NA,NA,$26216.96,NA,$26216.96,NA,NA
Inpatient Rehabilitation Services,Inpatient Rehab Per Discharge: Rheumatoid and other arthritis,CMG 1305-B,NA,NA,$33907.54,$43326.30,NA,$37675.04,NA,$37675.04,NA,$35791.29,$35791.29,$36168.04,NA,NA,$37675.04,NA,$33907.54,NA,NA,$37675.04,NA,NA,NA,NA,NA,NA,$37675.04,NA,$33907.54,$37675.04,$37675.04,NA,NA,NA,NA,NA,$43326.30,$37675.04,NA,NA,$37675.04,NA,$37675.04,NA,NA
Inpatient Rehabilitation Services,Inpatient Rehab Per Discharge: Rheumatoid and other arthritis,CMG 1305-C,NA,NA,$27996.95,$35773.87,NA,$31107.72,NA,$31107.72,NA,$29552.33,$29552.33,$29863.41,NA,NA,$31107.72,NA,$27996.95,NA,NA,$31107.72,NA,NA,NA,NA,NA,NA,$31107.72,NA,$27996.95,$31107.72,$31107.72,NA,NA,NA,NA,NA,$35773.87,$31107.72,NA,NA,$31107.72,NA,$31107.72,NA,NA
Inpatient Rehabilitation Services,Inpatient Rehab Per Discharge: Rheumatoid and other arthritis,CMG 1305-D,NA,NA,$26577.36,$33959.96,NA,$29530.40,NA,$29530.40,NA,$28053.88,$28053.88,$28349.19,NA,NA,$29530.40,NA,$26577.36,NA,NA,$29530.40,NA,NA,NA,NA,NA,NA,$29530.40,NA,$26577.36,$29530.40,$29530.40,NA,NA,NA,NA,NA,$33959.96,$29530.40,NA,NA,$29530.40,NA,$29530.40,NA,NA
Inpatient Rehabilitation Services,Inpatient Rehab Per Discharge: Cardiac,CMG 1401-A,NA,NA,$12319.83,$15742.00,NA,$13688.70,NA,$13688.70,NA,$13004.26,$13004.26,$13141.15,NA,NA,$13688.70,NA,$12319.83,NA,NA,$13688.70,NA,NA,NA,NA,NA,NA,$13688.70,NA,$12319.83,$13688.70,$13688.70,NA,NA,NA,NA,NA,$15742.00,$13688.70,NA,NA,$13688.70,NA,$13688.70,NA,NA
Inpatient Rehabilitation Services,Inpatient Rehab Per Discharge: Cardiac,CMG 1401-B,NA,NA,$18607.24,$23775.92,NA,$20674.71,NA,$20674.71,NA,$19640.98,$19640.98,$19847.72,NA,NA,$20674.71,NA,$18607.24,NA,NA,$20674.71,NA,NA,NA,NA,NA,NA,$20674.71,NA,$18607.24,$20674.71,$20674.71,NA,NA,NA,NA,NA,$23775.92,$20674.71,NA,NA,$20674.71,NA,$20674.71,NA,NA
Inpatient Rehabilitation Services,Inpatient Rehab Per Discharge: Cardiac,CMG 1401-C,NA,NA,$15254.82,$19492.27,NA,$16949.80,NA,$16949.80,NA,$16102.31,$16102.31,$16271.81,NA,NA,$16949.80,NA,$15254.82,NA,NA,$16949.80,NA,NA,NA,NA,NA,NA,$16949.80,NA,$15254.82,$16949.80,$16949.80,NA,NA,NA,NA,NA,$19492.27,$16949.80,NA,NA,$16949.80,NA,$16949.80,NA,NA
