Encompass Health Rehabilitation Hospital of Largo,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Prices Posted and Effective 1/1/2021,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Note: General file information and additional details can be found on the Price Transparency page of this hospital's website,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PATIENT_TYPE,SHOPPABLE_SERVICES,BILLING_REVENUE_SERVICE_CODE,GROSS_CHARGE,DISCOUNTED_CASH_PRICE,DEIDENTIFIED_MIN_NEGOTIATED_CHARGE,DEIDENTIFIED_MAX_NEGOTIATED_CHARGE,ADVANET WORK COMP (ADVW) negotiated charge,AETNA (AET) negotiated charge,AETNA MEDICARE (AETM) negotiated charge,AETNA WORKERS COMP ACCESS (AETW) negotiated charge,AVMED HEALTH PLAN (AVMD) negotiated charge,BC HEALTH OPTIONS EXCHANG (BHOZ) negotiated charge,BCBS OUT OF STATE (BCBS) negotiated charge,BCFL BLUE SELECT (BCSE) negotiated charge,BCFL TRADITIONAL (BCFL) negotiated charge,CARE PLUS HEALTH PLAN (CPH) negotiated charge,CAREPLUS HEALTH MEDICARE (CPHM) negotiated charge,CAREWORKS (CRW) negotiated charge,CAREWORKS WORK COMP (CRWW) negotiated charge,CHAMPVA (CVA) negotiated charge,CIGNA (CIG) negotiated charge,CORVEL WC (CVLW) negotiated charge,GLOBAL EXCEL MANAGEMENT (GBE) negotiated charge,HEALTH OPTIONS MEDICARE (BCHM) negotiated charge,HERITAGE SUMMIT WORK COMP (HSHW) negotiated charge,HUMANA (HUM) negotiated charge,HUMANA EXCHANGE (HUMZ) negotiated charge,HUMANA MEDICARE (HUMM) negotiated charge,HUMANA MILITARY (TRICARE) (TRI) negotiated charge,MULTIPLAN (MUL) negotiated charge,NETWORK BLUE MEDICARE (BCBM) negotiated charge,ONE CALL MEDICAL WC (OCLW) negotiated charge,PRIME HEALTH SERVICES WC (PRMW) negotiated charge,PRIVATE HEALTHCARE SYSTEM (PHST) negotiated charge,PROVIDER NET OF AMERICA (PAM) negotiated charge,PYR/AMERICAN PROGRESSIVE (AMPM) negotiated charge,THE RENY COMPANY WC (REN) negotiated charge,UHC VA CCN (UHV) negotiated charge,UNITED HEALTHCARE (UHC) negotiated charge,UNITED HEALTHCARE MEDICAR (UHCM) negotiated charge,WELLCARE MEDICARE (WLCM) negotiated charge,ZELIAS NET SOLUTIONS WC (ZNSW) negotiated charge,ZELIAS NETWORK SOLUTIONS (ZNS) negotiated charge
Inpatient Rehabilitation Services,Inpatient Rehab Per Discharge: Rheumatoid and other arthritis,CMG 1305-A,NA,NA,$21859.80,$26461.87,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,$23010.32,NA,NA,NA,$23010.32,NA,NA,NA,NA,$23010.32,NA,$23010.32,NA,NA,NA,$26461.87,$23010.32,NA,$23010.32,NA,$21859.80,NA,NA,NA
Inpatient Rehabilitation Services,Inpatient Rehab Per Discharge: Rheumatoid and other arthritis,CMG 1305-B,NA,NA,$31413.59,$38026.98,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,$33066.94,NA,NA,NA,$33066.94,NA,NA,NA,NA,$33066.94,NA,$33066.94,NA,NA,NA,$38026.98,$33066.94,NA,$33066.94,NA,$31413.59,NA,NA,NA
Inpatient Rehabilitation Services,Inpatient Rehab Per Discharge: Rheumatoid and other arthritis,CMG 1305-C,NA,NA,$25937.73,$31398.30,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,$27302.87,NA,NA,NA,$27302.87,NA,NA,NA,NA,$27302.87,NA,$27302.87,NA,NA,NA,$31398.30,$27302.87,NA,$27302.87,NA,$25937.73,NA,NA,NA
Inpatient Rehabilitation Services,Inpatient Rehab Per Discharge: Rheumatoid and other arthritis,CMG 1305-D,NA,NA,$24622.56,$29806.26,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,$25918.48,NA,NA,NA,$25918.48,NA,NA,NA,NA,$25918.48,NA,$25918.48,NA,NA,NA,$29806.26,$25918.48,NA,$25918.48,NA,$24622.56,NA,NA,NA
Inpatient Rehabilitation Services,Inpatient Rehab Per Discharge: Cardiac,CMG 1401-A,NA,NA,$11413.68,$13816.57,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,$12014.40,NA,NA,NA,$12014.40,NA,NA,NA,NA,$12014.40,NA,$12014.40,NA,NA,NA,$13816.57,$12014.40,NA,$12014.40,NA,$11413.68,NA,NA,NA
Inpatient Rehabilitation Services,Inpatient Rehab Per Discharge: Cardiac,CMG 1401-B,NA,NA,$17238.65,$20867.84,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,$18145.95,NA,NA,NA,$18145.95,NA,NA,NA,NA,$18145.95,NA,$18145.95,NA,NA,NA,$20867.84,$18145.95,NA,$18145.95,NA,$17238.65,NA,NA,NA
Inpatient Rehabilitation Services,Inpatient Rehab Per Discharge: Cardiac,CMG 1401-C,NA,NA,$14132.81,$17108.13,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,$14876.64,NA,NA,NA,$14876.64,NA,NA,NA,NA,$14876.64,NA,$14876.64,NA,NA,NA,$17108.13,$14876.64,NA,$14876.64,NA,$14132.81,NA,NA,NA
Inpatient Rehabilitation Services,Inpatient Rehab Per Discharge: Cardiac,CMG 1401-D,NA,NA,$12755.94,$15441.40,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,$13427.31,NA,NA,NA,$13427.31,NA,NA,NA,NA,$13427.31,NA,$13427.31,NA,NA,NA,$15441.40,$13427.31,NA,$13427.31,NA,$12755.94,NA,NA,NA
Inpatient Rehabilitation Services,Inpatient Rehab Per Discharge: Cardiac,CMG 1402-A,NA,NA,$14338.96,$17357.69,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,$15093.64,NA,NA,NA,$15093.64,NA,NA,NA,NA,$15093.64,NA,$15093.64,NA,NA,NA,$17357.69,$15093.64,NA,$15093.64,NA,$14338.96,NA,NA,NA
Inpatient Rehabilitation Services,Inpatient Rehab Per Discharge: Cardiac,CMG 1402-B,NA,NA,$21655.15,$26214.13,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,$22794.90,NA,NA,NA,$22794.90,NA,NA,NA,NA,$22794.90,NA,$22794.90,NA,NA,NA,$26214.13,$22794.90,NA,$22794.90,NA,$21655.15,NA,NA,NA
Inpatient Rehabilitation Services,Inpatient Rehab Per Discharge: Cardiac,CMG 1402-C,NA,NA,$17754.79,$21492.64,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,$18689.25,NA,NA,NA,$18689.25,NA,NA,NA,NA,$18689.25,NA,$18689.25,NA,NA,NA,$21492.64,$18689.25,NA,$18689.25,NA,$17754.79,NA,NA,NA
Inpatient Rehabilitation Services,Inpatient Rehab Per Discharge: Cardiac,CMG 1402-D,NA,NA,$16025.81,$19399.66,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,$16869.27,NA,NA,NA,$16869.27,NA,NA,NA,NA,$16869.27,NA,$16869.27,NA,NA,NA,$19399.66,$16869.27,NA,$16869.27,NA,$16025.81,NA,NA,NA
Inpatient Rehabilitation Services,Inpatient Rehab Per Discharge: Cardiac,CMG 1403-A,NA,NA,$17410.20,$21075.50,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,$18326.52,NA,NA,NA,$18326.52,NA,NA,NA,NA,$18326.52,NA,$18326.52,NA,NA,NA,$21075.50,$18326.52,NA,$18326.52,NA,$17410.20,NA,NA,NA
Inpatient Rehabilitation Services,Inpatient Rehab Per Discharge: Cardiac,CMG 1403-B,NA,NA,$26294.36,$31830.02,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,$27678.27,NA,NA,NA,$27678.27,NA,NA,NA,NA,$27678.27,NA,$27678.27,NA,NA,NA,$31830.02,$27678.27,NA,$27678.27,NA,$26294.36,NA,NA,NA
Inpatient Rehabilitation Services,Inpatient Rehab Per Discharge: Cardiac,CMG 1403-C,NA,NA,$21557.34,$26095.73,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,$22691.94,NA,NA,NA,$22691.94,NA,NA,NA,NA,$22691.94,NA,$22691.94,NA,NA,NA,$26095.73,$22691.94,NA,$22691.94,NA,$21557.34,NA,NA,NA
Inpatient Rehabilitation Services,Inpatient Rehab Per Discharge: Cardiac,CMG 1403-D,NA,NA,$19458.19,$23554.65,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,$20482.30,NA,NA,NA,$20482.30,NA,NA,NA,NA,$20482.30,NA,$20482.30,NA,NA,NA,$23554.65,$20482.30,NA,$20482.30,NA,$19458.19,NA,NA,NA
Inpatient Rehabilitation Services,Inpatient Rehab Per Discharge: Cardiac,CMG 1404-A,NA,NA,$20449.83,$24755.06,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,$21526.14,NA,NA,NA,$21526.14,NA,NA,NA,NA,$21526.14,NA,$21526.14,NA,NA,NA,$24755.06,$21526.14,NA,$21526.14,NA,$20449.83,NA,NA,NA
Inpatient Rehabilitation Services,Inpatient Rehab Per Discharge: Cardiac,CMG 1404-B,NA,NA,$30883.91,$37385.79,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,$32509.38,NA,NA,NA,$32509.38,NA,NA,NA,NA,$32509.38,NA,$32509.38,NA,NA,NA,$37385.79,$32509.38,NA,$32509.38,NA,$30883.91,NA,NA,NA
Inpatient Rehabilitation Services,Inpatient Rehab Per Discharge: Cardiac,CMG 1404-C,NA,NA,$25320.77,$30651.46,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,$26653.45,NA,NA,NA,$26653.45,NA,NA,NA,NA,$26653.45,NA,$26653.45,NA,NA,NA,$30651.46,$26653.45,NA,$26653.45,NA,$25320.77,NA,NA,NA
Inpatient Rehabilitation Services,Inpatient Rehab Per Discharge: Cardiac,CMG 1404-D,NA,NA,$22854.46,$27665.92,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,$24057.32,NA,NA,NA,$24057.32,NA,NA,NA,NA,$24057.32,NA,$24057.32,NA,NA,NA,$27665.92,$24057.32,NA,$24057.32,NA,$22854.46,NA,NA,NA
Inpatient Rehabilitation Services,Inpatient Rehab Per Discharge: Pulmonary,CMG 1501-A,NA,NA,$13937.18,$16871.33,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,$14670.72,NA,NA,NA,$14670.72,NA,NA,NA,NA,$14670.72,NA,$14670.72,NA,NA,NA,$16871.33,$14670.72,NA,$14670.72,NA,$13937.18,NA,NA,NA
Inpatient Rehabilitation Services,Inpatient Rehab Per Discharge: Pulmonary,CMG 1501-B,NA,NA,$19419.06,$23507.29,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,$20441.12,NA,NA,NA,$20441.12,NA,NA,NA,NA,$20441.12,NA,$20441.12,NA,NA,NA,$23507.29,$20441.12,NA,$20441.12,NA,$19419.06,NA,NA,NA
Inpatient Rehabilitation Services,Inpatient Rehab Per Discharge: Pulmonary,CMG 1501-C,NA,NA,$15551.80,$18825.87,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,$16370.32,NA,NA,NA,$16370.32,NA,NA,NA,NA,$16370.32,NA,$16370.32,NA,NA,NA,$18825.87,$16370.32,NA,$16370.32,NA,$15551.80,NA,NA,NA
Inpatient Rehabilitation Services,Inpatient Rehab Per Discharge: Pulmonary,CMG 1501-D,NA,NA,$14528.56,$17587.20,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,$15293.22,NA,NA,NA,$15293.22,NA,NA,NA,NA,$15293.22,NA,$15293.22,NA,NA,NA,$17587.20,$15293.22,NA,$15293.22,NA,$14528.56,NA,NA,NA
Inpatient Rehabilitation Services,Inpatient Rehab Per Discharge: Pulmonary,CMG 1502-A,NA,NA,$17185.98,$20804.09,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,$18090.51,NA,NA,NA,$18090.51,NA,NA,NA,NA,$18090.51,NA,$18090.51,NA,NA,NA,$20804.09,$18090.51,NA,$18090.51,NA,$17185.98,NA,NA,NA
Inpatient Rehabilitation Services,Inpatient Rehab Per Discharge: Pulmonary,CMG 1502-B,NA,NA,$23945.41,$28986.55,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,$25205.70,NA,NA,NA,$25205.70,NA,NA,NA,NA,$25205.70,NA,$25205.70,NA,NA,NA,$28986.55,$25205.70,NA,$25205.70,NA,$23945.41,NA,NA,NA
Inpatient Rehabilitation Services,Inpatient Rehab Per Discharge: Pulmonary,CMG 1502-C,NA,NA,$19176.80,$23214.02,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,$20186.10,NA,NA,NA,$20186.10,NA,NA,NA,NA,$20186.10,NA,$20186.10,NA,NA,NA,$23214.02,$20186.10,NA,$20186.10,NA,$19176.80,NA,NA,NA
Inpatient Rehabilitation Services,Inpatient Rehab Per Discharge: Pulmonary,CMG 1502-D,NA,NA,$17915.80,$21687.55,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,$18858.73,NA,NA,NA,$18858.73,NA,NA,NA,NA,$18858.73,NA,$18858.73,NA,NA,NA,$21687.55,$18858.73,NA,$18858.73,NA,$17915.80,NA,NA,NA
Inpatient Rehabilitation Services,Inpatient Rehab Per Discharge: Pulmonary,CMG 1503-A,NA,NA,$19954.76,$24155.76,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,$21005.01,NA,NA,NA,$21005.01,NA,NA,NA,NA,$21005.01,NA,$21005.01,NA,NA,NA,$24155.76,$21005.01,NA,$21005.01,NA,$19954.76,NA,NA,NA
Inpatient Rehabilitation Services,Inpatient Rehab Per Discharge: Pulmonary,CMG 1503-B,NA,NA,$27802.14,$33655.22,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,$29265.41,NA,NA,NA,$29265.41,NA,NA,NA,NA,$29265.41,NA,$29265.41,NA,NA,NA,$33655.22,$29265.41,NA,$29265.41,NA,$27802.14,NA,NA,NA
Inpatient Rehabilitation Services,Inpatient Rehab Per Discharge: Pulmonary,CMG 1503-C,NA,NA,$22264.59,$26951.87,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,$23436.41,NA,NA,NA,$23436.41,NA,NA,NA,NA,$23436.41,NA,$23436.41,NA,NA,NA,$26951.87,$23436.41,NA,$23436.41,NA,$22264.59,NA,NA,NA
Inpatient Rehabilitation Services,Inpatient Rehab Per Discharge: Pulmonary,CMG 1503-D,NA,NA,$20800.44,$25179.48,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,$21895.20,NA,NA,NA,$21895.20,NA,NA,NA,NA,$21895.20,NA,$21895.20,NA,NA,NA,$25179.48,$21895.20,NA,$21895.20,NA,$20800.44,NA,NA,NA
Inpatient Rehabilitation Services,Inpatient Rehab Per Discharge: Pulmonary,CMG 1504-A,NA,NA,$23135.85,$28006.55,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,$24353.52,NA,NA,NA,$24353.52,NA,NA,NA,NA,$24353.52,NA,$24353.52,NA,NA,NA,$28006.55,$24353.52,NA,$24353.52,NA,$23135.85,NA,NA,NA
Inpatient Rehabilitation Services,Inpatient Rehab Per Discharge: Pulmonary,CMG 1504-B,NA,NA,$32233.69,$39019.73,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,$33930.20,NA,NA,NA,$33930.20,NA,NA,NA,NA,$33930.20,NA,$33930.20,NA,NA,NA,$39019.73,$33930.20,NA,$33930.20,NA,$32233.69,NA,NA,NA
Inpatient Rehabilitation Services,Inpatient Rehab Per Discharge: Pulmonary,CMG 1504-C,NA,NA,$25812.83,$31247.11,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,$27171.40,NA,NA,NA,$27171.40,NA,NA,NA,NA,$27171.40,NA,$27171.40,NA,NA,NA,$31247.11,$27171.40,NA,$27171.40,NA,$25812.83,NA,NA,NA
Inpatient Rehabilitation Services,Inpatient Rehab Per Discharge: Pulmonary,CMG 1504-D,NA,NA,$24116.96,$29194.21,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,$25386.27,NA,NA,NA,$25386.27,NA,NA,NA,NA,$25386.27,NA,$25386.27,NA,NA,NA,$29194.21,$25386.27,NA,$25386.27,NA,$24116.96,NA,NA,NA
Inpatient Rehabilitation Services,Inpatient Rehab Per Discharge: Pain syndrome,CMG 1601-A,NA,NA,$12080.30,$14623.52,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,$12716.10,NA,NA,NA,$12716.10,NA,NA,NA,NA,$12716.10,NA,$12716.10,NA,NA,NA,$14623.52,$12716.10,NA,$12716.10,NA,$12080.30,NA,NA,NA
Inpatient Rehabilitation Services,Inpatient Rehab Per Discharge: Pain syndrome,CMG 1601-B,NA,NA,$14880.68,$18013.45,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,$15663.87,NA,NA,NA,$15663.87,NA,NA,NA,NA,$15663.87,NA,$15663.87,NA,NA,NA,$18013.45,$15663.87,NA,$15663.87,NA,$14880.68,NA,NA,NA
Inpatient Rehabilitation Services,Inpatient Rehab Per Discharge: Pain syndrome,CMG 1601-C,NA,NA,$14880.68,$18013.45,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,$15663.87,NA,NA,NA,$15663.87,NA,NA,NA,NA,$15663.87,NA,$15663.87,NA,NA,NA,$18013.45,$15663.87,NA,$15663.87,NA,$14880.68,NA,NA,NA
Inpatient Rehabilitation Services,Inpatient Rehab Per Discharge: Pain syndrome,CMG 1601-D,NA,NA,$13421.05,$16246.53,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,$14127.42,NA,NA,NA,$14127.42,NA,NA,NA,NA,$14127.42,NA,$14127.42,NA,NA,NA,$16246.53,$14127.42,NA,$14127.42,NA,$13421.05,NA,NA,NA
Inpatient Rehabilitation Services,Inpatient Rehab Per Discharge: Pain syndrome,CMG 1602-A,NA,NA,$13530.90,$16379.51,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,$14243.05,NA,NA,NA,$14243.05,NA,NA,NA,NA,$14243.05,NA,$14243.05,NA,NA,NA,$16379.51,$14243.05,NA,$14243.05,NA,$13530.90,NA,NA,NA
Inpatient Rehabilitation Services,Inpatient Rehab Per Discharge: Pain syndrome,CMG 1602-B,NA,NA,$16669.85,$20179.29,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,$17547.21,NA,NA,NA,$17547.21,NA,NA,NA,NA,$17547.21,NA,$17547.21,NA,NA,NA,$20179.29,$17547.21,NA,$17547.21,NA,$16669.85,NA,NA,NA
Inpatient Rehabilitation Services,Inpatient Rehab Per Discharge: Pain syndrome,CMG 1602-C,NA,NA,$16669.85,$20179.29,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,$17547.21,NA,NA,NA,$17547.21,NA,NA,NA,NA,$17547.21,NA,$17547.21,NA,NA,NA,$20179.29,$17547.21,NA,$17547.21,NA,$16669.85,NA,NA,NA
Inpatient Rehabilitation Services,Inpatient Rehab Per Discharge: Pain syndrome,CMG 1602-D,NA,NA,$15034.16,$18199.25,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,$15825.43,NA,NA,NA,$15825.43,NA,NA,NA,NA,$15825.43,NA,$15825.43,NA,NA,NA,$18199.25,$15825.43,NA,$15825.43,NA,$15034.16,NA,NA,NA
Inpatient Rehabilitation Services,Inpatient Rehab Per Discharge: Pain syndrome,CMG 1603-A,NA,NA,$16535.92,$20017.17,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,$17406.24,NA,NA,NA,$17406.24,NA,NA,NA,NA,$17406.24,NA,$17406.24,NA,NA,NA,$20017.17,$17406.24,NA,$17406.24,NA,$16535.92,NA,NA,NA
Inpatient Rehabilitation Services,Inpatient Rehab Per Discharge: Pain syndrome,CMG 1603-B,NA,NA,$20371.58,$24660.34,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,$21443.77,NA,NA,NA,$21443.77,NA,NA,NA,NA,$21443.77,NA,$21443.77,NA,NA,NA,$24660.34,$21443.77,NA,$21443.77,NA,$20371.58,NA,NA,NA
Inpatient Rehabilitation Services,Inpatient Rehab Per Discharge: Pain syndrome,CMG 1603-C,NA,NA,$20371.58,$24660.34,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,$21443.77,NA,NA,NA,$21443.77,NA,NA,NA,NA,$21443.77,NA,$21443.77,NA,NA,NA,$24660.34,$21443.77,NA,$21443.77,NA,$20371.58,NA,NA,NA
Inpatient Rehabilitation Services,Inpatient Rehab Per Discharge: Pain syndrome,CMG 1603-D,NA,NA,$18371.74,$22239.48,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,$19338.68,NA,NA,NA,$19338.68,NA,NA,NA,NA,$19338.68,NA,$19338.68,NA,NA,NA,$22239.48,$19338.68,NA,$19338.68,NA,$18371.74,NA,NA,NA
Inpatient Rehabilitation Services,Inpatient Rehab Per Discharge: Pain syndrome,CMG 1604-A,NA,NA,$21011.11,$25434.50,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,$22116.96,NA,NA,NA,$22116.96,NA,NA,NA,NA,$22116.96,NA,$22116.96,NA,NA,NA,$25434.50,$22116.96,NA,$22116.96,NA,$21011.11,NA,NA,NA
Inpatient Rehabilitation Services,Inpatient Rehab Per Discharge: Pain syndrome,CMG 1604-B,NA,NA,$25883.56,$31332.73,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,$27245.85,NA,NA,NA,$27245.85,NA,NA,NA,NA,$27245.85,NA,$27245.85,NA,NA,NA,$31332.73,$27245.85,NA,$27245.85,NA,$25883.56,NA,NA,NA
Inpatient Rehabilitation Services,Inpatient Rehab Per Discharge: Pain syndrome,CMG 1604-C,NA,NA,$25883.56,$31332.73,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,$27245.85,NA,NA,NA,$27245.85,NA,NA,NA,NA,$27245.85,NA,$27245.85,NA,NA,NA,$31332.73,$27245.85,NA,$27245.85,NA,$25883.56,NA,NA,NA
Inpatient Rehabilitation Services,Inpatient Rehab Per Discharge: Pain syndrome,CMG 1604-D,NA,NA,$23343.51,$28257.93,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,$24572.11,NA,NA,NA,$24572.11,NA,NA,NA,NA,$24572.11,NA,$24572.11,NA,NA,NA,$28257.93,$24572.11,NA,$24572.11,NA,$23343.51,NA,NA,NA
Inpatient Rehabilitation Services,"Inpatient Rehab Per Discharge: Major Mult. Trauma, no brain or spinal cord injury",CMG 1701-A,NA,NA,$13591.09,$16452.37,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,$14306.41,NA,NA,NA,$14306.41,NA,NA,NA,NA,$14306.41,NA,$14306.41,NA,NA,NA,$16452.37,$14306.41,NA,$14306.41,NA,$13591.09,NA,NA,NA
Inpatient Rehabilitation Services,"Inpatient Rehab Per Discharge: Major Mult. Trauma, no brain or spinal cord injury",CMG 1701-B,NA,NA,$20931.36,$25337.96,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,$22033.01,NA,NA,NA,$22033.01,NA,NA,NA,NA,$22033.01,NA,$22033.01,NA,NA,NA,$25337.96,$22033.01,NA,$22033.01,NA,$20931.36,NA,NA,NA
Inpatient Rehabilitation Services,"Inpatient Rehab Per Discharge: Major Mult. Trauma, no brain or spinal cord injury",CMG 1701-C,NA,NA,$16420.06,$19876.91,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,$17284.27,NA,NA,NA,$17284.27,NA,NA,NA,NA,$17284.27,NA,$17284.27,NA,NA,NA,$19876.91,$17284.27,NA,$17284.27,NA,$16420.06,NA,NA,NA
Inpatient Rehabilitation Services,"Inpatient Rehab Per Discharge: Major Mult. Trauma, no brain or spinal cord injury",CMG 1701-D,NA,NA,$14925.82,$18068.10,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,$15711.39,NA,NA,NA,$15711.39,NA,NA,NA,NA,$15711.39,NA,$15711.39,NA,NA,NA,$18068.10,$15711.39,NA,$15711.39,NA,$14925.82,NA,NA,NA
Inpatient Rehabilitation Services,"Inpatient Rehab Per Discharge: Major Mult. Trauma, no brain or spinal cord injury",CMG 1702-A,NA,NA,$16599.12,$20093.68,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,$17472.76,NA,NA,NA,$17472.76,NA,NA,NA,NA,$17472.76,NA,$17472.76,NA,NA,NA,$20093.68,$17472.76,NA,$17472.76,NA,$16599.12,NA,NA,NA
Inpatient Rehabilitation Services,"Inpatient Rehab Per Discharge: Major Mult. Trauma, no brain or spinal cord injury",CMG 1702-B,NA,NA,$25563.04,$30944.74,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,$26908.47,NA,NA,NA,$26908.47,NA,NA,NA,NA,$26908.47,NA,$26908.47,NA,NA,NA,$30944.74,$26908.47,NA,$26908.47,NA,$25563.04,NA,NA,NA
Inpatient Rehabilitation Services,"Inpatient Rehab Per Discharge: Major Mult. Trauma, no brain or spinal cord injury",CMG 1702-C,NA,NA,$20055.58,$24277.81,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,$21111.14,NA,NA,NA,$21111.14,NA,NA,NA,NA,$21111.14,NA,$21111.14,NA,NA,NA,$24277.81,$21111.14,NA,$21111.14,NA,$20055.58,NA,NA,NA
Inpatient Rehabilitation Services,"Inpatient Rehab Per Discharge: Major Mult. Trauma, no brain or spinal cord injury",CMG 1702-D,NA,NA,$18230.30,$22068.25,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,$19189.78,NA,NA,NA,$19189.78,NA,NA,NA,NA,$19189.78,NA,$19189.78,NA,NA,NA,$22068.25,$19189.78,NA,$19189.78,NA,$18230.30,NA,NA,NA
Inpatient Rehabilitation Services,"Inpatient Rehab Per Discharge: Major Mult. Trauma, no brain or spinal cord injury",CMG 1703-A,NA,NA,$19677.88,$23820.60,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,$20713.56,NA,NA,NA,$20713.56,NA,NA,NA,NA,$20713.56,NA,$20713.56,NA,NA,NA,$23820.60,$20713.56,NA,$20713.56,NA,$19677.88,NA,NA,NA
Inpatient Rehabilitation Services,"Inpatient Rehab Per Discharge: Major Mult. Trauma, no brain or spinal cord injury",CMG 1703-B,NA,NA,$30306.08,$36686.31,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,$31901.14,NA,NA,NA,$31901.14,NA,NA,NA,NA,$31901.14,NA,$31901.14,NA,NA,NA,$36686.31,$31901.14,NA,$31901.14,NA,$30306.08,NA,NA,NA
