Encompass Health Rehabilitation Hospital of New England,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Prices Posted and Effective 1/1/2021,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Note: General file information and additional details can be found on the Price Transparency page of this hospital's website,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PATIENT_TYPE,SHOPPABLE_SERVICES,BILLING_REVENUE_SERVICE_CODE,GROSS_CHARGE,DISCOUNTED_CASH_PRICE,DEIDENTIFIED_MIN_NEGOTIATED_CHARGE,DEIDENTIFIED_MAX_NEGOTIATED_CHARGE,AETNA (AET) negotiated charge,AETNA MEDICARE (AETM) negotiated charge,ALLWAYS HEALTH PART EXCH (ALLZ) negotiated charge,ALLWAYS HEALTH PART MCD (ALLD) negotiated charge,ALLWAYS HEALTH PARTNERS (ALL) negotiated charge,AMERICAS CHOICE PROV NET (ACPN) negotiated charge,BCBS OF MA (BCMA) negotiated charge,BCBS OF MA EXCHANGE (BMAZ) negotiated charge,BCBS OF MA MEDICARE (BMAM) negotiated charge,BCMA BLUE BENEFIT ADMIN (BCMB) negotiated charge,BMC HEALTH PLAN DUAL (BMCB) negotiated charge,BMC HEALTH PLAN MEDICAID (BMCD) negotiated charge,CAREWORKS (CRW) negotiated charge,CAREWORKS WORK COMP (CRWW) negotiated charge,CHAMPVA (CVA) negotiated charge,CIGNA (CIG) negotiated charge,COMMONWEALTH ALLIANCE DUA (COM) negotiated charge,COMMONWEALTH CARE MEDICAR (COCM) negotiated charge,CORVEL WORK COMP (CVLW) negotiated charge,FALLON (FAL) negotiated charge,FALLON EXCHANGE (FALZ) negotiated charge,FALLON MEDICAID (FALD) negotiated charge,FALLON MEDICARE (FALM) negotiated charge,GLOBAL EXCEL MANAGEMENT (GBE) negotiated charge,GMMI INC (GMI) negotiated charge,HARVARD PILGRIM (HPH) negotiated charge,HARVARD PILGRIM EXCHANGE (HPHZ) negotiated charge,HARVARD PILGRIM MEDICARE (HPIM) negotiated charge,HUMANA MILITARY TRICARE (TRI) negotiated charge,MULTIPLAN (MUL) negotiated charge,NETWORK HEALTH COM CARES (NTHD) negotiated charge,NETWORK HEALTH EXCHANGE (NTHZ) negotiated charge,NETWORK HEALTH MEDICAID (NTH) negotiated charge,NETWORK HEATLH DUAL ELIG (NTHB) negotiated charge,ONE CALL MEDICAL WC (OCLW) negotiated charge,PROVIDER NET OF AMERICA (PAM) negotiated charge,PYRAMID/AMERICAN PROGRESS (AMPM) negotiated charge,SENIOR WHOLE HEALTH MCR (WHSM) negotiated charge,TUFTS (TFT) negotiated charge,TUFTS MEDICARE (TFTS) negotiated charge,UNICARE (UNC) negotiated charge,UNITED HEALTHCARE (UHC) negotiated charge,UNITED HEALTHCARE MEDICAR (UHCM) negotiated charge,UNITED HEALTHCARE VA CCN (UHV) negotiated charge,WELLSENSE MEDICARE (WLSM) negotiated charge,ZELIAS NET SOLUTIONS WC (ZNSW) negotiated charge,ZELIAS NETWORK SOLUTIONS (ZNS) negotiated charge
Inpatient Rehabilitation Services,Inpatient Rehab Per Discharge: Orthopedic - other,CMG 0904-B,NA,NA,$35234.78,$45022.22,NA,$39149.76,NA,NA,NA,NA,NA,NA,NA,NA,$39149.76,NA,NA,NA,$39149.76,NA,$35234.78,$35234.78,NA,NA,NA,NA,NA,NA,NA,NA,NA,$39149.76,$39149.76,NA,NA,NA,NA,$39149.76,NA,$45022.22,$39149.76,$39149.76,NA,NA,NA,NA,$35234.78,$39149.76,$39149.76,NA,NA
Inpatient Rehabilitation Services,Inpatient Rehab Per Discharge: Orthopedic - other,CMG 0904-C,NA,NA,$28078.17,$35877.67,NA,$31197.97,NA,NA,NA,NA,NA,NA,NA,NA,$31197.97,NA,NA,NA,$31197.97,NA,$28078.17,$28078.17,NA,NA,NA,NA,NA,NA,NA,NA,NA,$31197.97,$31197.97,NA,NA,NA,NA,$31197.97,NA,$35877.67,$31197.97,$31197.97,NA,NA,NA,NA,$28078.17,$31197.97,$31197.97,NA,NA
Inpatient Rehabilitation Services,Inpatient Rehab Per Discharge: Orthopedic - other,CMG 0904-D,NA,NA,$26573.52,$33955.06,NA,$29526.14,NA,NA,NA,NA,NA,NA,NA,NA,$29526.14,NA,NA,NA,$29526.14,NA,$26573.52,$26573.52,NA,NA,NA,NA,NA,NA,NA,NA,NA,$29526.14,$29526.14,NA,NA,NA,NA,$29526.14,NA,$33955.06,$29526.14,$29526.14,NA,NA,NA,NA,$26573.52,$29526.14,$29526.14,NA,NA
Inpatient Rehabilitation Services,"Inpatient Rehab Per Discharge: Amputation, lower extremity",CMG 1001-A,NA,NA,$15572.27,$19897.91,NA,$17302.53,NA,NA,NA,NA,NA,NA,NA,NA,$17302.53,NA,NA,NA,$17302.53,NA,$15572.27,$15572.27,NA,NA,NA,NA,NA,NA,NA,NA,NA,$17302.53,$17302.53,NA,NA,NA,NA,$17302.53,NA,$19897.91,$17302.53,$17302.53,NA,NA,NA,NA,$15572.27,$17302.53,$17302.53,NA,NA
Inpatient Rehabilitation Services,"Inpatient Rehab Per Discharge: Amputation, lower extremity",CMG 1001-B,NA,NA,$22414.11,$28640.26,NA,$24904.57,NA,NA,NA,NA,NA,NA,NA,NA,$24904.57,NA,NA,NA,$24904.57,NA,$22414.11,$22414.11,NA,NA,NA,NA,NA,NA,NA,NA,NA,$24904.57,$24904.57,NA,NA,NA,NA,$24904.57,NA,$28640.26,$24904.57,$24904.57,NA,NA,NA,NA,$22414.11,$24904.57,$24904.57,NA,NA
Inpatient Rehabilitation Services,"Inpatient Rehab Per Discharge: Amputation, lower extremity",CMG 1001-C,NA,NA,$18787.39,$24006.10,NA,$20874.87,NA,NA,NA,NA,NA,NA,NA,NA,$20874.87,NA,NA,NA,$20874.87,NA,$18787.39,$18787.39,NA,NA,NA,NA,NA,NA,NA,NA,NA,$20874.87,$20874.87,NA,NA,NA,NA,$20874.87,NA,$24006.10,$20874.87,$20874.87,NA,NA,NA,NA,$18787.39,$20874.87,$20874.87,NA,NA
Inpatient Rehabilitation Services,"Inpatient Rehab Per Discharge: Amputation, lower extremity",CMG 1001-D,NA,NA,$16859.01,$21542.07,NA,$18732.23,NA,NA,NA,NA,NA,NA,NA,NA,$18732.23,NA,NA,NA,$18732.23,NA,$16859.01,$16859.01,NA,NA,NA,NA,NA,NA,NA,NA,NA,$18732.23,$18732.23,NA,NA,NA,NA,$18732.23,NA,$21542.07,$18732.23,$18732.23,NA,NA,NA,NA,$16859.01,$18732.23,$18732.23,NA,NA
Inpatient Rehabilitation Services,"Inpatient Rehab Per Discharge: Amputation, lower extremity",CMG 1002-A,NA,NA,$19237.05,$24580.68,NA,$21374.50,NA,NA,NA,NA,NA,NA,NA,NA,$21374.50,NA,NA,NA,$21374.50,NA,$19237.05,$19237.05,NA,NA,NA,NA,NA,NA,NA,NA,NA,$21374.50,$21374.50,NA,NA,NA,NA,$21374.50,NA,$24580.68,$21374.50,$21374.50,NA,NA,NA,NA,$19237.05,$21374.50,$21374.50,NA,NA
Inpatient Rehabilitation Services,"Inpatient Rehab Per Discharge: Amputation, lower extremity",CMG 1002-B,NA,NA,$27689.04,$35380.44,NA,$30765.60,NA,NA,NA,NA,NA,NA,NA,NA,$30765.60,NA,NA,NA,$30765.60,NA,$27689.04,$27689.04,NA,NA,NA,NA,NA,NA,NA,NA,NA,$30765.60,$30765.60,NA,NA,NA,NA,$30765.60,NA,$35380.44,$30765.60,$30765.60,NA,NA,NA,NA,$27689.04,$30765.60,$30765.60,NA,NA
Inpatient Rehabilitation Services,"Inpatient Rehab Per Discharge: Amputation, lower extremity",CMG 1002-C,NA,NA,$23207.95,$29654.60,NA,$25786.61,NA,NA,NA,NA,NA,NA,NA,NA,$25786.61,NA,NA,NA,$25786.61,NA,$23207.95,$23207.95,NA,NA,NA,NA,NA,NA,NA,NA,NA,$25786.61,$25786.61,NA,NA,NA,NA,$25786.61,NA,$29654.60,$25786.61,$25786.61,NA,NA,NA,NA,$23207.95,$25786.61,$25786.61,NA,NA
Inpatient Rehabilitation Services,"Inpatient Rehab Per Discharge: Amputation, lower extremity",CMG 1002-D,NA,NA,$20826.45,$26611.57,NA,$23140.50,NA,NA,NA,NA,NA,NA,NA,NA,$23140.50,NA,NA,NA,$23140.50,NA,$20826.45,$20826.45,NA,NA,NA,NA,NA,NA,NA,NA,NA,$23140.50,$23140.50,NA,NA,NA,NA,$23140.50,NA,$26611.57,$23140.50,$23140.50,NA,NA,NA,NA,$20826.45,$23140.50,$23140.50,NA,NA
Inpatient Rehabilitation Services,"Inpatient Rehab Per Discharge: Amputation, lower extremity",CMG 1003-A,NA,NA,$22478.10,$28722.02,NA,$24975.67,NA,NA,NA,NA,NA,NA,NA,NA,$24975.67,NA,NA,NA,$24975.67,NA,$22478.10,$22478.10,NA,NA,NA,NA,NA,NA,NA,NA,NA,$24975.67,$24975.67,NA,NA,NA,NA,$24975.67,NA,$28722.02,$24975.67,$24975.67,NA,NA,NA,NA,$22478.10,$24975.67,$24975.67,NA,NA
Inpatient Rehabilitation Services,"Inpatient Rehab Per Discharge: Amputation, lower extremity",CMG 1003-B,NA,NA,$32355.19,$41342.74,NA,$35950.21,NA,NA,NA,NA,NA,NA,NA,NA,$35950.21,NA,NA,NA,$35950.21,NA,$32355.19,$32355.19,NA,NA,NA,NA,NA,NA,NA,NA,NA,$35950.21,$35950.21,NA,NA,NA,NA,$35950.21,NA,$41342.74,$35950.21,$35950.21,NA,NA,NA,NA,$32355.19,$35950.21,$35950.21,NA,NA
Inpatient Rehabilitation Services,"Inpatient Rehab Per Discharge: Amputation, lower extremity",CMG 1003-C,NA,NA,$27120.04,$34653.38,NA,$30133.38,NA,NA,NA,NA,NA,NA,NA,NA,$30133.38,NA,NA,NA,$30133.38,NA,$27120.04,$27120.04,NA,NA,NA,NA,NA,NA,NA,NA,NA,$30133.38,$30133.38,NA,NA,NA,NA,$30133.38,NA,$34653.38,$30133.38,$30133.38,NA,NA,NA,NA,$27120.04,$30133.38,$30133.38,NA,NA
Inpatient Rehabilitation Services,"Inpatient Rehab Per Discharge: Amputation, lower extremity",CMG 1003-D,NA,NA,$24337.30,$31097.66,NA,$27041.44,NA,NA,NA,NA,NA,NA,NA,NA,$27041.44,NA,NA,NA,$27041.44,NA,$24337.30,$24337.30,NA,NA,NA,NA,NA,NA,NA,NA,NA,$27041.44,$27041.44,NA,NA,NA,NA,$27041.44,NA,$31097.66,$27041.44,$27041.44,NA,NA,NA,NA,$24337.30,$27041.44,$27041.44,NA,NA
Inpatient Rehabilitation Services,"Inpatient Rehab Per Discharge: Amputation, lower extremity",CMG 1004-A,NA,NA,$26492.24,$33851.19,NA,$29435.82,NA,NA,NA,NA,NA,NA,NA,NA,$29435.82,NA,NA,NA,$29435.82,NA,$26492.24,$26492.24,NA,NA,NA,NA,NA,NA,NA,NA,NA,$29435.82,$29435.82,NA,NA,NA,NA,$29435.82,NA,$33851.19,$29435.82,$29435.82,NA,NA,NA,NA,$26492.24,$29435.82,$29435.82,NA,NA
Inpatient Rehabilitation Services,"Inpatient Rehab Per Discharge: Amputation, lower extremity",CMG 1004-B,NA,NA,$38133.39,$48726.00,NA,$42370.44,NA,NA,NA,NA,NA,NA,NA,NA,$42370.44,NA,NA,NA,$42370.44,NA,$38133.39,$38133.39,NA,NA,NA,NA,NA,NA,NA,NA,NA,$42370.44,$42370.44,NA,NA,NA,NA,$42370.44,NA,$48726.00,$42370.44,$42370.44,NA,NA,NA,NA,$38133.39,$42370.44,$42370.44,NA,NA
Inpatient Rehabilitation Services,"Inpatient Rehab Per Discharge: Amputation, lower extremity",CMG 1004-C,NA,NA,$31962.60,$40841.09,NA,$35514.00,NA,NA,NA,NA,NA,NA,NA,NA,$35514.00,NA,NA,NA,$35514.00,NA,$31962.60,$31962.60,NA,NA,NA,NA,NA,NA,NA,NA,NA,$35514.00,$35514.00,NA,NA,NA,NA,$35514.00,NA,$40841.09,$35514.00,$35514.00,NA,NA,NA,NA,$31962.60,$35514.00,$35514.00,NA,NA
Inpatient Rehabilitation Services,"Inpatient Rehab Per Discharge: Amputation, lower extremity",CMG 1004-D,NA,NA,$28683.49,$36651.13,NA,$31870.55,NA,NA,NA,NA,NA,NA,NA,NA,$31870.55,NA,NA,NA,$31870.55,NA,$28683.49,$28683.49,NA,NA,NA,NA,NA,NA,NA,NA,NA,$31870.55,$31870.55,NA,NA,NA,NA,$31870.55,NA,$36651.13,$31870.55,$31870.55,NA,NA,NA,NA,$28683.49,$31870.55,$31870.55,NA,NA
Inpatient Rehabilitation Services,"Inpatient Rehab Per Discharge: Amputation, other",CMG 1101-A,NA,NA,$16966.24,$21679.08,NA,$18851.38,NA,NA,NA,NA,NA,NA,NA,NA,$18851.38,NA,NA,NA,$18851.38,NA,$16966.24,$16966.24,NA,NA,NA,NA,NA,NA,NA,NA,NA,$18851.38,$18851.38,NA,NA,NA,NA,$18851.38,NA,$21679.08,$18851.38,$18851.38,NA,NA,NA,NA,$16966.24,$18851.38,$18851.38,NA,NA
Inpatient Rehabilitation Services,"Inpatient Rehab Per Discharge: Amputation, other",CMG 1101-B,NA,NA,$22481.56,$28726.44,NA,$24979.52,NA,NA,NA,NA,NA,NA,NA,NA,$24979.52,NA,NA,NA,$24979.52,NA,$22481.56,$22481.56,NA,NA,NA,NA,NA,NA,NA,NA,NA,$24979.52,$24979.52,NA,NA,NA,NA,$24979.52,NA,$28726.44,$24979.52,$24979.52,NA,NA,NA,NA,$22481.56,$24979.52,$24979.52,NA,NA
Inpatient Rehabilitation Services,"Inpatient Rehab Per Discharge: Amputation, other",CMG 1101-C,NA,NA,$20032.61,$25597.23,NA,$22258.46,NA,NA,NA,NA,NA,NA,NA,NA,$22258.46,NA,NA,NA,$22258.46,NA,$20032.61,$20032.61,NA,NA,NA,NA,NA,NA,NA,NA,NA,$22258.46,$22258.46,NA,NA,NA,NA,$22258.46,NA,$25597.23,$22258.46,$22258.46,NA,NA,NA,NA,$20032.61,$22258.46,$22258.46,NA,NA
Inpatient Rehabilitation Services,"Inpatient Rehab Per Discharge: Amputation, other",CMG 1101-D,NA,NA,$17497.19,$22357.52,NA,$19441.32,NA,NA,NA,NA,NA,NA,NA,NA,$19441.32,NA,NA,NA,$19441.32,NA,$17497.19,$17497.19,NA,NA,NA,NA,NA,NA,NA,NA,NA,$19441.32,$19441.32,NA,NA,NA,NA,$19441.32,NA,$22357.52,$19441.32,$19441.32,NA,NA,NA,NA,$17497.19,$19441.32,$19441.32,NA,NA
Inpatient Rehabilitation Services,"Inpatient Rehab Per Discharge: Amputation, other",CMG 1102-A,NA,NA,$22668.35,$28965.11,NA,$25187.05,NA,NA,NA,NA,NA,NA,NA,NA,$25187.05,NA,NA,NA,$25187.05,NA,$22668.35,$22668.35,NA,NA,NA,NA,NA,NA,NA,NA,NA,$25187.05,$25187.05,NA,NA,NA,NA,$25187.05,NA,$28965.11,$25187.05,$25187.05,NA,NA,NA,NA,$22668.35,$25187.05,$25187.05,NA,NA
Inpatient Rehabilitation Services,"Inpatient Rehab Per Discharge: Amputation, other",CMG 1102-B,NA,NA,$30035.95,$38379.27,NA,$33373.28,NA,NA,NA,NA,NA,NA,NA,NA,$33373.28,NA,NA,NA,$33373.28,NA,$30035.95,$30035.95,NA,NA,NA,NA,NA,NA,NA,NA,NA,$33373.28,$33373.28,NA,NA,NA,NA,$33373.28,NA,$38379.27,$33373.28,$33373.28,NA,NA,NA,NA,$30035.95,$33373.28,$33373.28,NA,NA
Inpatient Rehabilitation Services,"Inpatient Rehab Per Discharge: Amputation, other",CMG 1102-C,NA,NA,$26765.50,$34200.36,NA,$29739.44,NA,NA,NA,NA,NA,NA,NA,NA,$29739.44,NA,NA,NA,$29739.44,NA,$26765.50,$26765.50,NA,NA,NA,NA,NA,NA,NA,NA,NA,$29739.44,$29739.44,NA,NA,NA,NA,$29739.44,NA,$34200.36,$29739.44,$29739.44,NA,NA,NA,NA,$26765.50,$29739.44,$29739.44,NA,NA
Inpatient Rehabilitation Services,"Inpatient Rehab Per Discharge: Amputation, other",CMG 1102-D,NA,NA,$23377.44,$29871.17,NA,$25974.93,NA,NA,NA,NA,NA,NA,NA,NA,$25974.93,NA,NA,NA,$25974.93,NA,$23377.44,$23377.44,NA,NA,NA,NA,NA,NA,NA,NA,NA,$25974.93,$25974.93,NA,NA,NA,NA,$25974.93,NA,$29871.17,$25974.93,$25974.93,NA,NA,NA,NA,$23377.44,$25974.93,$25974.93,NA,NA
Inpatient Rehabilitation Services,"Inpatient Rehab Per Discharge: Amputation, other",CMG 1103-A,NA,NA,$25471.84,$32547.35,NA,$28302.05,NA,NA,NA,NA,NA,NA,NA,NA,$28302.05,NA,NA,NA,$28302.05,NA,$25471.84,$25471.84,NA,NA,NA,NA,NA,NA,NA,NA,NA,$28302.05,$28302.05,NA,NA,NA,NA,$28302.05,NA,$32547.35,$28302.05,$28302.05,NA,NA,NA,NA,$25471.84,$28302.05,$28302.05,NA,NA
Inpatient Rehabilitation Services,"Inpatient Rehab Per Discharge: Amputation, other",CMG 1103-B,NA,NA,$33750.88,$43126.13,NA,$37500.98,NA,NA,NA,NA,NA,NA,NA,NA,$37500.98,NA,NA,NA,$37500.98,NA,$33750.88,$33750.88,NA,NA,NA,NA,NA,NA,NA,NA,NA,$37500.98,$37500.98,NA,NA,NA,NA,$37500.98,NA,$43126.13,$37500.98,$37500.98,NA,NA,NA,NA,$33750.88,$37500.98,$37500.98,NA,NA
Inpatient Rehabilitation Services,"Inpatient Rehab Per Discharge: Amputation, other",CMG 1103-C,NA,NA,$30075.73,$38430.10,NA,$33417.48,NA,NA,NA,NA,NA,NA,NA,NA,$33417.48,NA,NA,NA,$33417.48,NA,$30075.73,$30075.73,NA,NA,NA,NA,NA,NA,NA,NA,NA,$33417.48,$33417.48,NA,NA,NA,NA,$33417.48,NA,$38430.10,$33417.48,$33417.48,NA,NA,NA,NA,$30075.73,$33417.48,$33417.48,NA,NA
Inpatient Rehabilitation Services,"Inpatient Rehab Per Discharge: Amputation, other",CMG 1103-D,NA,NA,$26267.40,$33563.91,NA,$29186.01,NA,NA,NA,NA,NA,NA,NA,NA,$29186.01,NA,NA,NA,$29186.01,NA,$26267.40,$26267.40,NA,NA,NA,NA,NA,NA,NA,NA,NA,$29186.01,$29186.01,NA,NA,NA,NA,$29186.01,NA,$33563.91,$29186.01,$29186.01,NA,NA,NA,NA,$26267.40,$29186.01,$29186.01,NA,NA
Inpatient Rehabilitation Services,Inpatient Rehab Per Discharge: Osteoarthritis,CMG 1201-A,NA,NA,$15077.64,$19265.88,NA,$16752.94,NA,NA,NA,NA,NA,NA,NA,NA,$16752.94,NA,NA,NA,$16752.94,NA,$15077.64,$15077.64,NA,NA,NA,NA,NA,NA,NA,NA,NA,$16752.94,$16752.94,NA,NA,NA,NA,$16752.94,NA,$19265.88,$16752.94,$16752.94,NA,NA,NA,NA,$15077.64,$16752.94,$16752.94,NA,NA
Inpatient Rehabilitation Services,Inpatient Rehab Per Discharge: Osteoarthritis,CMG 1201-B,NA,NA,$24646.88,$31493.23,NA,$27385.42,NA,NA,NA,NA,NA,NA,NA,NA,$27385.42,NA,NA,NA,$27385.42,NA,$24646.88,$24646.88,NA,NA,NA,NA,NA,NA,NA,NA,NA,$27385.42,$27385.42,NA,NA,NA,NA,$27385.42,NA,$31493.23,$27385.42,$27385.42,NA,NA,NA,NA,$24646.88,$27385.42,$27385.42,NA,NA
Inpatient Rehabilitation Services,Inpatient Rehab Per Discharge: Osteoarthritis,CMG 1201-C,NA,NA,$16421.45,$20982.97,NA,$18246.06,NA,NA,NA,NA,NA,NA,NA,NA,$18246.06,NA,NA,NA,$18246.06,NA,$16421.45,$16421.45,NA,NA,NA,NA,NA,NA,NA,NA,NA,$18246.06,$18246.06,NA,NA,NA,NA,$18246.06,NA,$20982.97,$18246.06,$18246.06,NA,NA,NA,NA,$16421.45,$18246.06,$18246.06,NA,NA
Inpatient Rehabilitation Services,Inpatient Rehab Per Discharge: Osteoarthritis,CMG 1201-D,NA,NA,$16421.45,$20982.97,NA,$18246.06,NA,NA,NA,NA,NA,NA,NA,NA,$18246.06,NA,NA,NA,$18246.06,NA,$16421.45,$16421.45,NA,NA,NA,NA,NA,NA,NA,NA,NA,$18246.06,$18246.06,NA,NA,NA,NA,$18246.06,NA,$20982.97,$18246.06,$18246.06,NA,NA,NA,NA,$16421.45,$18246.06,$18246.06,NA,NA
Inpatient Rehabilitation Services,Inpatient Rehab Per Discharge: Osteoarthritis,CMG 1202-A,NA,NA,$18944.77,$24207.20,NA,$21049.74,NA,NA,NA,NA,NA,NA,NA,NA,$21049.74,NA,NA,NA,$21049.74,NA,$18944.77,$18944.77,NA,NA,NA,NA,NA,NA,NA,NA,NA,$21049.74,$21049.74,NA,NA,NA,NA,$21049.74,NA,$24207.20,$21049.74,$21049.74,NA,NA,NA,NA,$18944.77,$21049.74,$21049.74,NA,NA
Inpatient Rehabilitation Services,Inpatient Rehab Per Discharge: Osteoarthritis,CMG 1202-B,NA,NA,$30969.87,$39572.61,NA,$34410.97,NA,NA,NA,NA,NA,NA,NA,NA,$34410.97,NA,NA,NA,$34410.97,NA,$30969.87,$30969.87,NA,NA,NA,NA,NA,NA,NA,NA,NA,$34410.97,$34410.97,NA,NA,NA,NA,$34410.97,NA,$39572.61,$34410.97,$34410.97,NA,NA,NA,NA,$30969.87,$34410.97,$34410.97,NA,NA
Inpatient Rehabilitation Services,Inpatient Rehab Per Discharge: Osteoarthritis,CMG 1202-C,NA,NA,$20632.75,$26364.06,NA,$22925.27,NA,NA,NA,NA,NA,NA,NA,NA,$22925.27,NA,NA,NA,$22925.27,NA,$20632.75,$20632.75,NA,NA,NA,NA,NA,NA,NA,NA,NA,$22925.27,$22925.27,NA,NA,NA,NA,$22925.27,NA,$26364.06,$22925.27,$22925.27,NA,NA,NA,NA,$20632.75,$22925.27,$22925.27,NA,NA
Inpatient Rehabilitation Services,Inpatient Rehab Per Discharge: Osteoarthritis,CMG 1202-D,NA,NA,$20632.75,$26364.06,NA,$22925.27,NA,NA,NA,NA,NA,NA,NA,NA,$22925.27,NA,NA,NA,$22925.27,NA,$20632.75,$20632.75,NA,NA,NA,NA,NA,NA,NA,NA,NA,$22925.27,$22925.27,NA,NA,NA,NA,$22925.27,NA,$26364.06,$22925.27,$22925.27,NA,NA,NA,NA,$20632.75,$22925.27,$22925.27,NA,NA
Inpatient Rehabilitation Services,Inpatient Rehab Per Discharge: Osteoarthritis,CMG 1203-A,NA,NA,$22023.25,$28140.82,NA,$24470.28,NA,NA,NA,NA,NA,NA,NA,NA,$24470.28,NA,NA,NA,$24470.28,NA,$22023.25,$22023.25,NA,NA,NA,NA,NA,NA,NA,NA,NA,$24470.28,$24470.28,NA,NA,NA,NA,$24470.28,NA,$28140.82,$24470.28,$24470.28,NA,NA,NA,NA,$22023.25,$24470.28,$24470.28,NA,NA
Inpatient Rehabilitation Services,Inpatient Rehab Per Discharge: Osteoarthritis,CMG 1203-B,NA,NA,$35999.21,$45998.99,NA,$39999.12,NA,NA,NA,NA,NA,NA,NA,NA,$39999.12,NA,NA,NA,$39999.12,NA,$35999.21,$35999.21,NA,NA,NA,NA,NA,NA,NA,NA,NA,$39999.12,$39999.12,NA,NA,NA,NA,$39999.12,NA,$45998.99,$39999.12,$39999.12,NA,NA,NA,NA,$35999.21,$39999.12,$39999.12,NA,NA
Inpatient Rehabilitation Services,Inpatient Rehab Per Discharge: Osteoarthritis,CMG 1203-C,NA,NA,$23982.76,$30644.63,NA,$26647.51,NA,NA,NA,NA,NA,NA,NA,NA,$26647.51,NA,NA,NA,$26647.51,NA,$23982.76,$23982.76,NA,NA,NA,NA,NA,NA,NA,NA,NA,$26647.51,$26647.51,NA,NA,NA,NA,$26647.51,NA,$30644.63,$26647.51,$26647.51,NA,NA,NA,NA,$23982.76,$26647.51,$26647.51,NA,NA
Inpatient Rehabilitation Services,Inpatient Rehab Per Discharge: Osteoarthritis,CMG 1203-D,NA,NA,$23982.76,$30644.63,NA,$26647.51,NA,NA,NA,NA,NA,NA,NA,NA,$26647.51,NA,NA,NA,$26647.51,NA,$23982.76,$23982.76,NA,NA,NA,NA,NA,NA,NA,NA,NA,$26647.51,$26647.51,NA,NA,NA,NA,$26647.51,NA,$30644.63,$26647.51,$26647.51,NA,NA,NA,NA,$23982.76,$26647.51,$26647.51,NA,NA
Inpatient Rehabilitation Services,Inpatient Rehab Per Discharge: Osteoarthritis,CMG 1204-A,NA,NA,$23145.69,$29575.04,NA,$25717.43,NA,NA,NA,NA,NA,NA,NA,NA,$25717.43,NA,NA,NA,$25717.43,NA,$23145.69,$23145.69,NA,NA,NA,NA,NA,NA,NA,NA,NA,$25717.43,$25717.43,NA,NA,NA,NA,$25717.43,NA,$29575.04,$25717.43,$25717.43,NA,NA,NA,NA,$23145.69,$25717.43,$25717.43,NA,NA
Inpatient Rehabilitation Services,Inpatient Rehab Per Discharge: Osteoarthritis,CMG 1204-B,NA,NA,$37835.92,$48345.90,NA,$42039.92,NA,NA,NA,NA,NA,NA,NA,NA,$42039.92,NA,NA,NA,$42039.92,NA,$37835.92,$37835.92,NA,NA,NA,NA,NA,NA,NA,NA,NA,$42039.92,$42039.92,NA,NA,NA,NA,$42039.92,NA,$48345.90,$42039.92,$42039.92,NA,NA,NA,NA,$37835.92,$42039.92,$42039.92,NA,NA
Inpatient Rehabilitation Services,Inpatient Rehab Per Discharge: Osteoarthritis,CMG 1204-C,NA,NA,$25207.23,$32209.24,NA,$28008.03,NA,NA,NA,NA,NA,NA,NA,NA,$28008.03,NA,NA,NA,$28008.03,NA,$25207.23,$25207.23,NA,NA,NA,NA,NA,NA,NA,NA,NA,$28008.03,$28008.03,NA,NA,NA,NA,$28008.03,NA,$32209.24,$28008.03,$28008.03,NA,NA,NA,NA,$25207.23,$28008.03,$28008.03,NA,NA
Inpatient Rehabilitation Services,Inpatient Rehab Per Discharge: Osteoarthritis,CMG 1204-D,NA,NA,$25207.23,$32209.24,NA,$28008.03,NA,NA,NA,NA,NA,NA,NA,NA,$28008.03,NA,NA,NA,$28008.03,NA,$25207.23,$25207.23,NA,NA,NA,NA,NA,NA,NA,NA,NA,$28008.03,$28008.03,NA,NA,NA,NA,$28008.03,NA,$32209.24,$28008.03,$28008.03,NA,NA,NA,NA,$25207.23,$28008.03,$28008.03,NA,NA
Inpatient Rehabilitation Services,Inpatient Rehab Per Discharge: Rheumatoid and other arthritis,CMG 1301-A,NA,NA,$13571.26,$17341.06,NA,$15079.18,NA,NA,NA,NA,NA,NA,NA,NA,$15079.18,NA,NA,NA,$15079.18,NA,$13571.26,$13571.26,NA,NA,NA,NA,NA,NA,NA,NA,NA,$15079.18,$15079.18,NA,NA,NA,NA,$15079.18,NA,$17341.06,$15079.18,$15079.18,NA,NA,NA,NA,$13571.26,$15079.18,$15079.18,NA,NA
Inpatient Rehabilitation Services,Inpatient Rehab Per Discharge: Rheumatoid and other arthritis,CMG 1301-B,NA,NA,$19503.39,$24921.00,NA,$21670.44,NA,NA,NA,NA,NA,NA,NA,NA,$21670.44,NA,NA,NA,$21670.44,NA,$19503.39,$19503.39,NA,NA,NA,NA,NA,NA,NA,NA,NA,$21670.44,$21670.44,NA,NA,NA,NA,$21670.44,NA,$24921.00,$21670.44,$21670.44,NA,NA,NA,NA,$19503.39,$21670.44,$21670.44,NA,NA
