Encompass Health Rehabilitation Hospital of Miami,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Prices Posted and Effective 1/1/2021,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Note: General file information and additional details can be found on the Price Transparency page of this hospital's website,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PATIENT_TYPE,SHOPPABLE_SERVICES,BILLING_REVENUE_SERVICE_CODE,GROSS_CHARGE,DISCOUNTED_CASH_PRICE,DEIDENTIFIED_MIN_NEGOTIATED_CHARGE,DEIDENTIFIED_MAX_NEGOTIATED_CHARGE,ADVANET WORK COMP (ADVW) negotiated charge,AETNA (AET) negotiated charge,AETNA MEDICARE (AETM) negotiated charge,AETNA WORKERS COMP ACCESS (AETW) negotiated charge,AVMED HEALTH MEDICARE (AVMM) negotiated charge,AVMED HEALTH PLAN (AVMD) negotiated charge,BC HEALTH OPTIONS EXCHANG (BHOZ) negotiated charge,BCBS OUT OF STATE (BCBS) negotiated charge,BCFL BLUE SELECT (BCSE) negotiated charge,BCFL TRADITIONAL (BCFL) negotiated charge,BLUE CROSS HEALTH OPTIONS (BCHO) negotiated charge,CAREPLUS HEALTH MEDICARE (CPHM) negotiated charge,CAREWORKS (CRW) negotiated charge,CAREWORKS WORK COMP (CRWW) negotiated charge,CHAMPVA (CVA) negotiated charge,CIGNA (CIG) negotiated charge,CORVEL WORK COMP (CVLW) negotiated charge,COVENTRY HEALTHCARE (CHC) negotiated charge,FEDERAL BLUE CROSS (BCFD) negotiated charge,FIRST HEALTH (FTH) negotiated charge,FIRST HEALTH WORK COMP (FTHW) negotiated charge,HEALTH OPTIONS MEDICARE (BCHM) negotiated charge,HEALTHEASE STAYWELL (WLCS) negotiated charge,HERITAGE SUMMIT WORK COMP (HSHW) negotiated charge,HUMANA (HUM) negotiated charge,HUMANA EXCHANGE (HUMZ) negotiated charge,HUMANA MEDICAID (HUMD) negotiated charge,HUMANA MEDICARE (HUMM) negotiated charge,MEDICAL PARTNERS OF AM (MPAM) negotiated charge,MULTIPLAN (MUL) negotiated charge,NETWORK BLUE MEDICARE (BCBM) negotiated charge,ONE CALL MEDICAL WC (OCLW) negotiated charge,PRIVATE HEALTHCARE SYSTEM (PHST) negotiated charge,PROVIDER NET OF AMERICA (PAM) negotiated charge,PYR/AMERICAN PROGRESSIVE (AMPM) negotiated charge,THE RENY COMPANY WC (REN) negotiated charge,TRICARE (TRI) negotiated charge,UHC VA CCN (UHV) negotiated charge,UNITED HEALTHCARE (UHC) negotiated charge,UNITED HEALTHCARE MEDICAR (UHCM) negotiated charge,VISTA HEALTHCARE MEDICARE (VISM) negotiated charge,WELLCARE MEDICARE (WLCM) negotiated charge,ZELIAS NET SOLUTIONS WC (ZNSW) negotiated charge,ZELIAS NETWORK SOLUTIONS (ZNS) negotiated charge
Inpatient Rehabilitation Services,"Inpatient Rehab Per Discharge: Amputation, other",CMG 1102-C,NA,NA,$25229.43,$30540.89,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,$26557.30,NA,NA,NA,NA,NA,NA,$26557.30,NA,NA,NA,NA,NA,NA,$26557.30,NA,$26557.30,NA,NA,$30540.89,$26557.30,NA,$26557.30,$26557.30,NA,$25229.43,NA,NA,NA,NA
Inpatient Rehabilitation Services,"Inpatient Rehab Per Discharge: Amputation, other",CMG 1102-D,NA,NA,$22035.81,$26674.93,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,$23195.59,NA,NA,NA,NA,NA,NA,$23195.59,NA,NA,NA,NA,NA,NA,$23195.59,NA,$23195.59,NA,NA,$26674.93,$23195.59,NA,$23195.59,$23195.59,NA,$22035.81,NA,NA,NA,NA
Inpatient Rehabilitation Services,"Inpatient Rehab Per Discharge: Amputation, other",CMG 1103-A,NA,NA,$24010.02,$29064.76,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,$25273.70,NA,NA,NA,NA,NA,NA,$25273.70,NA,NA,NA,NA,NA,NA,$25273.70,NA,$25273.70,NA,NA,$29064.76,$25273.70,NA,$25273.70,$25273.70,NA,$24010.02,NA,NA,NA,NA
Inpatient Rehabilitation Services,"Inpatient Rehab Per Discharge: Amputation, other",CMG 1103-B,NA,NA,$31813.93,$38511.60,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,$33488.34,NA,NA,NA,NA,NA,NA,$33488.34,NA,NA,NA,NA,NA,NA,$33488.34,NA,$33488.34,NA,NA,$38511.60,$33488.34,NA,$33488.34,$33488.34,NA,$31813.93,NA,NA,NA,NA
Inpatient Rehabilitation Services,"Inpatient Rehab Per Discharge: Amputation, other",CMG 1103-C,NA,NA,$28349.69,$34318.05,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,$29841.78,NA,NA,NA,NA,NA,NA,$29841.78,NA,NA,NA,NA,NA,NA,$29841.78,NA,$29841.78,NA,NA,$34318.05,$29841.78,NA,$29841.78,$29841.78,NA,$28349.69,NA,NA,NA,NA
Inpatient Rehabilitation Services,"Inpatient Rehab Per Discharge: Amputation, other",CMG 1103-D,NA,NA,$24759.92,$29972.54,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,$26063.08,NA,NA,NA,NA,NA,NA,$26063.08,NA,NA,NA,NA,NA,NA,$26063.08,NA,$26063.08,NA,NA,$29972.54,$26063.08,NA,$26063.08,$26063.08,NA,$24759.92,NA,NA,NA,NA
Inpatient Rehabilitation Services,Inpatient Rehab Per Discharge: Osteoarthritis,CMG 1201-A,NA,NA,$14212.34,$17204.41,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,$14960.36,NA,NA,NA,NA,NA,NA,$14960.36,NA,NA,NA,NA,NA,NA,$14960.36,NA,$14960.36,NA,NA,$17204.41,$14960.36,NA,$14960.36,$14960.36,NA,$14212.34,NA,NA,NA,NA
Inpatient Rehabilitation Services,Inpatient Rehab Per Discharge: Osteoarthritis,CMG 1201-B,NA,NA,$23232.40,$28123.43,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,$24455.16,NA,NA,NA,NA,NA,NA,$24455.16,NA,NA,NA,NA,NA,NA,$24455.16,NA,$24455.16,NA,NA,$28123.43,$24455.16,NA,$24455.16,$24455.16,NA,$23232.40,NA,NA,NA,NA
Inpatient Rehabilitation Services,Inpatient Rehab Per Discharge: Osteoarthritis,CMG 1201-C,NA,NA,$15479.03,$18737.77,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,$16293.71,NA,NA,NA,NA,NA,NA,$16293.71,NA,NA,NA,NA,NA,NA,$16293.71,NA,$16293.71,NA,NA,$18737.77,$16293.71,NA,$16293.71,$16293.71,NA,$15479.03,NA,NA,NA,NA
Inpatient Rehabilitation Services,Inpatient Rehab Per Discharge: Osteoarthritis,CMG 1201-D,NA,NA,$15479.03,$18737.77,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,$16293.71,NA,NA,NA,NA,NA,NA,$16293.71,NA,NA,NA,NA,NA,NA,$16293.71,NA,$16293.71,NA,NA,$18737.77,$16293.71,NA,$16293.71,$16293.71,NA,$15479.03,NA,NA,NA,NA
Inpatient Rehabilitation Services,Inpatient Rehab Per Discharge: Osteoarthritis,CMG 1202-A,NA,NA,$17857.53,$21617.01,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,$18797.40,NA,NA,NA,NA,NA,NA,$18797.40,NA,NA,NA,NA,NA,NA,$18797.40,NA,$18797.40,NA,NA,$21617.01,$18797.40,NA,$18797.40,$18797.40,NA,$17857.53,NA,NA,NA,NA
Inpatient Rehabilitation Services,Inpatient Rehab Per Discharge: Osteoarthritis,CMG 1202-B,NA,NA,$29192.52,$35338.31,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,$30728.97,NA,NA,NA,NA,NA,NA,$30728.97,NA,NA,NA,NA,NA,NA,$30728.97,NA,$30728.97,NA,NA,$35338.31,$30728.97,NA,$30728.97,$30728.97,NA,$29192.52,NA,NA,NA,NA
Inpatient Rehabilitation Services,Inpatient Rehab Per Discharge: Osteoarthritis,CMG 1202-C,NA,NA,$19448.64,$23543.09,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,$20472.25,NA,NA,NA,NA,NA,NA,$20472.25,NA,NA,NA,NA,NA,NA,$20472.25,NA,$20472.25,NA,NA,$23543.09,$20472.25,NA,$20472.25,$20472.25,NA,$19448.64,NA,NA,NA,NA
Inpatient Rehabilitation Services,Inpatient Rehab Per Discharge: Osteoarthritis,CMG 1202-D,NA,NA,$19448.64,$23543.09,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,$20472.25,NA,NA,NA,NA,NA,NA,$20472.25,NA,NA,NA,NA,NA,NA,$20472.25,NA,$20472.25,NA,NA,$23543.09,$20472.25,NA,$20472.25,$20472.25,NA,$19448.64,NA,NA,NA,NA
Inpatient Rehabilitation Services,Inpatient Rehab Per Discharge: Osteoarthritis,CMG 1203-A,NA,NA,$20759.34,$25129.73,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,$21851.94,NA,NA,NA,NA,NA,NA,$21851.94,NA,NA,NA,NA,NA,NA,$21851.94,NA,$21851.94,NA,NA,$25129.73,$21851.94,NA,$21851.94,$21851.94,NA,$20759.34,NA,NA,NA,NA
Inpatient Rehabilitation Services,Inpatient Rehab Per Discharge: Osteoarthritis,CMG 1203-B,NA,NA,$33933.23,$41077.06,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,$35719.19,NA,NA,NA,NA,NA,NA,$35719.19,NA,NA,NA,NA,NA,NA,$35719.19,NA,$35719.19,NA,NA,$41077.06,$35719.19,NA,$35719.19,$35719.19,NA,$33933.23,NA,NA,NA,NA
Inpatient Rehabilitation Services,Inpatient Rehab Per Discharge: Osteoarthritis,CMG 1203-C,NA,NA,$22606.39,$27365.63,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,$23796.20,NA,NA,NA,NA,NA,NA,$23796.20,NA,NA,NA,NA,NA,NA,$23796.20,NA,$23796.20,NA,NA,$27365.63,$23796.20,NA,$23796.20,$23796.20,NA,$22606.39,NA,NA,NA,NA
Inpatient Rehabilitation Services,Inpatient Rehab Per Discharge: Osteoarthritis,CMG 1203-D,NA,NA,$22606.39,$27365.63,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,$23796.20,NA,NA,NA,NA,NA,NA,$23796.20,NA,NA,NA,NA,NA,NA,$23796.20,NA,$23796.20,NA,NA,$27365.63,$23796.20,NA,$23796.20,$23796.20,NA,$22606.39,NA,NA,NA,NA
Inpatient Rehabilitation Services,Inpatient Rehab Per Discharge: Osteoarthritis,CMG 1204-A,NA,NA,$21817.36,$26410.49,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,$22965.64,NA,NA,NA,NA,NA,NA,$22965.64,NA,NA,NA,NA,NA,NA,$22965.64,NA,$22965.64,NA,NA,$26410.49,$22965.64,NA,$22965.64,$22965.64,NA,$21817.36,NA,NA,NA,NA
Inpatient Rehabilitation Services,Inpatient Rehab Per Discharge: Osteoarthritis,CMG 1204-B,NA,NA,$35664.53,$43172.85,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,$37541.61,NA,NA,NA,NA,NA,NA,$37541.61,NA,NA,NA,NA,NA,NA,$37541.61,NA,$37541.61,NA,NA,$43172.85,$37541.61,NA,$37541.61,$37541.61,NA,$35664.53,NA,NA,NA,NA
Inpatient Rehabilitation Services,Inpatient Rehab Per Discharge: Osteoarthritis,CMG 1204-C,NA,NA,$23760.59,$28762.82,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,$25011.15,NA,NA,NA,NA,NA,NA,$25011.15,NA,NA,NA,NA,NA,NA,$25011.15,NA,$25011.15,NA,NA,$28762.82,$25011.15,NA,$25011.15,$25011.15,NA,$23760.59,NA,NA,NA,NA
Inpatient Rehabilitation Services,Inpatient Rehab Per Discharge: Osteoarthritis,CMG 1204-D,NA,NA,$23760.59,$28762.82,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,$25011.15,NA,NA,NA,NA,NA,NA,$25011.15,NA,NA,NA,NA,NA,NA,$25011.15,NA,$25011.15,NA,NA,$28762.82,$25011.15,NA,$25011.15,$25011.15,NA,$23760.59,NA,NA,NA,NA
Inpatient Rehabilitation Services,Inpatient Rehab Per Discharge: Rheumatoid and other arthritis,CMG 1301-A,NA,NA,$12792.41,$15485.55,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,$13465.70,NA,NA,NA,NA,NA,NA,$13465.70,NA,NA,NA,NA,NA,NA,$13465.70,NA,$13465.70,NA,NA,$15485.55,$13465.70,NA,$13465.70,$13465.70,NA,$12792.41,NA,NA,NA,NA
Inpatient Rehabilitation Services,Inpatient Rehab Per Discharge: Rheumatoid and other arthritis,CMG 1301-B,NA,NA,$18384.10,$22254.43,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,$19351.68,NA,NA,NA,NA,NA,NA,$19351.68,NA,NA,NA,NA,NA,NA,$19351.68,NA,$19351.68,NA,NA,$22254.43,$19351.68,NA,$19351.68,$19351.68,NA,$18384.10,NA,NA,NA,NA
Inpatient Rehabilitation Services,Inpatient Rehab Per Discharge: Rheumatoid and other arthritis,CMG 1301-C,NA,NA,$15179.07,$18374.66,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,$15977.96,NA,NA,NA,NA,NA,NA,$15977.96,NA,NA,NA,NA,NA,NA,$15977.96,NA,$15977.96,NA,NA,$18374.66,$15977.96,NA,$15977.96,$15977.96,NA,$15179.07,NA,NA,NA,NA
Inpatient Rehabilitation Services,Inpatient Rehab Per Discharge: Rheumatoid and other arthritis,CMG 1301-D,NA,NA,$14409.60,$17443.20,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,$15168.00,NA,NA,NA,NA,NA,NA,$15168.00,NA,NA,NA,NA,NA,NA,$15168.00,NA,$15168.00,NA,NA,$17443.20,$15168.00,NA,$15168.00,$15168.00,NA,$14409.60,NA,NA,NA,NA
Inpatient Rehabilitation Services,Inpatient Rehab Per Discharge: Rheumatoid and other arthritis,CMG 1302-A,NA,NA,$17503.77,$21188.78,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,$18425.02,NA,NA,NA,NA,NA,NA,$18425.02,NA,NA,NA,NA,NA,NA,$18425.02,NA,$18425.02,NA,NA,$21188.78,$18425.02,NA,$18425.02,$18425.02,NA,$17503.77,NA,NA,NA,NA
Inpatient Rehabilitation Services,Inpatient Rehab Per Discharge: Rheumatoid and other arthritis,CMG 1302-B,NA,NA,$25152.81,$30448.14,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,$26476.64,NA,NA,NA,NA,NA,NA,$26476.64,NA,NA,NA,NA,NA,NA,$26476.64,NA,$26476.64,NA,NA,$30448.14,$26476.64,NA,$26476.64,$26476.64,NA,$25152.81,NA,NA,NA,NA
Inpatient Rehabilitation Services,Inpatient Rehab Per Discharge: Rheumatoid and other arthritis,CMG 1302-C,NA,NA,$20769.12,$25141.57,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,$21862.23,NA,NA,NA,NA,NA,NA,$21862.23,NA,NA,NA,NA,NA,NA,$21862.23,NA,$21862.23,NA,NA,$25141.57,$21862.23,NA,$21862.23,$21862.23,NA,$20769.12,NA,NA,NA,NA
Inpatient Rehabilitation Services,Inpatient Rehab Per Discharge: Rheumatoid and other arthritis,CMG 1302-D,NA,NA,$19715.99,$23866.73,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,$20753.68,NA,NA,NA,NA,NA,NA,$20753.68,NA,NA,NA,NA,NA,NA,$20753.68,NA,$20753.68,NA,NA,$23866.73,$20753.68,NA,$20753.68,$20753.68,NA,$19715.99,NA,NA,NA,NA
Inpatient Rehabilitation Services,Inpatient Rehab Per Discharge: Rheumatoid and other arthritis,CMG 1303-A,NA,NA,$20177.35,$24425.21,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,$21239.32,NA,NA,NA,NA,NA,NA,$21239.32,NA,NA,NA,NA,NA,NA,$21239.32,NA,$21239.32,NA,NA,$24425.21,$21239.32,NA,$21239.32,$21239.32,NA,$20177.35,NA,NA,NA,NA
Inpatient Rehabilitation Services,Inpatient Rehab Per Discharge: Rheumatoid and other arthritis,CMG 1303-B,NA,NA,$28995.26,$35099.53,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,$30521.33,NA,NA,NA,NA,NA,NA,$30521.33,NA,NA,NA,NA,NA,NA,$30521.33,NA,$30521.33,NA,NA,$35099.53,$30521.33,NA,$30521.33,$30521.33,NA,$28995.26,NA,NA,NA,NA
Inpatient Rehabilitation Services,Inpatient Rehab Per Discharge: Rheumatoid and other arthritis,CMG 1303-C,NA,NA,$23941.55,$28981.88,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,$25201.63,NA,NA,NA,NA,NA,NA,$25201.63,NA,NA,NA,NA,NA,NA,$25201.63,NA,$25201.63,NA,NA,$28981.88,$25201.63,NA,$25201.63,$25201.63,NA,$23941.55,NA,NA,NA,NA
Inpatient Rehabilitation Services,Inpatient Rehab Per Discharge: Rheumatoid and other arthritis,CMG 1303-D,NA,NA,$22727.03,$27511.67,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,$23923.19,NA,NA,NA,NA,NA,NA,$23923.19,NA,NA,NA,NA,NA,NA,$23923.19,NA,$23923.19,NA,NA,$27511.67,$23923.19,NA,$23923.19,$23923.19,NA,$22727.03,NA,NA,NA,NA
Inpatient Rehabilitation Services,Inpatient Rehab Per Discharge: Rheumatoid and other arthritis,CMG 1304-A,NA,NA,$23388.90,$28312.88,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,$24619.90,NA,NA,NA,NA,NA,NA,$24619.90,NA,NA,NA,NA,NA,NA,$24619.90,NA,$24619.90,NA,NA,$28312.88,$24619.90,NA,$24619.90,$24619.90,NA,$23388.90,NA,NA,NA,NA
Inpatient Rehabilitation Services,Inpatient Rehab Per Discharge: Rheumatoid and other arthritis,CMG 1304-B,NA,NA,$33610.44,$40686.32,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,$35379.41,NA,NA,NA,NA,NA,NA,$35379.41,NA,NA,NA,NA,NA,NA,$35379.41,NA,$35379.41,NA,NA,$40686.32,$35379.41,NA,$35379.41,$35379.41,NA,$33610.44,NA,NA,NA,NA
Inpatient Rehabilitation Services,Inpatient Rehab Per Discharge: Rheumatoid and other arthritis,CMG 1304-C,NA,NA,$27753.03,$33595.77,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,$29213.71,NA,NA,NA,NA,NA,NA,$29213.71,NA,NA,NA,NA,NA,NA,$29213.71,NA,$29213.71,NA,NA,$33595.77,$29213.71,NA,$29213.71,$29213.71,NA,$27753.03,NA,NA,NA,NA
Inpatient Rehabilitation Services,Inpatient Rehab Per Discharge: Rheumatoid and other arthritis,CMG 1304-D,NA,NA,$26346.14,$31892.69,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,$27732.78,NA,NA,NA,NA,NA,NA,$27732.78,NA,NA,NA,NA,NA,NA,$27732.78,NA,$27732.78,NA,NA,$31892.69,$27732.78,NA,$27732.78,$27732.78,NA,$26346.14,NA,NA,NA,NA
Inpatient Rehabilitation Services,Inpatient Rehab Per Discharge: Rheumatoid and other arthritis,CMG 1305-A,NA,NA,$23682.34,$28668.10,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,$24928.78,NA,NA,NA,NA,NA,NA,$24928.78,NA,NA,NA,NA,NA,NA,$24928.78,NA,$24928.78,NA,NA,$28668.10,$24928.78,NA,$24928.78,$24928.78,NA,$23682.34,NA,NA,NA,NA
Inpatient Rehabilitation Services,Inpatient Rehab Per Discharge: Rheumatoid and other arthritis,CMG 1305-B,NA,NA,$34032.67,$41197.44,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,$35823.86,NA,NA,NA,NA,NA,NA,$35823.86,NA,NA,NA,NA,NA,NA,$35823.86,NA,$35823.86,NA,NA,$41197.44,$35823.86,NA,$35823.86,$35823.86,NA,$34032.67,NA,NA,NA,NA
Inpatient Rehabilitation Services,Inpatient Rehab Per Discharge: Rheumatoid and other arthritis,CMG 1305-C,NA,NA,$28100.27,$34016.11,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,$29579.23,NA,NA,NA,NA,NA,NA,$29579.23,NA,NA,NA,NA,NA,NA,$29579.23,NA,$29579.23,NA,NA,$34016.11,$29579.23,NA,$29579.23,$29579.23,NA,$28100.27,NA,NA,NA,NA
Inpatient Rehabilitation Services,Inpatient Rehab Per Discharge: Rheumatoid and other arthritis,CMG 1305-D,NA,NA,$26675.44,$32291.33,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,$28079.42,NA,NA,NA,NA,NA,NA,$28079.42,NA,NA,NA,NA,NA,NA,$28079.42,NA,$28079.42,NA,NA,$32291.33,$28079.42,NA,$28079.42,$28079.42,NA,$26675.44,NA,NA,NA,NA
Inpatient Rehabilitation Services,Inpatient Rehab Per Discharge: Cardiac,CMG 1401-A,NA,NA,$12365.29,$14968.51,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,$13016.10,NA,NA,NA,NA,NA,NA,$13016.10,NA,NA,NA,NA,NA,NA,$13016.10,NA,$13016.10,NA,NA,$14968.51,$13016.10,NA,$13016.10,$13016.10,NA,$12365.29,NA,NA,NA,NA
Inpatient Rehabilitation Services,Inpatient Rehab Per Discharge: Cardiac,CMG 1401-B,NA,NA,$18675.91,$22607.68,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,$19658.85,NA,NA,NA,NA,NA,NA,$19658.85,NA,NA,NA,NA,NA,NA,$19658.85,NA,$19658.85,NA,NA,$22607.68,$19658.85,NA,$19658.85,$19658.85,NA,$18675.91,NA,NA,NA,NA
Inpatient Rehabilitation Services,Inpatient Rehab Per Discharge: Cardiac,CMG 1401-C,NA,NA,$15311.11,$18534.51,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,$16116.96,NA,NA,NA,NA,NA,NA,$16116.96,NA,NA,NA,NA,NA,NA,$16116.96,NA,$16116.96,NA,NA,$18534.51,$16116.96,NA,$16116.96,$16116.96,NA,$15311.11,NA,NA,NA,NA
Inpatient Rehabilitation Services,Inpatient Rehab Per Discharge: Cardiac,CMG 1401-D,NA,NA,$13819.46,$16728.81,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,$14546.79,NA,NA,NA,NA,NA,NA,$14546.79,NA,NA,NA,NA,NA,NA,$14546.79,NA,$14546.79,NA,NA,$16728.81,$14546.79,NA,$14546.79,$14546.79,NA,$13819.46,NA,NA,NA,NA
Inpatient Rehabilitation Services,Inpatient Rehab Per Discharge: Cardiac,CMG 1402-A,NA,NA,$15534.46,$18804.87,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,$16352.06,NA,NA,NA,NA,NA,NA,$16352.06,NA,NA,NA,NA,NA,NA,$16352.06,NA,$16352.06,NA,NA,$18804.87,$16352.06,NA,$16352.06,$16352.06,NA,$15534.46,NA,NA,NA,NA
Inpatient Rehabilitation Services,Inpatient Rehab Per Discharge: Cardiac,CMG 1402-B,NA,NA,$23460.63,$28399.71,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,$24695.40,NA,NA,NA,NA,NA,NA,$24695.40,NA,NA,NA,NA,NA,NA,$24695.40,NA,$24695.40,NA,NA,$28399.71,$24695.40,NA,$24695.40,$24695.40,NA,$23460.63,NA,NA,NA,NA
Inpatient Rehabilitation Services,Inpatient Rehab Per Discharge: Cardiac,CMG 1402-C,NA,NA,$19235.08,$23284.57,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,$20247.45,NA,NA,NA,NA,NA,NA,$20247.45,NA,NA,NA,NA,NA,NA,$20247.45,NA,$20247.45,NA,NA,$23284.57,$20247.45,NA,$20247.45,$20247.45,NA,$19235.08,NA,NA,NA,NA
Inpatient Rehabilitation Services,Inpatient Rehab Per Discharge: Cardiac,CMG 1402-D,NA,NA,$17361.94,$21017.09,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,$18275.73,NA,NA,NA,NA,NA,NA,$18275.73,NA,NA,NA,NA,NA,NA,$18275.73,NA,$18275.73,NA,NA,$21017.09,$18275.73,NA,$18275.73,$18275.73,NA,$17361.94,NA,NA,NA,NA
Inpatient Rehabilitation Services,Inpatient Rehab Per Discharge: Cardiac,CMG 1403-A,NA,NA,$18861.75,$22832.65,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,$19854.48,NA,NA,NA,NA,NA,NA,$19854.48,NA,NA,NA,NA,NA,NA,$19854.48,NA,$19854.48,NA,NA,$22832.65,$19854.48,NA,$19854.48,$19854.48,NA,$18861.75,NA,NA,NA,NA
Inpatient Rehabilitation Services,Inpatient Rehab Per Discharge: Cardiac,CMG 1403-B,NA,NA,$28486.63,$34483.81,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,$29985.93,NA,NA,NA,NA,NA,NA,$29985.93,NA,NA,NA,NA,NA,NA,$29985.93,NA,$29985.93,NA,NA,$34483.81,$29985.93,NA,$29985.93,$29985.93,NA,$28486.63,NA,NA,NA,NA
Inpatient Rehabilitation Services,Inpatient Rehab Per Discharge: Cardiac,CMG 1403-C,NA,NA,$23354.67,$28271.44,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,$24583.86,NA,NA,NA,NA,NA,NA,$24583.86,NA,NA,NA,NA,NA,NA,$24583.86,NA,$24583.86,NA,NA,$28271.44,$24583.86,NA,$24583.86,$24583.86,NA,$23354.67,NA,NA,NA,NA
Inpatient Rehabilitation Services,Inpatient Rehab Per Discharge: Cardiac,CMG 1403-D,NA,NA,$21080.50,$25518.50,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,$22190.00,NA,NA,NA,NA,NA,NA,$22190.00,NA,NA,NA,NA,NA,NA,$22190.00,NA,$22190.00,NA,NA,$25518.50,$22190.00,NA,$22190.00,$22190.00,NA,$21080.50,NA,NA,NA,NA
