Encompass Health Rehabilitation Hospital of Montgomery,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Prices Posted and Effective 1/1/2021,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Note: General file information and additional details can be found on the Price Transparency page of this hospital's website,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PATIENT_TYPE,SHOPPABLE_SERVICES,BILLING_REVENUE_SERVICE_CODE,GROSS_CHARGE,DISCOUNTED_CASH_PRICE,DEIDENTIFIED_MIN_NEGOTIATED_CHARGE,DEIDENTIFIED_MAX_NEGOTIATED_CHARGE,AETNA (AET) negotiated charge,AETNA MEDICARE (AETM) negotiated charge,ALAMED (ALMD) negotiated charge,AMERICAN PROG TODAYS OPT (AMPM) negotiated charge,BC FEP (BCFD) negotiated charge,BCBS AL (BCAL) negotiated charge,BCBS AL MEDICARE ADVANTAG (BCAD) negotiated charge,BCBS OF AL EXCHANGE (BALZ) negotiated charge,CAREWORKS (CRW) negotiated charge,CAREWORKS WORK COMP (CRWW) negotiated charge,CHAMPVA (CVA) negotiated charge,CIGNA (CIG) negotiated charge,COVENTRY-NATIONAL (CHCN) negotiated charge,HEALTHSPRING MEDICARE (HLSM) negotiated charge,HUMANA (HUM) negotiated charge,HUMANA MEDICARE (HUMM) negotiated charge,PRIVATE HEALTHCARE SYSTEM (PHST) negotiated charge,PROVIDER NET OF AMERICA (PAM) negotiated charge,TRICARE (TRI) negotiated charge,UHC VA CCN (UHV) negotiated charge,UNITED HEALTHCARE (UHC) negotiated charge,UNITED HEALTHCARE MEDICAR (UHCM) negotiated charge,VIVA HEALTH (VIH) negotiated charge,VIVA MEDICARE (VIVM) negotiated charge,ZELIAS NET SOLUTIONS WC (ZNSW) negotiated charge,ZELIAS NETWORK SOLUTIONS (ZNS) negotiated charge
Inpatient Rehabilitation Services,"Inpatient Rehab Per Discharge: Major Mult. Trauma, no brain or spinal cord injury",CMG 1705-B,NA,NA,$33160.64,$40141.83,NA,NA,NA,$34905.94,NA,NA,$33858.76,NA,NA,NA,$34905.94,NA,NA,$34905.94,NA,$34905.94,NA,$40141.83,$34905.94,$34905.94,NA,$33160.64,NA,NA,NA,NA
Inpatient Rehabilitation Services,"Inpatient Rehab Per Discharge: Major Mult. Trauma, no brain or spinal cord injury",CMG 1705-C,NA,NA,$26014.97,$31491.81,NA,NA,NA,$27384.18,NA,NA,$26562.65,NA,NA,NA,$27384.18,NA,NA,$27384.18,NA,$27384.18,NA,$31491.81,$27384.18,$27384.18,NA,$26014.97,NA,NA,NA,NA
Inpatient Rehabilitation Services,"Inpatient Rehab Per Discharge: Major Mult. Trauma, no brain or spinal cord injury",CMG 1705-D,NA,NA,$23648.00,$28626.53,NA,NA,NA,$24892.63,NA,NA,$24145.85,NA,NA,NA,$24892.63,NA,NA,$24892.63,NA,$24892.63,NA,$28626.53,$24892.63,$24892.63,NA,$23648.00,NA,NA,NA,NA
Inpatient Rehabilitation Services,Inpatient Rehab Per Discharge: Major Mult. Trauma with brain or spinal cord inj.,CMG 1801-A,NA,NA,$11095.60,$13431.51,NA,NA,NA,$11679.58,NA,NA,$11329.19,NA,NA,NA,$11679.58,NA,NA,$11679.58,NA,$11679.58,NA,$13431.51,$11679.58,$11679.58,NA,$11095.60,NA,NA,NA,NA
Inpatient Rehabilitation Services,Inpatient Rehab Per Discharge: Major Mult. Trauma with brain or spinal cord inj.,CMG 1801-B,NA,NA,$16793.96,$20329.53,NA,NA,NA,$17677.85,NA,NA,$17147.52,NA,NA,NA,$17677.85,NA,NA,$17677.85,NA,$17677.85,NA,$20329.53,$17677.85,$17677.85,NA,$16793.96,NA,NA,NA,NA
Inpatient Rehabilitation Services,Inpatient Rehab Per Discharge: Major Mult. Trauma with brain or spinal cord inj.,CMG 1801-C,NA,NA,$13321.50,$16126.02,NA,NA,NA,$14022.63,NA,NA,$13601.95,NA,NA,NA,$14022.63,NA,NA,$14022.63,NA,$14022.63,NA,$16126.02,$14022.63,$14022.63,NA,$13321.50,NA,NA,NA,NA
Inpatient Rehabilitation Services,Inpatient Rehab Per Discharge: Major Mult. Trauma with brain or spinal cord inj.,CMG 1801-D,NA,NA,$11963.71,$14482.39,NA,NA,NA,$12593.38,NA,NA,$12215.58,NA,NA,NA,$12593.38,NA,NA,$12593.38,NA,$12593.38,NA,$14482.39,$12593.38,$12593.38,NA,$11963.71,NA,NA,NA,NA
Inpatient Rehabilitation Services,Inpatient Rehab Per Discharge: Major Mult. Trauma with brain or spinal cord inj.,CMG 1802-A,NA,NA,$14131.29,$17106.30,NA,NA,NA,$14875.04,NA,NA,$14428.79,NA,NA,NA,$14875.04,NA,NA,$14875.04,NA,$14875.04,NA,$17106.30,$14875.04,$14875.04,NA,$14131.29,NA,NA,NA,NA
Inpatient Rehabilitation Services,Inpatient Rehab Per Discharge: Major Mult. Trauma with brain or spinal cord inj.,CMG 1802-B,NA,NA,$21386.83,$25889.32,NA,NA,NA,$22512.45,NA,NA,$21837.08,NA,NA,NA,$22512.45,NA,NA,$22512.45,NA,$22512.45,NA,$25889.32,$22512.45,$22512.45,NA,$21386.83,NA,NA,NA,NA
Inpatient Rehabilitation Services,Inpatient Rehab Per Discharge: Major Mult. Trauma with brain or spinal cord inj.,CMG 1802-C,NA,NA,$16963.51,$20534.78,NA,NA,NA,$17856.33,NA,NA,$17320.64,NA,NA,NA,$17856.33,NA,NA,$17856.33,NA,$17856.33,NA,$20534.78,$17856.33,$17856.33,NA,$16963.51,NA,NA,NA,NA
Inpatient Rehabilitation Services,Inpatient Rehab Per Discharge: Major Mult. Trauma with brain or spinal cord inj.,CMG 1802-D,NA,NA,$15235.42,$18442.88,NA,NA,NA,$16037.29,NA,NA,$15556.17,NA,NA,NA,$16037.29,NA,NA,$16037.29,NA,$16037.29,NA,$18442.88,$16037.29,$16037.29,NA,$15235.42,NA,NA,NA,NA
Inpatient Rehabilitation Services,Inpatient Rehab Per Discharge: Major Mult. Trauma with brain or spinal cord inj.,CMG 1803-A,NA,NA,$17337.89,$20987.97,NA,NA,NA,$18250.41,NA,NA,$17702.90,NA,NA,NA,$18250.41,NA,NA,$18250.41,NA,$18250.41,NA,$20987.97,$18250.41,$18250.41,NA,$17337.89,NA,NA,NA,NA
Inpatient Rehabilitation Services,Inpatient Rehab Per Discharge: Major Mult. Trauma with brain or spinal cord inj.,CMG 1803-B,NA,NA,$26240.14,$31764.38,NA,NA,NA,$27621.20,NA,NA,$26792.56,NA,NA,NA,$27621.20,NA,NA,$27621.20,NA,$27621.20,NA,$31764.38,$27621.20,$27621.20,NA,$26240.14,NA,NA,NA,NA
Inpatient Rehabilitation Services,Inpatient Rehab Per Discharge: Major Mult. Trauma with brain or spinal cord inj.,CMG 1803-C,NA,NA,$20813.06,$25194.76,NA,NA,NA,$21908.49,NA,NA,$21251.23,NA,NA,NA,$21908.49,NA,NA,$21908.49,NA,$21908.49,NA,$25194.76,$21908.49,$21908.49,NA,$20813.06,NA,NA,NA,NA
Inpatient Rehabilitation Services,Inpatient Rehab Per Discharge: Major Mult. Trauma with brain or spinal cord inj.,CMG 1803-D,NA,NA,$18692.96,$22628.32,NA,NA,NA,$19676.80,NA,NA,$19086.50,NA,NA,NA,$19676.80,NA,NA,$19676.80,NA,$19676.80,NA,$22628.32,$19676.80,$19676.80,NA,$18692.96,NA,NA,NA,NA
Inpatient Rehabilitation Services,Inpatient Rehab Per Discharge: Major Mult. Trauma with brain or spinal cord inj.,CMG 1804-A,NA,NA,$19881.19,$24066.71,NA,NA,NA,$20927.57,NA,NA,$20299.75,NA,NA,NA,$20927.57,NA,NA,$20927.57,NA,$20927.57,NA,$24066.71,$20927.57,$20927.57,NA,$19881.19,NA,NA,NA,NA
Inpatient Rehabilitation Services,Inpatient Rehab Per Discharge: Major Mult. Trauma with brain or spinal cord inj.,CMG 1804-B,NA,NA,$30089.69,$36424.36,NA,NA,NA,$31673.35,NA,NA,$30723.15,NA,NA,NA,$31673.35,NA,NA,$31673.35,NA,$31673.35,NA,$36424.36,$31673.35,$31673.35,NA,$30089.69,NA,NA,NA,NA
Inpatient Rehabilitation Services,Inpatient Rehab Per Discharge: Major Mult. Trauma with brain or spinal cord inj.,CMG 1804-C,NA,NA,$23867.74,$28892.53,NA,NA,NA,$25123.94,NA,NA,$24370.22,NA,NA,NA,$25123.94,NA,NA,$25123.94,NA,$25123.94,NA,$28892.53,$25123.94,$25123.94,NA,$23867.74,NA,NA,NA,NA
Inpatient Rehabilitation Services,Inpatient Rehab Per Discharge: Major Mult. Trauma with brain or spinal cord inj.,CMG 1804-D,NA,NA,$21435.66,$25948.43,NA,NA,NA,$22563.86,NA,NA,$21886.94,NA,NA,NA,$22563.86,NA,NA,$22563.86,NA,$22563.86,NA,$25948.43,$22563.86,$22563.86,NA,$21435.66,NA,NA,NA,NA
Inpatient Rehabilitation Services,Inpatient Rehab Per Discharge: Major Mult. Trauma with brain or spinal cord inj.,CMG 1805-A,NA,NA,$23738.88,$28736.54,NA,NA,NA,$24988.30,NA,NA,$24238.65,NA,NA,NA,$24988.30,NA,NA,$24988.30,NA,$24988.30,NA,$28736.54,$24988.30,$24988.30,NA,$23738.88,NA,NA,NA,NA
Inpatient Rehabilitation Services,Inpatient Rehab Per Discharge: Major Mult. Trauma with brain or spinal cord inj.,CMG 1805-B,NA,NA,$35927.76,$43491.50,NA,NA,NA,$37818.69,NA,NA,$36684.13,NA,NA,NA,$37818.69,NA,NA,$37818.69,NA,$37818.69,NA,$43491.50,$37818.69,$37818.69,NA,$35927.76,NA,NA,NA,NA
Inpatient Rehabilitation Services,Inpatient Rehab Per Discharge: Major Mult. Trauma with brain or spinal cord inj.,CMG 1805-C,NA,NA,$28498.59,$34498.30,NA,NA,NA,$29998.52,NA,NA,$29098.56,NA,NA,NA,$29998.52,NA,NA,$29998.52,NA,$29998.52,NA,$34498.30,$29998.52,$29998.52,NA,$28498.59,NA,NA,NA,NA
Inpatient Rehabilitation Services,Inpatient Rehab Per Discharge: Major Mult. Trauma with brain or spinal cord inj.,CMG 1805-D,NA,NA,$25594.48,$30982.79,NA,NA,NA,$26941.55,NA,NA,$26133.31,NA,NA,NA,$26941.55,NA,NA,$26941.55,NA,$26941.55,NA,$30982.79,$26941.55,$26941.55,NA,$25594.48,NA,NA,NA,NA
Inpatient Rehabilitation Services,Inpatient Rehab Per Discharge: Major Mult. Trauma with brain or spinal cord inj.,CMG 1806-A,NA,NA,$30578.00,$37015.47,NA,NA,NA,$32187.37,NA,NA,$31221.75,NA,NA,NA,$32187.37,NA,NA,$32187.37,NA,$32187.37,NA,$37015.47,$32187.37,$32187.37,NA,$30578.00,NA,NA,NA,NA
Inpatient Rehabilitation Services,Inpatient Rehab Per Discharge: Major Mult. Trauma with brain or spinal cord inj.,CMG 1806-B,NA,NA,$46280.03,$56023.20,NA,NA,NA,$48715.82,NA,NA,$47254.35,NA,NA,NA,$48715.82,NA,NA,$48715.82,NA,$48715.82,NA,$56023.20,$48715.82,$48715.82,NA,$46280.03,NA,NA,NA,NA
Inpatient Rehabilitation Services,Inpatient Rehab Per Discharge: Major Mult. Trauma with brain or spinal cord inj.,CMG 1806-C,NA,NA,$36709.06,$44437.29,NA,NA,NA,$38641.12,NA,NA,$37481.89,NA,NA,NA,$38641.12,NA,NA,$38641.12,NA,$38641.12,NA,$44437.29,$38641.12,$38641.12,NA,$36709.06,NA,NA,NA,NA
Inpatient Rehabilitation Services,Inpatient Rehab Per Discharge: Major Mult. Trauma with brain or spinal cord inj.,CMG 1806-D,NA,NA,$32968.03,$39908.67,NA,NA,NA,$34703.19,NA,NA,$33662.09,NA,NA,NA,$34703.19,NA,NA,$34703.19,NA,$34703.19,NA,$39908.67,$34703.19,$34703.19,NA,$32968.03,NA,NA,NA,NA
Inpatient Rehabilitation Services,Inpatient Rehab Per Discharge: Guillian-Barre,CMG 1901-A,NA,NA,$11852.48,$14347.74,NA,NA,NA,$12476.30,NA,NA,$12102.01,NA,NA,NA,$12476.30,NA,NA,$12476.30,NA,$12476.30,NA,$14347.74,$12476.30,$12476.30,NA,$11852.48,NA,NA,NA,NA
Inpatient Rehabilitation Services,Inpatient Rehab Per Discharge: Guillian-Barre,CMG 1901-B,NA,NA,$16319.21,$19754.83,NA,NA,NA,$17178.11,NA,NA,$16662.77,NA,NA,NA,$17178.11,NA,NA,$17178.11,NA,$17178.11,NA,$19754.83,$17178.11,$17178.11,NA,$16319.21,NA,NA,NA,NA
Inpatient Rehabilitation Services,Inpatient Rehab Per Discharge: Guillian-Barre,CMG 1901-C,NA,NA,$12690.76,$15362.50,NA,NA,NA,$13358.69,NA,NA,$12957.93,NA,NA,NA,$13358.69,NA,NA,$13358.69,NA,$13358.69,NA,$15362.50,$13358.69,$13358.69,NA,$12690.76,NA,NA,NA,NA
Inpatient Rehabilitation Services,Inpatient Rehab Per Discharge: Guillian-Barre,CMG 1901-D,NA,NA,$12514.42,$15149.04,NA,NA,NA,$13173.08,NA,NA,$12777.88,NA,NA,NA,$13173.08,NA,NA,$13173.08,NA,$13173.08,NA,$15149.04,$13173.08,$13173.08,NA,$12514.42,NA,NA,NA,NA
Inpatient Rehabilitation Services,Inpatient Rehab Per Discharge: Guillian-Barre,CMG 1902-A,NA,NA,$16049.28,$19428.07,NA,NA,NA,$16893.98,NA,NA,$16387.16,NA,NA,NA,$16893.98,NA,NA,$16893.98,NA,$16893.98,NA,$19428.07,$16893.98,$16893.98,NA,$16049.28,NA,NA,NA,NA
Inpatient Rehabilitation Services,Inpatient Rehab Per Discharge: Guillian-Barre,CMG 1902-B,NA,NA,$22098.96,$26751.37,NA,NA,NA,$23262.06,NA,NA,$22564.20,NA,NA,NA,$23262.06,NA,NA,$23262.06,NA,$23262.06,NA,$26751.37,$23262.06,$23262.06,NA,$22098.96,NA,NA,NA,NA
Inpatient Rehabilitation Services,Inpatient Rehab Per Discharge: Guillian-Barre,CMG 1902-C,NA,NA,$17185.97,$20804.07,NA,NA,NA,$18090.49,NA,NA,$17547.78,NA,NA,NA,$18090.49,NA,NA,$18090.49,NA,$18090.49,NA,$20804.07,$18090.49,$18090.49,NA,$17185.97,NA,NA,NA,NA
Inpatient Rehabilitation Services,Inpatient Rehab Per Discharge: Guillian-Barre,CMG 1902-D,NA,NA,$16945.88,$20513.43,NA,NA,NA,$17837.77,NA,NA,$17302.63,NA,NA,NA,$17837.77,NA,NA,$17837.77,NA,$17837.77,NA,$20513.43,$17837.77,$17837.77,NA,$16945.88,NA,NA,NA,NA
Inpatient Rehabilitation Services,Inpatient Rehab Per Discharge: Guillian-Barre,CMG 1903-A,NA,NA,$25552.43,$30931.89,NA,NA,NA,$26897.29,NA,NA,$26090.37,NA,NA,NA,$26897.29,NA,NA,$26897.29,NA,$26897.29,NA,$30931.89,$26897.29,$26897.29,NA,$25552.43,NA,NA,NA,NA
Inpatient Rehabilitation Services,Inpatient Rehab Per Discharge: Guillian-Barre,CMG 1903-B,NA,NA,$35184.44,$42591.69,NA,NA,NA,$37036.25,NA,NA,$35925.16,NA,NA,NA,$37036.25,NA,NA,$37036.25,NA,$37036.25,NA,$42591.69,$37036.25,$37036.25,NA,$35184.44,NA,NA,NA,NA
Inpatient Rehabilitation Services,Inpatient Rehab Per Discharge: Guillian-Barre,CMG 1903-C,NA,NA,$27361.90,$33122.31,NA,NA,NA,$28802.01,NA,NA,$27937.95,NA,NA,NA,$28802.01,NA,NA,$28802.01,NA,$28802.01,NA,$33122.31,$28802.01,$28802.01,NA,$27361.90,NA,NA,NA,NA
Inpatient Rehabilitation Services,Inpatient Rehab Per Discharge: Guillian-Barre,CMG 1903-D,NA,NA,$26979.39,$32659.26,NA,NA,NA,$28399.36,NA,NA,$27547.38,NA,NA,NA,$28399.36,NA,NA,$28399.36,NA,$28399.36,NA,$32659.26,$28399.36,$28399.36,NA,$26979.39,NA,NA,NA,NA
Inpatient Rehabilitation Services,Inpatient Rehab Per Discharge: Guillian-Barre,CMG 1904-A,NA,NA,$37620.58,$45540.71,NA,NA,NA,$39600.62,NA,NA,$38412.60,NA,NA,NA,$39600.62,NA,NA,$39600.62,NA,$39600.62,NA,$45540.71,$39600.62,$39600.62,NA,$37620.58,NA,NA,NA,NA
Inpatient Rehabilitation Services,Inpatient Rehab Per Discharge: Guillian-Barre,CMG 1904-B,NA,NA,$51800.70,$62706.11,NA,NA,NA,$54527.06,NA,NA,$52891.24,NA,NA,NA,$54527.06,NA,NA,$54527.06,NA,$54527.06,NA,$62706.11,$54527.06,$54527.06,NA,$51800.70,NA,NA,NA,NA
Inpatient Rehabilitation Services,Inpatient Rehab Per Discharge: Guillian-Barre,CMG 1904-C,NA,NA,$40284.61,$48765.58,NA,NA,NA,$42404.86,NA,NA,$41132.71,NA,NA,NA,$42404.86,NA,NA,$42404.86,NA,$42404.86,NA,$48765.58,$42404.86,$42404.86,NA,$40284.61,NA,NA,NA,NA
Inpatient Rehabilitation Services,Inpatient Rehab Per Discharge: Guillian-Barre,CMG 1904-D,NA,NA,$39721.69,$48084.16,NA,NA,NA,$41812.31,NA,NA,$40557.94,NA,NA,NA,$41812.31,NA,NA,$41812.31,NA,$41812.31,NA,$48084.16,$41812.31,$41812.31,NA,$39721.69,NA,NA,NA,NA
Inpatient Rehabilitation Services,Inpatient Rehab Per Discharge: Other disabling impairments,CMG 2001-A,NA,NA,$11233.95,$13599.00,NA,NA,NA,$11825.21,NA,NA,$11470.46,NA,NA,NA,$11825.21,NA,NA,$11825.21,NA,$11825.21,NA,$13599.00,$11825.21,$11825.21,NA,$11233.95,NA,NA,NA,NA
Inpatient Rehabilitation Services,Inpatient Rehab Per Discharge: Other disabling impairments,CMG 2001-B,NA,NA,$16437.22,$19897.69,NA,NA,NA,$17302.33,NA,NA,$16783.26,NA,NA,NA,$17302.33,NA,NA,$17302.33,NA,$17302.33,NA,$19897.69,$17302.33,$17302.33,NA,$16437.22,NA,NA,NA,NA
Inpatient Rehabilitation Services,Inpatient Rehab Per Discharge: Other disabling impairments,CMG 2001-C,NA,NA,$13337.78,$16145.73,NA,NA,NA,$14039.76,NA,NA,$13618.57,NA,NA,NA,$14039.76,NA,NA,$14039.76,NA,$14039.76,NA,$16145.73,$14039.76,$14039.76,NA,$13337.78,NA,NA,NA,NA
Inpatient Rehabilitation Services,Inpatient Rehab Per Discharge: Other disabling impairments,CMG 2001-D,NA,NA,$12214.65,$14786.16,NA,NA,NA,$12857.53,NA,NA,$12471.80,NA,NA,NA,$12857.53,NA,NA,$12857.53,NA,$12857.53,NA,$14786.16,$12857.53,$12857.53,NA,$12214.65,NA,NA,NA,NA
Inpatient Rehabilitation Services,Inpatient Rehab Per Discharge: Other disabling impairments,CMG 2002-A,NA,NA,$13811.17,$16718.78,NA,NA,NA,$14538.07,NA,NA,$14101.93,NA,NA,NA,$14538.07,NA,NA,$14538.07,NA,$14538.07,NA,$16718.78,$14538.07,$14538.07,NA,$13811.17,NA,NA,NA,NA
Inpatient Rehabilitation Services,Inpatient Rehab Per Discharge: Other disabling impairments,CMG 2002-B,NA,NA,$20209.45,$24464.07,NA,NA,NA,$21273.11,NA,NA,$20634.91,NA,NA,NA,$21273.11,NA,NA,$21273.11,NA,$21273.11,NA,$24464.07,$21273.11,$21273.11,NA,$20209.45,NA,NA,NA,NA
Inpatient Rehabilitation Services,Inpatient Rehab Per Discharge: Other disabling impairments,CMG 2002-C,NA,NA,$16399.24,$19851.71,NA,NA,NA,$17262.36,NA,NA,$16744.49,NA,NA,NA,$17262.36,NA,NA,$17262.36,NA,$17262.36,NA,$19851.71,$17262.36,$17262.36,NA,$16399.24,NA,NA,NA,NA
Inpatient Rehabilitation Services,Inpatient Rehab Per Discharge: Other disabling impairments,CMG 2002-D,NA,NA,$15018.39,$18180.16,NA,NA,NA,$15808.83,NA,NA,$15334.57,NA,NA,NA,$15808.83,NA,NA,$15808.83,NA,$15808.83,NA,$18180.16,$15808.83,$15808.83,NA,$15018.39,NA,NA,NA,NA
Inpatient Rehabilitation Services,Inpatient Rehab Per Discharge: Other disabling impairments,CMG 2003-A,NA,NA,$16347.69,$19789.31,NA,NA,NA,$17208.10,NA,NA,$16691.86,NA,NA,NA,$17208.10,NA,NA,$17208.10,NA,$17208.10,NA,$19789.31,$17208.10,$17208.10,NA,$16347.69,NA,NA,NA,NA
Inpatient Rehabilitation Services,Inpatient Rehab Per Discharge: Other disabling impairments,CMG 2003-B,NA,NA,$23919.29,$28954.92,NA,NA,NA,$25178.20,NA,NA,$24422.85,NA,NA,NA,$25178.20,NA,NA,$25178.20,NA,$25178.20,NA,$28954.92,$25178.20,$25178.20,NA,$23919.29,NA,NA,NA,NA
Inpatient Rehabilitation Services,Inpatient Rehab Per Discharge: Other disabling impairments,CMG 2003-C,NA,NA,$19409.16,$23495.29,NA,NA,NA,$20430.69,NA,NA,$19817.77,NA,NA,NA,$20430.69,NA,NA,$20430.69,NA,$20430.69,NA,$23495.29,$20430.69,$20430.69,NA,$19409.16,NA,NA,NA,NA
Inpatient Rehabilitation Services,Inpatient Rehab Per Discharge: Other disabling impairments,CMG 2003-D,NA,NA,$17776.01,$21518.33,NA,NA,NA,$18711.59,NA,NA,$18150.25,NA,NA,NA,$18711.59,NA,NA,$18711.59,NA,$18711.59,NA,$21518.33,$18711.59,$18711.59,NA,$17776.01,NA,NA,NA,NA
Inpatient Rehabilitation Services,Inpatient Rehab Per Discharge: Other disabling impairments,CMG 2004-A,NA,NA,$18398.62,$22272.01,NA,NA,NA,$19366.96,NA,NA,$18785.96,NA,NA,NA,$19366.96,NA,NA,$19366.96,NA,$19366.96,NA,$22272.01,$19366.96,$19366.96,NA,$18398.62,NA,NA,NA,NA
Inpatient Rehabilitation Services,Inpatient Rehab Per Discharge: Other disabling impairments,CMG 2004-B,NA,NA,$26921.07,$32588.66,NA,NA,NA,$28337.96,NA,NA,$27487.82,NA,NA,NA,$28337.96,NA,NA,$28337.96,NA,$28337.96,NA,$32588.66,$28337.96,$28337.96,NA,$26921.07,NA,NA,NA,NA
Inpatient Rehabilitation Services,Inpatient Rehab Per Discharge: Other disabling impairments,CMG 2004-C,NA,NA,$21843.95,$26442.67,NA,NA,NA,$22993.63,NA,NA,$22303.82,NA,NA,NA,$22993.63,NA,NA,$22993.63,NA,$22993.63,NA,$26442.67,$22993.63,$22993.63,NA,$21843.95,NA,NA,NA,NA
Inpatient Rehabilitation Services,Inpatient Rehab Per Discharge: Other disabling impairments,CMG 2004-D,NA,NA,$20005.99,$24217.77,NA,NA,NA,$21058.93,NA,NA,$20427.16,NA,NA,NA,$21058.93,NA,NA,$21058.93,NA,$21058.93,NA,$24217.77,$21058.93,$21058.93,NA,$20005.99,NA,NA,NA,NA
Inpatient Rehabilitation Services,Inpatient Rehab Per Discharge: Other disabling impairments,CMG 2005-A,NA,NA,$19780.82,$23945.20,NA,NA,NA,$20821.91,NA,NA,$20197.26,NA,NA,NA,$20821.91,NA,NA,$20821.91,NA,$20821.91,NA,$23945.20,$20821.91,$20821.91,NA,$19780.82,NA,NA,NA,NA
Inpatient Rehabilitation Services,Inpatient Rehab Per Discharge: Other disabling impairments,CMG 2005-B,NA,NA,$28943.50,$35036.87,NA,NA,NA,$30466.84,NA,NA,$29552.84,NA,NA,NA,$30466.84,NA,NA,$30466.84,NA,$30466.84,NA,$35036.87,$30466.84,$30466.84,NA,$28943.50,NA,NA,NA,NA
Inpatient Rehabilitation Services,Inpatient Rehab Per Discharge: Other disabling impairments,CMG 2005-C,NA,NA,$23486.58,$28431.13,NA,NA,NA,$24722.72,NA,NA,$23981.04,NA,NA,NA,$24722.72,NA,NA,$24722.72,NA,$24722.72,NA,$28431.13,$24722.72,$24722.72,NA,$23486.58,NA,NA,NA,NA
Inpatient Rehabilitation Services,Inpatient Rehab Per Discharge: Other disabling impairments,CMG 2005-D,NA,NA,$21510.27,$26038.74,NA,NA,NA,$22642.39,NA,NA,$21963.11,NA,NA,NA,$22642.39,NA,NA,$22642.39,NA,$22642.39,NA,$26038.74,$22642.39,$22642.39,NA,$21510.27,NA,NA,NA,NA
Inpatient Rehabilitation Services,Inpatient Rehab Per Discharge: Burns,CMG 2101-A,NA,NA,$15289.68,$18508.56,NA,NA,NA,$16094.40,NA,NA,$15611.57,NA,NA,NA,$16094.40,NA,NA,$16094.40,NA,$16094.40,NA,$18508.56,$16094.40,$16094.40,NA,$15289.68,NA,NA,NA,NA
Inpatient Rehabilitation Services,Inpatient Rehab Per Discharge: Burns,CMG 2101-B,NA,NA,$24460.50,$29610.08,NA,NA,NA,$25747.90,NA,NA,$24975.46,NA,NA,NA,$25747.90,NA,NA,$25747.90,NA,$25747.90,NA,$29610.08,$25747.90,$25747.90,NA,$24460.50,NA,NA,NA,NA
Inpatient Rehabilitation Services,Inpatient Rehab Per Discharge: Burns,CMG 2101-C,NA,NA,$18598.01,$22513.38,NA,NA,NA,$19576.85,NA,NA,$18989.55,NA,NA,NA,$19576.85,NA,NA,$19576.85,NA,$19576.85,NA,$22513.38,$19576.85,$19576.85,NA,$18598.01,NA,NA,NA,NA
Inpatient Rehabilitation Services,Inpatient Rehab Per Discharge: Burns,CMG 2101-D,NA,NA,$15289.68,$18508.56,NA,NA,NA,$16094.40,NA,NA,$15611.57,NA,NA,NA,$16094.40,NA,NA,$16094.40,NA,$16094.40,NA,$18508.56,$16094.40,$16094.40,NA,$15289.68,NA,NA,NA,NA
Inpatient Rehabilitation Services,Inpatient Rehab Per Discharge: Burns,CMG 2102-A,NA,NA,$20395.28,$24689.02,NA,NA,NA,$21468.72,NA,NA,$20824.66,NA,NA,NA,$21468.72,NA,NA,$21468.72,NA,$21468.72,NA,$24689.02,$21468.72,$21468.72,NA,$20395.28,NA,NA,NA,NA
Inpatient Rehabilitation Services,Inpatient Rehab Per Discharge: Burns,CMG 2102-B,NA,NA,$32628.92,$39498.17,NA,NA,NA,$34346.23,NA,NA,$33315.85,NA,NA,NA,$34346.23,NA,NA,$34346.23,NA,$34346.23,NA,$39498.17,$34346.23,$34346.23,NA,$32628.92,NA,NA,NA,NA
Inpatient Rehabilitation Services,Inpatient Rehab Per Discharge: Burns,CMG 2102-C,NA,NA,$24807.75,$30030.43,NA,NA,NA,$26113.42,NA,NA,$25330.02,NA,NA,NA,$26113.42,NA,NA,$26113.42,NA,$26113.42,NA,$30030.43,$26113.42,$26113.42,NA,$24807.75,NA,NA,NA,NA
Inpatient Rehabilitation Services,Inpatient Rehab Per Discharge: Burns,CMG 2102-D,NA,NA,$20395.28,$24689.02,NA,NA,NA,$21468.72,NA,NA,$20824.66,NA,NA,NA,$21468.72,NA,NA,$21468.72,NA,$21468.72,NA,$24689.02,$21468.72,$21468.72,NA,$20395.28,NA,NA,NA,NA
