Encompass Health Rehabilitation Hospital of Ocala,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Prices Posted and Effective 1/1/2021,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Note: General file information and additional details can be found on the Price Transparency page of this hospital's website,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PATIENT_TYPE,SHOPPABLE_SERVICES,BILLING_REVENUE_SERVICE_CODE,GROSS_CHARGE,DISCOUNTED_CASH_PRICE,DEIDENTIFIED_MIN_NEGOTIATED_CHARGE,DEIDENTIFIED_MAX_NEGOTIATED_CHARGE,AETNA (AET) negotiated charge,AETNA MEDICARE (AETM) negotiated charge,BC HEALTH OPTIONS EXCHANG (BHOZ) negotiated charge,BCBS OUT OF STATE (BCBS) negotiated charge,BCFL BLUE SELECT (BCSE) negotiated charge,BCFL NETWORK BLUE (BCNB) negotiated charge,BCFL PREFERRED PAT CARE (BCFP) negotiated charge,BCFL TRADITIONAL (BCFL) negotiated charge,BLUE CROSS HEALTH OPTIONS (BCHO) negotiated charge,CAREWORKS (CRW) negotiated charge,CAREWORKS WORK COMP (CRWW) negotiated charge,CHAMPVA (CVA) negotiated charge,CIGNA (CIG) negotiated charge,CORVEL WC (CVLW) negotiated charge,FEDERAL BLUE CROSS (BCFD) negotiated charge,HEALTH OPTIONS MEDICARE (BCHM) negotiated charge,HUMANA (HUM) negotiated charge,HUMANA MEDICARE (HUMM) negotiated charge,HUMANA MILITARY TRICARE (TRI) negotiated charge,MULTIPLAN (MUL) negotiated charge,NETWORK BLUE MEDICARE (BCBM) negotiated charge,ONE CALL MEDICAL WC (OCLW) negotiated charge,PRIVATE HEALTHCARE SYSTEM (PHST) negotiated charge,PROVIDER NET OF AMERICA (PAM) negotiated charge,PYR/AMERICAN PROGRESSIVE (AMPM) negotiated charge,THE RENY COMPANY WC (REN) negotiated charge,UHC VA CCN (UHV) negotiated charge,UNITED HEALTHCARE (UHC) negotiated charge,UNITED HEALTHCARE MEDICAR (UHCM) negotiated charge,ZELIAS NET SOLUTIONS WC (ZNSW) negotiated charge,ZELIAS NETWORK SOLUTIONS (ZNS) negotiated charge
Inpatient Rehabilitation Services,Inpatient Rehab Per Discharge: Pain syndrome,CMG 1601-A,NA,NA,$11658.36,$14150.25,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,$24576.52,NA,NA,NA,$24576.52,NA,NA,$24576.52,NA,$24576.52,NA,NA,$28263.01,$24576.52,NA,$24576.52,NA,$23347.70,NA,NA
Inpatient Rehabilitation Services,Inpatient Rehab Per Discharge: Pain syndrome,CMG 1601-B,NA,NA,$14360.93,$17430.47,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,$30273.70,NA,NA,NA,$30273.70,NA,NA,$30273.70,NA,$30273.70,NA,NA,$34814.76,$30273.70,NA,$30273.70,NA,$28760.01,NA,NA
Inpatient Rehabilitation Services,Inpatient Rehab Per Discharge: Pain syndrome,CMG 1601-C,NA,NA,$14360.93,$17430.47,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,$30273.70,NA,NA,NA,$30273.70,NA,NA,$30273.70,NA,$30273.70,NA,NA,$34814.76,$30273.70,NA,$30273.70,NA,$28760.01,NA,NA
Inpatient Rehabilitation Services,Inpatient Rehab Per Discharge: Pain syndrome,CMG 1601-D,NA,NA,$12952.29,$15720.74,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,$27304.18,NA,NA,NA,$27304.18,NA,NA,$27304.18,NA,$27304.18,NA,NA,$31399.82,$27304.18,NA,$27304.18,NA,$25938.98,NA,NA
Inpatient Rehabilitation Services,Inpatient Rehab Per Discharge: Pain syndrome,CMG 1602-A,NA,NA,$13058.30,$15849.41,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,$27527.67,NA,NA,NA,$27527.67,NA,NA,$27527.67,NA,$27527.67,NA,NA,$31656.82,$27527.67,NA,$27527.67,NA,$26151.29,NA,NA
Inpatient Rehabilitation Services,Inpatient Rehab Per Discharge: Pain syndrome,CMG 1602-B,NA,NA,$16087.61,$19526.21,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,$33913.65,NA,NA,NA,$33913.65,NA,NA,$33913.65,NA,$33913.65,NA,NA,$39000.69,$33913.65,NA,$33913.65,NA,$32217.96,NA,NA
Inpatient Rehabilitation Services,Inpatient Rehab Per Discharge: Pain syndrome,CMG 1602-C,NA,NA,$16087.61,$19526.21,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,$33913.65,NA,NA,NA,$33913.65,NA,NA,$33913.65,NA,$33913.65,NA,NA,$39000.69,$33913.65,NA,$33913.65,NA,$32217.96,NA,NA
Inpatient Rehabilitation Services,Inpatient Rehab Per Discharge: Pain syndrome,CMG 1602-D,NA,NA,$14509.06,$17610.26,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,$30585.96,NA,NA,NA,$30585.96,NA,NA,$30585.96,NA,$30585.96,NA,NA,$35173.86,$30585.96,NA,$30585.96,NA,$29056.66,NA,NA
Inpatient Rehabilitation Services,Inpatient Rehab Per Discharge: Pain syndrome,CMG 1603-A,NA,NA,$15958.37,$19369.34,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,$33641.19,NA,NA,NA,$33641.19,NA,NA,$33641.19,NA,$33641.19,NA,NA,$38687.36,$33641.19,NA,$33641.19,NA,$31959.13,NA,NA
Inpatient Rehabilitation Services,Inpatient Rehab Per Discharge: Pain syndrome,CMG 1603-B,NA,NA,$19660.06,$23862.24,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,$41444.57,NA,NA,NA,$41444.57,NA,NA,$41444.57,NA,$41444.57,NA,NA,$47661.26,$41444.57,NA,$41444.57,NA,$39372.35,NA,NA
Inpatient Rehabilitation Services,Inpatient Rehab Per Discharge: Pain syndrome,CMG 1603-C,NA,NA,$19660.06,$23862.24,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,$41444.57,NA,NA,NA,$41444.57,NA,NA,$41444.57,NA,$41444.57,NA,NA,$47661.26,$41444.57,NA,$41444.57,NA,$39372.35,NA,NA
Inpatient Rehabilitation Services,Inpatient Rehab Per Discharge: Pain syndrome,CMG 1603-D,NA,NA,$17730.07,$21519.73,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,$37376.04,NA,NA,NA,$37376.04,NA,NA,$37376.04,NA,$37376.04,NA,NA,$42982.44,$37376.04,NA,$37376.04,NA,$35507.24,NA,NA
Inpatient Rehabilitation Services,Inpatient Rehab Per Discharge: Pain syndrome,CMG 1604-A,NA,NA,$20277.25,$24611.35,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,$42745.64,NA,NA,NA,$42745.64,NA,NA,$42745.64,NA,$42745.64,NA,NA,$49157.49,$42745.64,NA,$42745.64,NA,$40608.37,NA,NA
Inpatient Rehabilitation Services,Inpatient Rehab Per Discharge: Pain syndrome,CMG 1604-B,NA,NA,$24979.51,$30318.69,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,$52658.30,NA,NA,NA,$52658.30,NA,NA,$52658.30,NA,$52658.30,NA,NA,$60557.05,$52658.30,NA,$52658.30,NA,$50025.38,NA,NA
Inpatient Rehabilitation Services,Inpatient Rehab Per Discharge: Pain syndrome,CMG 1604-C,NA,NA,$24979.51,$30318.69,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,$52658.30,NA,NA,NA,$52658.30,NA,NA,$52658.30,NA,$52658.30,NA,NA,$60557.05,$52658.30,NA,$52658.30,NA,$50025.38,NA,NA
Inpatient Rehabilitation Services,Inpatient Rehab Per Discharge: Pain syndrome,CMG 1604-D,NA,NA,$22528.18,$27343.40,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,$47490.74,NA,NA,NA,$47490.74,NA,NA,$47490.74,NA,$47490.74,NA,NA,$54614.35,$47490.74,NA,$47490.74,NA,$45116.20,NA,NA
Inpatient Rehabilitation Services,"Inpatient Rehab Per Discharge: Major Mult. Trauma, no brain or spinal cord injury",CMG 1701-A,NA,NA,$13116.39,$15919.91,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,$27650.12,NA,NA,NA,$27650.12,NA,NA,$27650.12,NA,$27650.12,NA,NA,$31797.64,$27650.12,NA,$27650.12,NA,$26267.62,NA,NA
Inpatient Rehabilitation Services,"Inpatient Rehab Per Discharge: Major Mult. Trauma, no brain or spinal cord injury",CMG 1701-B,NA,NA,$20200.28,$24517.93,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,$42583.39,NA,NA,NA,$42583.39,NA,NA,$42583.39,NA,$42583.39,NA,NA,$48970.90,$42583.39,NA,$42583.39,NA,$40454.22,NA,NA
Inpatient Rehabilitation Services,"Inpatient Rehab Per Discharge: Major Mult. Trauma, no brain or spinal cord injury",CMG 1701-C,NA,NA,$15846.55,$19233.62,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,$33405.46,NA,NA,NA,$33405.46,NA,NA,$33405.46,NA,$33405.46,NA,NA,$38416.28,$33405.46,NA,$33405.46,NA,$31735.19,NA,NA
Inpatient Rehabilitation Services,"Inpatient Rehab Per Discharge: Major Mult. Trauma, no brain or spinal cord injury",CMG 1701-D,NA,NA,$14404.50,$17483.35,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,$30365.54,NA,NA,NA,$30365.54,NA,NA,$30365.54,NA,$30365.54,NA,NA,$34920.37,$30365.54,NA,$30365.54,NA,$28847.27,NA,NA
Inpatient Rehabilitation Services,"Inpatient Rehab Per Discharge: Major Mult. Trauma, no brain or spinal cord injury",CMG 1702-A,NA,NA,$16019.36,$19443.37,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,$33769.76,NA,NA,NA,$33769.76,NA,NA,$33769.76,NA,$33769.76,NA,NA,$38835.23,$33769.76,NA,$33769.76,NA,$32081.28,NA,NA
Inpatient Rehabilitation Services,"Inpatient Rehab Per Discharge: Major Mult. Trauma, no brain or spinal cord injury",CMG 1702-B,NA,NA,$24670.19,$29943.25,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,$52006.23,NA,NA,NA,$52006.23,NA,NA,$52006.23,NA,$52006.23,NA,NA,$59807.16,$52006.23,NA,$52006.23,NA,$49405.92,NA,NA
Inpatient Rehabilitation Services,"Inpatient Rehab Per Discharge: Major Mult. Trauma, no brain or spinal cord injury",CMG 1702-C,NA,NA,$19355.09,$23492.09,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,$40801.69,NA,NA,NA,$40801.69,NA,NA,$40801.69,NA,$40801.69,NA,NA,$46921.94,$40801.69,NA,$40801.69,NA,$38761.60,NA,NA
Inpatient Rehabilitation Services,"Inpatient Rehab Per Discharge: Major Mult. Trauma, no brain or spinal cord injury",CMG 1702-D,NA,NA,$17593.56,$21354.04,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,$37088.26,NA,NA,NA,$37088.26,NA,NA,$37088.26,NA,$37088.26,NA,NA,$42651.50,$37088.26,NA,$37088.26,NA,$35233.86,NA,NA
Inpatient Rehabilitation Services,"Inpatient Rehab Per Discharge: Major Mult. Trauma, no brain or spinal cord injury",CMG 1703-A,NA,NA,$18990.59,$23049.68,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,$40033.29,NA,NA,NA,$40033.29,NA,NA,$40033.29,NA,$40033.29,NA,NA,$46038.28,$40033.29,NA,$40033.29,NA,$38031.63,NA,NA
Inpatient Rehabilitation Services,"Inpatient Rehab Per Discharge: Major Mult. Trauma, no brain or spinal cord injury",CMG 1703-B,NA,NA,$29247.56,$35499.00,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,$61655.61,NA,NA,NA,$61655.61,NA,NA,$61655.61,NA,$61655.61,NA,NA,$70903.95,$61655.61,NA,$61655.61,NA,$58572.82,NA,NA
Inpatient Rehabilitation Services,"Inpatient Rehab Per Discharge: Major Mult. Trauma, no brain or spinal cord injury",CMG 1703-C,NA,NA,$22943.51,$27847.51,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,$48366.28,NA,NA,NA,$48366.28,NA,NA,$48366.28,NA,$48366.28,NA,NA,$55621.23,$48366.28,NA,$48366.28,NA,$45947.97,NA,NA
Inpatient Rehabilitation Services,"Inpatient Rehab Per Discharge: Major Mult. Trauma, no brain or spinal cord injury",CMG 1703-D,NA,NA,$20856.68,$25314.63,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,$43967.12,NA,NA,NA,$43967.12,NA,NA,$43967.12,NA,$43967.12,NA,NA,$50562.19,$43967.12,NA,$43967.12,NA,$41768.77,NA,NA
Inpatient Rehabilitation Services,"Inpatient Rehab Per Discharge: Major Mult. Trauma, no brain or spinal cord injury",CMG 1704-A,NA,NA,$21007.71,$25497.94,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,$44285.50,NA,NA,NA,$44285.50,NA,NA,$44285.50,NA,$44285.50,NA,NA,$50928.33,$44285.50,NA,$44285.50,NA,$42071.23,NA,NA
Inpatient Rehabilitation Services,"Inpatient Rehab Per Discharge: Major Mult. Trauma, no brain or spinal cord injury",CMG 1704-B,NA,NA,$32353.85,$39269.23,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,$68203.84,NA,NA,NA,$68203.84,NA,NA,$68203.84,NA,$68203.84,NA,NA,$78434.41,$68203.84,NA,$68203.84,NA,$64793.65,NA,NA
Inpatient Rehabilitation Services,"Inpatient Rehab Per Discharge: Major Mult. Trauma, no brain or spinal cord injury",CMG 1704-C,NA,NA,$25381.77,$30806.93,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,$53506.30,NA,NA,NA,$53506.30,NA,NA,$53506.30,NA,$53506.30,NA,NA,$61532.24,$53506.30,NA,$53506.30,NA,$50830.97,NA,NA
Inpatient Rehabilitation Services,"Inpatient Rehab Per Discharge: Major Mult. Trauma, no brain or spinal cord injury",CMG 1704-D,NA,NA,$23072.76,$28004.38,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,$48638.74,NA,NA,NA,$48638.74,NA,NA,$48638.74,NA,$48638.74,NA,NA,$55934.56,$48638.74,NA,$48638.74,NA,$46206.81,NA,NA
Inpatient Rehabilitation Services,"Inpatient Rehab Per Discharge: Major Mult. Trauma, no brain or spinal cord injury",CMG 1705-A,NA,NA,$23050.97,$27977.94,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,$48592.82,NA,NA,NA,$48592.82,NA,NA,$48592.82,NA,$48592.82,NA,NA,$55881.75,$48592.82,NA,$48592.82,NA,$46163.18,NA,NA
Inpatient Rehabilitation Services,"Inpatient Rehab Per Discharge: Major Mult. Trauma, no brain or spinal cord injury",CMG 1705-B,NA,NA,$35502.25,$43090.57,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,$74840.84,NA,NA,NA,$74840.84,NA,NA,$74840.84,NA,$74840.84,NA,NA,$86066.97,$74840.84,NA,$74840.84,NA,$71098.81,NA,NA
Inpatient Rehabilitation Services,"Inpatient Rehab Per Discharge: Major Mult. Trauma, no brain or spinal cord injury",CMG 1705-C,NA,NA,$27851.99,$33805.13,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,$58713.65,NA,NA,NA,$58713.65,NA,NA,$58713.65,NA,$58713.65,NA,NA,$67520.69,$58713.65,NA,$58713.65,NA,$55777.97,NA,NA
Inpatient Rehabilitation Services,"Inpatient Rehab Per Discharge: Major Mult. Trauma, no brain or spinal cord injury",CMG 1705-D,NA,NA,$25317.88,$30729.38,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,$53371.60,NA,NA,NA,$53371.60,NA,NA,$53371.60,NA,$53371.60,NA,NA,$61377.34,$53371.60,NA,$53371.60,NA,$50703.02,NA,NA
Inpatient Rehabilitation Services,Inpatient Rehab Per Discharge: Major Mult. Trauma with brain or spinal cord inj.,CMG 1801-A,NA,NA,$11879.10,$14418.17,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,$25041.86,NA,NA,NA,$25041.86,NA,NA,$25041.86,NA,$25041.86,NA,NA,$28798.13,$25041.86,NA,$25041.86,NA,$23789.76,NA,NA
Inpatient Rehabilitation Services,Inpatient Rehab Per Discharge: Major Mult. Trauma with brain or spinal cord inj.,CMG 1801-B,NA,NA,$17979.85,$21822.90,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,$37902.58,NA,NA,NA,$37902.58,NA,NA,$37902.58,NA,$37902.58,NA,NA,$43587.98,$37902.58,NA,$37902.58,NA,$36007.46,NA,NA
Inpatient Rehabilitation Services,Inpatient Rehab Per Discharge: Major Mult. Trauma with brain or spinal cord inj.,CMG 1801-C,NA,NA,$14262.18,$17310.61,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,$30065.53,NA,NA,NA,$30065.53,NA,NA,$30065.53,NA,$30065.53,NA,NA,$34575.36,$30065.53,NA,$30065.53,NA,$28562.25,NA,NA
Inpatient Rehabilitation Services,Inpatient Rehab Per Discharge: Major Mult. Trauma with brain or spinal cord inj.,CMG 1801-D,NA,NA,$12808.52,$15546.24,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,$27001.12,NA,NA,NA,$27001.12,NA,NA,$27001.12,NA,$27001.12,NA,NA,$31051.29,$27001.12,NA,$27001.12,NA,$25651.06,NA,NA
Inpatient Rehabilitation Services,Inpatient Rehab Per Discharge: Major Mult. Trauma with brain or spinal cord inj.,CMG 1802-A,NA,NA,$15129.15,$18362.89,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,$31893.15,NA,NA,NA,$31893.15,NA,NA,$31893.15,NA,$31893.15,NA,NA,$36677.13,$31893.15,NA,$31893.15,NA,$30298.49,NA,NA
Inpatient Rehabilitation Services,Inpatient Rehab Per Discharge: Major Mult. Trauma with brain or spinal cord inj.,CMG 1802-B,NA,NA,$22897.04,$27791.10,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,$48268.33,NA,NA,NA,$48268.33,NA,NA,$48268.33,NA,$48268.33,NA,NA,$55508.57,$48268.33,NA,$48268.33,NA,$45854.91,NA,NA
Inpatient Rehabilitation Services,Inpatient Rehab Per Discharge: Major Mult. Trauma with brain or spinal cord inj.,CMG 1802-C,NA,NA,$18161.37,$22043.22,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,$38285.25,NA,NA,NA,$38285.25,NA,NA,$38285.25,NA,$38285.25,NA,NA,$44028.04,$38285.25,NA,$38285.25,NA,$36370.99,NA,NA
Inpatient Rehabilitation Services,Inpatient Rehab Per Discharge: Major Mult. Trauma with brain or spinal cord inj.,CMG 1802-D,NA,NA,$16311.25,$19797.66,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,$34385.09,NA,NA,NA,$34385.09,NA,NA,$34385.09,NA,$34385.09,NA,NA,$39542.86,$34385.09,NA,$34385.09,NA,$32665.84,NA,NA
Inpatient Rehabilitation Services,Inpatient Rehab Per Discharge: Major Mult. Trauma with brain or spinal cord inj.,CMG 1803-A,NA,NA,$18562.18,$22529.71,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,$39130.19,NA,NA,NA,$39130.19,NA,NA,$39130.19,NA,$39130.19,NA,NA,$44999.72,$39130.19,NA,$39130.19,NA,$37173.68,NA,NA
Inpatient Rehabilitation Services,Inpatient Rehab Per Discharge: Major Mult. Trauma with brain or spinal cord inj.,CMG 1803-B,NA,NA,$28093.06,$34097.73,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,$59221.84,NA,NA,NA,$59221.84,NA,NA,$59221.84,NA,$59221.84,NA,NA,$68105.11,$59221.84,NA,$59221.84,NA,$56260.75,NA,NA
Inpatient Rehabilitation Services,Inpatient Rehab Per Discharge: Major Mult. Trauma with brain or spinal cord inj.,CMG 1803-C,NA,NA,$22282.75,$27045.52,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,$46973.37,NA,NA,NA,$46973.37,NA,NA,$46973.37,NA,$46973.37,NA,NA,$54019.38,$46973.37,NA,$46973.37,NA,$44624.70,NA,NA
Inpatient Rehabilitation Services,Inpatient Rehab Per Discharge: Major Mult. Trauma with brain or spinal cord inj.,CMG 1803-D,NA,NA,$20012.94,$24290.55,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,$42188.48,NA,NA,NA,$42188.48,NA,NA,$42188.48,NA,$42188.48,NA,NA,$48516.75,$42188.48,NA,$42188.48,NA,$40079.05,NA,NA
Inpatient Rehabilitation Services,Inpatient Rehab Per Discharge: Major Mult. Trauma with brain or spinal cord inj.,CMG 1804-A,NA,NA,$21285.08,$25834.60,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,$44870.22,NA,NA,NA,$44870.22,NA,NA,$44870.22,NA,$44870.22,NA,NA,$51600.75,$44870.22,NA,$44870.22,NA,$42626.71,NA,NA
Inpatient Rehabilitation Services,Inpatient Rehab Per Discharge: Major Mult. Trauma with brain or spinal cord inj.,CMG 1804-B,NA,NA,$32214.44,$39100.02,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,$67909.95,NA,NA,NA,$67909.95,NA,NA,$67909.95,NA,$67909.95,NA,NA,$78096.44,$67909.95,NA,$67909.95,NA,$64514.46,NA,NA
Inpatient Rehabilitation Services,Inpatient Rehab Per Discharge: Major Mult. Trauma with brain or spinal cord inj.,CMG 1804-C,NA,NA,$25553.14,$31014.92,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,$53867.53,NA,NA,NA,$53867.53,NA,NA,$53867.53,NA,$53867.53,NA,NA,$61947.66,$53867.53,NA,$53867.53,NA,$51174.16,NA,NA
Inpatient Rehabilitation Services,Inpatient Rehab Per Discharge: Major Mult. Trauma with brain or spinal cord inj.,CMG 1804-D,NA,NA,$22949.32,$27854.56,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,$48378.53,NA,NA,NA,$48378.53,NA,NA,$48378.53,NA,$48378.53,NA,NA,$55635.31,$48378.53,NA,$48378.53,NA,$45959.61,NA,NA
Inpatient Rehabilitation Services,Inpatient Rehab Per Discharge: Major Mult. Trauma with brain or spinal cord inj.,CMG 1805-A,NA,NA,$25415.18,$30847.47,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,$53576.71,NA,NA,NA,$53576.71,NA,NA,$53576.71,NA,$53576.71,NA,NA,$61613.21,$53576.71,NA,$53576.71,NA,$50897.87,NA,NA
Inpatient Rehabilitation Services,Inpatient Rehab Per Discharge: Major Mult. Trauma with brain or spinal cord inj.,CMG 1805-B,NA,NA,$38464.76,$46686.30,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,$81086.00,NA,NA,NA,$81086.00,NA,NA,$81086.00,NA,$81086.00,NA,NA,$93248.90,$81086.00,NA,$81086.00,NA,$77031.70,NA,NA
Inpatient Rehabilitation Services,Inpatient Rehab Per Discharge: Major Mult. Trauma with brain or spinal cord inj.,CMG 1805-C,NA,NA,$30510.99,$37032.48,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,$64318.98,NA,NA,NA,$64318.98,NA,NA,$64318.98,NA,$64318.98,NA,NA,$73966.84,$64318.98,NA,$64318.98,NA,$61103.04,NA,NA
Inpatient Rehabilitation Services,Inpatient Rehab Per Discharge: Major Mult. Trauma with brain or spinal cord inj.,CMG 1805-D,NA,NA,$27401.80,$33258.72,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,$57764.63,NA,NA,NA,$57764.63,NA,NA,$57764.63,NA,$57764.63,NA,NA,$66429.32,$57764.63,NA,$57764.63,NA,$54876.40,NA,NA
Inpatient Rehabilitation Services,Inpatient Rehab Per Discharge: Major Mult. Trauma with brain or spinal cord inj.,CMG 1806-A,NA,NA,$32737.23,$39734.56,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,$69012.03,NA,NA,NA,$69012.03,NA,NA,$69012.03,NA,$69012.03,NA,NA,$79363.84,$69012.03,NA,$69012.03,NA,$65561.43,NA,NA
Inpatient Rehabilitation Services,Inpatient Rehab Per Discharge: Major Mult. Trauma with brain or spinal cord inj.,CMG 1806-B,NA,NA,$49548.05,$60138.56,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,$104450.24,NA,NA,NA,$104450.24,NA,NA,$104450.24,NA,$104450.24,NA,NA,$120117.77,$104450.24,NA,$104450.24,NA,$99227.73,NA,NA
Inpatient Rehabilitation Services,Inpatient Rehab Per Discharge: Major Mult. Trauma with brain or spinal cord inj.,CMG 1806-C,NA,NA,$39301.23,$47701.57,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,$82849.34,NA,NA,NA,$82849.34,NA,NA,$82849.34,NA,$82849.34,NA,NA,$95276.75,$82849.34,NA,$82849.34,NA,$78706.87,NA,NA
Inpatient Rehabilitation Services,Inpatient Rehab Per Discharge: Major Mult. Trauma with brain or spinal cord inj.,CMG 1806-D,NA,NA,$35296.03,$42840.28,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,$74406.14,NA,NA,NA,$74406.14,NA,NA,$74406.14,NA,$74406.14,NA,NA,$85567.05,$74406.14,NA,$74406.14,NA,$70685.83,NA,NA
Inpatient Rehabilitation Services,Inpatient Rehab Per Discharge: Guillian-Barre,CMG 1901-A,NA,NA,$12689.44,$15401.70,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,$26750.09,NA,NA,NA,$26750.09,NA,NA,$26750.09,NA,$26750.09,NA,NA,$30762.60,$26750.09,NA,$26750.09,NA,$25412.59,NA,NA
Inpatient Rehabilitation Services,Inpatient Rehab Per Discharge: Guillian-Barre,CMG 1901-B,NA,NA,$17471.57,$21205.98,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,$36831.12,NA,NA,NA,$36831.12,NA,NA,$36831.12,NA,$36831.12,NA,NA,$42355.78,$36831.12,NA,$36831.12,NA,$34989.56,NA,NA
Inpatient Rehabilitation Services,Inpatient Rehab Per Discharge: Guillian-Barre,CMG 1901-C,NA,NA,$13586.90,$16491.00,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,$28642.00,NA,NA,NA,$28642.00,NA,NA,$28642.00,NA,$28642.00,NA,NA,$32938.30,$28642.00,NA,$28642.00,NA,$27209.90,NA,NA
Inpatient Rehabilitation Services,Inpatient Rehab Per Discharge: Guillian-Barre,CMG 1901-D,NA,NA,$13398.11,$16261.86,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,$28244.03,NA,NA,NA,$28244.03,NA,NA,$28244.03,NA,$28244.03,NA,NA,$32480.63,$28244.03,NA,$28244.03,NA,$26831.82,NA,NA
Inpatient Rehabilitation Services,Inpatient Rehab Per Discharge: Guillian-Barre,CMG 1902-A,NA,NA,$17182.58,$20855.22,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,$36221.91,NA,NA,NA,$36221.91,NA,NA,$36221.91,NA,$36221.91,NA,NA,$41655.19,$36221.91,NA,$36221.91,NA,$34410.81,NA,NA
Inpatient Rehabilitation Services,Inpatient Rehab Per Discharge: Guillian-Barre,CMG 1902-B,NA,NA,$23659.45,$28716.47,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,$49875.53,NA,NA,NA,$49875.53,NA,NA,$49875.53,NA,$49875.53,NA,NA,$57356.86,$49875.53,NA,$49875.53,NA,$47381.75,NA,NA
