Encompass Health Rehabilitation Hospital of Western Massachusetts,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Prices Posted and Effective 1/1/2021,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Note: General file information and additional details can be found on the Price Transparency page of this hospital's website,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PATIENT_TYPE,SHOPPABLE_SERVICES,BILLING_REVENUE_SERVICE_CODE,GROSS_CHARGE,DISCOUNTED_CASH_PRICE,DEIDENTIFIED_MIN_NEGOTIATED_CHARGE,DEIDENTIFIED_MAX_NEGOTIATED_CHARGE,AETNA (AET) negotiated charge,AETNA MEDICARE (AETM) negotiated charge,ALLWAYS HEALTH PART EXCH (ALLZ) negotiated charge,ALLWAYS HEALTH PART MCD (ALLD) negotiated charge,ALLWAYS HEALTH PARTNERS (ALL) negotiated charge,BC BS OF MA (BCMA) negotiated charge,BCBS MA EXCHANGE (BMAZ) negotiated charge,BCBS OF MASS MEDICARE (BMAM) negotiated charge,BCMA BLUE BENEFIT ADMIN (BCMB) negotiated charge,BMC HEALTHNET (BMCD) negotiated charge,BOSTON MEDICAL CTR DUAL (BMCB) negotiated charge,CAREWORKS (CRW) negotiated charge,CAREWORKS WORK COMP (CRWW) negotiated charge,CHAMPVA (CVA) negotiated charge,CIGNA (CIG) negotiated charge,COMMONWEALTH CARE DUAL (COM) negotiated charge,CONNECTICARE (CTC) negotiated charge,CORVEL WC (CVLW) negotiated charge,COVENTRY HEALTHCARE WC (CHCW) negotiated charge,FALLON COMMUNITY HEALTH (FAL) negotiated charge,FALLON EXCHANGE (FALZ) negotiated charge,FALLON MEDICAID (FALD) negotiated charge,FALLON SENIOR (FALM) negotiated charge,HARVARD PILGRIM EXCHANGE (HPHZ) negotiated charge,HARVARD PILGRIM HEALTHCAR (HPH) negotiated charge,HEALTH NEW ENGLAND (HNE) negotiated charge,HEALTH NEW ENGLAND EXCHGE (HNEZ) negotiated charge,HEALTH NEW ENGLAND MEDICA (HNEM) negotiated charge,HEALTH NEWENGLAND MEDICAI (HNED) negotiated charge,NETWORK HEALTH (NTH) negotiated charge,NETWORK HEALTH BELOW 65 D (NTHB) negotiated charge,NETWORK HEALTH EXCHANGE (NTHZ) negotiated charge,ONE CALL MEDICAL WC (OCLW) negotiated charge,PRIVATE HEALTHCARE SYSTEM (PHST) negotiated charge,PROVIDER NET OF AMERICA (PAM) negotiated charge,PYR/AMERICAN PROGRESSIVE (AMPM) negotiated charge,TRICARE (TRI) negotiated charge,TUFTS HMO/PPO (TFTH) negotiated charge,TUFTS POS (TFTP) negotiated charge,TUFTS SECURE HORIZONS (TFTS) negotiated charge,UHC VA CCN (UHV) negotiated charge,UNICARE CIP (UNCI) negotiated charge,UNITED HEALTHCARE (UHC) negotiated charge,WELLSENSE MEDICARE (WLSM) negotiated charge,ZELIAS NET SOLUTIONS WC (ZNSW) negotiated charge,ZELIAS NETWORK SOLUTIONS (ZNS) negotiated charge
Inpatient Rehabilitation Services,"Inpatient Rehab Per Discharge: Amputation, lower extremity",CMG 1003-A,NA,NA,$20145.34,$25741.26,NA,$22383.71,NA,NA,NA,NA,NA,NA,NA,NA,$22383.71,NA,NA,$22383.71,NA,$20145.34,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,$22383.71,NA,NA,$22383.71,NA,NA,NA,$25741.26,$22383.71,$22383.71,NA,NA,NA,$22383.71,NA,NA,$22383.71,NA,NA
Inpatient Rehabilitation Services,"Inpatient Rehab Per Discharge: Amputation, lower extremity",CMG 1003-B,NA,NA,$28997.38,$37052.21,NA,$32219.31,NA,NA,NA,NA,NA,NA,NA,NA,$32219.31,NA,NA,$32219.31,NA,$28997.38,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,$32219.31,NA,NA,$32219.31,NA,NA,NA,$37052.21,$32219.31,$32219.31,NA,NA,NA,$32219.31,NA,NA,$32219.31,NA,NA
Inpatient Rehabilitation Services,"Inpatient Rehab Per Discharge: Amputation, lower extremity",CMG 1003-C,NA,NA,$24305.53,$31057.07,NA,$27006.15,NA,NA,NA,NA,NA,NA,NA,NA,$27006.15,NA,NA,$27006.15,NA,$24305.53,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,$27006.15,NA,NA,$27006.15,NA,NA,NA,$31057.07,$27006.15,$27006.15,NA,NA,NA,$27006.15,NA,NA,$27006.15,NA,NA
Inpatient Rehabilitation Services,"Inpatient Rehab Per Discharge: Amputation, lower extremity",CMG 1003-D,NA,NA,$21811.58,$27870.36,NA,$24235.09,NA,NA,NA,NA,NA,NA,NA,NA,$24235.09,NA,NA,$24235.09,NA,$21811.58,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,$24235.09,NA,NA,$24235.09,NA,NA,NA,$27870.36,$24235.09,$24235.09,NA,NA,NA,$24235.09,NA,NA,$24235.09,NA,NA
Inpatient Rehabilitation Services,"Inpatient Rehab Per Discharge: Amputation, lower extremity",CMG 1004-A,NA,NA,$23742.88,$30338.13,NA,$26380.98,NA,NA,NA,NA,NA,NA,NA,NA,$26380.98,NA,NA,$26380.98,NA,$23742.88,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,$26380.98,NA,NA,$26380.98,NA,NA,NA,$30338.13,$26380.98,$26380.98,NA,NA,NA,$26380.98,NA,NA,$26380.98,NA,NA
Inpatient Rehabilitation Services,"Inpatient Rehab Per Discharge: Amputation, lower extremity",CMG 1004-B,NA,NA,$34175.93,$43669.24,NA,$37973.25,NA,NA,NA,NA,NA,NA,NA,NA,$37973.25,NA,NA,$37973.25,NA,$34175.93,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,$37973.25,NA,NA,$37973.25,NA,NA,NA,$43669.24,$37973.25,$37973.25,NA,NA,NA,$37973.25,NA,NA,$37973.25,NA,NA
Inpatient Rehabilitation Services,"Inpatient Rehab Per Discharge: Amputation, lower extremity",CMG 1004-C,NA,NA,$28645.53,$36602.62,NA,$31828.37,NA,NA,NA,NA,NA,NA,NA,NA,$31828.37,NA,NA,$31828.37,NA,$28645.53,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,$31828.37,NA,NA,$31828.37,NA,NA,NA,$36602.62,$31828.37,$31828.37,NA,NA,NA,$31828.37,NA,NA,$31828.37,NA,NA
Inpatient Rehabilitation Services,"Inpatient Rehab Per Discharge: Amputation, lower extremity",CMG 1004-D,NA,NA,$25706.73,$32847.49,NA,$28563.04,NA,NA,NA,NA,NA,NA,NA,NA,$28563.04,NA,NA,$28563.04,NA,$25706.73,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,$28563.04,NA,NA,$28563.04,NA,NA,NA,$32847.49,$28563.04,$28563.04,NA,NA,NA,$28563.04,NA,NA,$28563.04,NA,NA
Inpatient Rehabilitation Services,"Inpatient Rehab Per Discharge: Amputation, other",CMG 1101-A,NA,NA,$15205.49,$19429.24,NA,$16894.99,NA,NA,NA,NA,NA,NA,NA,NA,$16894.99,NA,NA,$16894.99,NA,$15205.49,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,$16894.99,NA,NA,$16894.99,NA,NA,NA,$19429.24,$16894.99,$16894.99,NA,NA,NA,$16894.99,NA,NA,$16894.99,NA,NA
Inpatient Rehabilitation Services,"Inpatient Rehab Per Discharge: Amputation, other",CMG 1101-B,NA,NA,$20148.44,$25745.22,NA,$22387.15,NA,NA,NA,NA,NA,NA,NA,NA,$22387.15,NA,NA,$22387.15,NA,$20148.44,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,$22387.15,NA,NA,$22387.15,NA,NA,NA,$25745.22,$22387.15,$22387.15,NA,NA,NA,$22387.15,NA,NA,$22387.15,NA,NA
Inpatient Rehabilitation Services,"Inpatient Rehab Per Discharge: Amputation, other",CMG 1101-C,NA,NA,$17953.64,$22940.76,NA,$19948.49,NA,NA,NA,NA,NA,NA,NA,NA,$19948.49,NA,NA,$19948.49,NA,$17953.64,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,$19948.49,NA,NA,$19948.49,NA,NA,NA,$22940.76,$19948.49,$19948.49,NA,NA,NA,$19948.49,NA,NA,$19948.49,NA,NA
Inpatient Rehabilitation Services,"Inpatient Rehab Per Discharge: Amputation, other",CMG 1101-D,NA,NA,$15681.34,$20037.27,NA,$17423.71,NA,NA,NA,NA,NA,NA,NA,NA,$17423.71,NA,NA,$17423.71,NA,$15681.34,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,$17423.71,NA,NA,$17423.71,NA,NA,NA,$20037.27,$17423.71,$17423.71,NA,NA,NA,$17423.71,NA,NA,$17423.71,NA,NA
Inpatient Rehabilitation Services,"Inpatient Rehab Per Discharge: Amputation, other",CMG 1102-A,NA,NA,$20315.84,$25959.12,NA,$22573.15,NA,NA,NA,NA,NA,NA,NA,NA,$22573.15,NA,NA,$22573.15,NA,$20315.84,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,$22573.15,NA,NA,$22573.15,NA,NA,NA,$25959.12,$22573.15,$22573.15,NA,NA,NA,$22573.15,NA,NA,$22573.15,NA,NA
Inpatient Rehabilitation Services,"Inpatient Rehab Per Discharge: Amputation, other",CMG 1102-B,NA,NA,$26918.83,$34396.28,NA,$29909.81,NA,NA,NA,NA,NA,NA,NA,NA,$29909.81,NA,NA,$29909.81,NA,$26918.83,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,$29909.81,NA,NA,$29909.81,NA,NA,NA,$34396.28,$29909.81,$29909.81,NA,NA,NA,$29909.81,NA,NA,$29909.81,NA,NA
Inpatient Rehabilitation Services,"Inpatient Rehab Per Discharge: Amputation, other",CMG 1102-C,NA,NA,$23987.78,$30651.06,NA,$26653.09,NA,NA,NA,NA,NA,NA,NA,NA,$26653.09,NA,NA,$26653.09,NA,$23987.78,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,$26653.09,NA,NA,$26653.09,NA,NA,NA,$30651.06,$26653.09,$26653.09,NA,NA,NA,$26653.09,NA,NA,$26653.09,NA,NA
Inpatient Rehabilitation Services,"Inpatient Rehab Per Discharge: Amputation, other",CMG 1102-D,NA,NA,$20951.34,$26771.15,NA,$23279.26,NA,NA,NA,NA,NA,NA,NA,NA,$23279.26,NA,NA,$23279.26,NA,$20951.34,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,$23279.26,NA,NA,$23279.26,NA,NA,NA,$26771.15,$23279.26,$23279.26,NA,NA,NA,$23279.26,NA,NA,$23279.26,NA,NA
Inpatient Rehabilitation Services,"Inpatient Rehab Per Discharge: Amputation, other",CMG 1103-A,NA,NA,$22828.38,$29169.60,NA,$25364.87,NA,NA,NA,NA,NA,NA,NA,NA,$25364.87,NA,NA,$25364.87,NA,$22828.38,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,$25364.87,NA,NA,$25364.87,NA,NA,NA,$29169.60,$25364.87,$25364.87,NA,NA,NA,$25364.87,NA,NA,$25364.87,NA,NA
Inpatient Rehabilitation Services,"Inpatient Rehab Per Discharge: Amputation, other",CMG 1103-B,NA,NA,$30248.23,$38650.51,NA,$33609.14,NA,NA,NA,NA,NA,NA,NA,NA,$33609.14,NA,NA,$33609.14,NA,$30248.23,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,$33609.14,NA,NA,$33609.14,NA,NA,NA,$38650.51,$33609.14,$33609.14,NA,NA,NA,$33609.14,NA,NA,$33609.14,NA,NA
Inpatient Rehabilitation Services,"Inpatient Rehab Per Discharge: Amputation, other",CMG 1103-C,NA,NA,$26954.48,$34441.84,NA,$29949.42,NA,NA,NA,NA,NA,NA,NA,NA,$29949.42,NA,NA,$29949.42,NA,$26954.48,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,$29949.42,NA,NA,$29949.42,NA,NA,NA,$34441.84,$29949.42,$29949.42,NA,NA,NA,$29949.42,NA,NA,$29949.42,NA,NA
Inpatient Rehabilitation Services,"Inpatient Rehab Per Discharge: Amputation, other",CMG 1103-D,NA,NA,$23541.38,$30080.66,NA,$26157.09,NA,NA,NA,NA,NA,NA,NA,NA,$26157.09,NA,NA,$26157.09,NA,$23541.38,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,$26157.09,NA,NA,$26157.09,NA,NA,NA,$30080.66,$26157.09,$26157.09,NA,NA,NA,$26157.09,NA,NA,$26157.09,NA,NA
Inpatient Rehabilitation Services,Inpatient Rehab Per Discharge: Osteoarthritis,CMG 1201-A,NA,NA,$13512.89,$17266.47,NA,$15014.32,NA,NA,NA,NA,NA,NA,NA,NA,$15014.32,NA,NA,$15014.32,NA,$13512.89,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,$15014.32,NA,NA,$15014.32,NA,NA,NA,$17266.47,$15014.32,$15014.32,NA,NA,NA,$15014.32,NA,NA,$15014.32,NA,NA
Inpatient Rehabilitation Services,Inpatient Rehab Per Discharge: Osteoarthritis,CMG 1201-B,NA,NA,$22089.03,$28224.88,NA,$24543.37,NA,NA,NA,NA,NA,NA,NA,NA,$24543.37,NA,NA,$24543.37,NA,$22089.03,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,$24543.37,NA,NA,$24543.37,NA,NA,NA,$28224.88,$24543.37,$24543.37,NA,NA,NA,$24543.37,NA,NA,$24543.37,NA,NA
Inpatient Rehabilitation Services,Inpatient Rehab Per Discharge: Osteoarthritis,CMG 1201-C,NA,NA,$14717.24,$18805.36,NA,$16352.49,NA,NA,NA,NA,NA,NA,NA,NA,$16352.49,NA,NA,$16352.49,NA,$14717.24,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,$16352.49,NA,NA,$16352.49,NA,NA,NA,$18805.36,$16352.49,$16352.49,NA,NA,NA,$16352.49,NA,NA,$16352.49,NA,NA
Inpatient Rehabilitation Services,Inpatient Rehab Per Discharge: Osteoarthritis,CMG 1201-D,NA,NA,$14717.24,$18805.36,NA,$16352.49,NA,NA,NA,NA,NA,NA,NA,NA,$16352.49,NA,NA,$16352.49,NA,$14717.24,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,$16352.49,NA,NA,$16352.49,NA,NA,NA,$18805.36,$16352.49,$16352.49,NA,NA,NA,$16352.49,NA,NA,$16352.49,NA,NA
Inpatient Rehabilitation Services,Inpatient Rehab Per Discharge: Osteoarthritis,CMG 1202-A,NA,NA,$16978.69,$21694.99,NA,$18865.21,NA,NA,NA,NA,NA,NA,NA,NA,$18865.21,NA,NA,$18865.21,NA,$16978.69,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,$18865.21,NA,NA,$18865.21,NA,NA,NA,$21694.99,$18865.21,$18865.21,NA,NA,NA,$18865.21,NA,NA,$18865.21,NA,NA
Inpatient Rehabilitation Services,Inpatient Rehab Per Discharge: Osteoarthritis,CMG 1202-B,NA,NA,$27755.83,$35465.78,NA,$30839.81,NA,NA,NA,NA,NA,NA,NA,NA,$30839.81,NA,NA,$30839.81,NA,$27755.83,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,$30839.81,NA,NA,$30839.81,NA,NA,NA,$35465.78,$30839.81,$30839.81,NA,NA,NA,$30839.81,NA,NA,$30839.81,NA,NA
Inpatient Rehabilitation Services,Inpatient Rehab Per Discharge: Osteoarthritis,CMG 1202-C,NA,NA,$18491.49,$23628.01,NA,$20546.10,NA,NA,NA,NA,NA,NA,NA,NA,$20546.10,NA,NA,$20546.10,NA,$18491.49,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,$20546.10,NA,NA,$20546.10,NA,NA,NA,$23628.01,$20546.10,$20546.10,NA,NA,NA,$20546.10,NA,NA,$20546.10,NA,NA
Inpatient Rehabilitation Services,Inpatient Rehab Per Discharge: Osteoarthritis,CMG 1202-D,NA,NA,$18491.49,$23628.01,NA,$20546.10,NA,NA,NA,NA,NA,NA,NA,NA,$20546.10,NA,NA,$20546.10,NA,$18491.49,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,$20546.10,NA,NA,$20546.10,NA,NA,NA,$23628.01,$20546.10,$20546.10,NA,NA,NA,$20546.10,NA,NA,$20546.10,NA,NA
Inpatient Rehabilitation Services,Inpatient Rehab Per Discharge: Osteoarthritis,CMG 1203-A,NA,NA,$19737.69,$25220.38,NA,$21930.76,NA,NA,NA,NA,NA,NA,NA,NA,$21930.76,NA,NA,$21930.76,NA,$19737.69,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,$21930.76,NA,NA,$21930.76,NA,NA,NA,$25220.38,$21930.76,$21930.76,NA,NA,NA,$21930.76,NA,NA,$21930.76,NA,NA
Inpatient Rehabilitation Services,Inpatient Rehab Per Discharge: Osteoarthritis,CMG 1203-B,NA,NA,$32263.23,$41225.23,NA,$35848.03,NA,NA,NA,NA,NA,NA,NA,NA,$35848.03,NA,NA,$35848.03,NA,$32263.23,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,$35848.03,NA,NA,$35848.03,NA,NA,NA,$41225.23,$35848.03,$35848.03,NA,NA,NA,$35848.03,NA,NA,$35848.03,NA,NA
Inpatient Rehabilitation Services,Inpatient Rehab Per Discharge: Osteoarthritis,CMG 1203-C,NA,NA,$21493.83,$27464.34,NA,$23882.04,NA,NA,NA,NA,NA,NA,NA,NA,$23882.04,NA,NA,$23882.04,NA,$21493.83,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,$23882.04,NA,NA,$23882.04,NA,NA,NA,$27464.34,$23882.04,$23882.04,NA,NA,NA,$23882.04,NA,NA,$23882.04,NA,NA
Inpatient Rehabilitation Services,Inpatient Rehab Per Discharge: Osteoarthritis,CMG 1203-D,NA,NA,$21493.83,$27464.34,NA,$23882.04,NA,NA,NA,NA,NA,NA,NA,NA,$23882.04,NA,NA,$23882.04,NA,$21493.83,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,$23882.04,NA,NA,$23882.04,NA,NA,NA,$27464.34,$23882.04,$23882.04,NA,NA,NA,$23882.04,NA,NA,$23882.04,NA,NA
Inpatient Rehabilitation Services,Inpatient Rehab Per Discharge: Osteoarthritis,CMG 1204-A,NA,NA,$20743.64,$26505.76,NA,$23048.48,NA,NA,NA,NA,NA,NA,NA,NA,$23048.48,NA,NA,$23048.48,NA,$20743.64,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,$23048.48,NA,NA,$23048.48,NA,NA,NA,$26505.76,$23048.48,$23048.48,NA,NA,NA,$23048.48,NA,NA,$23048.48,NA,NA
Inpatient Rehabilitation Services,Inpatient Rehab Per Discharge: Osteoarthritis,CMG 1204-B,NA,NA,$33909.33,$43328.58,NA,$37677.03,NA,NA,NA,NA,NA,NA,NA,NA,$37677.03,NA,NA,$37677.03,NA,$33909.33,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,$37677.03,NA,NA,$37677.03,NA,NA,NA,$43328.58,$37677.03,$37677.03,NA,NA,NA,$37677.03,NA,NA,$37677.03,NA,NA
Inpatient Rehabilitation Services,Inpatient Rehab Per Discharge: Osteoarthritis,CMG 1204-C,NA,NA,$22591.23,$28866.58,NA,$25101.37,NA,NA,NA,NA,NA,NA,NA,NA,$25101.37,NA,NA,$25101.37,NA,$22591.23,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,$25101.37,NA,NA,$25101.37,NA,NA,NA,$28866.58,$25101.37,$25101.37,NA,NA,NA,$25101.37,NA,NA,$25101.37,NA,NA
Inpatient Rehabilitation Services,Inpatient Rehab Per Discharge: Osteoarthritis,CMG 1204-D,NA,NA,$22591.23,$28866.58,NA,$25101.37,NA,NA,NA,NA,NA,NA,NA,NA,$25101.37,NA,NA,$25101.37,NA,$22591.23,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,$25101.37,NA,NA,$25101.37,NA,NA,NA,$28866.58,$25101.37,$25101.37,NA,NA,NA,$25101.37,NA,NA,$25101.37,NA,NA
Inpatient Rehabilitation Services,Inpatient Rehab Per Discharge: Rheumatoid and other arthritis,CMG 1301-A,NA,NA,$12162.84,$15541.41,NA,$13514.27,NA,NA,NA,NA,NA,NA,NA,NA,$13514.27,NA,NA,$13514.27,NA,$12162.84,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,$13514.27,NA,NA,$13514.27,NA,NA,NA,$15541.41,$13514.27,$13514.27,NA,NA,NA,$13514.27,NA,NA,$13514.27,NA,NA
Inpatient Rehabilitation Services,Inpatient Rehab Per Discharge: Rheumatoid and other arthritis,CMG 1301-B,NA,NA,$17479.34,$22334.71,NA,$19421.49,NA,NA,NA,NA,NA,NA,NA,NA,$19421.49,NA,NA,$19421.49,NA,$17479.34,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,$19421.49,NA,NA,$19421.49,NA,NA,NA,$22334.71,$19421.49,$19421.49,NA,NA,NA,$19421.49,NA,NA,$19421.49,NA,NA
Inpatient Rehabilitation Services,Inpatient Rehab Per Discharge: Rheumatoid and other arthritis,CMG 1301-C,NA,NA,$14432.04,$18440.94,NA,$16035.60,NA,NA,NA,NA,NA,NA,NA,NA,$16035.60,NA,NA,$16035.60,NA,$14432.04,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,$16035.60,NA,NA,$16035.60,NA,NA,NA,$18440.94,$16035.60,$16035.60,NA,NA,NA,$16035.60,NA,NA,$16035.60,NA,NA
Inpatient Rehabilitation Services,Inpatient Rehab Per Discharge: Rheumatoid and other arthritis,CMG 1301-D,NA,NA,$13700.44,$17506.12,NA,$15222.71,NA,NA,NA,NA,NA,NA,NA,NA,$15222.71,NA,NA,$15222.71,NA,$13700.44,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,$15222.71,NA,NA,$15222.71,NA,NA,NA,$17506.12,$15222.71,$15222.71,NA,NA,NA,$15222.71,NA,NA,$15222.71,NA,NA
Inpatient Rehabilitation Services,Inpatient Rehab Per Discharge: Rheumatoid and other arthritis,CMG 1302-A,NA,NA,$16642.34,$21265.21,NA,$18491.49,NA,NA,NA,NA,NA,NA,NA,NA,$18491.49,NA,NA,$18491.49,NA,$16642.34,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,$18491.49,NA,NA,$18491.49,NA,NA,NA,$21265.21,$18491.49,$18491.49,NA,NA,NA,$18491.49,NA,NA,$18491.49,NA,NA
Inpatient Rehabilitation Services,Inpatient Rehab Per Discharge: Rheumatoid and other arthritis,CMG 1302-B,NA,NA,$23914.93,$30557.97,NA,$26572.15,NA,NA,NA,NA,NA,NA,NA,NA,$26572.15,NA,NA,$26572.15,NA,$23914.93,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,$26572.15,NA,NA,$26572.15,NA,NA,NA,$30557.97,$26572.15,$26572.15,NA,NA,NA,$26572.15,NA,NA,$26572.15,NA,NA
Inpatient Rehabilitation Services,Inpatient Rehab Per Discharge: Rheumatoid and other arthritis,CMG 1302-C,NA,NA,$19746.99,$25232.26,NA,$21941.10,NA,NA,NA,NA,NA,NA,NA,NA,$21941.10,NA,NA,$21941.10,NA,$19746.99,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,$21941.10,NA,NA,$21941.10,NA,NA,NA,$25232.26,$21941.10,$21941.10,NA,NA,NA,$21941.10,NA,NA,$21941.10,NA,NA
Inpatient Rehabilitation Services,Inpatient Rehab Per Discharge: Rheumatoid and other arthritis,CMG 1302-D,NA,NA,$18745.69,$23952.82,NA,$20828.54,NA,NA,NA,NA,NA,NA,NA,NA,$20828.54,NA,NA,$20828.54,NA,$18745.69,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,$20828.54,NA,NA,$20828.54,NA,NA,NA,$23952.82,$20828.54,$20828.54,NA,NA,NA,$20828.54,NA,NA,$20828.54,NA,NA
Inpatient Rehabilitation Services,Inpatient Rehab Per Discharge: Rheumatoid and other arthritis,CMG 1303-A,NA,NA,$19184.34,$24513.32,NA,$21315.93,NA,NA,NA,NA,NA,NA,NA,NA,$21315.93,NA,NA,$21315.93,NA,$19184.34,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,$21315.93,NA,NA,$21315.93,NA,NA,NA,$24513.32,$21315.93,$21315.93,NA,NA,NA,$21315.93,NA,NA,$21315.93,NA,NA
Inpatient Rehabilitation Services,Inpatient Rehab Per Discharge: Rheumatoid and other arthritis,CMG 1303-B,NA,NA,$27568.28,$35226.14,NA,$30631.42,NA,NA,NA,NA,NA,NA,NA,NA,$30631.42,NA,NA,$30631.42,NA,$27568.28,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,$30631.42,NA,NA,$30631.42,NA,NA,NA,$35226.14,$30631.42,$30631.42,NA,NA,NA,$30631.42,NA,NA,$30631.42,NA,NA
Inpatient Rehabilitation Services,Inpatient Rehab Per Discharge: Rheumatoid and other arthritis,CMG 1303-C,NA,NA,$22763.28,$29086.42,NA,$25292.54,NA,NA,NA,NA,NA,NA,NA,NA,$25292.54,NA,NA,$25292.54,NA,$22763.28,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,$25292.54,NA,NA,$25292.54,NA,NA,NA,$29086.42,$25292.54,$25292.54,NA,NA,NA,$25292.54,NA,NA,$25292.54,NA,NA
Inpatient Rehabilitation Services,Inpatient Rehab Per Discharge: Rheumatoid and other arthritis,CMG 1303-D,NA,NA,$21608.53,$27610.91,NA,$24009.48,NA,NA,NA,NA,NA,NA,NA,NA,$24009.48,NA,NA,$24009.48,NA,$21608.53,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,$24009.48,NA,NA,$24009.48,NA,NA,NA,$27610.91,$24009.48,$24009.48,NA,NA,NA,$24009.48,NA,NA,$24009.48,NA,NA
Inpatient Rehabilitation Services,Inpatient Rehab Per Discharge: Rheumatoid and other arthritis,CMG 1304-A,NA,NA,$22237.83,$28415.01,NA,$24708.70,NA,NA,NA,NA,NA,NA,NA,NA,$24708.70,NA,NA,$24708.70,NA,$22237.83,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,$24708.70,NA,NA,$24708.70,NA,NA,NA,$28415.01,$24708.70,$24708.70,NA,NA,NA,$24708.70,NA,NA,$24708.70,NA,NA
Inpatient Rehabilitation Services,Inpatient Rehab Per Discharge: Rheumatoid and other arthritis,CMG 1304-B,NA,NA,$31956.33,$40833.08,NA,$35507.03,NA,NA,NA,NA,NA,NA,NA,NA,$35507.03,NA,NA,$35507.03,NA,$31956.33,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,$35507.03,NA,NA,$35507.03,NA,NA,NA,$40833.08,$35507.03,$35507.03,NA,NA,NA,$35507.03,NA,NA,$35507.03,NA,NA
Inpatient Rehabilitation Services,Inpatient Rehab Per Discharge: Rheumatoid and other arthritis,CMG 1304-C,NA,NA,$26387.18,$33716.95,NA,$29319.09,NA,NA,NA,NA,NA,NA,NA,NA,$29319.09,NA,NA,$29319.09,NA,$26387.18,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,$29319.09,NA,NA,$29319.09,NA,NA,NA,$33716.95,$29319.09,$29319.09,NA,NA,NA,$29319.09,NA,NA,$29319.09,NA,NA
