Encompass Health Rehabilitation Hospital of Salisbury,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Prices Posted and Effective 1/1/2021,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Note: General file information and additional details can be found on the Price Transparency page of this hospital's website,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PATIENT_TYPE,SHOPPABLE_SERVICES,BILLING_REVENUE_SERVICE_CODE,GROSS_CHARGE,DISCOUNTED_CASH_PRICE,DEIDENTIFIED_MIN_NEGOTIATED_CHARGE,DEIDENTIFIED_MAX_NEGOTIATED_CHARGE,CAREFIRST (GRP HOSP/MED) (BCMI) negotiated charge,CAREFIRST BCBS (BCMH) negotiated charge,CAREFIRST BCBS EXCHANGE (BCMZ) negotiated charge,CAREFIRST BLUESELECT HMO (BCBH) negotiated charge,CAREWORKS (CRW) negotiated charge,CAREWORKS WORK COMP (CRWW) negotiated charge,CHAMPVA (CVA) negotiated charge,CHOICECARE MEDICARE (CHOM) negotiated charge,CIGNA (CIG) negotiated charge,CORVEL WC (CVLW) negotiated charge,GLOBAL EXCEL MANAGEMENT (GBE) negotiated charge,HUMANA MILITARY TRICARE (TRI) negotiated charge,INFORMED (INFD) negotiated charge,INNOVATIVE HEALTHWARE (INN) negotiated charge,INTEGRA GROUP (INT) negotiated charge,JOHNS HOPKINS HEALTHCARE (JHH) negotiated charge,JOHNS HOPKINS MEDICAID (JHHD) negotiated charge,MULTIPLAN (MUL) negotiated charge,ONE NET (ONT) negotiated charge,PROVIDER NET OF AMERICA (PAM) negotiated charge,PYR/AMERICAN PROGRESSIVE (AMPM) negotiated charge,RIVERSIDE HEALTH MEDICAID (RHPD) negotiated charge,UHC VA CCN (UHV) negotiated charge,UNITED HEALTHCARE (UHC) negotiated charge,ZELIAS NET SOLUTIONS WC (ZNSW) negotiated charge,ZELIAS NETWORK SOLUTIONS (ZNS) negotiated charge
Inpatient Rehabilitation Services,Inpatient Rehab Per Discharge: Major Mult. Trauma with brain or spinal cord inj.,CMG 1803-A,NA,NA,$20668.47,$23768.74,NA,NA,NA,NA,NA,NA,$20668.47,$20668.47,NA,NA,NA,$20668.47,NA,NA,NA,NA,NA,NA,NA,$23768.74,$20668.47,NA,$20668.47,NA,NA,NA
Inpatient Rehabilitation Services,Inpatient Rehab Per Discharge: Major Mult. Trauma with brain or spinal cord inj.,CMG 1803-B,NA,NA,$31280.83,$35972.95,NA,NA,NA,NA,NA,NA,$31280.83,$31280.83,NA,NA,NA,$31280.83,NA,NA,NA,NA,NA,NA,NA,$35972.95,$31280.83,NA,$31280.83,NA,NA,NA
Inpatient Rehabilitation Services,Inpatient Rehab Per Discharge: Major Mult. Trauma with brain or spinal cord inj.,CMG 1803-C,NA,NA,$24811.22,$28532.90,NA,NA,NA,NA,NA,NA,$24811.22,$24811.22,NA,NA,NA,$24811.22,NA,NA,NA,NA,NA,NA,NA,$28532.90,$24811.22,NA,$24811.22,NA,NA,NA
Inpatient Rehabilitation Services,Inpatient Rehab Per Discharge: Major Mult. Trauma with brain or spinal cord inj.,CMG 1803-D,NA,NA,$22283.85,$25626.43,NA,NA,NA,NA,NA,NA,$22283.85,$22283.85,NA,NA,NA,$22283.85,NA,NA,NA,NA,NA,NA,NA,$25626.43,$22283.85,NA,$22283.85,NA,NA,NA
Inpatient Rehabilitation Services,Inpatient Rehab Per Discharge: Major Mult. Trauma with brain or spinal cord inj.,CMG 1804-A,NA,NA,$23700.34,$27255.39,NA,NA,NA,NA,NA,NA,$23700.34,$23700.34,NA,NA,NA,$23700.34,NA,NA,NA,NA,NA,NA,NA,$27255.39,$23700.34,NA,$23700.34,NA,NA,NA
Inpatient Rehabilitation Services,Inpatient Rehab Per Discharge: Major Mult. Trauma with brain or spinal cord inj.,CMG 1804-B,NA,NA,$35869.87,$41250.35,NA,NA,NA,NA,NA,NA,$35869.87,$35869.87,NA,NA,NA,$35869.87,NA,NA,NA,NA,NA,NA,NA,$41250.35,$35869.87,NA,$35869.87,NA,NA,NA
Inpatient Rehabilitation Services,Inpatient Rehab Per Discharge: Major Mult. Trauma with brain or spinal cord inj.,CMG 1804-C,NA,NA,$28452.70,$32720.60,NA,NA,NA,NA,NA,NA,$28452.70,$28452.70,NA,NA,NA,$28452.70,NA,NA,NA,NA,NA,NA,NA,$32720.60,$28452.70,NA,$28452.70,NA,NA,NA
Inpatient Rehabilitation Services,Inpatient Rehab Per Discharge: Major Mult. Trauma with brain or spinal cord inj.,CMG 1804-D,NA,NA,$25553.42,$29386.43,NA,NA,NA,NA,NA,NA,$25553.42,$25553.42,NA,NA,NA,$25553.42,NA,NA,NA,NA,NA,NA,NA,$29386.43,$25553.42,NA,$25553.42,NA,NA,NA
Inpatient Rehabilitation Services,Inpatient Rehab Per Discharge: Major Mult. Trauma with brain or spinal cord inj.,CMG 1805-A,NA,NA,$28299.08,$32543.94,NA,NA,NA,NA,NA,NA,$28299.08,$28299.08,NA,NA,NA,$28299.08,NA,NA,NA,NA,NA,NA,NA,$32543.94,$28299.08,NA,$28299.08,NA,NA,NA
Inpatient Rehabilitation Services,Inpatient Rehab Per Discharge: Major Mult. Trauma with brain or spinal cord inj.,CMG 1805-B,NA,NA,$42829.43,$49253.84,NA,NA,NA,NA,NA,NA,$42829.43,$42829.43,NA,NA,NA,$42829.43,NA,NA,NA,NA,NA,NA,NA,$49253.84,$42829.43,NA,$42829.43,NA,NA,NA
Inpatient Rehabilitation Services,Inpatient Rehab Per Discharge: Major Mult. Trauma with brain or spinal cord inj.,CMG 1805-C,NA,NA,$33973.13,$39069.10,NA,NA,NA,NA,NA,NA,$33973.13,$33973.13,NA,NA,NA,$33973.13,NA,NA,NA,NA,NA,NA,NA,$39069.10,$33973.13,NA,$33973.13,NA,NA,NA
Inpatient Rehabilitation Services,Inpatient Rehab Per Discharge: Major Mult. Trauma with brain or spinal cord inj.,CMG 1805-D,NA,NA,$30511.14,$35087.81,NA,NA,NA,NA,NA,NA,$30511.14,$30511.14,NA,NA,NA,$30511.14,NA,NA,NA,NA,NA,NA,NA,$35087.81,$30511.14,NA,$30511.14,NA,NA,NA
Inpatient Rehabilitation Services,Inpatient Rehab Per Discharge: Major Mult. Trauma with brain or spinal cord inj.,CMG 1806-A,NA,NA,$36451.99,$41919.78,NA,NA,NA,NA,NA,NA,$36451.99,$36451.99,NA,NA,NA,$36451.99,NA,NA,NA,NA,NA,NA,NA,$41919.78,$36451.99,NA,$36451.99,NA,NA,NA
Inpatient Rehabilitation Services,Inpatient Rehab Per Discharge: Major Mult. Trauma with brain or spinal cord inj.,CMG 1806-B,NA,NA,$55170.35,$63445.91,NA,NA,NA,NA,NA,NA,$55170.35,$55170.35,NA,NA,NA,$55170.35,NA,NA,NA,NA,NA,NA,NA,$63445.91,$55170.35,NA,$55170.35,NA,NA,NA
Inpatient Rehabilitation Services,Inpatient Rehab Per Discharge: Major Mult. Trauma with brain or spinal cord inj.,CMG 1806-C,NA,NA,$43760.82,$50324.94,NA,NA,NA,NA,NA,NA,$43760.82,$43760.82,NA,NA,NA,$43760.82,NA,NA,NA,NA,NA,NA,NA,$50324.94,$43760.82,NA,$43760.82,NA,NA,NA
Inpatient Rehabilitation Services,Inpatient Rehab Per Discharge: Major Mult. Trauma with brain or spinal cord inj.,CMG 1806-D,NA,NA,$39301.14,$45196.31,NA,NA,NA,NA,NA,NA,$39301.14,$39301.14,NA,NA,NA,$39301.14,NA,NA,NA,NA,NA,NA,NA,$45196.31,$39301.14,NA,$39301.14,NA,NA,NA
Inpatient Rehabilitation Services,Inpatient Rehab Per Discharge: Guillian-Barre,CMG 1901-A,NA,NA,$14129.33,$16248.73,NA,NA,NA,NA,NA,NA,$14129.33,$14129.33,NA,NA,NA,$14129.33,NA,NA,NA,NA,NA,NA,NA,$16248.73,$14129.33,NA,$14129.33,NA,NA,NA
Inpatient Rehabilitation Services,Inpatient Rehab Per Discharge: Guillian-Barre,CMG 1901-B,NA,NA,$19454.10,$22372.22,NA,NA,NA,NA,NA,NA,$19454.10,$19454.10,NA,NA,NA,$19454.10,NA,NA,NA,NA,NA,NA,NA,$22372.22,$19454.10,NA,$19454.10,NA,NA,NA
Inpatient Rehabilitation Services,Inpatient Rehab Per Discharge: Guillian-Barre,CMG 1901-C,NA,NA,$15128.63,$17397.93,NA,NA,NA,NA,NA,NA,$15128.63,$15128.63,NA,NA,NA,$15128.63,NA,NA,NA,NA,NA,NA,NA,$17397.93,$15128.63,NA,$15128.63,NA,NA,NA
Inpatient Rehabilitation Services,Inpatient Rehab Per Discharge: Guillian-Barre,CMG 1901-D,NA,NA,$14918.42,$17156.19,NA,NA,NA,NA,NA,NA,$14918.42,$14918.42,NA,NA,NA,$14918.42,NA,NA,NA,NA,NA,NA,NA,$17156.19,$14918.42,NA,$14918.42,NA,NA,NA
Inpatient Rehabilitation Services,Inpatient Rehab Per Discharge: Guillian-Barre,CMG 1902-A,NA,NA,$19132.32,$22002.17,NA,NA,NA,NA,NA,NA,$19132.32,$19132.32,NA,NA,NA,$19132.32,NA,NA,NA,NA,NA,NA,NA,$22002.17,$19132.32,NA,$19132.32,NA,NA,NA
Inpatient Rehabilitation Services,Inpatient Rehab Per Discharge: Guillian-Barre,CMG 1902-B,NA,NA,$26344.13,$30295.75,NA,NA,NA,NA,NA,NA,$26344.13,$26344.13,NA,NA,NA,$26344.13,NA,NA,NA,NA,NA,NA,NA,$30295.75,$26344.13,NA,$26344.13,NA,NA,NA
Inpatient Rehabilitation Services,Inpatient Rehab Per Discharge: Guillian-Barre,CMG 1902-C,NA,NA,$20487.36,$23560.47,NA,NA,NA,NA,NA,NA,$20487.36,$20487.36,NA,NA,NA,$20487.36,NA,NA,NA,NA,NA,NA,NA,$23560.47,$20487.36,NA,$20487.36,NA,NA,NA
Inpatient Rehabilitation Services,Inpatient Rehab Per Discharge: Guillian-Barre,CMG 1902-D,NA,NA,$20201.16,$23231.33,NA,NA,NA,NA,NA,NA,$20201.16,$20201.16,NA,NA,NA,$20201.16,NA,NA,NA,NA,NA,NA,NA,$23231.33,$20201.16,NA,$20201.16,NA,NA,NA
Inpatient Rehabilitation Services,Inpatient Rehab Per Discharge: Guillian-Barre,CMG 1903-A,NA,NA,$30461.01,$35030.16,NA,NA,NA,NA,NA,NA,$30461.01,$30461.01,NA,NA,NA,$30461.01,NA,NA,NA,NA,NA,NA,NA,$35030.16,$30461.01,NA,$30461.01,NA,NA,NA
Inpatient Rehabilitation Services,Inpatient Rehab Per Discharge: Guillian-Barre,CMG 1903-B,NA,NA,$41943.31,$48234.81,NA,NA,NA,NA,NA,NA,$41943.31,$41943.31,NA,NA,NA,$41943.31,NA,NA,NA,NA,NA,NA,NA,$48234.81,$41943.31,NA,$41943.31,NA,NA,NA
Inpatient Rehabilitation Services,Inpatient Rehab Per Discharge: Guillian-Barre,CMG 1903-C,NA,NA,$32618.08,$37510.80,NA,NA,NA,NA,NA,NA,$32618.08,$32618.08,NA,NA,NA,$32618.08,NA,NA,NA,NA,NA,NA,NA,$37510.80,$32618.08,NA,$32618.08,NA,NA,NA
Inpatient Rehabilitation Services,Inpatient Rehab Per Discharge: Guillian-Barre,CMG 1903-D,NA,NA,$32162.09,$36986.40,NA,NA,NA,NA,NA,NA,$32162.09,$32162.09,NA,NA,NA,$32162.09,NA,NA,NA,NA,NA,NA,NA,$36986.40,$32162.09,NA,$32162.09,NA,NA,NA
Inpatient Rehabilitation Services,Inpatient Rehab Per Discharge: Guillian-Barre,CMG 1904-A,NA,NA,$44847.44,$51574.56,NA,NA,NA,NA,NA,NA,$44847.44,$44847.44,NA,NA,NA,$44847.44,NA,NA,NA,NA,NA,NA,NA,$51574.56,$44847.44,NA,$44847.44,NA,NA,NA
Inpatient Rehabilitation Services,Inpatient Rehab Per Discharge: Guillian-Barre,CMG 1904-B,NA,NA,$61751.54,$71014.27,NA,NA,NA,NA,NA,NA,$61751.54,$61751.54,NA,NA,NA,$61751.54,NA,NA,NA,NA,NA,NA,NA,$71014.27,$61751.54,NA,$61751.54,NA,NA,NA
Inpatient Rehabilitation Services,Inpatient Rehab Per Discharge: Guillian-Barre,CMG 1904-C,NA,NA,$48023.22,$55226.71,NA,NA,NA,NA,NA,NA,$48023.22,$48023.22,NA,NA,NA,$48023.22,NA,NA,NA,NA,NA,NA,NA,$55226.71,$48023.22,NA,$48023.22,NA,NA,NA
Inpatient Rehabilitation Services,Inpatient Rehab Per Discharge: Guillian-Barre,CMG 1904-D,NA,NA,$47352.17,$54454.99,NA,NA,NA,NA,NA,NA,$47352.17,$47352.17,NA,NA,NA,$47352.17,NA,NA,NA,NA,NA,NA,NA,$54454.99,$47352.17,NA,$47352.17,NA,NA,NA
Inpatient Rehabilitation Services,Inpatient Rehab Per Discharge: Other disabling impairments,CMG 2001-A,NA,NA,$13391.98,$15400.77,NA,NA,NA,NA,NA,NA,$13391.98,$13391.98,NA,NA,NA,$13391.98,NA,NA,NA,NA,NA,NA,NA,$15400.77,$13391.98,NA,$13391.98,NA,NA,NA
Inpatient Rehabilitation Services,Inpatient Rehab Per Discharge: Other disabling impairments,CMG 2001-B,NA,NA,$19594.78,$22534.00,NA,NA,NA,NA,NA,NA,$19594.78,$19594.78,NA,NA,NA,$19594.78,NA,NA,NA,NA,NA,NA,NA,$22534.00,$19594.78,NA,$19594.78,NA,NA,NA
Inpatient Rehabilitation Services,Inpatient Rehab Per Discharge: Other disabling impairments,CMG 2001-C,NA,NA,$15899.94,$18284.93,NA,NA,NA,NA,NA,NA,$15899.94,$15899.94,NA,NA,NA,$15899.94,NA,NA,NA,NA,NA,NA,NA,$18284.93,$15899.94,NA,$15899.94,NA,NA,NA
Inpatient Rehabilitation Services,Inpatient Rehab Per Discharge: Other disabling impairments,CMG 2001-D,NA,NA,$14561.07,$16745.23,NA,NA,NA,NA,NA,NA,$14561.07,$14561.07,NA,NA,NA,$14561.07,NA,NA,NA,NA,NA,NA,NA,$16745.23,$14561.07,NA,$14561.07,NA,NA,NA
Inpatient Rehabilitation Services,Inpatient Rehab Per Discharge: Other disabling impairments,CMG 2002-A,NA,NA,$16464.27,$18933.91,NA,NA,NA,NA,NA,NA,$16464.27,$16464.27,NA,NA,NA,$16464.27,NA,NA,NA,NA,NA,NA,NA,$18933.91,$16464.27,NA,$16464.27,NA,NA,NA
Inpatient Rehabilitation Services,Inpatient Rehab Per Discharge: Other disabling impairments,CMG 2002-B,NA,NA,$24091.65,$27705.40,NA,NA,NA,NA,NA,NA,$24091.65,$24091.65,NA,NA,NA,$24091.65,NA,NA,NA,NA,NA,NA,NA,$27705.40,$24091.65,NA,$24091.65,NA,NA,NA
Inpatient Rehabilitation Services,Inpatient Rehab Per Discharge: Other disabling impairments,CMG 2002-C,NA,NA,$19549.51,$22481.93,NA,NA,NA,NA,NA,NA,$19549.51,$19549.51,NA,NA,NA,$19549.51,NA,NA,NA,NA,NA,NA,NA,$22481.93,$19549.51,NA,$19549.51,NA,NA,NA
Inpatient Rehabilitation Services,Inpatient Rehab Per Discharge: Other disabling impairments,CMG 2002-D,NA,NA,$17903.40,$20588.91,NA,NA,NA,NA,NA,NA,$17903.40,$17903.40,NA,NA,NA,$17903.40,NA,NA,NA,NA,NA,NA,NA,$20588.91,$17903.40,NA,$17903.40,NA,NA,NA
Inpatient Rehabilitation Services,Inpatient Rehab Per Discharge: Other disabling impairments,CMG 2003-A,NA,NA,$19488.06,$22411.27,NA,NA,NA,NA,NA,NA,$19488.06,$19488.06,NA,NA,NA,$19488.06,NA,NA,NA,NA,NA,NA,NA,$22411.27,$19488.06,NA,$19488.06,NA,NA,NA
Inpatient Rehabilitation Services,Inpatient Rehab Per Discharge: Other disabling impairments,CMG 2003-B,NA,NA,$28514.14,$32791.26,NA,NA,NA,NA,NA,NA,$28514.14,$28514.14,NA,NA,NA,$28514.14,NA,NA,NA,NA,NA,NA,NA,$32791.26,$28514.14,NA,$28514.14,NA,NA,NA
Inpatient Rehabilitation Services,Inpatient Rehab Per Discharge: Other disabling impairments,CMG 2003-C,NA,NA,$23137.62,$26608.27,NA,NA,NA,NA,NA,NA,$23137.62,$23137.62,NA,NA,NA,$23137.62,NA,NA,NA,NA,NA,NA,NA,$26608.27,$23137.62,NA,$23137.62,NA,NA,NA
Inpatient Rehabilitation Services,Inpatient Rehab Per Discharge: Other disabling impairments,CMG 2003-D,NA,NA,$21190.76,$24369.37,NA,NA,NA,NA,NA,NA,$21190.76,$21190.76,NA,NA,NA,$21190.76,NA,NA,NA,NA,NA,NA,NA,$24369.37,$21190.76,NA,$21190.76,NA,NA,NA
Inpatient Rehabilitation Services,Inpatient Rehab Per Discharge: Other disabling impairments,CMG 2004-A,NA,NA,$21932.96,$25222.91,NA,NA,NA,NA,NA,NA,$21932.96,$21932.96,NA,NA,NA,$21932.96,NA,NA,NA,NA,NA,NA,NA,$25222.91,$21932.96,NA,$21932.96,NA,NA,NA
Inpatient Rehabilitation Services,Inpatient Rehab Per Discharge: Other disabling impairments,CMG 2004-B,NA,NA,$32092.56,$36906.44,NA,NA,NA,NA,NA,NA,$32092.56,$32092.56,NA,NA,NA,$32092.56,NA,NA,NA,NA,NA,NA,NA,$36906.44,$32092.56,NA,$32092.56,NA,NA,NA
Inpatient Rehabilitation Services,Inpatient Rehab Per Discharge: Other disabling impairments,CMG 2004-C,NA,NA,$26040.14,$29946.16,NA,NA,NA,NA,NA,NA,$26040.14,$26040.14,NA,NA,NA,$26040.14,NA,NA,NA,NA,NA,NA,NA,$29946.16,$26040.14,NA,$26040.14,NA,NA,NA
Inpatient Rehabilitation Services,Inpatient Rehab Per Discharge: Other disabling impairments,CMG 2004-D,NA,NA,$23849.10,$27426.47,NA,NA,NA,NA,NA,NA,$23849.10,$23849.10,NA,NA,NA,$23849.10,NA,NA,NA,NA,NA,NA,NA,$27426.47,$23849.10,NA,$23849.10,NA,NA,NA
Inpatient Rehabilitation Services,Inpatient Rehab Per Discharge: Other disabling impairments,CMG 2005-A,NA,NA,$23580.68,$27117.78,NA,NA,NA,NA,NA,NA,$23580.68,$23580.68,NA,NA,NA,$23580.68,NA,NA,NA,NA,NA,NA,NA,$27117.78,$23580.68,NA,$23580.68,NA,NA,NA
Inpatient Rehabilitation Services,Inpatient Rehab Per Discharge: Other disabling impairments,CMG 2005-B,NA,NA,$34503.50,$39679.03,NA,NA,NA,NA,NA,NA,$34503.50,$34503.50,NA,NA,NA,$34503.50,NA,NA,NA,NA,NA,NA,NA,$39679.03,$34503.50,NA,$34503.50,NA,NA,NA
Inpatient Rehabilitation Services,Inpatient Rehab Per Discharge: Other disabling impairments,CMG 2005-C,NA,NA,$27998.32,$32198.07,NA,NA,NA,NA,NA,NA,$27998.32,$27998.32,NA,NA,NA,$27998.32,NA,NA,NA,NA,NA,NA,NA,$32198.07,$27998.32,NA,$27998.32,NA,NA,NA
Inpatient Rehabilitation Services,Inpatient Rehab Per Discharge: Other disabling impairments,CMG 2005-D,NA,NA,$25642.35,$29488.71,NA,NA,NA,NA,NA,NA,$25642.35,$25642.35,NA,NA,NA,$25642.35,NA,NA,NA,NA,NA,NA,NA,$29488.71,$25642.35,NA,$25642.35,NA,NA,NA
Inpatient Rehabilitation Services,Inpatient Rehab Per Discharge: Burns,CMG 2101-A,NA,NA,$18226.80,$20960.82,NA,NA,NA,NA,NA,NA,$18226.80,$18226.80,NA,NA,NA,$18226.80,NA,NA,NA,NA,NA,NA,NA,$20960.82,$18226.80,NA,$18226.80,NA,NA,NA
Inpatient Rehabilitation Services,Inpatient Rehab Per Discharge: Burns,CMG 2101-B,NA,NA,$29159.32,$33533.22,NA,NA,NA,NA,NA,NA,$29159.32,$29159.32,NA,NA,NA,$29159.32,NA,NA,NA,NA,NA,NA,NA,$33533.22,$29159.32,NA,$29159.32,NA,NA,NA
Inpatient Rehabilitation Services,Inpatient Rehab Per Discharge: Burns,CMG 2101-C,NA,NA,$22170.66,$25496.26,NA,NA,NA,NA,NA,NA,$22170.66,$22170.66,NA,NA,NA,$22170.66,NA,NA,NA,NA,NA,NA,NA,$25496.26,$22170.66,NA,$22170.66,NA,NA,NA
Inpatient Rehabilitation Services,Inpatient Rehab Per Discharge: Burns,CMG 2101-D,NA,NA,$18226.80,$20960.82,NA,NA,NA,NA,NA,NA,$18226.80,$18226.80,NA,NA,NA,$18226.80,NA,NA,NA,NA,NA,NA,NA,$20960.82,$18226.80,NA,$18226.80,NA,NA,NA
Inpatient Rehabilitation Services,Inpatient Rehab Per Discharge: Burns,CMG 2102-A,NA,NA,$24313.18,$27960.16,NA,NA,NA,NA,NA,NA,$24313.18,$24313.18,NA,NA,NA,$24313.18,NA,NA,NA,NA,NA,NA,NA,$27960.16,$24313.18,NA,$24313.18,NA,NA,NA
Inpatient Rehabilitation Services,Inpatient Rehab Per Discharge: Burns,CMG 2102-B,NA,NA,$38896.89,$44731.42,NA,NA,NA,NA,NA,NA,$38896.89,$38896.89,NA,NA,NA,$38896.89,NA,NA,NA,NA,NA,NA,NA,$44731.42,$38896.89,NA,$38896.89,NA,NA,NA
Inpatient Rehabilitation Services,Inpatient Rehab Per Discharge: Burns,CMG 2102-C,NA,NA,$29573.28,$34009.27,NA,NA,NA,NA,NA,NA,$29573.28,$29573.28,NA,NA,NA,$29573.28,NA,NA,NA,NA,NA,NA,NA,$34009.27,$29573.28,NA,$29573.28,NA,NA,NA
Inpatient Rehabilitation Services,Inpatient Rehab Per Discharge: Burns,CMG 2102-D,NA,NA,$24313.18,$27960.16,NA,NA,NA,NA,NA,NA,$24313.18,$24313.18,NA,NA,NA,$24313.18,NA,NA,NA,NA,NA,NA,NA,$27960.16,$24313.18,NA,$24313.18,NA,NA,NA
