Encompass Health Lakeshore Rehabilitation Hospital,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Prices Posted and Effective 1/1/2021,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Note: General file information and additional details can be found on the Price Transparency page of this hospital's website,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PATIENT_TYPE,SHOPPABLE_SERVICES,BILLING_REVENUE_SERVICE_CODE,GROSS_CHARGE,DISCOUNTED_CASH_PRICE,DEIDENTIFIED_MIN_NEGOTIATED_CHARGE,DEIDENTIFIED_MAX_NEGOTIATED_CHARGE,AETNA (AET) negotiated charge,AETNA MEDICARE (AETM) negotiated charge,ALAMED (ALMD) negotiated charge,BC FEP (BCFD) negotiated charge,BCBS OF AL EXCHANGE (BALZ) negotiated charge,BCBS OF AL MEDICARE ADVAN (BCAD) negotiated charge,BCBS OF ALABAMA (BCAL) negotiated charge,CAREWORKS (CRW) negotiated charge,CAREWORKS WORK COMP (CRWW) negotiated charge,CHAMPVA (CVA) negotiated charge,CIGNA (CIG) negotiated charge,CORVEL (CVL) negotiated charge,CORVEL WORK COMP (CVLW) negotiated charge,COVENTRY-NATIONAL (CHCN) negotiated charge,COVENTRY-SOUTHCARE (CHC) negotiated charge,FIRST HEALTH (FTH) negotiated charge,FIRST HEALTH WORK COMP (FTHW) negotiated charge,HEALTH CHOICE OF ALABAMA (HEAK) negotiated charge,HEALTHSPRING MEDICARE (HLSM) negotiated charge,HUMANA (HUM) negotiated charge,HUMANA MEDICARE (HUMM) negotiated charge,MULTIPLAN (MUL) negotiated charge,ONE CALL MEDICAL WC (OCLW) negotiated charge,ONECALL MEDICAL (OCL) negotiated charge,PRIVATE HEALTHCARE SYSTEM (PHST) negotiated charge,PROVIDER NET OF AMERICA (PAM) negotiated charge,PYR/AMERICAN PROGRESSIVE (AMPM) negotiated charge,TRICARE (TRI) negotiated charge,UNITED HEALTHCARE (UHC) negotiated charge,UNITED HEALTHCARE MEDICAR (UHCM) negotiated charge,UNITED MINE WORKERS (UMW) negotiated charge,VIVA HEALTH (VIH) negotiated charge,VIVA MEDICARE (VIVM) negotiated charge,ZELIAS NET SOLUTIONS WC (ZNSW) negotiated charge,ZELIAS NETWORK SOLUTIONS (ZNS) negotiated charge
Inpatient Rehabilitation Services,Inpatient Rehab Per Discharge: Cardiac,CMG 1402-A,NA,NA,$13564.37,$16420.02,NA,NA,NA,NA,NA,$13564.37,NA,NA,NA,$14278.28,NA,NA,NA,NA,NA,NA,NA,NA,$14278.28,NA,$14278.28,NA,NA,NA,NA,$16420.02,$14278.28,$14278.28,NA,$13564.37,$14278.28,NA,NA,NA,NA
Inpatient Rehabilitation Services,Inpatient Rehab Per Discharge: Cardiac,CMG 1402-B,NA,NA,$20485.34,$24798.05,NA,NA,NA,NA,NA,$20485.34,NA,NA,NA,$21563.52,NA,NA,NA,NA,NA,NA,NA,NA,$21563.52,NA,$21563.52,NA,NA,NA,NA,$24798.05,$21563.52,$21563.52,NA,$20485.34,$21563.52,NA,NA,NA,NA
Inpatient Rehabilitation Services,Inpatient Rehab Per Discharge: Cardiac,CMG 1402-C,NA,NA,$16795.67,$20331.61,NA,NA,NA,NA,NA,$16795.67,NA,NA,NA,$17679.66,NA,NA,NA,NA,NA,NA,NA,NA,$17679.66,NA,$17679.66,NA,NA,NA,NA,$20331.61,$17679.66,$17679.66,NA,$16795.67,$17679.66,NA,NA,NA,NA
Inpatient Rehabilitation Services,Inpatient Rehab Per Discharge: Cardiac,CMG 1402-D,NA,NA,$15160.09,$18351.69,NA,NA,NA,NA,NA,$15160.09,NA,NA,NA,$15957.99,NA,NA,NA,NA,NA,NA,NA,NA,$15957.99,NA,$15957.99,NA,NA,NA,NA,$18351.69,$15957.99,$15957.99,NA,$15160.09,$15957.99,NA,NA,NA,NA
Inpatient Rehabilitation Services,Inpatient Rehab Per Discharge: Cardiac,CMG 1403-A,NA,NA,$16469.70,$19937.00,NA,NA,NA,NA,NA,$16469.70,NA,NA,NA,$17336.52,NA,NA,NA,NA,NA,NA,NA,NA,$17336.52,NA,$17336.52,NA,NA,NA,NA,$19937.00,$17336.52,$17336.52,NA,$16469.70,$17336.52,NA,NA,NA,NA
Inpatient Rehabilitation Services,Inpatient Rehab Per Discharge: Cardiac,CMG 1403-B,NA,NA,$24873.94,$30110.56,NA,NA,NA,NA,NA,$24873.94,NA,NA,NA,$26183.09,NA,NA,NA,NA,NA,NA,NA,NA,$26183.09,NA,$26183.09,NA,NA,NA,NA,$30110.56,$26183.09,$26183.09,NA,$24873.94,$26183.09,NA,NA,NA,NA
Inpatient Rehabilitation Services,Inpatient Rehab Per Discharge: Cardiac,CMG 1403-C,NA,NA,$20392.82,$24686.04,NA,NA,NA,NA,NA,$20392.82,NA,NA,NA,$21466.12,NA,NA,NA,NA,NA,NA,NA,NA,$21466.12,NA,$21466.12,NA,NA,NA,NA,$24686.04,$21466.12,$21466.12,NA,$20392.82,$21466.12,NA,NA,NA,NA
Inpatient Rehabilitation Services,Inpatient Rehab Per Discharge: Cardiac,CMG 1403-D,NA,NA,$18407.06,$22282.23,NA,NA,NA,NA,NA,$18407.06,NA,NA,NA,$19375.85,NA,NA,NA,NA,NA,NA,NA,NA,$19375.85,NA,$19375.85,NA,NA,NA,NA,$22282.23,$19375.85,$19375.85,NA,$18407.06,$19375.85,NA,NA,NA,NA
Inpatient Rehabilitation Services,Inpatient Rehab Per Discharge: Cardiac,CMG 1404-A,NA,NA,$19345.13,$23417.79,NA,NA,NA,NA,NA,$19345.13,NA,NA,NA,$20363.30,NA,NA,NA,NA,NA,NA,NA,NA,$20363.30,NA,$20363.30,NA,NA,NA,NA,$23417.79,$20363.30,$20363.30,NA,$19345.13,$20363.30,NA,NA,NA,NA
Inpatient Rehabilitation Services,Inpatient Rehab Per Discharge: Cardiac,CMG 1404-B,NA,NA,$29215.56,$35366.21,NA,NA,NA,NA,NA,$29215.56,NA,NA,NA,$30753.22,NA,NA,NA,NA,NA,NA,NA,NA,$30753.22,NA,$30753.22,NA,NA,NA,NA,$35366.21,$30753.22,$30753.22,NA,$29215.56,$30753.22,NA,NA,NA,NA
Inpatient Rehabilitation Services,Inpatient Rehab Per Discharge: Cardiac,CMG 1404-C,NA,NA,$23952.95,$28995.67,NA,NA,NA,NA,NA,$23952.95,NA,NA,NA,$25213.63,NA,NA,NA,NA,NA,NA,NA,NA,$25213.63,NA,$25213.63,NA,NA,NA,NA,$28995.67,$25213.63,$25213.63,NA,$23952.95,$25213.63,NA,NA,NA,NA
Inpatient Rehabilitation Services,Inpatient Rehab Per Discharge: Cardiac,CMG 1404-D,NA,NA,$21619.86,$26171.41,NA,NA,NA,NA,NA,$21619.86,NA,NA,NA,$22757.74,NA,NA,NA,NA,NA,NA,NA,NA,$22757.74,NA,$22757.74,NA,NA,NA,NA,$26171.41,$22757.74,$22757.74,NA,$21619.86,$22757.74,NA,NA,NA,NA
Inpatient Rehabilitation Services,Inpatient Rehab Per Discharge: Pulmonary,CMG 1501-A,NA,NA,$13184.30,$15959.94,NA,NA,NA,NA,NA,$13184.30,NA,NA,NA,$13878.21,NA,NA,NA,NA,NA,NA,NA,NA,$13878.21,NA,$13878.21,NA,NA,NA,NA,$15959.94,$13878.21,$13878.21,NA,$13184.30,$13878.21,NA,NA,NA,NA
Inpatient Rehabilitation Services,Inpatient Rehab Per Discharge: Pulmonary,CMG 1501-B,NA,NA,$18370.05,$22237.42,NA,NA,NA,NA,NA,$18370.05,NA,NA,NA,$19336.89,NA,NA,NA,NA,NA,NA,NA,NA,$19336.89,NA,$19336.89,NA,NA,NA,NA,$22237.42,$19336.89,$19336.89,NA,$18370.05,$19336.89,NA,NA,NA,NA
Inpatient Rehabilitation Services,Inpatient Rehab Per Discharge: Pulmonary,CMG 1501-C,NA,NA,$14711.70,$17808.89,NA,NA,NA,NA,NA,$14711.70,NA,NA,NA,$15486.00,NA,NA,NA,NA,NA,NA,NA,NA,$15486.00,NA,$15486.00,NA,NA,NA,NA,$17808.89,$15486.00,$15486.00,NA,$14711.70,$15486.00,NA,NA,NA,NA
Inpatient Rehabilitation Services,Inpatient Rehab Per Discharge: Pulmonary,CMG 1501-D,NA,NA,$13743.73,$16637.14,NA,NA,NA,NA,NA,$13743.73,NA,NA,NA,$14467.08,NA,NA,NA,NA,NA,NA,NA,NA,$14467.08,NA,$14467.08,NA,NA,NA,NA,$16637.14,$14467.08,$14467.08,NA,$13743.73,$14467.08,NA,NA,NA,NA
Inpatient Rehabilitation Services,Inpatient Rehab Per Discharge: Pulmonary,CMG 1502-A,NA,NA,$16257.60,$19680.25,NA,NA,NA,NA,NA,$16257.60,NA,NA,NA,$17113.26,NA,NA,NA,NA,NA,NA,NA,NA,$17113.26,NA,$17113.26,NA,NA,NA,NA,$19680.25,$17113.26,$17113.26,NA,$16257.60,$17113.26,NA,NA,NA,NA
Inpatient Rehabilitation Services,Inpatient Rehab Per Discharge: Pulmonary,CMG 1502-B,NA,NA,$22651.88,$27420.70,NA,NA,NA,NA,NA,$22651.88,NA,NA,NA,$23844.09,NA,NA,NA,NA,NA,NA,NA,NA,$23844.09,NA,$23844.09,NA,NA,NA,NA,$27420.70,$23844.09,$23844.09,NA,$22651.88,$23844.09,NA,NA,NA,NA
Inpatient Rehabilitation Services,Inpatient Rehab Per Discharge: Pulmonary,CMG 1502-C,NA,NA,$18140.87,$21960.00,NA,NA,NA,NA,NA,$18140.87,NA,NA,NA,$19095.65,NA,NA,NA,NA,NA,NA,NA,NA,$19095.65,NA,$19095.65,NA,NA,NA,NA,$21960.00,$19095.65,$19095.65,NA,$18140.87,$19095.65,NA,NA,NA,NA
Inpatient Rehabilitation Services,Inpatient Rehab Per Discharge: Pulmonary,CMG 1502-D,NA,NA,$16947.99,$20515.98,NA,NA,NA,NA,NA,$16947.99,NA,NA,NA,$17839.99,NA,NA,NA,NA,NA,NA,NA,NA,$17839.99,NA,$17839.99,NA,NA,NA,NA,$20515.98,$17839.99,$17839.99,NA,$16947.99,$17839.99,NA,NA,NA,NA
Inpatient Rehabilitation Services,Inpatient Rehab Per Discharge: Pulmonary,CMG 1503-A,NA,NA,$18876.81,$22850.87,NA,NA,NA,NA,NA,$18876.81,NA,NA,NA,$19870.32,NA,NA,NA,NA,NA,NA,NA,NA,$19870.32,NA,$19870.32,NA,NA,NA,NA,$22850.87,$19870.32,$19870.32,NA,$18876.81,$19870.32,NA,NA,NA,NA
Inpatient Rehabilitation Services,Inpatient Rehab Per Discharge: Pulmonary,CMG 1503-B,NA,NA,$26300.27,$31837.17,NA,NA,NA,NA,NA,$26300.27,NA,NA,NA,$27684.49,NA,NA,NA,NA,NA,NA,NA,NA,$27684.49,NA,$27684.49,NA,NA,NA,NA,$31837.17,$27684.49,$27684.49,NA,$26300.27,$27684.49,NA,NA,NA,NA
Inpatient Rehabilitation Services,Inpatient Rehab Per Discharge: Pulmonary,CMG 1503-C,NA,NA,$21061.85,$25495.93,NA,NA,NA,NA,NA,$21061.85,NA,NA,NA,$22170.37,NA,NA,NA,NA,NA,NA,NA,NA,$22170.37,NA,$22170.37,NA,NA,NA,NA,$25495.93,$22170.37,$22170.37,NA,$21061.85,$22170.37,NA,NA,NA,NA
Inpatient Rehabilitation Services,Inpatient Rehab Per Discharge: Pulmonary,CMG 1503-D,NA,NA,$19676.80,$23819.29,NA,NA,NA,NA,NA,$19676.80,NA,NA,NA,$20712.42,NA,NA,NA,NA,NA,NA,NA,NA,$20712.42,NA,$20712.42,NA,NA,NA,NA,$23819.29,$20712.42,$20712.42,NA,$19676.80,$20712.42,NA,NA,NA,NA
Inpatient Rehabilitation Services,Inpatient Rehab Per Discharge: Pulmonary,CMG 1504-A,NA,NA,$21886.05,$26493.64,NA,NA,NA,NA,NA,$21886.05,NA,NA,NA,$23037.95,NA,NA,NA,NA,NA,NA,NA,NA,$23037.95,NA,$23037.95,NA,NA,NA,NA,$26493.64,$23037.95,$23037.95,NA,$21886.05,$23037.95,NA,NA,NA,NA
Inpatient Rehabilitation Services,Inpatient Rehab Per Discharge: Pulmonary,CMG 1504-B,NA,NA,$30492.43,$36911.88,NA,NA,NA,NA,NA,$30492.43,NA,NA,NA,$32097.29,NA,NA,NA,NA,NA,NA,NA,NA,$32097.29,NA,$32097.29,NA,NA,NA,NA,$36911.88,$32097.29,$32097.29,NA,$30492.43,$32097.29,NA,NA,NA,NA
Inpatient Rehabilitation Services,Inpatient Rehab Per Discharge: Pulmonary,CMG 1504-C,NA,NA,$24418.42,$29559.15,NA,NA,NA,NA,NA,$24418.42,NA,NA,NA,$25703.61,NA,NA,NA,NA,NA,NA,NA,NA,$25703.61,NA,$25703.61,NA,NA,NA,NA,$29559.15,$25703.61,$25703.61,NA,$24418.42,$25703.61,NA,NA,NA,NA
Inpatient Rehabilitation Services,Inpatient Rehab Per Discharge: Pulmonary,CMG 1504-D,NA,NA,$22814.16,$27617.14,NA,NA,NA,NA,NA,$22814.16,NA,NA,NA,$24014.90,NA,NA,NA,NA,NA,NA,NA,NA,$24014.90,NA,$24014.90,NA,NA,NA,NA,$27617.14,$24014.90,$24014.90,NA,$22814.16,$24014.90,NA,NA,NA,NA
Inpatient Rehabilitation Services,Inpatient Rehab Per Discharge: Pain syndrome,CMG 1601-A,NA,NA,$11427.72,$13833.56,NA,NA,NA,NA,NA,$11427.72,NA,NA,NA,$12029.18,NA,NA,NA,NA,NA,NA,NA,NA,$12029.18,NA,$12029.18,NA,NA,NA,NA,$13833.56,$12029.18,$12029.18,NA,$11427.72,$12029.18,NA,NA,NA,NA
Inpatient Rehabilitation Services,Inpatient Rehab Per Discharge: Pain syndrome,CMG 1601-B,NA,NA,$14076.82,$17040.36,NA,NA,NA,NA,NA,$14076.82,NA,NA,NA,$14817.71,NA,NA,NA,NA,NA,NA,NA,NA,$14817.71,NA,$14817.71,NA,NA,NA,NA,$17040.36,$14817.71,$14817.71,NA,$14076.82,$14817.71,NA,NA,NA,NA
Inpatient Rehabilitation Services,Inpatient Rehab Per Discharge: Pain syndrome,CMG 1601-C,NA,NA,$14076.82,$17040.36,NA,NA,NA,NA,NA,$14076.82,NA,NA,NA,$14817.71,NA,NA,NA,NA,NA,NA,NA,NA,$14817.71,NA,$14817.71,NA,NA,NA,NA,$17040.36,$14817.71,$14817.71,NA,$14076.82,$14817.71,NA,NA,NA,NA
Inpatient Rehabilitation Services,Inpatient Rehab Per Discharge: Pain syndrome,CMG 1601-D,NA,NA,$12696.04,$15368.89,NA,NA,NA,NA,NA,$12696.04,NA,NA,NA,$13364.26,NA,NA,NA,NA,NA,NA,NA,NA,$13364.26,NA,$13364.26,NA,NA,NA,NA,$15368.89,$13364.26,$13364.26,NA,$12696.04,$13364.26,NA,NA,NA,NA
Inpatient Rehabilitation Services,Inpatient Rehab Per Discharge: Pain syndrome,CMG 1602-A,NA,NA,$12799.96,$15494.69,NA,NA,NA,NA,NA,$12799.96,NA,NA,NA,$13473.64,NA,NA,NA,NA,NA,NA,NA,NA,$13473.64,NA,$13473.64,NA,NA,NA,NA,$15494.69,$13473.64,$13473.64,NA,$12799.96,$13473.64,NA,NA,NA,NA
Inpatient Rehabilitation Services,Inpatient Rehab Per Discharge: Pain syndrome,CMG 1602-B,NA,NA,$15769.34,$19089.20,NA,NA,NA,NA,NA,$15769.34,NA,NA,NA,$16599.31,NA,NA,NA,NA,NA,NA,NA,NA,$16599.31,NA,$16599.31,NA,NA,NA,NA,$19089.20,$16599.31,$16599.31,NA,$15769.34,$16599.31,NA,NA,NA,NA
Inpatient Rehabilitation Services,Inpatient Rehab Per Discharge: Pain syndrome,CMG 1602-C,NA,NA,$15769.34,$19089.20,NA,NA,NA,NA,NA,$15769.34,NA,NA,NA,$16599.31,NA,NA,NA,NA,NA,NA,NA,NA,$16599.31,NA,$16599.31,NA,NA,NA,NA,$19089.20,$16599.31,$16599.31,NA,$15769.34,$16599.31,NA,NA,NA,NA
Inpatient Rehabilitation Services,Inpatient Rehab Per Discharge: Pain syndrome,CMG 1602-D,NA,NA,$14222.02,$17216.13,NA,NA,NA,NA,NA,$14222.02,NA,NA,NA,$14970.54,NA,NA,NA,NA,NA,NA,NA,NA,$14970.54,NA,$14970.54,NA,NA,NA,NA,$17216.13,$14970.54,$14970.54,NA,$14222.02,$14970.54,NA,NA,NA,NA
Inpatient Rehabilitation Services,Inpatient Rehab Per Discharge: Pain syndrome,CMG 1603-A,NA,NA,$15642.65,$18935.84,NA,NA,NA,NA,NA,$15642.65,NA,NA,NA,$16465.95,NA,NA,NA,NA,NA,NA,NA,NA,$16465.95,NA,$16465.95,NA,NA,NA,NA,$18935.84,$16465.95,$16465.95,NA,$15642.65,$16465.95,NA,NA,NA,NA
Inpatient Rehabilitation Services,Inpatient Rehab Per Discharge: Pain syndrome,CMG 1603-B,NA,NA,$19271.11,$23328.19,NA,NA,NA,NA,NA,$19271.11,NA,NA,NA,$20285.38,NA,NA,NA,NA,NA,NA,NA,NA,$20285.38,NA,$20285.38,NA,NA,NA,NA,$23328.19,$20285.38,$20285.38,NA,$19271.11,$20285.38,NA,NA,NA,NA
Inpatient Rehabilitation Services,Inpatient Rehab Per Discharge: Pain syndrome,CMG 1603-C,NA,NA,$19271.11,$23328.19,NA,NA,NA,NA,NA,$19271.11,NA,NA,NA,$20285.38,NA,NA,NA,NA,NA,NA,NA,NA,$20285.38,NA,$20285.38,NA,NA,NA,NA,$23328.19,$20285.38,$20285.38,NA,$19271.11,$20285.38,NA,NA,NA,NA
Inpatient Rehabilitation Services,Inpatient Rehab Per Discharge: Pain syndrome,CMG 1603-D,NA,NA,$17379.30,$21038.10,NA,NA,NA,NA,NA,$17379.30,NA,NA,NA,$18294.00,NA,NA,NA,NA,NA,NA,NA,NA,$18294.00,NA,$18294.00,NA,NA,NA,NA,$21038.10,$18294.00,$18294.00,NA,$17379.30,$18294.00,NA,NA,NA,NA
Inpatient Rehabilitation Services,Inpatient Rehab Per Discharge: Pain syndrome,CMG 1604-A,NA,NA,$19876.09,$24060.53,NA,NA,NA,NA,NA,$19876.09,NA,NA,NA,$20922.20,NA,NA,NA,NA,NA,NA,NA,NA,$20922.20,NA,$20922.20,NA,NA,NA,NA,$24060.53,$20922.20,$20922.20,NA,$19876.09,$20922.20,NA,NA,NA,NA
Inpatient Rehabilitation Services,Inpatient Rehab Per Discharge: Pain syndrome,CMG 1604-B,NA,NA,$24485.33,$29640.13,NA,NA,NA,NA,NA,$24485.33,NA,NA,NA,$25774.03,NA,NA,NA,NA,NA,NA,NA,NA,$25774.03,NA,$25774.03,NA,NA,NA,NA,$29640.13,$25774.03,$25774.03,NA,$24485.33,$25774.03,NA,NA,NA,NA
Inpatient Rehabilitation Services,Inpatient Rehab Per Discharge: Pain syndrome,CMG 1604-C,NA,NA,$24485.33,$29640.13,NA,NA,NA,NA,NA,$24485.33,NA,NA,NA,$25774.03,NA,NA,NA,NA,NA,NA,NA,NA,$25774.03,NA,$25774.03,NA,NA,NA,NA,$29640.13,$25774.03,$25774.03,NA,$24485.33,$25774.03,NA,NA,NA,NA
Inpatient Rehabilitation Services,Inpatient Rehab Per Discharge: Pain syndrome,CMG 1604-D,NA,NA,$22082.49,$26731.43,NA,NA,NA,NA,NA,$22082.49,NA,NA,NA,$23244.73,NA,NA,NA,NA,NA,NA,NA,NA,$23244.73,NA,$23244.73,NA,NA,NA,NA,$26731.43,$23244.73,$23244.73,NA,$22082.49,$23244.73,NA,NA,NA,NA
Inpatient Rehabilitation Services,"Inpatient Rehab Per Discharge: Major Mult. Trauma, no brain or spinal cord injury",CMG 1701-A,NA,NA,$12856.90,$15563.61,NA,NA,NA,NA,NA,$12856.90,NA,NA,NA,$13533.58,NA,NA,NA,NA,NA,NA,NA,NA,$13533.58,NA,$13533.58,NA,NA,NA,NA,$15563.61,$13533.58,$13533.58,NA,$12856.90,$13533.58,NA,NA,NA,NA
Inpatient Rehabilitation Services,"Inpatient Rehab Per Discharge: Major Mult. Trauma, no brain or spinal cord injury",CMG 1701-B,NA,NA,$19800.65,$23969.20,NA,NA,NA,NA,NA,$19800.65,NA,NA,NA,$20842.79,NA,NA,NA,NA,NA,NA,NA,NA,$20842.79,NA,$20842.79,NA,NA,NA,NA,$23969.20,$20842.79,$20842.79,NA,$19800.65,$20842.79,NA,NA,NA,NA
Inpatient Rehabilitation Services,"Inpatient Rehab Per Discharge: Major Mult. Trauma, no brain or spinal cord injury",CMG 1701-C,NA,NA,$15533.04,$18803.16,NA,NA,NA,NA,NA,$15533.04,NA,NA,NA,$16350.57,NA,NA,NA,NA,NA,NA,NA,NA,$16350.57,NA,$16350.57,NA,NA,NA,NA,$18803.16,$16350.57,$16350.57,NA,$15533.04,$16350.57,NA,NA,NA,NA
Inpatient Rehabilitation Services,"Inpatient Rehab Per Discharge: Major Mult. Trauma, no brain or spinal cord injury",CMG 1701-D,NA,NA,$14119.53,$17092.06,NA,NA,NA,NA,NA,$14119.53,NA,NA,NA,$14862.66,NA,NA,NA,NA,NA,NA,NA,NA,$14862.66,NA,$14862.66,NA,NA,NA,NA,$17092.06,$14862.66,$14862.66,NA,$14119.53,$14862.66,NA,NA,NA,NA
Inpatient Rehabilitation Services,"Inpatient Rehab Per Discharge: Major Mult. Trauma, no brain or spinal cord injury",CMG 1702-A,NA,NA,$15702.44,$19008.22,NA,NA,NA,NA,NA,$15702.44,NA,NA,NA,$16528.88,NA,NA,NA,NA,NA,NA,NA,NA,$16528.88,NA,$16528.88,NA,NA,NA,NA,$19008.22,$16528.88,$16528.88,NA,$15702.44,$16528.88,NA,NA,NA,NA
Inpatient Rehabilitation Services,"Inpatient Rehab Per Discharge: Major Mult. Trauma, no brain or spinal cord injury",CMG 1702-B,NA,NA,$24182.13,$29273.10,NA,NA,NA,NA,NA,$24182.13,NA,NA,NA,$25454.87,NA,NA,NA,NA,NA,NA,NA,NA,$25454.87,NA,$25454.87,NA,NA,NA,NA,$29273.10,$25454.87,$25454.87,NA,$24182.13,$25454.87,NA,NA,NA,NA
Inpatient Rehabilitation Services,"Inpatient Rehab Per Discharge: Major Mult. Trauma, no brain or spinal cord injury",CMG 1702-C,NA,NA,$18972.18,$22966.32,NA,NA,NA,NA,NA,$18972.18,NA,NA,NA,$19970.72,NA,NA,NA,NA,NA,NA,NA,NA,$19970.72,NA,$19970.72,NA,NA,NA,NA,$22966.32,$19970.72,$19970.72,NA,$18972.18,$19970.72,NA,NA,NA,NA
Inpatient Rehabilitation Services,"Inpatient Rehab Per Discharge: Major Mult. Trauma, no brain or spinal cord injury",CMG 1702-D,NA,NA,$17245.49,$20876.13,NA,NA,NA,NA,NA,$17245.49,NA,NA,NA,$18153.15,NA,NA,NA,NA,NA,NA,NA,NA,$18153.15,NA,$18153.15,NA,NA,NA,NA,$20876.13,$18153.15,$18153.15,NA,$17245.49,$18153.15,NA,NA,NA,NA
Inpatient Rehabilitation Services,"Inpatient Rehab Per Discharge: Major Mult. Trauma, no brain or spinal cord injury",CMG 1703-A,NA,NA,$18614.89,$22533.81,NA,NA,NA,NA,NA,$18614.89,NA,NA,NA,$19594.62,NA,NA,NA,NA,NA,NA,NA,NA,$19594.62,NA,$19594.62,NA,NA,NA,NA,$22533.81,$19594.62,$19594.62,NA,$18614.89,$19594.62,NA,NA,NA,NA
Inpatient Rehabilitation Services,"Inpatient Rehab Per Discharge: Major Mult. Trauma, no brain or spinal cord injury",CMG 1703-B,NA,NA,$28668.94,$34704.51,NA,NA,NA,NA,NA,$28668.94,NA,NA,NA,$30177.84,NA,NA,NA,NA,NA,NA,NA,NA,$30177.84,NA,$30177.84,NA,NA,NA,NA,$34704.51,$30177.84,$30177.84,NA,$28668.94,$30177.84,NA,NA,NA,NA
Inpatient Rehabilitation Services,"Inpatient Rehab Per Discharge: Major Mult. Trauma, no brain or spinal cord injury",CMG 1703-C,NA,NA,$22489.61,$27224.26,NA,NA,NA,NA,NA,$22489.61,NA,NA,NA,$23673.27,NA,NA,NA,NA,NA,NA,NA,NA,$23673.27,NA,$23673.27,NA,NA,NA,NA,$27224.26,$23673.27,$23673.27,NA,$22489.61,$23673.27,NA,NA,NA,NA
Inpatient Rehabilitation Services,"Inpatient Rehab Per Discharge: Major Mult. Trauma, no brain or spinal cord injury",CMG 1703-D,NA,NA,$20444.06,$24748.07,NA,NA,NA,NA,NA,$20444.06,NA,NA,NA,$21520.06,NA,NA,NA,NA,NA,NA,NA,NA,$21520.06,NA,$21520.06,NA,NA,NA,NA,$24748.07,$21520.06,$21520.06,NA,$20444.06,$21520.06,NA,NA,NA,NA
Inpatient Rehabilitation Services,"Inpatient Rehab Per Discharge: Major Mult. Trauma, no brain or spinal cord injury",CMG 1704-A,NA,NA,$20592.10,$24927.28,NA,NA,NA,NA,NA,$20592.10,NA,NA,NA,$21675.90,NA,NA,NA,NA,NA,NA,NA,NA,$21675.90,NA,$21675.90,NA,NA,NA,NA,$24927.28,$21675.90,$21675.90,NA,$20592.10,$21675.90,NA,NA,NA,NA
Inpatient Rehabilitation Services,"Inpatient Rehab Per Discharge: Major Mult. Trauma, no brain or spinal cord injury",CMG 1704-B,NA,NA,$31713.77,$38390.36,NA,NA,NA,NA,NA,$31713.77,NA,NA,NA,$33382.92,NA,NA,NA,NA,NA,NA,NA,NA,$33382.92,NA,$33382.92,NA,NA,NA,NA,$38390.36,$33382.92,$33382.92,NA,$31713.77,$33382.92,NA,NA,NA,NA
Inpatient Rehabilitation Services,"Inpatient Rehab Per Discharge: Major Mult. Trauma, no brain or spinal cord injury",CMG 1704-C,NA,NA,$24879.63,$30117.45,NA,NA,NA,NA,NA,$24879.63,NA,NA,NA,$26189.09,NA,NA,NA,NA,NA,NA,NA,NA,$26189.09,NA,$26189.09,NA,NA,NA,NA,$30117.45,$26189.09,$26189.09,NA,$24879.63,$26189.09,NA,NA,NA,NA
Inpatient Rehabilitation Services,"Inpatient Rehab Per Discharge: Major Mult. Trauma, no brain or spinal cord injury",CMG 1704-D,NA,NA,$22616.30,$27377.62,NA,NA,NA,NA,NA,$22616.30,NA,NA,NA,$23806.63,NA,NA,NA,NA,NA,NA,NA,NA,$23806.63,NA,$23806.63,NA,NA,NA,NA,$27377.62,$23806.63,$23806.63,NA,$22616.30,$23806.63,NA,NA,NA,NA
Inpatient Rehabilitation Services,"Inpatient Rehab Per Discharge: Major Mult. Trauma, no brain or spinal cord injury",CMG 1705-A,NA,NA,$22594.94,$27351.77,NA,NA,NA,NA,NA,$22594.94,NA,NA,NA,$23784.15,NA,NA,NA,NA,NA,NA,NA,NA,$23784.15,NA,$23784.15,NA,NA,NA,NA,$27351.77,$23784.15,$23784.15,NA,$22594.94,$23784.15,NA,NA,NA,NA
Inpatient Rehabilitation Services,"Inpatient Rehab Per Discharge: Major Mult. Trauma, no brain or spinal cord injury",CMG 1705-B,NA,NA,$34799.89,$42126.18,NA,NA,NA,NA,NA,$34799.89,NA,NA,NA,$36631.46,NA,NA,NA,NA,NA,NA,NA,NA,$36631.46,NA,$36631.46,NA,NA,NA,NA,$42126.18,$36631.46,$36631.46,NA,$34799.89,$36631.46,NA,NA,NA,NA
Inpatient Rehabilitation Services,"Inpatient Rehab Per Discharge: Major Mult. Trauma, no brain or spinal cord injury",CMG 1705-C,NA,NA,$27300.98,$33048.55,NA,NA,NA,NA,NA,$27300.98,NA,NA,NA,$28737.87,NA,NA,NA,NA,NA,NA,NA,NA,$28737.87,NA,$28737.87,NA,NA,NA,NA,$33048.55,$28737.87,$28737.87,NA,$27300.98,$28737.87,NA,NA,NA,NA
