Encompass Health Rehabilitation Hospital of Sunrise,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Prices Posted and Effective 1/1/2021,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Note: General file information and additional details can be found on the Price Transparency page of this hospital's website,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PATIENT_TYPE,SHOPPABLE_SERVICES,BILLING_REVENUE_SERVICE_CODE,GROSS_CHARGE,DISCOUNTED_CASH_PRICE,DEIDENTIFIED_MIN_NEGOTIATED_CHARGE,DEIDENTIFIED_MAX_NEGOTIATED_CHARGE,AETNA (AET) negotiated charge,AETNA MEDICARE (AETM) negotiated charge,AETNA WORKERS COMP ACCESS (AETW) negotiated charge,AVMED HEALTH MEDICARE (AVMM) negotiated charge,AVMED HEALTH PLAN (AVMD) negotiated charge,BC HEALTH OPTIONS EXCHANG (BHOZ) negotiated charge,BCBS OUT OF STATE (BCBS) negotiated charge,BCFL BLUE SELECT (BCSE) negotiated charge,BCFL TRADITIONAL (BCFL) negotiated charge,BLUE CROSS HEALTH OPTIONS (BCHO) negotiated charge,CAREPLUS HEALTH MEDICARE (CPHM) negotiated charge,CAREWORKS (CRW) negotiated charge,CAREWORKS WORK COMP (CRWW) negotiated charge,CHAMPVA (CVA) negotiated charge,CIGNA (CIG) negotiated charge,CORVEL WORK COMP (CVLW) negotiated charge,COVENTRY HEALTHCARE (CHC) negotiated charge,FEDERAL BLUE CROSS (BCFD) negotiated charge,FIRST HEALTH (FTH) negotiated charge,FIRST HEALTH WORK COMP (FTHW) negotiated charge,GLOBAL EXCEL MANAGEMENT (GBE) negotiated charge,HEALTH OPTIONS MEDICARE (BCHM) negotiated charge,HERITAGE SUMMIT WORK COMP (HSHW) negotiated charge,HUMANA (HUM) negotiated charge,HUMANA EXCHANGE (HUMZ) negotiated charge,HUMANA MEDICAID (HUMD) negotiated charge,HUMANA MEDICARE (HUMM) negotiated charge,INTEGRA GROUP WC (INTW) negotiated charge,MULTIPLAN (MUL) negotiated charge,NETWORK BLUE MEDICARE (BCBM) negotiated charge,ONE CALL MEDICAL WC (OCLW) negotiated charge,PRIVATE HEALTHCARE SYSTEM (PHST) negotiated charge,PROVIDER NET OF AMERICA (PAM) negotiated charge,PYR/AMERICAN PROGRESSIVE (AMPM) negotiated charge,THE RENY COMPANY WC (REN) negotiated charge,TRICARE (TRI) negotiated charge,UHC VA CCN (UHV) negotiated charge,UNITED HEALTHCARE (UHC) negotiated charge,UNITED HEALTHCARE MEDICAR (UHCM) negotiated charge,VISTA HEALTH PLAN (VIS) negotiated charge,WELLCARE MEDICARE (WLCM) negotiated charge,ZELIAS NET SOLUTIONS WC (ZNSW) negotiated charge,ZELIAS NETWORK SOLUTIONS (ZNS) negotiated charge
Inpatient Rehabilitation Services,Inpatient Rehab Per Discharge: Osteoarthritis,CMG 1201-B,NA,NA,$22466.42,$27196.19,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,$23648.86,NA,NA,NA,NA,NA,NA,NA,$23648.86,NA,NA,NA,NA,NA,NA,NA,$23648.86,NA,NA,$27196.19,$23648.86,NA,$23648.86,$23648.86,NA,$22466.42,NA,NA,NA,NA
Inpatient Rehabilitation Services,Inpatient Rehab Per Discharge: Osteoarthritis,CMG 1201-C,NA,NA,$14968.68,$18119.98,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,$15756.51,NA,NA,NA,NA,NA,NA,NA,$15756.51,NA,NA,NA,NA,NA,NA,NA,$15756.51,NA,NA,$18119.98,$15756.51,NA,$15756.51,$15756.51,NA,$14968.68,NA,NA,NA,NA
Inpatient Rehabilitation Services,Inpatient Rehab Per Discharge: Osteoarthritis,CMG 1201-D,NA,NA,$14968.68,$18119.98,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,$15756.51,NA,NA,NA,NA,NA,NA,NA,$15756.51,NA,NA,NA,NA,NA,NA,NA,$15756.51,NA,NA,$18119.98,$15756.51,NA,$15756.51,$15756.51,NA,$14968.68,NA,NA,NA,NA
Inpatient Rehabilitation Services,Inpatient Rehab Per Discharge: Osteoarthritis,CMG 1202-A,NA,NA,$17268.77,$20904.30,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,$18177.65,NA,NA,NA,NA,NA,NA,NA,$18177.65,NA,NA,NA,NA,NA,NA,NA,$18177.65,NA,NA,$20904.30,$18177.65,NA,$18177.65,$18177.65,NA,$17268.77,NA,NA,NA,NA
Inpatient Rehabilitation Services,Inpatient Rehab Per Discharge: Osteoarthritis,CMG 1202-B,NA,NA,$28230.03,$34173.20,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,$29715.82,NA,NA,NA,NA,NA,NA,NA,$29715.82,NA,NA,NA,NA,NA,NA,NA,$29715.82,NA,NA,$34173.20,$29715.82,NA,$29715.82,$29715.82,NA,$28230.03,NA,NA,NA,NA
Inpatient Rehabilitation Services,Inpatient Rehab Per Discharge: Osteoarthritis,CMG 1202-C,NA,NA,$18807.41,$22766.87,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,$19797.27,NA,NA,NA,NA,NA,NA,NA,$19797.27,NA,NA,NA,NA,NA,NA,NA,$19797.27,NA,NA,$22766.87,$19797.27,NA,$19797.27,$19797.27,NA,$18807.41,NA,NA,NA,NA
Inpatient Rehabilitation Services,Inpatient Rehab Per Discharge: Osteoarthritis,CMG 1202-D,NA,NA,$18807.41,$22766.87,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,$19797.27,NA,NA,NA,NA,NA,NA,NA,$19797.27,NA,NA,NA,NA,NA,NA,NA,$19797.27,NA,NA,$22766.87,$19797.27,NA,$19797.27,$19797.27,NA,$18807.41,NA,NA,NA,NA
Inpatient Rehabilitation Services,Inpatient Rehab Per Discharge: Osteoarthritis,CMG 1203-A,NA,NA,$20074.90,$24301.20,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,$21131.47,NA,NA,NA,NA,NA,NA,NA,$21131.47,NA,NA,NA,NA,NA,NA,NA,$21131.47,NA,NA,$24301.20,$21131.47,NA,$21131.47,$21131.47,NA,$20074.90,NA,NA,NA,NA
Inpatient Rehabilitation Services,Inpatient Rehab Per Discharge: Osteoarthritis,CMG 1203-B,NA,NA,$32814.44,$39722.74,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,$34541.51,NA,NA,NA,NA,NA,NA,NA,$34541.51,NA,NA,NA,NA,NA,NA,NA,$34541.51,NA,NA,$39722.74,$34541.51,NA,$34541.51,$34541.51,NA,$32814.44,NA,NA,NA,NA
Inpatient Rehabilitation Services,Inpatient Rehab Per Discharge: Osteoarthritis,CMG 1203-C,NA,NA,$21861.05,$26463.38,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,$23011.63,NA,NA,NA,NA,NA,NA,NA,$23011.63,NA,NA,NA,NA,NA,NA,NA,$23011.63,NA,NA,$26463.38,$23011.63,NA,$23011.63,$23011.63,NA,$21861.05,NA,NA,NA,NA
Inpatient Rehabilitation Services,Inpatient Rehab Per Discharge: Osteoarthritis,CMG 1203-D,NA,NA,$21861.05,$26463.38,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,$23011.63,NA,NA,NA,NA,NA,NA,NA,$23011.63,NA,NA,NA,NA,NA,NA,NA,$23011.63,NA,NA,$26463.38,$23011.63,NA,$23011.63,$23011.63,NA,$21861.05,NA,NA,NA,NA
Inpatient Rehabilitation Services,Inpatient Rehab Per Discharge: Osteoarthritis,CMG 1204-A,NA,NA,$21098.04,$25539.73,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,$22208.46,NA,NA,NA,NA,NA,NA,NA,$22208.46,NA,NA,NA,NA,NA,NA,NA,$22208.46,NA,NA,$25539.73,$22208.46,NA,$22208.46,$22208.46,NA,$21098.04,NA,NA,NA,NA
Inpatient Rehabilitation Services,Inpatient Rehab Per Discharge: Osteoarthritis,CMG 1204-B,NA,NA,$34488.66,$41749.43,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,$36303.85,NA,NA,NA,NA,NA,NA,NA,$36303.85,NA,NA,NA,NA,NA,NA,NA,$36303.85,NA,NA,$41749.43,$36303.85,NA,$36303.85,$36303.85,NA,$34488.66,NA,NA,NA,NA
Inpatient Rehabilitation Services,Inpatient Rehab Per Discharge: Osteoarthritis,CMG 1204-C,NA,NA,$22977.20,$27814.51,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,$24186.53,NA,NA,NA,NA,NA,NA,NA,$24186.53,NA,NA,NA,NA,NA,NA,NA,$24186.53,NA,NA,$27814.51,$24186.53,NA,$24186.53,$24186.53,NA,$22977.20,NA,NA,NA,NA
Inpatient Rehabilitation Services,Inpatient Rehab Per Discharge: Osteoarthritis,CMG 1204-D,NA,NA,$22977.20,$27814.51,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,$24186.53,NA,NA,NA,NA,NA,NA,NA,$24186.53,NA,NA,NA,NA,NA,NA,NA,$24186.53,NA,NA,$27814.51,$24186.53,NA,$24186.53,$24186.53,NA,$22977.20,NA,NA,NA,NA
Inpatient Rehabilitation Services,Inpatient Rehab Per Discharge: Rheumatoid and other arthritis,CMG 1301-A,NA,NA,$12370.64,$14974.99,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,$13021.73,NA,NA,NA,NA,NA,NA,NA,$13021.73,NA,NA,NA,NA,NA,NA,NA,$13021.73,NA,NA,$14974.99,$13021.73,NA,$13021.73,$13021.73,NA,$12370.64,NA,NA,NA,NA
Inpatient Rehabilitation Services,Inpatient Rehab Per Discharge: Rheumatoid and other arthritis,CMG 1301-B,NA,NA,$17777.97,$21520.70,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,$18713.65,NA,NA,NA,NA,NA,NA,NA,$18713.65,NA,NA,NA,NA,NA,NA,NA,$18713.65,NA,NA,$21520.70,$18713.65,NA,$18713.65,$18713.65,NA,$17777.97,NA,NA,NA,NA
Inpatient Rehabilitation Services,Inpatient Rehab Per Discharge: Rheumatoid and other arthritis,CMG 1301-C,NA,NA,$14678.61,$17768.84,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,$15451.17,NA,NA,NA,NA,NA,NA,NA,$15451.17,NA,NA,NA,NA,NA,NA,NA,$15451.17,NA,NA,$17768.84,$15451.17,NA,$15451.17,$15451.17,NA,$14678.61,NA,NA,NA,NA
Inpatient Rehabilitation Services,Inpatient Rehab Per Discharge: Rheumatoid and other arthritis,CMG 1301-D,NA,NA,$13934.51,$16868.09,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,$14667.91,NA,NA,NA,NA,NA,NA,NA,$14667.91,NA,NA,NA,NA,NA,NA,NA,$14667.91,NA,NA,$16868.09,$14667.91,NA,$14667.91,$14667.91,NA,$13934.51,NA,NA,NA,NA
Inpatient Rehabilitation Services,Inpatient Rehab Per Discharge: Rheumatoid and other arthritis,CMG 1302-A,NA,NA,$16926.67,$20490.18,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,$17817.55,NA,NA,NA,NA,NA,NA,NA,$17817.55,NA,NA,NA,NA,NA,NA,NA,$17817.55,NA,NA,$20490.18,$17817.55,NA,$17817.55,$17817.55,NA,$16926.67,NA,NA,NA,NA
Inpatient Rehabilitation Services,Inpatient Rehab Per Discharge: Rheumatoid and other arthritis,CMG 1302-B,NA,NA,$24323.52,$29444.26,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,$25603.70,NA,NA,NA,NA,NA,NA,NA,$25603.70,NA,NA,NA,NA,NA,NA,NA,$25603.70,NA,NA,$29444.26,$25603.70,NA,$25603.70,$25603.70,NA,$24323.52,NA,NA,NA,NA
Inpatient Rehabilitation Services,Inpatient Rehab Per Discharge: Rheumatoid and other arthritis,CMG 1302-C,NA,NA,$20084.36,$24312.65,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,$21141.43,NA,NA,NA,NA,NA,NA,NA,$21141.43,NA,NA,NA,NA,NA,NA,NA,$21141.43,NA,NA,$24312.65,$21141.43,NA,$21141.43,$21141.43,NA,$20084.36,NA,NA,NA,NA
Inpatient Rehabilitation Services,Inpatient Rehab Per Discharge: Rheumatoid and other arthritis,CMG 1302-D,NA,NA,$19065.95,$23079.84,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,$20069.42,NA,NA,NA,NA,NA,NA,NA,$20069.42,NA,NA,NA,NA,NA,NA,NA,$20069.42,NA,NA,$23079.84,$20069.42,NA,$20069.42,$20069.42,NA,$19065.95,NA,NA,NA,NA
Inpatient Rehabilitation Services,Inpatient Rehab Per Discharge: Rheumatoid and other arthritis,CMG 1303-A,NA,NA,$19512.10,$23619.91,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,$20539.05,NA,NA,NA,NA,NA,NA,NA,$20539.05,NA,NA,NA,NA,NA,NA,NA,$20539.05,NA,NA,$23619.91,$20539.05,NA,$20539.05,$20539.05,NA,$19512.10,NA,NA,NA,NA
Inpatient Rehabilitation Services,Inpatient Rehab Per Discharge: Rheumatoid and other arthritis,CMG 1303-B,NA,NA,$28039.28,$33942.29,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,$29515.03,NA,NA,NA,NA,NA,NA,NA,$29515.03,NA,NA,NA,NA,NA,NA,NA,$29515.03,NA,NA,$33942.29,$29515.03,NA,$29515.03,$29515.03,NA,$28039.28,NA,NA,NA,NA
Inpatient Rehabilitation Services,Inpatient Rehab Per Discharge: Rheumatoid and other arthritis,CMG 1303-C,NA,NA,$23152.19,$28026.34,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,$24370.73,NA,NA,NA,NA,NA,NA,NA,$24370.73,NA,NA,NA,NA,NA,NA,NA,$24370.73,NA,NA,$28026.34,$24370.73,NA,$24370.73,$24370.73,NA,$23152.19,NA,NA,NA,NA
Inpatient Rehabilitation Services,Inpatient Rehab Per Discharge: Rheumatoid and other arthritis,CMG 1303-D,NA,NA,$21977.71,$26604.60,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,$23134.43,NA,NA,NA,NA,NA,NA,NA,$23134.43,NA,NA,NA,NA,NA,NA,NA,$23134.43,NA,NA,$26604.60,$23134.43,NA,$23134.43,$23134.43,NA,$21977.71,NA,NA,NA,NA
Inpatient Rehabilitation Services,Inpatient Rehab Per Discharge: Rheumatoid and other arthritis,CMG 1304-A,NA,NA,$22617.76,$27379.40,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,$23808.17,NA,NA,NA,NA,NA,NA,NA,$23808.17,NA,NA,NA,NA,NA,NA,NA,$23808.17,NA,NA,$27379.40,$23808.17,NA,$23808.17,$23808.17,NA,$22617.76,NA,NA,NA,NA
Inpatient Rehabilitation Services,Inpatient Rehab Per Discharge: Rheumatoid and other arthritis,CMG 1304-B,NA,NA,$32502.30,$39344.88,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,$34212.94,NA,NA,NA,NA,NA,NA,NA,$34212.94,NA,NA,NA,NA,NA,NA,NA,$34212.94,NA,NA,$39344.88,$34212.94,NA,$34212.94,$34212.94,NA,$32502.30,NA,NA,NA,NA
Inpatient Rehabilitation Services,Inpatient Rehab Per Discharge: Rheumatoid and other arthritis,CMG 1304-C,NA,NA,$26838.00,$32488.11,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,$28250.53,NA,NA,NA,NA,NA,NA,NA,$28250.53,NA,NA,NA,NA,NA,NA,NA,$28250.53,NA,NA,$32488.11,$28250.53,NA,$28250.53,$28250.53,NA,$26838.00,NA,NA,NA,NA
Inpatient Rehabilitation Services,Inpatient Rehab Per Discharge: Rheumatoid and other arthritis,CMG 1304-D,NA,NA,$25477.50,$30841.18,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,$26818.42,NA,NA,NA,NA,NA,NA,NA,$26818.42,NA,NA,NA,NA,NA,NA,NA,$26818.42,NA,NA,$30841.18,$26818.42,NA,$26818.42,$26818.42,NA,$25477.50,NA,NA,NA,NA
Inpatient Rehabilitation Services,Inpatient Rehab Per Discharge: Rheumatoid and other arthritis,CMG 1305-A,NA,NA,$22901.53,$27722.90,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,$24106.87,NA,NA,NA,NA,NA,NA,NA,$24106.87,NA,NA,NA,NA,NA,NA,NA,$24106.87,NA,NA,$27722.90,$24106.87,NA,$24106.87,$24106.87,NA,$22901.53,NA,NA,NA,NA
Inpatient Rehabilitation Services,Inpatient Rehab Per Discharge: Rheumatoid and other arthritis,CMG 1305-B,NA,NA,$32910.60,$39839.15,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,$34642.74,NA,NA,NA,NA,NA,NA,NA,$34642.74,NA,NA,NA,NA,NA,NA,NA,$34642.74,NA,NA,$39839.15,$34642.74,NA,$34642.74,$34642.74,NA,$32910.60,NA,NA,NA,NA
Inpatient Rehabilitation Services,Inpatient Rehab Per Discharge: Rheumatoid and other arthritis,CMG 1305-C,NA,NA,$27173.79,$32894.59,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,$28603.99,NA,NA,NA,NA,NA,NA,NA,$28603.99,NA,NA,NA,NA,NA,NA,NA,$28603.99,NA,NA,$32894.59,$28603.99,NA,$28603.99,$28603.99,NA,$27173.79,NA,NA,NA,NA
Inpatient Rehabilitation Services,Inpatient Rehab Per Discharge: Rheumatoid and other arthritis,CMG 1305-D,NA,NA,$25795.95,$31226.67,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,$27153.63,NA,NA,NA,NA,NA,NA,NA,$27153.63,NA,NA,NA,NA,NA,NA,NA,$27153.63,NA,NA,$31226.67,$27153.63,NA,$27153.63,$27153.63,NA,$25795.95,NA,NA,NA,NA
Inpatient Rehabilitation Services,Inpatient Rehab Per Discharge: Cardiac,CMG 1401-A,NA,NA,$11957.60,$14474.99,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,$12586.95,NA,NA,NA,NA,NA,NA,NA,$12586.95,NA,NA,NA,NA,NA,NA,NA,$12586.95,NA,NA,$14474.99,$12586.95,NA,$12586.95,$12586.95,NA,$11957.60,NA,NA,NA,NA
Inpatient Rehabilitation Services,Inpatient Rehab Per Discharge: Cardiac,CMG 1401-B,NA,NA,$18060.16,$21862.30,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,$19010.69,NA,NA,NA,NA,NA,NA,NA,$19010.69,NA,NA,NA,NA,NA,NA,NA,$19010.69,NA,NA,$21862.30,$19010.69,NA,$19010.69,$19010.69,NA,$18060.16,NA,NA,NA,NA
Inpatient Rehabilitation Services,Inpatient Rehab Per Discharge: Cardiac,CMG 1401-C,NA,NA,$14806.30,$17923.42,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,$15585.58,NA,NA,NA,NA,NA,NA,NA,$15585.58,NA,NA,NA,NA,NA,NA,NA,$15585.58,NA,NA,$17923.42,$15585.58,NA,$15585.58,$15585.58,NA,$14806.30,NA,NA,NA,NA
Inpatient Rehabilitation Services,Inpatient Rehab Per Discharge: Cardiac,CMG 1401-D,NA,NA,$13363.82,$16177.26,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,$14067.18,NA,NA,NA,NA,NA,NA,NA,$14067.18,NA,NA,NA,NA,NA,NA,NA,$14067.18,NA,NA,$16177.26,$14067.18,NA,$14067.18,$14067.18,NA,$13363.82,NA,NA,NA,NA
Inpatient Rehabilitation Services,Inpatient Rehab Per Discharge: Cardiac,CMG 1402-A,NA,NA,$15022.28,$18184.87,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,$15812.93,NA,NA,NA,NA,NA,NA,NA,$15812.93,NA,NA,NA,NA,NA,NA,NA,$15812.93,NA,NA,$18184.87,$15812.93,NA,$15812.93,$15812.93,NA,$15022.28,NA,NA,NA,NA
Inpatient Rehabilitation Services,Inpatient Rehab Per Discharge: Cardiac,CMG 1402-B,NA,NA,$22687.13,$27463.37,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,$23881.19,NA,NA,NA,NA,NA,NA,NA,$23881.19,NA,NA,NA,NA,NA,NA,NA,$23881.19,NA,NA,$27463.37,$23881.19,NA,$23881.19,$23881.19,NA,$22687.13,NA,NA,NA,NA
Inpatient Rehabilitation Services,Inpatient Rehab Per Discharge: Cardiac,CMG 1402-C,NA,NA,$18600.89,$22516.87,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,$19579.89,NA,NA,NA,NA,NA,NA,NA,$19579.89,NA,NA,NA,NA,NA,NA,NA,$19579.89,NA,NA,$22516.87,$19579.89,NA,$19579.89,$19579.89,NA,$18600.89,NA,NA,NA,NA
Inpatient Rehabilitation Services,Inpatient Rehab Per Discharge: Cardiac,CMG 1402-D,NA,NA,$16789.52,$20324.15,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,$17673.17,NA,NA,NA,NA,NA,NA,NA,$17673.17,NA,NA,NA,NA,NA,NA,NA,$17673.17,NA,NA,$20324.15,$17673.17,NA,$17673.17,$17673.17,NA,$16789.52,NA,NA,NA,NA
Inpatient Rehabilitation Services,Inpatient Rehab Per Discharge: Cardiac,CMG 1403-A,NA,NA,$18239.88,$22079.85,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,$19199.87,NA,NA,NA,NA,NA,NA,NA,$19199.87,NA,NA,NA,NA,NA,NA,NA,$19199.87,NA,NA,$22079.85,$19199.87,NA,$19199.87,$19199.87,NA,$18239.88,NA,NA,NA,NA
Inpatient Rehabilitation Services,Inpatient Rehab Per Discharge: Cardiac,CMG 1403-B,NA,NA,$27547.42,$33346.87,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,$28997.28,NA,NA,NA,NA,NA,NA,NA,$28997.28,NA,NA,NA,NA,NA,NA,NA,$28997.28,NA,NA,$33346.87,$28997.28,NA,$28997.28,$28997.28,NA,$27547.42,NA,NA,NA,NA
Inpatient Rehabilitation Services,Inpatient Rehab Per Discharge: Cardiac,CMG 1403-C,NA,NA,$22584.66,$27339.32,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,$23773.32,NA,NA,NA,NA,NA,NA,NA,$23773.32,NA,NA,NA,NA,NA,NA,NA,$23773.32,NA,NA,$27339.32,$23773.32,NA,$23773.32,$23773.32,NA,$22584.66,NA,NA,NA,NA
Inpatient Rehabilitation Services,Inpatient Rehab Per Discharge: Cardiac,CMG 1403-D,NA,NA,$20385.47,$24677.14,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,$21458.39,NA,NA,NA,NA,NA,NA,NA,$21458.39,NA,NA,NA,NA,NA,NA,NA,$21458.39,NA,NA,$24677.14,$21458.39,NA,$21458.39,$21458.39,NA,$20385.47,NA,NA,NA,NA
Inpatient Rehabilitation Services,Inpatient Rehab Per Discharge: Cardiac,CMG 1404-A,NA,NA,$21424.37,$25934.76,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,$22551.97,NA,NA,NA,NA,NA,NA,NA,$22551.97,NA,NA,NA,NA,NA,NA,NA,$22551.97,NA,NA,$25934.76,$22551.97,NA,$22551.97,$22551.97,NA,$21424.37,NA,NA,NA,NA
Inpatient Rehabilitation Services,Inpatient Rehab Per Discharge: Cardiac,CMG 1404-B,NA,NA,$32355.68,$39167.41,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,$34058.61,NA,NA,NA,NA,NA,NA,NA,$34058.61,NA,NA,NA,NA,NA,NA,NA,$34058.61,NA,NA,$39167.41,$34058.61,NA,$34058.61,$34058.61,NA,$32355.68,NA,NA,NA,NA
Inpatient Rehabilitation Services,Inpatient Rehab Per Discharge: Cardiac,CMG 1404-C,NA,NA,$26527.43,$32112.16,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,$27923.62,NA,NA,NA,NA,NA,NA,NA,$27923.62,NA,NA,NA,NA,NA,NA,NA,$27923.62,NA,NA,$32112.16,$27923.62,NA,$27923.62,$27923.62,NA,$26527.43,NA,NA,NA,NA
Inpatient Rehabilitation Services,Inpatient Rehab Per Discharge: Cardiac,CMG 1404-D,NA,NA,$23943.58,$28984.34,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,$25203.77,NA,NA,NA,NA,NA,NA,NA,$25203.77,NA,NA,NA,NA,NA,NA,NA,$25203.77,NA,NA,$28984.34,$25203.77,NA,$25203.77,$25203.77,NA,$23943.58,NA,NA,NA,NA
Inpatient Rehabilitation Services,Inpatient Rehab Per Discharge: Pulmonary,CMG 1501-A,NA,NA,$14601.36,$17675.33,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,$15369.85,NA,NA,NA,NA,NA,NA,NA,$15369.85,NA,NA,NA,NA,NA,NA,NA,$15369.85,NA,NA,$17675.33,$15369.85,NA,$15369.85,$15369.85,NA,$14601.36,NA,NA,NA,NA
Inpatient Rehabilitation Services,Inpatient Rehab Per Discharge: Pulmonary,CMG 1501-B,NA,NA,$20344.48,$24627.53,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,$21415.24,NA,NA,NA,NA,NA,NA,NA,$21415.24,NA,NA,NA,NA,NA,NA,NA,$21415.24,NA,NA,$24627.53,$21415.24,NA,$21415.24,$21415.24,NA,$20344.48,NA,NA,NA,NA
Inpatient Rehabilitation Services,Inpatient Rehab Per Discharge: Pulmonary,CMG 1501-C,NA,NA,$16292.92,$19723.01,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,$17150.45,NA,NA,NA,NA,NA,NA,NA,$17150.45,NA,NA,NA,NA,NA,NA,NA,$17150.45,NA,NA,$19723.01,$17150.45,NA,$17150.45,$17150.45,NA,$16292.92,NA,NA,NA,NA
Inpatient Rehabilitation Services,Inpatient Rehab Per Discharge: Pulmonary,CMG 1501-D,NA,NA,$15220.92,$18425.32,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,$16022.02,NA,NA,NA,NA,NA,NA,NA,$16022.02,NA,NA,NA,NA,NA,NA,NA,$16022.02,NA,NA,$18425.32,$16022.02,NA,$16022.02,$16022.02,NA,$15220.92,NA,NA,NA,NA
Inpatient Rehabilitation Services,Inpatient Rehab Per Discharge: Pulmonary,CMG 1502-A,NA,NA,$18004.98,$21795.50,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,$18952.61,NA,NA,NA,NA,NA,NA,NA,$18952.61,NA,NA,NA,NA,NA,NA,NA,$18952.61,NA,NA,$21795.50,$18952.61,NA,$18952.61,$18952.61,NA,$18004.98,NA,NA,NA,NA
